Gene,Rate01,Rate10,Eject,Decay,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD,Model,Condition,Expression,Variance,ThirdMoment
CENPL,0.012421283,45.48022173,106.3931111,0.01006327,0.012090982,1.172185848,2.813223079,0.000522622,1.814569212,4.245522463,0.012085619,0.75237484,1.830864062,0.000350049,0.345655973,0.809029211,2,DMSO,5.772151899,20.37846499,132.2169149
ERRFI1,0.01276929,0.017400041,0.941943284,0.006883328,0.012762118,0.017579668,0.944567305,0.000636875,0.003063275,0.045246326,0.012741421,0.017311971,0.940392638,0.000376594,0.001083977,0.019972314,2,DMSO,116.0243764,1719.507342,19241.30019
HMMR,0.000477032,10.20993836,67.44241658,0.000851548,0.000477364,0.706790586,4.669507341,5.10E-05,0.629420341,4.149102887,0.000476744,0.51781079,3.423201357,7.31E-06,0.223760692,1.474236059,2,DMSO,7.395423439,85.5320492,2154.034135
KIF2C,0.000877201,0.004801437,0.058552391,0.001049647,0.000884044,0.005817874,0.066916462,6.15E-05,0.010243251,0.084191296,0.000881751,0.004940791,0.059722277,2.24E-05,0.000553629,0.004618798,2,DMSO,17.23207022,144.3636129,1667.637583
MYC,0.012589635,0.033757633,1.905802042,0.032430526,0.012578028,0.03387344,1.908834674,0.000520579,0.003374173,0.085045633,0.012571646,0.033645393,1.903696029,0.000348988,0.002160224,0.055985666,2,DMSO,47.88321525,899.0589242,13321.57513
PPM1G,0.001572665,0.003282216,0.080784487,0.001446996,0.001584985,0.003719556,0.0851557,0.000117943,0.005465539,0.053339471,0.001577826,0.003316091,0.081167508,4.07E-05,0.000220567,0.00241611,2,DMSO,36.17469001,348.908579,3343.305892
PSMD14,0.003944396,2.985245489,13.2850087,0.001070058,0.003829476,0.244712381,1.1219269,0.000157761,0.259875363,1.152478183,0.00383259,0.162101118,0.755933499,0.000102169,0.082241447,0.365410775,2,DMSO,32.7633048,181.8122299,1928.72027
SOX9,0.007551344,0.022171869,1.042175226,0.016204929,0.007547278,0.022252256,1.043767975,0.00027753,0.002295295,0.045924952,0.007540484,0.022108284,1.0411161,0.000172802,0.00119361,0.026898664,2,DMSO,49.00219098,877.5241873,15455.21328
CENPL,0.0113712,53.24879438,141.8765616,0.01006327,0.011193173,1.3254723,3.589851299,0.000402185,1.283553399,3.403350053,0.011188314,0.954582437,2.606102401,0.000270345,0.406938611,1.080462734,2,AUXIN,6.011473963,23.36173949,164.608906
ERRFI1,0.007844275,0.010409545,0.783726815,0.006883328,0.007860374,0.010596944,0.787569525,0.000408388,0.002670057,0.045525449,0.007837424,0.010405196,0.784049264,0.000197901,0.000486754,0.011148749,2,AUXIN,97.99189007,1759.608855,18264.29325
HMMR,0.000327369,14.87394724,292.3216948,0.000851548,0.000327935,0.684518075,13.47821725,6.38E-05,0.696237877,13.69451815,0.000327069,0.480302616,9.463737891,4.19E-06,0.208656139,4.102361982,2,AUXIN,14.86926129,440.0913525,19087.75732
KIF2C,0.000966579,0.004697519,0.102182273,0.001049647,0.000971304,0.005294268,0.110530256,8.49E-05,0.005600558,0.075990322,0.000968287,0.004756033,0.103081897,2.14E-05,0.000445742,0.006454729,2,AUXIN,33.23397012,449.9821409,8298.644517
MYC,0.009504082,31.5792006,580.4066246,0.032430526,0.00945249,3.624219109,66.9924202,0.00020931,2.944600327,54.06240523,0.009451345,2.782850879,51.56863599,0.000139674,1.152620975,21.14514851,2,AUXIN,16.06909746,340.3848272,12608.35226
PPM1G,0.001314793,0.002820732,0.087292894,0.001446996,0.001323973,0.003052586,0.090120819,0.000103095,0.00337531,0.037797404,0.001319059,0.002847397,0.087673458,3.48E-05,0.000185018,0.002507621,2,AUXIN,38.36154187,448.3526725,5196.866192
PSMD14,0.00337418,4.93774349,27.94680113,0.001070058,0.003267145,0.209497025,1.224566128,0.000126451,0.351597135,1.992978669,0.003269646,0.127564048,0.760950304,7.80E-05,0.058424141,0.330149011,2,AUXIN,35.67325273,240.4612103,3162.147849
SOX9,0.005459213,16.24482395,250.9137297,0.016204929,0.005455171,2.478080379,38.33834665,0.000130684,1.715277451,26.35327562,0.005454062,1.969299712,30.5198307,8.61E-05,0.799925419,12.29154202,2,AUXIN,15.58695087,299.9237497,10382.86473
