Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Hspd1	0	-0.714036041	0.48	0.722	0
Ncl	0	-1.080436389	0.96	0.985	0
B2m	0	0.71120981	0.996	0.978	0
Nop56	0	-0.701139262	0.5	0.763	0
Dkc1	0	-0.603367837	0.275	0.586	0
Tmsb4x	0	0.475832342	0.999	0.995	0
Rps27	0	0.467978003	1	1	0
Anp32b	0	-0.678609471	0.679	0.84	0
Rpl32	0	-0.334418592	0.999	1	0
Ddx21	0	-0.631582572	0.65	0.842	0
Mif	0	-0.867186219	0.412	0.732	0
Pa2g4	0	-0.67334588	0.43	0.705	0
Uba52	0	0.640125239	0.924	0.781	0
Gnl3	0	-0.86213156	0.434	0.795	0
Npm1	0	-1.099585715	0.895	0.963	0
Eif5a	0	-0.740520374	0.726	0.869	0
C1qbp	0	-0.668834428	0.376	0.692	0
Mybbp1a	0	-0.657765898	0.464	0.734	0
Nme1	0	-0.769099026	0.452	0.757	0
Rps2	0	-0.486438743	0.996	0.998	0
Rps18	0	-0.315987878	0.999	0.999	0
H2-K1	0	0.735105071	0.998	0.985	0
H2-D1	0	0.65424474	0.992	0.957	0
H2-Q6	0	0.590299921	0.817	0.591	0
H2-Q7	0	1.012962804	0.923	0.682	0
Malat1	0	0.475902872	0.999	0.997	0
Fau	0	0.398429089	1	1	0
Ppp1r14b	0	-0.81946402	0.357	0.736	0
Nolc1	0	-0.639252174	0.383	0.672	0
Nop58	9.41E-308	-0.640105891	0.473	0.734	1.22E-303
Nhp2	5.32E-304	-0.582078382	0.373	0.653	6.92E-300
Fbl	2.23E-302	-0.564568155	0.415	0.691	2.90E-298
Ptma	2.79E-302	-0.489436409	0.994	0.997	3.63E-298
Rplp0	3.49E-302	-0.366291997	0.995	0.999	4.53E-298
Serbp1	1.96E-297	-0.572825978	0.947	0.966	2.55E-293
Wdr43	9.90E-295	-0.584628284	0.454	0.721	1.29E-290
H2-Q4	3.99E-289	0.511060039	0.588	0.311	5.19E-285
Hspe1	1.88E-288	-0.5892294	0.626	0.818	2.45E-284
Mdn1	1.16E-286	-0.586296768	0.413	0.674	1.51E-282
Mettl1	2.69E-285	-0.565238892	0.235	0.552	3.50E-281
Btg1	2.38E-282	0.548890252	0.986	0.949	3.09E-278
Larp1	6.69E-270	-0.559158711	0.438	0.68	8.70E-266
Gabarap	5.31E-267	0.484250842	0.78	0.592	6.90E-263
H3f3b	2.76E-266	0.430243551	0.996	0.987	3.59E-262
Set	1.71E-265	-0.536316396	0.905	0.947	2.23E-261
