Gene,Rate01,Rate10,Eject,Decay,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD,Model,Condition,Expression,Variance,ThirdMoment
0610009B22Rik,8.249494558801382e-6,2.5088919127731804e-5,0.0011737113524147452,0.011152969120990008,0.0026710198336001717,0.050585902151577086,0.005016938753629004,0.006682962683457238,0.1771183408952334,0.013228966219992574,0.0016982002912725065,0.009970617963995159,0.0020251519613822084,0.0010430407032950588,0.008758741051576174,0.000971841393651685,2,xWTr1,0.05201842319154701,0.05581480973915551,0.06267437920639125
0610009O20Rik,3.800896498504589e-5,4.674920796761703e-5,0.0001288140517501834,0.0020624267306175994,0.0047534479908949495,0.11954568963337936,0.00319370981956017,0.021999835759733063,0.4778897542604301,0.010307293498785928,0.0015543016012947142,0.026186832913923545,0.0008446317203339585,0.0008457236597887159,0.023607216170545814,0.0006661623810239,2,xWTr1,0.05606717226435536,0.057799050742491455,0.060795254396838735
0610010F05Rik,4.752805492693283e-6,3.324837831898487e-5,0.00011947681958940906,0.000924700807497163,0.0002091103707278098,0.07485750017728816,0.006522424368325263,0.0006183386312508047,0.2579312222964565,0.019880804372950315,0.00014225701231174466,0.019975102934273896,0.0018586877048489038,5.125395069702221e-5,0.016374831788509004,0.001451425049044901,2,xWTr1,0.03223185265438786,0.03552665480339324,0.041764180944867293
0610010K14Rik,2.15061931352427e-5,1.750249768747943e-5,0.0003571746101598325,0.0031641525164974055,0.0061111576071759596,0.06888484795690353,0.003035518410210836,0.019516886229019995,0.2588803751589474,0.007367998129679421,0.002889622232919866,0.013053820944146805,0.0009538526179950746,0.0015161757901935797,0.01204840248300755,0.0005995531918259112,2,xWTr1,0.12432286023835319,0.12945173541457095,0.1358750207643296
0610012G03Rik,0.017866922935039588,3.5017380770771003,0.06453196367095049,0.0026891033228897527,0.02297119190050435,0.08125153215556104,0.002329616635120732,0.08313346016826884,0.3443265781870445,0.009484652433429252,0.008467770248144274,0.008578319694016835,0.000621063522464347,0.005192653645638413,0.008221280346176814,0.000264091583164424,2,xWTr1,0.24363143631436313,0.2482317991201593,0.2607473021585777
0610030E20Rik,1.3807300133511855e-5,9.707691232512686e-6,0.0021095346400720064,0.007678875202222458,0.0032581068456492756,0.015686473000121874,0.0040600915927077865,0.0032709589584934595,0.06100910206701366,0.006429615335208145,0.002188429512859103,0.002294346425132753,0.002600140373502759,0.0014856536085785684,0.0018805504232786213,0.0004569429232784638,2,xWTr1,0.32249322493224936,0.35345069439854293,0.3925254156221764
0610037L13Rik,3.332950529814588e-5,1.5180155496858352e-5,0.0003562732992337322,0.0023164359948747064,0.007662384046778055,0.08561253243827031,0.003737089185828752,0.02692064942760814,0.3624213299205293,0.016431683835722292,0.0037829182792252147,0.011731086008434694,0.0009139922618299931,0.001890459832816405,0.010934016954747865,0.0005455181767806855,2,xWTr1,0.21111111111111108,0.2202017464619091,0.2345989494462846
0610039K10Rik,5.774057791499808,0.0077069831632851004,7.3089686073338665e-6,0.004899336781911967,0.0022761539846701787,0.20850621815727208,0.0033093057711001063,0.03338407364935492,0.6914461740480209,0.00921879935501684,0.0003867274974350589,0.046467564755849206,0.0008430070527569046,0.00031187180276861745,0.040282841534028196,0.00071759410679032,2,xWTr1,0.002979414951245937,0.0029705380377942295,0.002952837106908131
0610040B10Rik,2.8236604782377483e-6,8.513960799571483e-6,0.0006341024919627695,0.00466347466018793,0.001190409424833758,0.05402341328962194,0.0059192031451143524,0.0010499844872004654,0.15364858231447712,0.015484940067504973,0.001016527426676596,0.01242317180338363,0.0018894181648751662,0.00043716940190424995,0.010808286512955265,0.001123349183637053,2,xWTr1,0.0677323218639935,0.07398182593714485,0.08490022045268747
1010001B22Rik,0.07057176979298051,0.7235611339874647,5.1826828369152915e-6,0.0016999302180200743,0.0004349993152334552,0.4125501970772533,0.0021475758861964757,0.001506166728042208,1.4235744124031928,0.009129630166353252,0.00010541127879579457,0.10116710361056391,0.00046097256636707697,9.010444805965579e-5,0.08482824306742107,0.00039144863978626213,2,xWTr1,0.0005417118093174431,0.0005414183576330892,0.0005408317721968671
1110002L01Rik,1.1161091524232075e-5,1.9133083053867923e-5,0.0008030034119868533,0.006573416887625785,0.0031066762109069825,0.057592614838460135,0.004819331018401847,0.007026516438867543,0.178061938259151,0.012080379472377677,0.0021483652639721724,0.010199561039866068,0.0016230384354300029,0.0012078178760071528,0.009283193288987347,0.0008360897056556096,2,xWTr1,0.08994852343538337,0.0959461095148883,0.10559510980301462
1110004E09Rik,0.000990495625200634,0.006006458714640831,0.0012626802027201828,0.002633275844695018,0.001269490054143888,0.06752803985771762,0.007905571432147021,0.0007337007889364073,0.2918427293660356,0.03315136527606015,0.0011937700832552142,0.014645276297477193,0.002146878296882676,0.0003806963642799724,0.01277889987147163,0.0014354714442625738,2,xWTr1,0.13577235772357726,0.15094256064511863,0.18235713567922912
1110004F10Rik,5.914217142184337e-6,2.601664870383965e-6,0.0016562549259868506,0.0031840187623768616,0.002424570619251381,0.01206828305259171,0.004004584109864698,0.0019019824173174718,0.04947721575696122,0.008114970208937828,0.0019298398765055802,0.0019047936706723216,0.0022875856236741886,0.001224443191967962,0.001638944021050219,0.0004996682304246767,2,xWTr1,0.721830985915493,0.8324269833518988,1.0003181858382066
1110006O24Rik,0.0642455224943208,8.68168084320443e-5,4.774605437720028e-6,0.003909908650841853,0.001400470582713327,0.22486719151349868,0.0034878132041284357,0.00804605637839933,0.82759424000241,0.010887825059910086,0.0002947111177864344,0.05173358422047334,0.000806067865282117,0.0002346242265532651,0.044477741318616294,0.0006905503761263633,2,xWTr1,0.0024390243902439024,0.002433075550267698,0.00242120688904688
1110008F13Rik,1.0448044009958295,2.5932880831994046e-5,0.0009489535424432249,0.004570356678927509,0.05974853646720906,0.021453846035829362,0.001346684473176652,0.1590202820250712,0.09724485264851013,0.0018584335417637205,0.024219784728626265,0.0021169339115608616,0.0010491468704130946,0.01767902404957099,0.001925687516425478,8.1368134503714e-5,2,xWTr1,0.41526344378055413,0.40305871658325176,0.3646124951975617
1110008L16Rik,8.018333311464922e-6,2.1438202136904092e-5,0.0007172220940568931,0.008377669643405371,0.0034923944407423435,0.06075129625120275,0.004045371578523903,0.011508606834061385,0.25087061217185785,0.009046037791986048,0.0017985985617762364,0.0133662720140857,0.0015394179716556118,0.0010438684188038058,0.012018909427955193,0.0009102164280746734,2,xWTr1,0.04659983744242753,0.049305019766974385,0.054236007609346944
1110032A03Rik,1.4398667345060004e-5,3.900723853368768e-5,0.00031946259499806326,0.004542459993891889,0.0028840127215653253,0.08286962278594298,0.0037074471169410935,0.00926141974713387,0.26249958350160907,0.00978208666395074,0.0013028274475272712,0.018564242197785262,0.0011125357380538975,0.0007138144403319347,0.016726271609335853,0.0007987025023858015,2,xWTr1,0.03793010024383636,0.039742559188800576,0.04310666707940198
1110032F04Rik,0.08203368071176706,6.269555764835762e-5,1.0929760937750312e-5,0.005758178456541741,0.002482614013459868,0.19596173547644216,0.0032650744166224746,0.01224170556312996,0.9801629441544613,0.010122429910481194,0.000510428930997166,0.035481006109414584,0.0007324320730849735,0.00040608363263769224,0.031479591056301354,0.0006252829764950155,2,xWTr1,0.003793010024383636,0.0037786230993385613,0.003749958388750244
1110034G24Rik,8.218841389273766e-6,2.1527132096166537e-5,0.0007821491800244758,0.0104964484391465,0.005077862765746958,0.05823840467029491,0.003554950514832635,0.023939856857214406,0.1870542808140707,0.00882486302521374,0.002039651442387932,0.010908228044286108,0.0014132379100333832,0.0013054166872318086,0.00976236295626742,0.0008046010201954161,2,xWTr1,0.041170097508125676,0.043267103244519205,0.0471323305599451
1110035H17Rik,1.5137666703973627e-5,8.654479420153901e-5,9.138557103863055e-5,0.00223397098686276,0.0015680985635646246,0.17811468799490154,0.0037729623800899243,0.0054045297121266215,0.5630709513994556,0.010946557793927737,0.00046765497013639474,0.03868188179120047,0.0010073905523982985,0.00031356281153524426,0.03378190728768035,0.0008281198653120488,2,xWTr1,0.01218851570964247,0.012581667603755712,0.013351784853008879
1110038F14Rik,2.0302590245912947e-5,8.023313271431256e-6,0.0010502453189729984,0.004699392871160168,0.008337512253644421,0.04331003719202342,0.0035631560329789985,0.01572772406566056,0.15780199825895194,0.008336438314555763,0.005099288426115644,0.005116555909265541,0.0015308424479879433,0.0032944331370789812,0.004708993912914802,0.0004874470092727153,2,xWTr1,0.3201409596096504,0.3369242414478187,0.35408957608376507
1110059E24Rik,4.2694501518115877e-5,1.1231326632886633e-5,0.0005252761426531169,0.008600570639028799,0.02272259796413091,0.04402375653446585,0.0015154465682022512,0.09232535801830735,0.22951427504614672,0.003878901847906765,0.007184800866098131,0.0035787901970980346,0.0006944130200799773,0.005417840636408129,0.0032850174966810404,0.00022917651905407304,2,xWTr1,0.0967479674796748,0.0976859012492564,0.09838396188443344
1110059G10Rik,1.072084055190105e-5,1.0993611393557917e-5,0.00121866003390439,0.008163976687572594,0.0064898357129153355,0.05681784015491132,0.005446324187618267,0.07237369643527691,0.22828932082670883,0.017099088140023765,0.003421623961760695,0.0076606524764055925,0.0019745945056879547,0.002127250326853324,0.006949343020676059,0.0007766825217806637,2,xWTr1,0.14734561213434452,0.15813759127814644,0.17825265824273345
1110065P20Rik,0.8496454572276676,5.027070713109587e-5,5.5033813794941584e-5,0.0015218779414600913,0.016346318807369423,0.15795255109893916,0.001222221064048299,0.04324708344542829,0.5748037022626903,0.004279034758976772,0.00628484551464246,0.023481002913440352,0.0002441215045372465,0.003977716686258809,0.02245865593797456,0.00017952192035766102,2,xWTr1,0.07231852654387866,0.06979711630898819,0.06492310618590084
1190002N15Rik,3.7469767089254365e-6,5.4203029387207195e-5,0.0013955092765989682,0.012565821088174845,0.001117246104660299,0.07023832057523717,0.0075891305403304535,0.004167198081127831,0.20543514021228634,0.021529490168124214,0.0005325275670601834,0.017254116501419836,0.0028783871864219383,0.00031302628266363257,0.014618399324034772,0.001781957144495805,2,xWTr1,0.014355362946912243,0.01577442192952699,0.018548468272373327
1190007I07Rik,8.244909201543566e-6,9.546826009408424e-6,0.0003866877115967225,0.0023359951159323275,0.0018567372373904573,0.05846577864848594,0.004886513641086975,0.0027573520068472535,0.22306590517371191,0.015615029661537926,0.0015313053926483615,0.012316091417834824,0.0014429409567958576,0.0005941652403544662,0.011143910872197228,0.0009349666396091208,2,xWTr1,0.15357529794149513,0.16520119340930994,0.1827247735667986
1300002E11Rik,1.2742193510556885e-5,1.6350376659359638e-5,0.0003204432419352392,0.003006677731735747,0.003345417872354665,0.08049615890949029,0.004221073545589965,0.009484431464909935,0.2671873590714885,0.014528330641632026,0.0018526666086063476,0.01700655900909687,0.0012152492546707821,0.000863739116407818,0.015443619694221755,0.0008341588672024364,2,xWTr1,0.09347060417231103,0.09828031470077288,0.10573440645039389
1300014J16Rik,0.9108688222191862,0.00019211614409311313,0.00011049882714952446,0.031372275288025844,0.008102223708702134,0.06800424803183662,0.002914660093688421,0.05203358759098107,0.26648614132838555,0.008923899499298112,0.001741667579739676,0.010484065542829296,0.0009342982929123589,0.0014174330121294533,0.00945985713068078,0.0007222348469944871,2,xWTr1,0.007042253521126761,0.006992660186470939,0.006894172014830503
1500002C15Rik,0.11295831649766873,8.310667370215063e-6,1.4030231937056857e-5,0.017266427316793724,0.0024109821223376703,0.14421060373152986,0.004217225888875818,0.012804902172140035,0.45868577251637294,0.013925364433708195,0.00041082785695646814,0.030735093157150742,0.0010457941649286955,0.000338143970723347,0.026922742051780763,0.0008987190173492228,2,xWTr1,0.0016251354279523294,0.0016224943627931435,0.0016172208166518878
1500011B03Rik,0.31137304289527107,8.274716631710055e-6,0.0001275375538110524,0.007908147348553139,0.018526850005872987,0.09605740225802264,0.0015362076998876677,0.06512948868662932,0.3848377536738437,0.005125452232260058,0.00531215301232381,0.008170136218669775,0.0003428188807919818,0.003881291499485781,0.007744517578825291,0.00019515708769913436,2,xWTr1,0.03224932249322493,0.03175130911200711,0.03076992423026072
1500011K16Rik,3.122249124753733e-5,9.126320983635151e-5,0.00022441406691145151,0.0008296569088202958,0.00028476669290076014,0.04612216306965992,0.008375615772599721,9.918647899415162e-5,0.138619494309236,0.024842091233812997,0.0002790727277957229,0.012985609977354911,0.0025283009503011397,5.341777593041102e-5,0.010858892214273465,0.0019244717628374235,2,xWTr1,0.13790300731509075,0.1616925953065887,0.20981187539927584
1500015A07Rik,7.43787526280857e-6,5.880157563830053e-6,0.0007675976441336347,0.008695174368734047,0.011032732448425762,0.04557739157875898,0.0024468891625046554,0.034375589399409504,0.17038725537800659,0.0065581871056704785,0.004532573114359669,0.005525721264748637,0.001054824133557231,0.003122219418198373,0.005031738688532688,0.0004463915250086432,2,xWTr1,0.0986449864498645,0.10192228317947137,0.1065471120401086
1600002K03Rik,5.120367264016894e-6,9.407292454140222e-6,0.0002742914046629474,0.0027164589466245784,0.002134512941406471,0.08980225676377515,0.004985839816615106,0.004205978255654586,0.3297236699996654,0.016731941023181738,0.0012619881167897605,0.01924383590868608,0.0013267115616756395,0.0005544649352672178,0.017108062526462325,0.0009624414595018223,2,xWTr1,0.07123510292524377,0.07536976379487023,0.08239400830853218
1600012H06Rik,1.7703024183680608e-5,2.0357572507708387e-5,0.0006588779911473183,0.007857120442377663,0.010287093025204919,0.05126703370011905,0.0026715585175876144,0.06301057367997646,0.2048874063028194,0.007037194547775007,0.003423952975760545,0.007912290016312148,0.0010560832398479832,0.0022213081394162415,0.007218738684730593,0.000530449724440754,2,xWTr1,0.07800650054171182,0.08113058717334426,0.08617299258226502
1600014C10Rik,2.267059585646871e-5,2.479240712276579e-5,0.0001698916704739641,0.004278005382544795,0.010562814245646143,0.09093007278488989,0.0022376131903599243,0.15187495358027142,0.38982247259933084,0.007432366939014944,0.002348448831763283,0.015376395025145338,0.0005611879495102067,0.001537264305494617,0.014413087132401914,0.0004241173841250678,2,xWTr1,0.03793010024383636,0.038658842038976675,0.039978832130316645
1700001L05Rik,3.881475811792863e-6,4.8635734866881354e-5,0.0004569725673402828,0.005422885641606358,0.001087239558827533,0.08805027503132361,0.00505352999690919,0.004682540365327388,0.22734246482035603,0.011536529607125756,0.0004011875655434262,0.02266298660581654,0.0017017212905232487,0.00023801560641372428,0.019459416708621932,0.0012536781348849156,2,xWTr1,0.012459371614301192,0.013387559291912824,0.015207306599249447
1700003F12Rik,0.04133669029493766,15.439978329554995,4.466000088167471e-6,4.4048451388280624e-5,0.00013912954689468092,1.454474848797584,0.0006816631537721055,0.0007415118486370445,6.3569842902959115,0.002303605190235842,2.9973798564385692e-5,0.30700058265080765,0.0001396363294123881,2.5468533645209033e-5,0.25899914251675626,0.0001180536069632761,2,xWTr1,0.0005417118093174431,0.0005414183576330892,0.0005408317721968671
1700008J07Rik,4.258412909045413e-6,1.3043959119850929e-5,0.00030135058319676576,0.001742410114755864,0.0005116110424368068,0.05074000187306758,0.006288799920009263,0.00029185900056875256,0.1651013471600148,0.01842184560390129,0.0004710984448673553,0.012293293380908673,0.0018022748560424916,0.0001435632872217159,0.010646941924496356,0.0012919181620860126,2,xWTr1,0.08534272554863181,0.0948569605668331,0.11082793479031725
1700010I14Rik,0.6069177906703841,0.002648498170346596,8.886529016767513e-6,0.008167881221691518,0.0015964803543865877,0.19417837226425816,0.003658854855670807,0.007033638765662544,0.8143771124706769,0.01786449208584484,0.0003731722710793254,0.036778899578353036,0.0008710681193253613,0.00029988157812077174,0.03234746700664799,0.0007463448025766095,2,xWTr1,0.0021668472372697724,0.0021621520103201086,0.00215278190409987
1700016K19Rik,0.8542809972372257,0.21712594001260682,4.75605851676405e-6,0.006997451861799267,0.0013549487109962234,0.2582381807972322,0.00408264872906589,0.012106619170667054,1.144771461947012,0.022357316925787726,0.00022762788149676547,0.05382984386519228,0.0008653062528878369,0.00018936338626343344,0.046228757512460736,0.0007304497673467377,2,xWTr1,0.001083717149823896,0.0010825427069630735,0.0010801963667691683
1700017B05Rik,1.6390301106934827e-5,1.2842369227713272e-5,0.0031934485195185365,0.022804402746964277,0.008839468864039083,0.02242757219046237,0.0046505988212168755,0.01834296533733627,0.13908416240377938,0.009467834710272672,0.003930570697999073,0.002920075925513994,0.003499192406196985,0.0030585535633520363,0.002502268214825758,0.0007533609272944153,2,xWTr1,0.15709642470205853,0.165461558416253,0.17762267120701555
1700018L02Rik,0.16255101225258647,0.0006148429784364854,1.8246905871837976e-6,0.004474414453976531,0.0008917487639156294,0.3243506134039068,0.003234555054912944,0.004574589816959382,1.315970573482652,0.013061710542908613,0.0001940043058945476,0.07911450004971615,0.0007283180335925232,0.0001637471279856641,0.0671062025386264,0.00060948345474396,2,xWTr1,0.0008125677139761647,0.0008119074476863683,0.0008105879881289147
1700020D05Rik,0.01998727418317512,9.492161869931518e-5,3.3002344074299837e-6,0.0026945648894770567,0.0012297137299930251,0.31185445997758743,0.0030155505057544133,0.006753751119546573,2.655198217221133,0.010577346364574256,0.00025872681157948453,0.058229595821970924,0.0007190485799305753,0.00021060088209561272,0.05045559216407247,0.0006106448557455572,2,xWTr1,0.002437703141928494,0.002431760745320326,0.0024199049237017545
1700020I14Rik,1.4057287612233896e-5,6.0518589891536685e-6,0.0019512304357347501,0.006017925505556761,0.005140179162980069,0.031966856072514024,0.005298813474145505,0.008209046865860487,0.163468411457004,0.015581558784245332,0.0035491170193723757,0.0029996392201439084,0.002543455143157889,0.0024699776826142975,0.0026429584083633205,0.0005310737725901795,2,xWTr1,0.45309110629067245,0.4934611608970408,0.5532096039509293
1700021F05Rik,1.7044045011640416,0.00022709835075236854,0.00021253250431775304,0.008006009129297718,0.024541565135926032,0.0730831286974642,0.0010915742548989018,0.09411885304432037,0.5958294314864151,0.00354218584538534,0.007038346583777144,0.004534291940636169,0.00038228351076235865,0.005429941043880833,0.00425367020487082,0.00014867687794503363,2,xWTr1,0.05308775731310943,0.0524362945738436,0.05108750542664653
1700022I11Rik,0.2928588065070073,0.9875715666652806,1.9106450744389543e-6,0.0010760786073257755,0.0005937087511618268,0.5332142057698094,0.0019436064713759264,0.00329323145141495,1.7575411464585613,0.0054448702410249536,0.0001127581503689231,0.11408935574739174,0.00047991557141940667,9.707957061215412e-5,0.09642071857532994,0.00041760695373223885,2,xWTr1,0.0008125677139761647,0.0008119074476863683,0.0008105879881289147
1700022N22Rik,1.2519938599626974,0.02147341749376444,1.2090476940924826e-5,0.010974757996774389,0.002002276567954019,0.14842971961305018,0.0036248147200871636,0.014215472839226247,0.5358111377316459,0.010265861695872732,0.0004231902564704116,0.03325291988922509,0.0009461464977721453,0.0003451524628072899,0.028727899866582474,0.0008006829431859232,2,xWTr1,0.0021668472372697724,0.0021621520103201086,0.00215278190409987
1700028J19Rik,0.07381212773233152,2.4668756558880693e-5,1.47374237929153e-5,0.0077683914382691574,0.0025286665512978166,0.15694891685394616,0.0038075814781346204,0.011194843518143361,0.5254400425239898,0.018367906762357392,0.0005697748341708156,0.031128842940699716,0.0007897612024297524,0.0004492108776587879,0.027543376147980737,0.0006700281231997774,2,xWTr1,0.003791982665222102,0.003777603532688757,0.0037489543184646822
1700029I15Rik,0.6727513078634287,0.003634008129512697,7.315721980402079e-6,0.006714939010741325,0.0016369008214096304,0.1844632344272509,0.003174663049819042,0.012365340246193962,0.6408174349821238,0.009258999435869972,0.0003525558286555427,0.040786308174816835,0.0007971559370857134,0.00028284420052243967,0.035705507187828195,0.0006660375331059389,2,xWTr1,0.0021668472372697724,0.0021621520103201086,0.00215278190409987
1700030K09Rik,9.06424287713966e-6,2.172897759830677e-5,0.0006002045625445956,0.00781834955726636,0.004669313334952008,0.07079355296596003,0.003945836790338263,0.02339381184800964,0.26419171937117125,0.013112096066114376,0.0018655497215471929,0.011137700357189513,0.0012008950174754365,0.0011223671745204155,0.009987054446770713,0.0007101934250147272,2,xWTr1,0.04524519100514766,0.047532932295350945,0.05170526433470895
1700037C18Rik,2.627571287290698e-6,1.3406516498435132e-5,0.00027020995697127825,0.0028458574987400816,0.0009640624631949896,0.08388563045794356,0.00551292583693153,0.0030085597457509767,0.23177760786564866,0.016283057573094617,0.000508889343391485,0.02150194083044109,0.0016180689759801936,0.00023333331358472623,0.018523284716429222,0.001197967371551716,2,xWTr1,0.031148429035752982,0.033428475260262304,0.03774528716213409
1700037H04Rik,2.001428676866785,0.001200290771427885,2.6086538583721974e-5,0.0007103475292339911,0.009412738035840343,0.21562308945749054,0.0018957865563133313,0.04820875050582233,0.6718272727894687,0.004656802916934132,0.0026974379585627158,0.048663805896598945,0.00045847083834232904,0.0016961505046154506,0.044542193703084786,0.0004023716644052267,2,xWTr1,0.07340195016251354,0.07234779834939296,0.0700761466950129
1700041G16Rik,0.42285799081947734,0.0006241426996331963,1.6253921234092206e-5,0.008559264476775099,0.003467498892795411,0.1890539681755215,0.004035221193186458,0.02611277567626158,1.0372238219853294,0.025682458551958453,0.0005890044322853327,0.032855814024684876,0.0008936100324361406,0.000466911419427791,0.0291937681404756,0.0007523127542506925,2,xWTr1,0.003791982665222102,0.003777603532688757,0.0037489543184646822
