gname	FC	catO
LOC100288069	0.822068994734487	others
LINC01128	0.761697836168746	others
NOC2L	1.31868318731206	others
PLEKHN1	0.511734884112587	down
PLEKHN1	0.502683018408761	down
HES4	0.651164451365155	others
none	0.954408323365302	others
ISG15	0.778218936825073	others
none	2.89430620690398	others
RNF223	1.09800436866929	others
none	1.8069538839133	others
C1orf159	0.862426974064735	down
none	0.685246077701971	others
SDF4	1.49848734441041	others
UBE2J2	1.66874206952341	others
UBE2J2	0.882221678040252	others
CPTP	1.53334717544443	others
AURKAIP1	1.27346490532088	others
LOC148413	1.15982259793273	others
MRPL20	1.36124545419051	others
ATAD3B	0.995625767663316	others
ATAD3A	0.449859598498393	others
SSU72	1.16603568275119	others
MIB2	0.423616317629536	others
SLC35E2B	1.48832817440378	others
SLC35E2B	1.11432678329437	others
none	1.05902954383967	others
none	0.659838806693894	others
PRKCZ	1.09810812479316	others
MORN1	0.657929351985955	others
PANK4	1.02639069080494	others
none	0.595074667434201	others
LRRC47	0.771840746583704	others
LINC01134	0.559640890343158	others
KCNAB2	0.928546665408344	others
RPL22	0.816534283377048	others
RNF207	1.28682833694854	others
ACOT7	1.5053638343468	others
none	0.508151724695297	others
HES2	1.27817593596049	others
ESPN	1.97609122790752	others
NOL9	1.20275978587804	others
ZBTB48	1.16861468023033	others
KLHL21	1.21427911981549	others
PHF13	0.629305731464712	others
DNAJC11	1.27161422818391	others
none	0.743366418745711	others
none	1.22432744948203	others
none	0.597237788726219	others
PARK7	0.872780021125859	others
ERRFI1	0.764472253696649	others
none	0.491736929881863	others
none	0.353849348179484	others
SLC45A1	0.465307605999951	others
RERE	0.863587402909438	others
RERE	0.983602037476582	others
ENO1-AS1	0.920661301821457	others
none	0.590254593301183	others
none	2.27369473953666	others
SLC25A33	1.05695632550287	others
NMNAT1	1.05580149329862	others
none	0.686898174022899	others
PGD	0.684936457587188	others
DFFA	0.788864886713241	others
PEX14	1.00040419920213	others
TARDBP	0.911087631333506	others
