gname	FC	catO
LOC100288069	0.795755125289848	others
none	0.524693742792687	others
LINC01128	0.946861122051171	others
none	0.793163461221015	others
NOC2L	1.38050442197197	others
none	0.979661093873259	others
PLEKHN1	0.817149697125441	down
HES4	0.810650312130116	others
none	1.18809962448459	others
ISG15	0.920999792169154	others
none	0.672655101931623	others
none	0.925051737144829	others
none	1.37911242584867	others
RNF223	0.782258591355781	others
none	0.932344323714913	others
none	1.23953250866141	others
C1orf159	1.08655264803292	others
none	0.973314725671962	others
none	1.04356195727235	others
none	0.447031448246717	others
SDF4	1.43114124711716	others
UBE2J2	2.04549110607141	others
UBE2J2	2.37387420078037	others
ACAP3	0.990904666063912	others
CPTP	1.30671189980751	others
AURKAIP1	1.40984007216082	others
LOC148413	1.24581438764484	others
MRPL20	1.32888422707679	others
ATAD3B	1.25788521182583	down
ATAD3A	1.1716211276124	others
SSU72	1.43234918017893	others
MIB2	1.15843421563354	others
MIB2	0.772956660854367	others
CDK11B	1.41935989202417	others
SLC35E2B	1.62622746865461	others
SLC35E2B	1.19985135172974	others
CDK11A	1.70627391553706	others
none	0.832381174040102	others
NADK	0.766600866352585	others
none	1.88289472652236	others
none	0.421583737720339	others
TMEM52	1.07783515817512	others
none	1.18809962448459	others
PRKCZ	0.990266199501033	others
none	0.812301689732774	others
none	2.56276034702874	others
RER1	1.78132551188328	others
none	1.03147632182184	others
none	0.43113864489607	others
PANK4	1.13185082585039	others
none	0.66554481163651	others
none	0.945010187249892	others
none	0.637324964127496	others
WRAP73	0.929348345105006	others
LRRC47	1.26076626818395	others
DFFB	0.813810813890885	down
LINC01134	0.98123897828364	others
none	1.07829374421799	others
KCNAB2	1.11631112753688	others
RPL22	0.897041411725014	others
RNF207	1.1659128901338	others
RNF207	1.12218563699585	others
LINC00337	0.849333947442141	others
none	1.68883126698767	others
ACOT7	0.979049837185249	others
ACOT7	0.761397177980585	others
none	0.427039366807629	others
HES2	0.82423422683951	others
ESPN	1.85106270422636	others
PLEKHG5	0.697318368243108	others
PLEKHG5	1.16692137805884	others
NOL9	1.44663762387787	down
ZBTB48	0.656419930222984	others
KLHL21	0.91470391865316	others
PHF13	0.808608343936687	others
DNAJC11	1.26858054739633	others
none	0.867424962005619	others
none	0.679519523635063	others
CAMTA1	0.758818144862103	others
none	1.46376079025828	others
none	0.935581107059598	others
PARK7	0.883458695129567	others
ERRFI1	0.944127210313016	others
none	0.543793971293381	others
none	0.503973161249702	others
none	0.881361339333664	others
none	0.935849173426291	others
none	0.809723947897141	others
none	1.18809962448459	others
none	0.673399426151916	others
none	0.503973161249702	others
none	0.997086823120509	others
none	0.723594992844221	others
none	0.792466046200115	others
none	0.903335400240614	others
RERE	1.30071570263479	others
RERE	1.38024511631498	others
RERE	0.756390449804346	others
ENO1-AS1	0.949515209399029	others
none	1.10025492027131	others
none	0.140229657364589	others
none	1.09705750766585	others
none	0.915867304635421	others
SPSB1	1.54812981372235	others
none	0.930377363208107	others
SLC25A33	0.895803045378396	others
NMNAT1	0.693254481402948	others
NMNAT1	0.596737820442487	others
UBE4B	1.09851624092308	others
none	0.762693109323867	others
none	1.11829353608949	others
KIF1B	1.00551570853745	others
PGD	0.774127629890657	others
DFFA	1.0241068157742	others
PEX14	1.43796284729944	others
CASZ1	1.18809962448459	down
TARDBP	1.80987736289944	down
none	1.33903787078935	others
EXOSC10	1.50048339954627	others
MTOR	1.46067308759172	others
UBIAD1	0.874459245928005	others
PTCHD2	1.14014403923799	others
FBXO44	0.806074021756427	others
MTHFR	0.793007112779501	others
CLCN6	1.0185325991062	others
none	0.640092791413315	others
none	0.705046455676148	others
PLOD1	0.762718410056302	others
MFN2	1.3755298895216	others
MIIP	0.865996705375678	others
none	0.761792426931617	others
VPS13D	0.909366574752135	others
none	1.46683267421705	others
none	1.77946142852669	others
none	0.931905635377401	others
none	1.74793714387524	others
none	0.497917270012214	others
PRDM2	1.20692846163966	others
TMEM51	0.872325637910613	others
FHAD1	0.837184123581969	others
DNAJC16	1.04252662619713	others
DDI2	0.930377363208107	others
none	0.595338423548678	others
none	1.01018121150021	others
none	0.768429842388937	others
none	0.985812514753956	others
none	0.770343075790993	others
FLJ37453	0.946124140882841	others
FLJ37453	1.0374829681368	others
FLJ37453	0.979661093873259	others
SPEN	1.13334848971572	others
SPEN	1.18809962448459	others
ZBTB17	1.42544032502793	others
EPHA2	0.888282302125787	others
none	0.809723947897141	others
ARHGEF19	0.717565119738218	down
FBXO42	1.08919434877307	others
SZRD1	1.06021601549342	others
SZRD1	0.272104449144997	others
NECAP2	1.17623049736686	others
none	0.694941703563972	others
none	0.946168934567328	others
none	1.11794612493679	others
none	0.656907542002657	others
NBPF1	0.675638946500318	others
none	1.12976412737405	others
none	0.889854625184488	others
none	0.991894821512353	others
none	0.813895018347711	others
none	1.00821945348632	others
none	0.802826301908518	others
none	0.894576977222816	others
none	0.841354682082177	others
none	1.94915988216155	others
none	0.901119038860293	others
none	0.772883937203035	others
none	0.836621221214478	others
SDHB	1.68883126698767	others
none	1.35722412619058	others
RCC2	1.22399387295845	others
RCC2	0.841859101112728	others
none	0.858986155098277	others
ARHGEF10L	0.377322977854686	others
none	1.31516910303909	others
ALDH4A1	0.713359501136384	others
IFFO2	1.02989727768238	others
none	1.04304861594596	others
none	1.18809962448459	others
none	0.817590386079832	others
none	0.634882504436333	others
none	0.73230692966953	others
UBR4	0.813679297014427	others
MRTO4	0.96545744613143	others
PQLC2	1.2177280440478	others
CAPZB	1.7012323526673	others
none	1.86379609338578	others
