gname	FC	catO
none	0.854214775560413	others
none	0.854214775560413	others
LOC100288069	0.390687377969491	others
LINC01128	0.532660932059767	others
none	0.481660044786401	others
NOC2L	0.510135268767252	others
KLHL17	0.451705195453412	others
PLEKHN1	0.612752999592906	others
HES4	0.530486616070232	others
ISG15	0.640903480868823	others
AGRN	0.480962376751244	others
none	0.477646777053503	others
none	0.484424829430364	others
none	0.49420088547748	others
RNF223	0.71940970840201	others
none	0.679885229527676	others
none	0.406870379381643	others
C1orf159	0.579023953716493	others
none	3.45399887509211	others
none	0.693042176398071	others
none	0.577918891282113	others
none	0.687448333477035	others
SDF4	0.642600875751888	others
UBE2J2	1.23669900342328	others
UBE2J2	0.538423730990944	others
none	0.489425547563084	others
PUSL1	0.264668601531934	others
CPTP	0.304993237238397	others
DVL1	0.912923694842916	others
none	0.322545828116173	others
AURKAIP1	0.629569206708234	others
CCNL2	0.27281204873919	others
LOC148413	0.49189506486261	others
MRPL20	0.474755410344278	others
none	0.854214775560413	others
none	0.519824649896195	others
none	0.409504263338072	others
VWA1	0.470776721692896	down
ATAD3B	0.368776497973377	others
ATAD3A	0.421841300584993	others
SSU72	0.400922030157412	others
MIB2	0.526031272326446	others
MIB2	0.427571130872259	others
CDK11B	0.546602806522037	others
SLC35E2B	0.648950596590258	others
SLC35E2B	0.543043705732296	others
CDK11A	0.399643719829816	others
none	0.64114533040929	others
NADK	0.369605207714963	others
GNB1	0.344235805076584	others
GNB1	0.466815784376552	others
none	0.457247496040084	others
TMEM52	0.492368879710314	others
none	0.33743003589753	others
PRKCZ	0.800909641360075	others
C1orf86	0.651313403693332	others
none	0.62971680563652	others
RER1	0.528692719170768	others
PEX10	0.304744608203393	others
none	0.654398453791895	others
PANK4	0.466170510466343	others
none	0.572347388574392	others
none	0.588930683771465	others
PRDM16	0.815562523272612	others
MEGF6	0.480106114731035	others
WRAP73	0.390103957708206	others
TP73	0.494346023107024	others
LRRC47	0.569827612303556	others
DFFB	0.645445380311432	others
LINC01134	0.507277929284505	others
LINC01134	0.482817047055886	others
none	1.69788368969415	others
KCNAB2	0.477933447733012	others
KCNAB2	0.618974906215033	others
KCNAB2	0.496097607014741	others
CHD5	0.315009435505667	others
RPL22	0.465768760076055	others
none	0.558382818656374	others
RNF207	0.622914789647696	others
RNF207	0.735298565505599	others
LINC00337	0.351735495818994	others
ACOT7	0.456664394380941	others
HES2	0.977688659018555	others
none	0.634481071236191	others
ESPN	0.52126869982432	others
ESPN	0.347816000657204	others
PLEKHG5	0.695089245820116	others
PLEKHG5	1.06143668876914	others
NOL9	0.433509425712672	others
ZBTB48	0.450739510450906	others
KLHL21	0.528741137136963	others
KLHL21	0.51642025817651	others
none	0.411792780250239	others
PHF13	0.521133465837425	others
THAP3	0.469680792993025	others
DNAJC11	0.41941892456132	others
CAMTA1	0.509858346087273	others
