pos	Md	Mn	gt
1	0.666197119733364	1.2633081042777	DDMSO
2	0.666197119733364	1.20810928985908	DDMSO
3	0.666197119733364	1.15072004629685	DDMSO
4	0.546161602664289	1.13013001234705	DDMSO
5	0.666197119733364	1.11830169497163	DDMSO
6	0.666197119733364	1.14020598640759	DDMSO
7	0.666197119733364	1.18708117008055	DDMSO
8	0.666197119733364	1.1835764834508	DDMSO
9	0.726214878267901	1.1699958227605	DDMSO
10	0.606179361198826	1.16123410618612	DDMSO
11	0.666197119733364	1.16692922195947	DDMSO
12	0.666197119733364	1.19540480082622	DDMSO
13	0.666197119733364	1.18182414013592	DDMSO
14	0.666197119733364	1.15510090458405	DDMSO
15	0.666197119733364	1.16868156527434	DDMSO
16	0.666197119733364	1.24403232781405	DDMSO
17	0.666197119733364	1.28083153742647	DDMSO
18	0.786232636802438	1.30492625800603	DDMSO
19	0.726214878267901	1.31193563126554	DDMSO
20	0.786232636802438	1.35442995665131	DDMSO
21	0.726214878267901	1.31193563126554	DDMSO
22	0.786232636802438	1.35092527002155	DDMSO
23	0.726214878267901	1.37063913231392	DDMSO
24	0.846250395336975	1.38816256546269	DDMSO
25	0.846250395336975	1.44905649565466	DDMSO
26	0.846250395336975	1.48497953360964	DDMSO
27	0.846250395336975	1.55288283706113	DDMSO
28	0.906268153871513	1.66415663755582	DDMSO
29	1.02630367094059	1.72899334020626	DDMSO
30	1.02630367094059	1.82800073749682	DDMSO
31	1.08632142947512	1.96599777354338	DDMSO
32	1.14633918800966	2.09567117884428	DDMSO
33	1.2063569465442	2.23016352826109	DDMSO
34	1.32639246361327	2.34275158624193	DDMSO
35	1.26637470507874	2.49564354046495	DDMSO
36	1.44642798068235	2.78302784410478	DDMSO
37	1.56646349775142	3.07216449105949	DDMSO
38	1.92657004895865	3.45548959118883	DDMSO
39	1.98658780749318	3.8370623480033	DDMSO
40	2.22665884163133	4.27909094918102	DDMSO
41	2.58676539283856	4.94454332300556	DDMSO
42	3.12692521964939	5.82816243953229	DDMSO
