"","Gene"
"1","ENSMUSG00000000028"
"2","ENSMUSG00000000058"
"3","ENSMUSG00000000078"
"4","ENSMUSG00000000085"
"5","ENSMUSG00000000088"
"6","ENSMUSG00000000127"
"7","ENSMUSG00000000131"
"8","ENSMUSG00000000148"
"9","ENSMUSG00000000149"
"10","ENSMUSG00000000168"
"11","ENSMUSG00000000184"
"12","ENSMUSG00000000194"
"13","ENSMUSG00000000248"
"14","ENSMUSG00000000253"
"15","ENSMUSG00000000275"
"16","ENSMUSG00000000282"
"17","ENSMUSG00000000295"
"18","ENSMUSG00000000326"
"19","ENSMUSG00000000339"
"20","ENSMUSG00000000340"
"21","ENSMUSG00000000346"
"22","ENSMUSG00000000359"
"23","ENSMUSG00000000378"
"24","ENSMUSG00000000384"
"25","ENSMUSG00000000420"
"26","ENSMUSG00000000440"
"27","ENSMUSG00000000441"
"28","ENSMUSG00000000530"
"29","ENSMUSG00000000538"
"30","ENSMUSG00000000552"
"31","ENSMUSG00000000555"
"32","ENSMUSG00000000561"
"33","ENSMUSG00000000563"
"34","ENSMUSG00000000567"
"35","ENSMUSG00000000568"
"36","ENSMUSG00000000581"
"37","ENSMUSG00000000600"
"38","ENSMUSG00000000605"
"39","ENSMUSG00000000628"
"40","ENSMUSG00000000631"
"41","ENSMUSG00000000690"
"42","ENSMUSG00000000693"
"43","ENSMUSG00000000711"
"44","ENSMUSG00000000730"
"45","ENSMUSG00000000738"
"46","ENSMUSG00000000743"
"47","ENSMUSG00000000751"
"48","ENSMUSG00000000759"
"49","ENSMUSG00000000776"
"50","ENSMUSG00000000826"
"51","ENSMUSG00000000827"
"52","ENSMUSG00000000876"
"53","ENSMUSG00000000884"
"54","ENSMUSG00000000901"
"55","ENSMUSG00000000902"
"56","ENSMUSG00000000915"
"57","ENSMUSG00000000916"
"58","ENSMUSG00000000934"
"59","ENSMUSG00000000938"
"60","ENSMUSG00000000957"
"61","ENSMUSG00000000958"
"62","ENSMUSG00000000959"
"63","ENSMUSG00000000976"
"64","ENSMUSG00000001016"
"65","ENSMUSG00000001017"
"66","ENSMUSG00000001018"
"67","ENSMUSG00000001021"
"68","ENSMUSG00000001023"
"69","ENSMUSG00000001034"
"70","ENSMUSG00000001039"
"71","ENSMUSG00000001052"
"72","ENSMUSG00000001054"
"73","ENSMUSG00000001056"
"74","ENSMUSG00000001082"
"75","ENSMUSG00000001089"
"76","ENSMUSG00000001098"
"77","ENSMUSG00000001100"
"78","ENSMUSG00000001105"
"79","ENSMUSG00000001119"
"80","ENSMUSG00000001123"
"81","ENSMUSG00000001150"
"82","ENSMUSG00000001175"
"83","ENSMUSG00000001211"
