Gene,Total_specific,B_enhancer,ES_enhancer,Type
Myc,14,10,4,> B cells
Btg1,14,10,4,> B cells
Tsc22d1,12,1,11,> ES cells
RP23-85E24.1,11,3,8,> ES cells
Tgif1,11,3,8,> ES cells
0610040F04Rik,10,9,1,> B cells
6430527G18Rik,10,0,10,> ES cells
Bhlhe40,10,9,1,> B cells
Med13l,10,5,5,Same
Mknk2,10,4,6,> ES cells
Swap70,10,8,2,> B cells
Dusp1,9,4,5,Same
Etv5,9,0,9,> ES cells
Irf2bp2,9,7,2,Same
Obfc2a,9,8,1,> B cells
Pvt1,9,9,0,> B cells
Zfp36l1,9,9,0,> B cells
Bcar3,8,7,1,> B cells
Bcl2l11,8,7,1,> B cells
Calm1,8,2,6,> ES cells
Cldn25,8,8,0,> B cells
Gm16998,8,8,0,> B cells
Man1a,8,8,0,> B cells
Myh9,8,1,7,> ES cells
Plekha2,8,8,0,> B cells
Sik1,8,6,2,> B cells
Atp6v1a,7,6,1,> B cells
Ddx6,7,6,1,> B cells
Hvcn1,7,7,0,> B cells
Ing1,7,4,3,> ES cells
Jarid2,7,2,5,> ES cells
Naa50,7,6,1,> B cells
Nfil3,7,7,0,> B cells
Pim3,7,1,6,> ES cells
Slc38a2,7,5,2,> B cells
Slc9a3r1,7,2,5,> ES cells
SNORA71,7,0,7,> ES cells
Stt3b,7,6,1,Same
Tfrc,7,4,3,Same
Tob1,7,1,6,> ES cells
5S_rRNA,6,1,5,> ES cells
A330009N23Rik,6,0,6,> ES cells
Acvr1b,6,1,5,> ES cells
AL596123.1,6,0,6,> ES cells
Arf6,6,6,0,> B cells
Arl15,6,0,6,> ES cells
Azin1,6,4,2,> B cells
B4galnt4,6,0,6,> ES cells
C130036L24Rik,6,2,4,> ES cells
Cisd3,6,0,6,> ES cells
Cradd,6,3,3,> ES cells
Ddit4,6,2,4,> ES cells
Fam43a,6,3,3,> B cells
Fbxo11,6,4,2,> ES cells
Fmnl3,6,5,1,> B cells
Fnbp1,6,5,1,Same
Fth1,6,5,1,> B cells
Gadd45g,6,2,4,> ES cells
Gimap8,6,5,1,Same
