Gene,Rate01,Rate10,Eject,Decay,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD,Model,Condition,Expression,Variance,ThirdMoment
A1CF,3.7247336081237126e-6,5.495600018956278e-5,4.251377109733312e-5,0.0004900874891445734,0.00017301477596988292,0.13483058619965402,0.004776088287667139,0.0011041828232790376,0.4737669039160809,0.012892056300493731,5.598789802720156e-5,0.03455151067370378,0.0013900925740315774,2.840516448722249e-5,0.02800942897719867,0.0011160580377557589,2,HCTDMSOr2,0.010953226761397278,0.01172135305205101,0.013231051155622363
A2M-AS1,4.1587954119417784e-5,0.00012721440787760268,0.00012726025013076815,0.005725557125644253,0.004770309893896369,0.16439115652399114,0.0027602032600739976,0.02524749021436235,1.187579438043269,0.01425491094835239,0.0012261251235335248,0.029721602944926734,0.0007023420706150129,0.0008359387241493121,0.02674338168166674,0.0005589355303403879,2,HCTDMSOr2,0.01095160574219328,0.011127657418244443,0.011472663114650457
A3GALT2,1.8265040372224784e-6,1.536059821285354e-5,6.276649982676075e-5,0.000347607027578168,4.521165376534837e-5,0.056327119596591674,0.00829898362349195,3.728657022423336e-5,0.24349962606907166,0.03712351766912606,4.2308340418403904e-5,0.015843553860408352,0.0023705351117671403,8.50537265244985e-6,0.012748919171258515,0.001857558601200582,2,HCTDMSOr2,0.03820524211461573,0.04355738894334801,0.0535924764848792
A4GALT,0.007823910185724555,5.198600382667807,0.7064609783822978,0.005606544849616968,0.005236241657106076,0.06779742977763079,0.011404952283384902,0.002199852513976423,0.16442061350740975,0.02197274643673933,0.005423232619591108,0.023987413815042404,0.005631227088018478,0.0014624387318751017,0.01966391312883487,0.0029335367845187135,2,HCTDMSOr2,0.37844240450103644,0.43036736957289756,0.5516547426275292
AAAS,0.00019335664839101823,0.00021007783632105457,0.0002084452525678674,0.0003459568149959991,0.0005890206795054978,0.051763540827913276,0.007808724738503641,0.00015556350795794977,0.15161733934036278,0.022286295694525903,0.0005983477317062344,0.011602424899854238,0.0019325703445036975,8.664810072033793e-5,0.010197112441119689,0.001511769134476081,2,HCTDMSOr2,0.5775337587179107,0.6594804290057711,0.7994878212314616
AACS,0.0002536260204773667,0.001180591693926096,0.0007907456013505754,0.00040827443594238687,0.0003283003513822979,0.026795981840510893,0.010210939040955585,6.455219225904344e-5,0.08807274882437777,0.03243101816607923,0.0003371549083613014,0.0061400495519222074,0.002638294300683074,3.57432235451046e-5,0.004828893768544326,0.0017970388091801438,2,HCTDMSOr2,0.6849518161601188,0.9232798531267981,1.4499372423621273
AADAC,0.0004689357376672598,0.002815703976239349,0.0022757117727753035,0.00486337135621963,0.0007308226146449984,0.02509889931912323,0.007920399691661422,0.00036233991609950516,0.0896940355917237,0.022436462012421828,0.0007411920013686605,0.007042362929009731,0.0033835103137357992,0.0002781439833165236,0.0055214731897617365,0.0014783016828314151,2,HCTDMSOr2,0.13360023724792408,0.16498015810196032,0.23146154545871545
AAED1,0.0013928079009807482,0.0008916896156354303,0.0026656801792358004,0.0028513652502352173,0.002354586951975292,0.007097112321444588,0.004186978137338634,0.0016325358512287445,0.032373349884814516,0.007167960984865255,0.001984204874183447,0.0016063303261533136,0.0029432113900050034,0.0009688880457061292,0.001194566105293082,0.00048486243208061084,2,HCTDMSOr2,1.1398933017190278,1.3695822055686482,1.759464876344432
AAMDC,0.0006775412640752367,0.0009800862966809552,0.0005320088938278536,0.0004116033119857073,0.0012033739198499633,0.04523140432037395,0.007316432785814354,0.0002990170475103645,0.11274072838809808,0.01704590646798062,0.0012244090560032462,0.013777597865904111,0.0025632946400739286,0.0001734466109871032,0.011161707711849295,0.0017409953033012747,2,HCTDMSOr2,1.0564695420186752,1.2164643700149522,1.5300676283943864
AANAT,2.9658527754787512e-6,4.07611350524475e-5,0.00029773403217276664,0.0016573276277883672,0.00010532787720708254,0.04815957150261713,0.007975835913106275,5.5831177994448934e-5,0.12682251584202486,0.02031007989393568,0.00010129077816269265,0.012308135470311907,0.0022674981469912605,2.5882540024308142e-5,0.010527469696591806,0.001701283317244969,2,HCTDMSOr2,0.03657092093574179,0.04204426747540299,0.05234155345469035
