Gene,Rate01,Rate10,Eject,Decay,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD,Model,Condition,Expression,Variance,ThirdMoment
A1BG,0.11032348743805388,0.002750705845014572,6.4009733853940335e-6,0.0016826032643450575,0.001940447126911106,0.27140235778129146,0.002461609480262098,0.005337556464271789,0.9986688813816672,0.00784604754410128,0.0006172868672690609,0.06641462047729349,0.0006041023846295602,0.0004624662925254664,0.05671534221710229,0.0005124731897011253,2,HCTJQ1r2,0.007425742574257425,0.007370600921478286,0.007261136551357321
A1CF,1.5956901853862069,0.00031928055466884066,6.826602949851156e-6,0.0015922059568068746,0.0025731869148079107,0.24690484251992753,0.0024063237439545322,0.017269271201229622,0.7982249981582699,0.007172014036158067,0.0006552281975527709,0.06268458618554903,0.0005921461271242468,0.00047542867054329837,0.05387890672211227,0.0005079480172160488,2,HCTJQ1r2,0.008573061535530578,0.008499564151438585,0.008353829578447639
A2M-AS1,0.2464381728672365,0.0003124946077677964,1.673808695954872e-5,0.005666095782672598,0.003865072103636127,0.1708691343813341,0.0026803376772864943,0.03275783000064243,0.4963619740576283,0.00782096744116514,0.000876434646453453,0.03939204211320643,0.0006883835265346051,0.0006383138597843394,0.03515894574083024,0.0005825802102860801,2,HCTJQ1r2,0.0059002664636467455,0.005865453319304711,0.005796237844276754
A2M,0.564817514450203,0.0028073930123552987,1.9955261927904214e-6,0.0006321653597231779,0.001376150223388805,0.3232326835018942,0.002090202213769248,0.0177645382958186,1.3624328084568342,0.009528182125098303,0.00029203980721765596,0.08054014855019402,0.0004983522058927153,0.00022232341306328002,0.06776690954407875,0.00042190034640859263,2,HCTJQ1r2,0.006282124500285551,0.006242659412048463,0.0061642250847697274
A3GALT2,4.13707089183042e-6,1.6436652827219986e-5,0.0024460298557494467,0.013560096013563396,0.0011941866003239235,0.021457708454039912,0.005673603233018743,0.0010082244173285594,0.06963348772017144,0.01023520730991202,0.0009190220978840637,0.005124447422402485,0.0033717569769335406,0.0006033691709230667,0.004110191255266836,0.000898781494891864,2,HCTJQ1r2,0.07250524709024996,0.08174928565268175,0.09784547800625987
A4GALT,0.0009966702657607867,0.0005978414646731583,0.00231738675789812,0.005488057985448821,0.004117559759537167,0.021441853004911547,0.005295309620074276,0.003164094924965056,0.10001428371897107,0.012344408498875532,0.0033762168711211067,0.0035473562113429394,0.002981302123976355,0.0021616840103621526,0.0031147977785992344,0.0007097374391628602,2,HCTJQ1r2,0.5278413424866514,0.5909487345531941,0.6898457825656726
AADAC,1.1764732295654566e-6,1.5944316355896424e-5,4.8718048992896305e-5,7.761569688843596e-5,6.241362334154478e-6,0.03333918673634476,0.018243327250102467,2.9336915325263912e-5,0.10514836890218357,0.057186783674215494,5.978897102137332e-6,0.007861280244530634,0.0043338205693798605,5.835853901885059e-7,0.006725868664095932,0.0036825289976632107,2,HCTJQ1r2,0.08622663105684854,0.12610178610497988,0.2177881235446975
AAED1,2.359327745045692e-5,6.96133778420738e-6,0.002449106632345871,0.0037190578939914347,0.00249440224170076,0.004773168095698255,0.003582036491207472,0.0021791837209906495,0.02872814288641263,0.004528893905347252,0.0018767040123421753,0.0009981673191973804,0.0029047369854161894,0.0010693986740269853,0.0007559806475564974,0.00031052141909232315,2,HCTJQ1r2,1.0170009551098376,1.1636078156628893,1.3226916885057813
AANAT,4.298264201226753e-6,6.725965834463902e-5,0.00019694759961569525,0.0015270100521551585,0.00012639582615811594,0.06929689902212521,0.006843563979380954,0.0001085076195464738,0.15874537211657477,0.015222270671625324,0.00010152575247225307,0.021514182917137782,0.002234852378888417,3.462161706484187e-5,0.017683434008850217,0.0017062123552272247,2,HCTJQ1r2,0.02322040350209364,0.02572651518324031,0.030551639629234958
AAR2,0.0027651522019654564,0.0031242995686585192,0.0019986062074799854,0.004262940854160535,0.004381491646769717,0.04061138656205185,0.0060046820646866336,0.002874080562493546,0.1908731732682373,0.019596986302335903,0.00405707903875665,0.006777456846568261,0.002490696352396329,0.0020991446354831416,0.006057012458558162,0.0009238168340585354,2,HCTJQ1r2,0.4401904761904762,0.4856609160997733,0.5695458699457941
