Gene,BurstMean,BurstSD,BurstMedian,BurstMAD
A1BG,0.022550664105005305,0.04036905996539389,0.010481057340297173,0.011839170929892364
A1CF,0.021525212196177222,0.03182704140605848,0.011058804611296762,0.012248092356373693
A2M-AS1,0.04582068718587183,0.09790202465140403,0.020855722320927757,0.02325415295359232
A2M,0.01562705890943882,0.027180767476148764,0.00689506615312958,0.008029912171388891
A3GALT2,1.597264768728256,3.81371936927402,0.6325990859432794,0.5809730514436666
A4GALT,2.812368915524958,7.208010346078598,0.8393983205219269,0.8939568109220982
AADAC,0.5788444625903985,0.13096535225434416,0.5637358938178525,0.08992641852362976
AAED1,7.558594791978083,19.073304662156602,2.9059714308837536,2.9691927826607176
AANAT,0.13827695866573012,0.10955297087924663,0.11696330423715365,0.06131380702839582
AAR2,1.3124329501085172,3.62648226986446,0.36995265934823307,0.3340396939710376
AASDHPPT,0.9243187029650737,0.7466933021396084,0.7081971215637332,0.4416457188714336
AASDH,1.3617742266078898,0.8697706126355688,1.1507622011796785,0.5427624181743865
AATF,1.6376089137556376,0.12328957055341962,1.6165777465385731,0.10934438066688737
AATK,0.49712593941995853,1.0642145583077807,0.21305408821364438,0.15636625075471214
ABCA10,2.9650852675994406,2.4266601919887183,2.353132189321598,0.9227443456778666
ABCA1,0.3827502654752595,1.3377244808147801,0.18212064894290667,0.13115521411529898
ABCA5,0.8352867961921269,0.19070172123119497,0.793063899977745,0.16778940765784628
ABCA7,0.36736977097180784,0.060558304598701575,0.3564137396531649,0.042462252935333476
ABCA9,1.055397419896572,1.8776426688063752,0.5476962166768994,0.3638080418845452
ABCB1,1.0328681996885605,0.0997432041654989,1.0184886052137978,0.08866917925389452
ABCB6,0.015518845217959577,0.026715261471571897,0.006523414832036165,0.007749177508467747
ABCB9,0.8645414920189578,0.7673877927167082,0.6666375167746841,0.30540114049593614
ABCC2,0.82811167746562,0.5517098278863376,0.6964297544943776,0.23515281139085462
ABCC4,4.054461764886395,0.29929494389222266,4.046003426034796,0.2954905820200543
ABCC6,0.15075120740596099,0.20013694128053988,0.11648046956376275,0.04862280642886207
ABCD2,0.05078440940346429,0.14925267219376984,0.018086075904279714,0.021408885083598245
ABCD3,1.0358938124001973,0.23196239009494574,0.9926365862049368,0.2233912350468232
ABCD4,0.6791638090160065,2.194465138381922,0.26457681385554765,0.14440215265915707
ABCF3,0.987065510621753,3.628654736893652,0.24546241300720112,0.20694752135425828
ABCG2,0.05260715854687924,0.04198400659244181,0.04292563429215733,0.03596416243317611
ABCG4,0.04374619609733995,0.13535651915755478,0.01795729501230414,0.019404721749910894
ABCG5,0.07562257140971976,0.18810427755250433,0.02580925575891175,0.030907767326708035
ABHD13,3.112220429905837,15.45584219237147,0.5664797735181172,0.6752582046054701
ABHD15,0.6195975640564381,2.177130312346179,0.20621429023444704,0.15832687432215675
ABHD17A,0.6927407857417419,0.7702111525969971,0.43005512999505763,0.2674484565500747
ABHD17B,1.1674878033041414,0.3047930088582396,1.1191858143917544,0.2675093768837097
ABHD17C,0.7924401687475963,0.24962015650351305,0.7370896240202673,0.1908064518110758
ABHD1,0.03996402646490653,0.09965561437844357,0.015737634290626554,0.018297329566496205
ABHD2,0.8794772260551866,0.19161575183750953,0.8409893167518727,0.17297124709082384
ABHD4,0.024149403187450905,0.054170453967618035,0.013699484723360633,0.013558267419471142
ABI1,0.8531183333302066,0.16797965600234552,0.817576111393966,0.14853535355137024
ABL1,2.848609005450498,0.23910866255087482,2.8402212953448087,0.2361818397132697
ABL2,3.8947084247491524,0.3475145798348179,3.879744826884541,0.3444144833843262
ABLIM1,1.18440279633102,0.11467205837987153,1.1633371871206983,0.10223994477621576
ABLIM2,1.3384376336849864,0.2812877257535855,1.3038379936926363,0.2613804657402408
ABLIM3,0.8340461940441093,0.26296061802369936,0.7747147644601242,0.18838823760596704
ABTB2,2.912000462919184,0.243576127212988,2.902019577658653,0.24048629318943998
ACACB,0.4758393893217192,0.3429683174624628,0.4236364985159465,0.085293053834107
ACAP1,0.35047965934088426,0.41558145424184123,0.24710640203798895,0.07101740056767798
ACBD3,1.2582489908170096,0.5100172357132943,1.1583360880549314,0.4328662553210436
ACBD4,0.030886188377243596,0.0271275845061402,0.02541131782521703,0.021700943034051335
ACBD5,0.46076730462527277,0.26902865054536196,0.3841948209906752,0.12013295876866516
ACBD6,2.049291607564064,0.2625718144513786,2.030602125871862,0.2645294360707878
ACCS,0.18269351439343487,0.3111737434020185,0.12131016475893802,0.05262393136426643
ACD,0.49240063283677027,0.09979234519655807,0.47010183515894266,0.07256871435417168
ACER2,2.290963287435572,2.7492010914217904,1.555362783066141,0.7940962074921736
ACER3,2.586017606155889,0.3035864875537758,2.5721446776390295,0.29684868451444313
ACIN1,1.659820761955139,0.44454446124272323,1.6089331439725916,0.42155089857951294
ACMSD,0.5262928264184216,0.6861377452161642,0.349634490126597,0.15504543398970827
ACOT11,1.2006643084647561,1.9833692919447412,0.7602881970982904,0.43089545157506787
ACOT13,1.2090815539528363,2.6545460952924826,0.6188931974349873,0.46175707630210244
ACP5,0.03300354098350382,0.09207799825795689,0.008751306553620178,0.010957841583320353
ACP6,0.2835004178453889,0.43426167846627495,0.20083151750504477,0.06249288725788918
ACPT,0.038293463829026916,0.037271878200434816,0.029719082664123105,0.026658012617348174
ACRBP,0.02450185816099179,0.04993976452607908,0.010583504600623569,0.01227169037706657
ACRC,0.6957388673038727,0.275657495470504,0.6431221154819977,0.12887901068202212
ACRV1,0.3113335895444204,0.7624588916803343,0.15464515317060643,0.09822148255093795
ACR,0.014279614866570936,0.024789434321197904,0.006767851569159404,0.0076913659691990564
ACSBG1,0.2218175843857833,0.250197434830645,0.18319750374797078,0.06701259038479232
ACSF3,0.34841612974870934,0.2478315543039868,0.2800426341559158,0.07374182147254899
ACSL3,1.492612945088713,0.10117573287220132,1.478325131569918,0.09254913689889138
ACSL4,1.669016120147163,0.23510386772073497,1.6547976785906877,0.2373971090242157
ACSL5,0.8852695647910831,0.45320757243649346,0.7817754212593583,0.23930402425509914
ACSM3,0.07364123508828796,0.12004377108209606,0.05763123455985555,0.033229384378236033
ACSM4,0.1346540064170935,0.20868636520077993,0.09470792631190184,0.07138706677202263
ACTA2,0.2988521408302196,0.2511769325640635,0.24144297040950596,0.06773407990870936
ACTR3B,1.5856517858834018,0.2654058022707116,1.5656219211123066,0.25689057361480055
