"","Gene","Rate01.x","Rate10.x","Eject.x","Decay.x","Rate01Mean.x","Rate10Mean.x","EjectMean.x","Rate01SD.x","Rate10SD.x","EjectSD.x","Rate01Median.x","Rate10Median.x","EjectMedian.x","Rate01MAD.x","Rate10MAD.x","EjectMAD.x","Model.x","Condition.x","Expression.x","Variance.x","ThirdMoment.x","BurstMean.x","BurstSD.x","BurstMedian.x","BurstMAD.x","Rate01.y","Rate10.y","Eject.y","Decay.y","Rate01Mean.y","Rate10Mean.y","EjectMean.y","Rate01SD.y","Rate10SD.y","EjectSD.y","Rate01Median.y","Rate10Median.y","EjectMedian.y","Rate01MAD.y","Rate10MAD.y","EjectMAD.y","Model.y","Condition.y","Expression.y","Variance.y","ThirdMoment.y","BurstMean.y","BurstSD.y","BurstMedian.y","BurstMAD.y","cat_IAA_120_bulk","LFC_off","LFC_on","LFC_eject","LFC_BS","OFF_time_WT","OFF_time_KO","BS_WT","BS_KO","BS"
"1","ABCE1",0.00159002671341421,0.00117535030607496,0.00260174170906804,0.0012683610095297,0.00224684623428815,0.00690992415512847,0.0044158407560279,0.0010102378895844,0.0252344705287402,0.00730255415239472,0.00205781899110356,0.00205158577577599,0.00298842046132015,0.00061506419322521,0.00124329083136394,0.000559116330216599,2,"HCTDMSO2h",2.35879505110274,2.9901472301853,3.74117799281286,1.94814009207544,1.81574204444741,1.45702291429081,1.02295345605026,0.00258850730214954,0.00467417255611828,0.00367542301251991,0.0012683610095297,0.00308076685536235,0.0294556654967064,0.010776061212073,0.00101167923791597,0.0759275497348316,0.0215495547649322,0.00308820768599781,0.00852221702108003,0.00489995065010674,0.000752528822687748,0.00633173783988439,0.00209579689053446,2,"HCTAUXIN2h",2.06566820276498,2.63393653507188,3.72505881413595,0.829591796612267,0.954253637244462,0.577563291542839,0.325632239727574,"others",-0.585653692836191,-2.05448931684105,0.71338407414247,-1.33497261032445,485.951390439703,323.812418618762,1.45702291429081,0.577563291542839,-1.33497261032445
"2","ABRACL",0.000529918120235003,0.00107240198099835,0.0019027968902371,0.000356027528064056,0.000619933297673663,0.00442845162328128,0.00425284889771278,0.000129658068968678,0.0140041242688373,0.00960373435891699,0.000604700641569268,0.00165404654729743,0.00235011900897713,8.34446965330381e-05,0.000726544658015905,0.000560304746658304,2,"HCTDMSO2h",3.53457089050309,5.81458370744427,10.7550307787083,1.48654534443964,0.502141854484409,1.42134876839561,0.484863073960417,0.000530256016936815,0.000973985783311042,0.00220359307096664,0.000356027528064056,0.000596681668671736,0.00350772464951218,0.00431206477245553,0.000115735821027117,0.0172148629978031,0.0140079902566405,0.00057998840426635,0.00127944278028488,0.00249147384345133,6.722573642742e-05,0.000437968884800947,0.000414314689249346,2,"HCTAUXIN2h",4.36334776334776,7.6829856178774,14.7492490997087,1.98802187697843,0.576983942622829,1.94745762965574,0.554705830255867,"others",0.0601970529832993,0.370484206559571,0.0842656120040352,0.454331335944409,1653.71083021325,1724.17240179989,1.42134876839561,1.94745762965574,0.454331335944409
"3","ACSL3",0.00402517380536344,5.60873484458642,1.50142251087759,0.00155840218547769,0.00338184413897282,0.0744179714241475,0.0220265352721239,0.000670483714189843,0.182428056309308,0.0486261955758318,0.00340912157316076,0.0290045016853947,0.0100382314529424,0.000429300341161627,0.0201324853111779,0.00552713503188234,2,"HCTDMSO2h",1.38251072961373,1.75604605675183,2.68910690765107,0.403508309061719,0.175083462812923,0.352370974924362,0.0922796163452375,0.00193498491341738,0.00320427248078388,0.00323936299947036,0.00155840218547769,0.0024841847326283,0.0200333969802133,0.00862785325583396,0.00085911248815523,0.0457298189540191,0.014356771673349,0.00249024592812885,0.00676178382262321,0.00451456806729052,0.000638348236852264,0.00490034614363915,0.00179718734888905,2,"HCTAUXIN2h",1.56525496974935,2.03369914991408,2.96363063751785,0.960142808372594,0.987217134181151,0.670158953030559,0.379109093529694,"others",0.45311182361197,2.100801034728,-1.15284524689715,0.927408231528862,293.330694884211,401.566764432535,0.352370974924362,0.670158953030559,0.927408231528862
"4","ACSL5",0.000117082895719422,0.000350043207013047,0.000674967458735816,0.000260685980255704,0.000149122328035991,0.00379372100617471,0.00326970619898115,4.80273344301336e-05,0.0330720280826466,0.0247239152900409,0.000145780215770956,0.000642072993636264,0.000914576494618774,2.44786224739224e-05,0.000306053847975975,0.000250412926870892,2,"HCTDMSO2h",1.94677419354839,3.29501647589317,6.66661309623712,1.52531826161787,0.576786053692745,1.42404835927051,0.490846888657356,0.000124453398617364,0.000315431624118985,0.000611627917593637,0.000260685980255704,0.000174704305468551,0.00880783394876591,0.00633749414797229,5.77369103612933e-05,0.055736382107355,0.0372961464870728,0.000170618304716225,0.000749765610415786,0.000933424644665554,3.55069211820236e-05,0.00043746611520419,0.000322273558415259,2,"HCTAUXIN2h",1.99133448873484,3.236204516078,6.25917407833032,1.38665708279636,0.653642854091351,1.24535448911763,0.542650396896788,"others",-0.226977493030122,-0.22370233640052,0.0294297172876494,-0.193441676936535,6859.641376654,5861.03584643638,1.42404835927051,1.24535448911763,-0.193441676936535
"5","ACTG1",0.000858121641671988,0.0120225107268197,0.181450955807437,0.000365117359807653,0.000916596861856116,0.0302798298736624,0.413752157207362,0.000580172218869867,0.0257624638451726,0.333961432065044,0.000880511429176933,0.019638050969561,0.274441492881462,3.32679623777138e-05,0.0121583374982789,0.15358413264642,2,"HCTDMSO2h",99.3158322056832,1368.67237451043,33365.566064577,14.6023485131591,1.72871933500509,14.3099374337092,1.30784313183787,0.000920604024201158,0.0165228635534362,0.209699907286396,0.000365117359807653,0.000941421088727888,0.0175170623928651,0.21763796957796,0.000515119067223126,0.0102371176098867,0.109950960252366,0.000913250801105285,0.0148604923208142,0.190099043156027,2.63166161482022e-05,0.00498435024211838,0.0556525098482477,2,"HCTAUXIN2h",90.9486807770369,1104.86167483257,24396.6764324424,12.9727796544412,1.24483081299768,12.8599660290726,0.841210882955131,"others",-0.0526693835358806,0.40216984021622,-0.529747349096134,-0.154130532645501,1135.70360004839,1094.98945830622,14.3099374337092,12.8599660290726,-0.154130532645501
"6","ACYP1",0.000932673107082077,0.00762641849108797,0.00505500825197973,0.00135758315301701,0.000993430336433042,0.0338654388931515,0.0173218239593271,0.000164390306099221,0.0783045717636549,0.0366092263902438,0.00100446917408294,0.0130070980963856,0.00759151234153223,0.000107481424915125,0.00828928513013613,0.00394965715033455,2,"HCTDMSO2h",0.811376442178696,1.17531463344557,2.05762020152187,0.636178169899164,0.176126761129421,0.589883659444335,0.124264786170105,0.00160474095607994,0.0472455117647834,0.0208492129048926,0.00135758315301701,0.00147276650416287,0.0482622178979693,0.0210937811286637,0.000228520985694432,0.124692522021541,0.0499207824005239,0.00148322065380589,0.0198295242335441,0.00967659541902306,0.00014680903067627,0.0126793900474443,0.00517606864393778,2,"HCTAUXIN2h",1.00866300895178,1.40910774176478,2.38382271204431,0.53250890766105,0.143864242341226,0.495830852459288,0.0965865722553508,"others",-0.562299948480365,-0.608350933171599,0.350112223313502,-0.250582401038226,995.550710566082,674.208518762221,0.589883659444335,0.495830852459288,-0.250582401038226
"7","ADM",0.0214162217544431,0.121991447238802,1.28207865989605,0.053639865697267,0.0213278239153176,0.121471570563507,1.27865638390751,0.000862016340960232,0.0168364395501604,0.115225661398613,0.0213143350808464,0.119891325461548,1.26828194832982,0.000579274551897525,0.0108656865520819,0.0743266031719552,2,"HCTDMSO2h",7.13945945945946,46.2400105186268,381.665521098296,10.5993195536494,0.587561782101477,10.5813845230874,0.580696878079653,0.0222967533829915,0.104423328383251,1.07169255830529,0.053639865697267,0.0222111373917122,0.104270624918441,1.07096121790949,0.000991243005177703,0.0145414246367689,0.0902383096433515,0.0221923099414238,0.10287363469975,1.06273982811595,0.000665456964134701,0.00939676402794276,0.058356483205872,2,"HCTAUXIN2h",7.03272516652186,41.2925867524422,299.172514357108,10.3519723790118,0.634010224111879,10.3323275657914,0.628822160331158,"others",-0.0582357919475176,0.220853994848851,-0.255087052300347,-0.0343631224289345,46.916781415275,45.0606540121097,10.5813845230874,10.3323275657914,-0.0343631224289345
"8","ADORA2B",0.00479377836530943,0.00789072227415721,0.0152284557657966,0.0053219325601845,0.00497343564066373,0.0115235879745381,0.0173546359133536,0.0013357576086168,0.0151869898675876,0.00910594112625627,0.0048450372396943,0.00808822849326371,0.0153590067836929,0.00086084886064503,0.00328221089376646,0.00238192576175646,2,"HCTDMSO2h",2.16285944638538,3.29677698884452,5.76360827076561,2.08916583026201,0.932798852499625,1.90015446512848,0.748779551760791,0.00381031830721382,0.00540820959417441,0.0163893214591816,0.0053219325601845,0.00387211777911274,0.00617891116730346,0.0169828032604546,0.000829658630733258,0.00365723259576526,0.00323709701409235,0.00381916397388627,0.00543398924100917,0.0164075756752048,0.000542275935443879,0.00162177421354144,0.00161347373009908,2,"HCTAUXIN2h",2.54561200923787,4.21674171551398,7.58557613016608,3.21053514663037,1.08151406389304,3.02044179161202,0.922129196887154,"others",0.343250891779958,0.573812044987516,0.0952771623848188,0.668642882774927,206.396762404059,261.83740913916,1.90015446512848,3.02044179161202,0.668642882774927
"9","ADRM1",0.00279195511022828,0.00425653294193007,0.0135069103975276,0.00174040938596788,0.00288465299244945,0.00507797660290927,0.014406897106645,0.000399257352253016,0.00303058565744547,0.00331180572155767,0.00285134068375605,0.00451169522484207,0.0138175980860437,0.000257056154535457,0.0010807067944266,0.00133286394486467,2,"HCTDMSO2h",6.14747910488002,11.8199862306904,23.42154362313,3.12316867199882,0.700262646544146,3.06256539664746,0.675225485069053,0.00338564839443068,0.0053127777214855,0.0135472710986309,0.00174040938596788,0.00357345188495248,0.0081239492342743,0.0160464325133788,0.000627811196640478,0.0173082635967991,0.014691834521128,0.0035029281060375,0.00587331799777012,0.0141123085696755,0.000389862633281242,0.00181528793842287,0.00185536420861388,2,"HCTAUXIN2h",6.05895953757225,10.8462347555883,21.176125774352,2.47754039712869,0.711915290967384,2.40345253377796,0.671491279363415,"others",-0.29692095302905,-0.380506137737586,0.0304471575443154,-0.349632339396861,350.712212573177,285.475456454971,3.06256539664746,2.40345253377796,-0.349632339396861
"10","ADSL",0.000842571573813857,0.000749042683756934,0.0017020140851378,0.00077595215201124,0.00124698779063756,0.00581806862405876,0.00363793256437783,0.000520050104470043,0.0191837051634315,0.00687855600812389,0.00115568917816715,0.00152235543511302,0.00208916237494346,0.000341723929268954,0.000951958371008424,0.000478252040345593,2,"HCTDMSO2h",2.32224309095787,3.10329649792316,4.45750205145402,1.79760658307899,1.91619600250989,1.37295819651078,0.943735420623528,0.00104201848722204,0.00134412284932313,0.00184549194101216,0.00077595215201124,0.00145688766249363,0.0153090033936261,0.00671902309704769,0.000486066607640546,0.0924598802502693,0.0308505415182646,0.00141368814655215,0.0031071527819104,0.00257732445493235,0.000359851034576505,0.00207597623667852,0.000865008836860679,2,"HCTAUXIN2h",2.07718894009217,2.74922619932468,3.87615937679732,1.03842080521228,0.726823713697526,0.829954225978286,0.495626662189413,"others",-0.290710464863278,-1.02928794760306,0.302949540379393,-0.726184023756434,865.284558245964,707.369586735878,1.37295819651078,0.829954225978286,-0.726184023756434
