Gene,Rate01,Rate10,Eject,Decay,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD,Model,Condition,Expression,Variance,ThirdMoment
A1BG,0.29116229161472235,0.00013522171320686416,2.2977796477134565e-5,0.006147226021044243,0.003812408524385676,0.16884831672646083,0.0029893054688918553,0.01746414218939075,0.6679538905610002,0.01140084693215832,0.0009763529842111724,0.02955392218366392,0.0007060393542597988,0.0007415962706054246,0.02651807185715453,0.0005899455586129364,2,HCTAUXIN2h,0.007471264367816092,0.007415444576562294,0.007304639082889523
A1CF,0.050052568616419844,0.0017461217590112293,1.32551931241526e-6,0.0014856296953659066,0.0006941535991973654,0.3934568463325195,0.0027083596664047253,0.0026258518084947982,1.782780280622009,0.010924008997912397,0.00015297150601293946,0.07715020399217379,0.000605932311693237,0.00012608993918245882,0.06646747697509998,0.0005088043516028923,2,HCTAUXIN2h,0.0017236426314277506,0.0017206716875068754,0.0017147400413563202
A2M-AS1,0.6153793491570347,0.013538757743326189,9.018109497567235e-6,0.0026702505562286385,0.0021448818752590735,0.2117951534576756,0.002817192577971398,0.008251068202400694,0.5930570908726794,0.008756752346185327,0.0005594722508008288,0.048943780141515986,0.0007233833269692158,0.00041326309177404776,0.04264709802680801,0.0006156879026152631,2,HCTAUXIN2h,0.006607296753806378,0.006563640383413518,0.006476904543816557
A4GALT,5.497586475010643e-5,2.258368483296739e-5,0.00043764423255253886,0.003532791473219901,0.016357026301246448,0.07918702176707763,0.0029994870785823103,0.10728920664584711,0.2938521599993081,0.010091569282420047,0.0053023483836017815,0.00974507023508614,0.0008353394543707174,0.0030909571826772315,0.009065471435191475,0.000433314702117329,2,HCTAUXIN2h,0.1755747126436782,0.18152984211917028,0.1917875920364068
AAAS,0.0004306315327377914,0.0015895522107373951,0.000638621125202027,0.0004458548743946146,0.0005990092358894319,0.0485110952826826,0.010173223098490343,0.00014137775628168985,0.18154339477717793,0.03671288789000808,0.0005965808360757555,0.014613669237793976,0.0033049240937632375,8.145963745021011e-5,0.011767108576960263,0.0024071668531909845,2,HCTAUXIN2h,0.6105838366407823,0.7341761618670173,0.9967071698252149
AACS,1.9384712930697572,7.226775662057413e-6,8.562820854420378e-5,0.0012331902202832937,0.021115701914023715,0.12104560461338043,0.0013011438990198814,0.06973619083854743,0.4222789084388942,0.004468258646187488,0.007211823388784212,0.019622254654457043,0.00028829430910692867,0.004508084420773558,0.018797647340036097,0.00019168370811795726,2,HCTAUXIN2h,0.13887291546866015,0.13568843640846381,0.12796793243007942
AADAC,1.9229461935496454e-5,4.529846963310922e-5,0.0004637561193018858,0.005259367481477697,0.002837950598496638,0.08332672764147497,0.005027217570140912,0.006338123852293152,0.2784341311140077,0.0180315434963702,0.0016306975120384912,0.017455861623742637,0.0014214773220190308,0.0008418263310627583,0.015843902983186164,0.0009748383930840787,2,HCTAUXIN2h,0.052586206896551725,0.05556802417756639,0.060915834238796186
AAED1,0.0012278933260054803,0.0008140882686958648,0.002119376966107051,0.0025034894564792748,0.0025398389144837452,0.011303669975098138,0.004388923279477354,0.001625075304011467,0.05691039963937519,0.010951404792153134,0.002228672463733368,0.002326821092094155,0.0026059011701337247,0.0010783581876350054,0.0018420174543731787,0.0006060689574244275,2,HCTAUXIN2h,1.0181608532718365,1.2008809069598945,1.4349993456729058
AAGAB,0.001261754659609014,0.002872373888425659,0.0005344220693140712,0.0006501529104940128,0.0022401069242172817,0.07573572360135314,0.005730423553632157,0.003145836916918358,0.22780353241512105,0.01723917793234929,0.001815526976534941,0.01913474155514278,0.0016909858570038066,0.000514122965059865,0.016757309172109387,0.0012334507697267883,2,HCTAUXIN2h,0.5017251293847039,0.5403938036870878,0.6126431551688338
AAR2,0.01969771181055831,12.02235423338114,0.3300441885010463,0.00359196675531829,0.025072395138318777,0.05860518543538002,0.002457560259815181,0.23139001073015608,0.28134534554748913,0.007815400770644958,0.00855833715292871,0.005251793958651937,0.0008668135268880253,0.005602997870489818,0.005034243440732592,0.00027880540382315533,2,HCTAUXIN2h,0.30066110951422825,0.3091429949549058,0.33094392421085367
AARS,0.0009640746147298965,0.012435230634856874,0.003576894897612357,0.0011963318018190987,0.000956061855798214,0.04699873481468108,0.011312644981220608,0.00024696434689093895,0.11978148879807177,0.026617631692626303,0.0009641080044117355,0.015436153665027635,0.004207019550841589,0.00014565135311200866,0.011945707667263446,0.002757778943447087,2,HCTAUXIN2h,0.4302158273381295,0.5271445577351068,0.740734848837456
AASDHPPT,0.0041208254735741355,0.007842393921212196,0.0031588418086098136,0.002211988372719347,0.004606415645777877,0.04523003062763459,0.008558794159097707,0.0022302692238787432,0.11389920712199458,0.016449031506798006,0.00460500341161674,0.011279833001112025,0.0036867574269597997,0.0015610853370513688,0.0097954936310179,0.0017693059105071338,2,HCTAUXIN2h,0.9838756118629428,1.1272954316914265,1.4205010631425727
AASDH,1.9343936490708607e-5,7.564100855296818e-6,0.0006912299646689117,0.0039765656615653846,0.011438975542401955,0.06828436406281418,0.00394791598153914,0.060270835646206944,0.27439331856556026,0.014214796853259121,0.005434474035736805,0.007906983145530788,0.0011914580713884347,0.003097543238498845,0.007396353181900309,0.0005211996972277202,2,HCTAUXIN2h,0.24992809893586423,0.2616659424862623,0.2814367628582563
AASS,2.559209324606109e-5,3.8547126300793326e-5,3.6057178692767794e-5,0.0015646232414753259,0.0024061712405072312,0.19273330437835035,0.003166490750510005,0.008049486403034217,0.6083422969618131,0.010580046736461646,0.000735525845603932,0.045217408174419604,0.0007772029508748622,0.000491359723421275,0.039952957118384785,0.0006680174039094269,2,HCTAUXIN2h,0.018385521401896004,0.018622041548485683,0.01907582139306771
AATF,0.0019412477105837907,0.00098948930271235,0.0014378687643779166,0.0014028150285405633,0.0046644227072374245,0.039619488821357705,0.005963936500044526,0.0028530160955883175,0.14846321531240245,0.016556505630854534,0.004337913856564577,0.005961006600329873,0.0022360769134034384,0.0019478366794522077,0.005403379676784741,0.0008942663932871559,2,HCTAUXIN2h,1.3579643473260492,1.507571704306806,1.7190015193611738
AATK,7.661160309695675e-6,1.6448636382909123e-5,0.0008435390150536049,0.004236081751967163,0.0011922065880328441,0.037978028790788466,0.005848605172866122,0.0007909179943060146,0.18065817614591703,0.024533957512756423,0.0011165752104697118,0.006695819854271787,0.0018385141661683775,0.0005201112463991853,0.005769522191260665,0.0008631161471724686,2,HCTAUXIN2h,0.18965517241379312,0.21230677764565992,0.24996924843166998
ABAT,1.5930356587081614e-5,1.7339460366597607e-5,9.194131341766744e-5,0.00129390512225483,0.003282041718184291,0.12316659725317215,0.0032147730496164244,0.011015502747677987,0.41048205426614315,0.0081294109870489,0.0012192623418796258,0.030404015363369227,0.0009105333794017114,0.0006417223984356507,0.0275234911655755,0.0007483856860765382,2,HCTAUXIN2h,0.06808388394139615,0.07034303921456166,0.0740843164905468
ABCA10,0.044257969876134944,2.909714475794668e-5,8.00107158408612e-6,0.009277907310078888,0.001929160897744024,0.18391556941795187,0.0033229174755483918,0.008877849348122661,0.6264757304429879,0.010496532942290984,0.0003727087819594666,0.041035893043052496,0.0008529633738899527,0.0003070830128527478,0.03604072928621345,0.000718835174251805,2,HCTAUXIN2h,0.002585463947141626,0.002578779323319657,0.002565444641383502
ABCA1,0.9068274698704805,0.0003007693380632169,1.8591578756062052e-5,0.005175868937825334,0.003811036748643966,0.18726635591865204,0.0030893489587137273,0.01572122865297888,0.6206666649326354,0.009137166174703639,0.0008912716686435209,0.03612711176959138,0.0007359072394033373,0.0006778464888243698,0.03273800760451853,0.000624587579453041,2,HCTAUXIN2h,0.007181844297615628,0.007130265410100434,0.007027848498148403
