Gene,Rate01,Rate10,Eject,Decay,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD,Model,Condition,Expression,Variance,ThirdMoment
A1CF,0.04091668166789746,0.7832162135392965,6.615707465478968e-6,0.0004900874891445734,0.0003877543760181962,0.5350544069088974,0.001795019309586631,0.0012058285906104082,2.343064676866844,0.006360448626313877,9.00067042588143e-5,0.10780156835240695,0.0003926814850624583,7.462780531827118e-5,0.0926764813823674,0.0003368944759695044,2,HCTDMSO2h,0.0013401232913428035,0.001338327360906804,0.001334740313571219
A2M-AS1,0.41991146980993904,5.017487909611897e-5,1.9190323625203995e-5,0.005725557125644253,0.004714569093799883,0.18732639345270014,0.003047282764484464,0.03193109645791967,0.7561776637586799,0.009222690834169099,0.000963749635155198,0.039430500039891146,0.0007491485745716825,0.000733751038551968,0.03553313903559026,0.0006371957534616077,2,HCTDMSO2h,0.006702412868632708,0.0066574905303710945,0.0065682480299639745
A4GALT,2.288860376082691e-5,9.99841888140141e-6,0.0007492823833778457,0.005606544849616968,0.012382905108240394,0.04183678682769403,0.002457555650312973,0.037855687005580396,0.15512668456873407,0.007131752058482718,0.0058703596538124195,0.005909724962329402,0.0010770167768250514,0.0038439392450198336,0.0054946341371896485,0.00039987392261392436,2,HCTDMSO2h,0.18600911283838112,0.19268552015281787,0.2023095069260095
AAAS,2.996468896251972e-6,1.327072144902743e-6,0.00014948151186428794,0.0003459568149959991,0.0007023744160289683,0.040327126434561045,0.005011101731124994,0.0003087179040005155,0.10770798509819705,0.012751206543880051,0.0006975676243835245,0.009083892678701227,0.001321155506664414,0.00016727588656391217,0.008498146813458318,0.0010543561092286702,2,HCTDMSO2h,0.5987654320987654,0.6669764683273363,0.746395137486324
AACS,0.0004846526610767826,3.9143635384177125,0.23730086350615046,0.00040827443594238687,0.0016284738646490501,0.1073355965304231,0.0048578177446271485,0.045649438179703315,0.3397831579329005,0.015861300285426257,0.0005358241260406003,0.029837134890634137,0.001416394852343307,0.00018968581534906752,0.024686682131355685,0.0011248342101073294,2,HCTDMSO2h,0.14392924149021707,0.1532323766603467,0.17609711866513986
AADAC,1.0835370463763635e-5,4.516456049685068e-5,0.0003373948374916262,0.00486337135621963,0.0027168377702020663,0.07656377611650143,0.003856156860596066,0.022445904908834358,0.22546858363279826,0.01093073774227399,0.000919039907500857,0.018524434713930494,0.001179774344572638,0.0005125739618793493,0.016415753264005132,0.0008519418643303724,2,HCTDMSO2h,0.02680246582685607,0.02822829091860477,0.03094604007155685
AAED1,0.0022309166494117153,0.002550864738865717,0.003269993571788835,0.0028513652502352173,0.003161441537925831,0.023800605574793635,0.008478594128537506,0.0017161222239352944,0.08251472341794253,0.019521914332779534,0.0030055483980723037,0.004880455260050716,0.003995284897221106,0.0013082403571497473,0.004010458328189104,0.0013409005245670956,2,HCTDMSO2h,1.070029514354709,1.31385089797516,1.7850750652545133
AAMDC,1.8853546298780993e-5,4.359212974624103e-6,0.0001597641632660538,0.0004116033119857073,0.00244176825329446,0.08786194700072629,0.005140231621083228,0.005110512853147759,0.2650535997241212,0.015945002807192278,0.0017713536276348137,0.020543493039512,0.0013918680052758014,0.0005738938069274328,0.01872405804294334,0.0010789900262910225,2,HCTDMSO2h,0.6300671140939598,0.669055700193685,0.7099210827446252
AANAT,1.1136299607626445,0.0038844682038787575,6.537979884471232e-6,0.0016573276277883672,0.002610532709690494,0.28131441103002713,0.0022313323282486942,0.013291352820362036,0.9923286118533705,0.006398065429385795,0.0006658660620819243,0.0608048564093988,0.0005715056706109443,0.00047955479679043884,0.05237440008125924,0.00048150678546434627,2,HCTDMSO2h,0.011793084963816671,0.011654008110852872,0.011379134695212277
AAR2,9.6266877859852e-5,3.864955653985198e-6,0.0008166217519390567,0.005711364130953676,0.050525799155558666,0.04576880967005306,0.0018392393848623927,0.2072651937961071,0.2665133300682129,0.0056468358275260115,0.015141049556613294,0.0030077464562485727,0.0009755400095129419,0.011207663487700938,0.0027692795631030363,0.00015754631713970447,2,HCTDMSO2h,0.27479892761394104,0.2754238871838366,0.2714930925003984
