Gene,Rate01,Rate10,Rate12,Rate21,Eject,Decay
A1BG,0.0060246831589681775,0.001352131219252728,0.02940109125221313,10.269132321207529,0.0002712286844449771,0.0008314616993851869
A1CF,0.002509328559817996,0.007368126647920126,0.27398716853030275,1.8829018842017477e-5,9.405522633883974e-6,0.0013732191848658012
A4GALT,1.1091547477575267e-5,0.004719945626807337,0.5504583992362408,0.0007273245410267386,0.0006594298800111129,0.004225013092782216
AADAC,0.04796759759557558,0.0015153501209676696,0.08277757120640361,9.91382020299657e-5,1.3510336474867987e-5,0.002047633779572677
AADAT,0.06530370566343689,0.09801837722030732,0.0025441399331251864,0.00333761746056651,0.0009462506801728842,0.001079954456214642
AAED1,0.09650623065896193,0.022038090815026477,0.0061861843396280045,0.007172449335971151,0.004374498508210157,0.002714696679620929
AAGAB,0.019727868470609013,0.0067075265402133655,0.000636021331694285,0.0007991442774475192,0.00031622193825846083,0.0001766755597443561
AAK1,3.8296607975647556e-5,0.014719939958826644,0.011935363341886019,6.6747402586969005e-6,0.0017384241181664269,0.00365006174596096
AAMP,0.04238399824821594,0.0004903616723249139,0.000456311080478174,0.00018195173027674274,0.0006935708076116165,0.00033464755676402137
AANAT,8.936408296291622e-5,0.009277735758607667,2.8707064185056384e-5,1.113249479205846e-5,0.0003329887054689987,0.0019672192100487983
AAR2,0.11279468481266006,0.006716666281390091,0.019094573291031612,1.2208153550390684,0.05923641514544946,0.004438517796473043
AARS2,0.00046818075230647987,0.006782865767841888,0.0001888723975310637,4.122370663310704e-6,0.0001753968565720673,0.0018153137435947442
AARSD1,0.005727117720793502,0.02743707137884616,1.5222710051576834e-5,1.1915419152810458e-6,0.0007047177069807383,0.0017781132604744914
AARS,0.20374257471523471,0.0004200889727921225,0.0028829069932237395,0.04505256288841167,0.02007766058017545,0.0014081647551199823
AASDHPPT,0.1146178002736556,0.04287918066927907,0.0036854214383474125,0.0024539879742531434,0.007301358258358634,0.0019145429005598534
AASDH,0.00023887115044326598,0.07219596238232667,0.004763076188783787,3.5919251207285817e-6,0.0015716881694015816,0.0040835324328151006
AASS,0.00021372630763606706,0.0425570350491715,0.00041016792931801275,8.136161806962297e-6,4.9735959018596616e-5,0.00043343060259623463
AATF,0.06766444375396469,0.00027261999145413584,0.0023953202644001006,0.0019766968955869,0.007436022559391907,0.001687981933373848
AATK,0.11159268271487296,0.0014796245058309415,0.005613329383873817,0.11277616253921043,0.014410573995979748,0.008164439280865335
ABAT,2.4266052418945973e-6,4.543677623759989e-5,0.028743675355708147,0.0014633515827126187,8.33464724492339e-5,0.0009774558374555488
ABCA10,0.007659134659489315,0.0006191031452863255,0.034530929864582165,0.017604707052364558,5.666762753613864e-6,0.0026937395222520403
ABCA12,0.002241647133678893,0.01814838354158218,0.11100391782177048,0.0011742138369830806,1.2196475366751323e-6,0.0021955738211967956
ABCA1,0.015231662071426599,0.010341250464056116,0.18570155380407613,0.00021446265340865537,2.3321457393893532e-5,0.004592358994537306
ABCA2,1.1094394830900126e-5,0.0006922038637782748,0.08180743356977936,0.00020043990751516687,0.00013149161316187034,0.0007271816164291377
ABCA3,3.971719366598663e-6,0.0030621424575113295,0.04441983596627979,0.00017105774630284598,9.129878122091377e-5,0.0008334718931284715
ABCA4,0.07386273582579338,0.00114685624532526,0.053026922855902485,0.4259516189248115,2.0755534437203084e-5,0.000812062578316931
ABCA5,0.004125006067072419,0.00659980241673222,1.121562576174454e-5,6.102137034562447e-6,0.00021545486929148167,0.0009590343188287289
ABCA7,0.06864844377542106,0.003003099027695078,0.0011020134419246071,0.0012119643615533442,0.0035791637753673066,0.0016938033485480474
ABCB10,0.0012652430637511071,0.0027152089539969164,2.418140047983279e-5,4.870315581887947e-6,0.00010705879751577398,0.0004737009139041613
ABCB1,1.0978945716590516e-6,0.0018174342270633006,0.09382822393005737,0.00010951069489594835,0.0003946707768822964,0.0014569607671392206
