Gene,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD
A1BG,0.00045452466231480374,0.4214167923245819,0.0024770008931781604,0.001497291220595629,1.5757039745547823,0.007847450147565578,0.0001083583308428044,0.0927623002587939,0.0005619139336678952,9.324774019209393e-5,0.07921445275153229,0.00048027790525477856
A1CF,0.002708385924292545,0.2249462655879452,0.0024688671490801905,0.008539531885054087,0.723823779975925,0.0079154323664424,0.0007588914102038475,0.05297580779816981,0.0006508883587071038,0.0005683517689048166,0.04583450097761831,0.000555086079435295
A4GALT,0.010532229549521209,0.060546788988683015,0.0036316972022023323,0.03329438390202266,0.21597282038979906,0.009828965699052547,0.004413105100779168,0.009207102637538801,0.0012276929468938358,0.002624077360493546,0.008627138056992983,0.0006368013517761064
AADAC,0.002778493248110973,0.1996408870112958,0.0031109477373373103,0.009502725338206326,0.5886705870405694,0.012715113353072342,0.0008143313001519098,0.049249533407305,0.0007757821618687072,0.000595337080677504,0.04326529580007104,0.0006638043270460923
AADAT,0.001488344892234591,0.05685671824909707,0.0075720970535462515,0.0008418586300607321,0.20245821614833723,0.022099154435846858,0.0013615693511882254,0.015156261399861589,0.0024305827186868476,0.0003597116658834407,0.012862157279219246,0.0016799770226532834
AAED1,0.005512504584668341,0.03758969279165268,0.009659301893286234,0.003184205762036656,0.1258796418317611,0.02179101176815566,0.005247340374571646,0.008108686316012397,0.004529920506457952,0.002270307350078107,0.007155091519305146,0.001782799984895544
AAGAB,0.0008719099449785672,0.057199025662307175,0.00746602806953529,0.000363075294163558,0.17152337432400966,0.018764576126177934,0.0008015994193768067,0.017754029196077083,0.0024992448827987697,0.00016747199337450145,0.014735128569951645,0.001886076700850649
AAK1,0.01078313440661149,0.031163700739938755,0.004661685325740166,0.042808257346210514,0.15538738802460333,0.01122746167970101,0.006098595616857568,0.004337259817532595,0.0024610845072957,0.0037278557370154187,0.003943672606568308,0.0006441768940356671
AAMP,0.0016802814081743071,0.03520888972561615,0.008194756730317334,0.0007205314856187433,0.11893617644630995,0.02537193677776535,0.0017270010221771643,0.007207680349276523,0.002429752343317772,0.0005002244772467587,0.0067168669841778045,0.0015988944325196555
AANAT,0.0002642480581464863,0.08395391939391109,0.007441289401687957,0.0023039786398270034,0.23843257056687478,0.020068151388988487,6.882613406372382e-5,0.02462335040616741,0.0023024460565521498,4.05738659231735e-5,0.020501456064716088,0.00180277362873621
AAR2,0.02033418936220656,0.045856225342060145,0.003254819030404655,0.06413621019677274,0.20488080537428685,0.008492025610146753,0.008151047716684498,0.004462234005904741,0.0013761497759801527,0.005433928720006963,0.004205984163228578,0.00041105009160988064
AARS2,0.011645937993080181,0.09753428879859015,0.0028447950771416496,0.04283247089199962,0.3650646966731583,0.011005743140866331,0.003771453711049533,0.016025601009433066,0.0005996353204471192,0.0023091094338594876,0.015208024229998857,0.00043032974191081937
AARSD1,0.002807588691646158,0.03787016397853584,0.0048494493828839975,0.004763549535960416,0.24089570594948412,0.023112397782897344,0.002320011383241667,0.005052388011017326,0.001483808418220157,0.0011635999193917775,0.004615760036086216,0.000672849347516002
AARS,0.002535610662790476,0.04294866406624303,0.018992910835699872,0.0005498604887379184,0.09691660611850027,0.03752133933390615,0.0025533487376667133,0.017622223919286174,0.00934427538649563,0.00035978646091986755,0.011877242615153357,0.00474173620840773
AASDHPPT,0.0031063501284867992,0.005602849639724368,0.009193674830893117,0.0010742373741031788,0.012839445648930957,0.007126685223194159,0.0029398463594523193,0.0030478750817368745,0.007764744440340711,0.000663732045234464,0.0014795049496277289,0.001171113959115293
AASDH,0.01311030064614664,0.04027021331128213,0.004692013023539165,0.04212129114341658,0.13721590814332643,0.010343060110755014,0.007053963687950944,0.004925886987453141,0.002197271639250596,0.004394610327472781,0.0045189182199034394,0.0006184059412270823
AASS,0.00040514605463150147,0.09828251593573373,0.005116519079157874,0.001618738003874638,0.25342253996899083,0.011336950686566238,0.00015048626760883236,0.029807678779939742,0.001666700125979075,7.42729871470324e-5,0.024264135573658474,0.001342231167324273
AATF,0.002765927878299887,0.0037377549369649226,0.008694799691706267,0.0008676342221961332,0.005709642161149158,0.0037659729824338225,0.0026388238083943747,0.0024729063280779797,0.007877855384354447,0.0005277996495580231,0.001058918430143071,0.0009703479134192568
AATK,0.004059308111359843,0.04646829327899588,0.006387766711490782,0.009230821967181784,0.1522431329586269,0.014772644703334371,0.0030255144873178935,0.008882009917929026,0.002645493547939756,0.0017147121975093168,0.00791725710725523,0.0011291146613747853
ABAT,0.003891448250912093,0.1297992225178458,0.003687217744295406,0.012807788096460566,0.40369683544990903,0.015132114861065912,0.0012158686676595075,0.028854416482556565,0.0008869901435964464,0.0007076488015250994,0.025759370776419613,0.0007454434266491158
ABCA10,0.0009515019910869361,0.27471975522462216,0.004075432331511625,0.002684655542511739,1.165491031251427,0.02953923325839175,0.00026370301183288114,0.05708620907612877,0.0007725225229005281,0.00021378108464912123,0.049108048647546636,0.0006581335608787427
ABCA12,0.0006217887584668935,0.3764007095360464,0.0029673111181295806,0.0022556730099806944,1.4742440495610352,0.010700740648493716,0.00013102164280364716,0.07832616028041664,0.0006611252405875625,0.000111044735161005,0.06713653159886974,0.0005701157371548756
ABCA1,0.003421116691399219,0.160804593180568,0.003184384376433867,0.010839575291630639,0.7304058217843763,0.011070902705922807,0.0008940214146921136,0.030319138009622538,0.000766530685520174,0.0006793628101651518,0.027283084492376316,0.0006593024436467136
ABCA2,0.01165704231044713,0.12686889330587459,0.0034337624596674264,0.03901302880530675,0.4789402125406676,0.014831413424323044,0.0038796429071915883,0.021849656341678833,0.0006515474583252095,0.0022379763132476544,0.020492187354484534,0.0005022592814604532
ABCA3,0.0009645342913549953,0.09547482348951046,0.004610319292773723,0.003744882189185714,0.3611752231065928,0.01949463786193214,0.00035357724885228003,0.02521715499910275,0.0013615958344875053,0.00017548515363489465,0.021194537274783355,0.001090869956026492
