Gene,Nalleles,Deviance,LogMaxLikelihood,WAIC,WAIC SE,AIC,Acceptance,Temperature,Rhat
A1BG-AS1,2,4.688603861164899e-6,21.42615439660795,45.63252632215545,3.688984203667955,52.8523087932159,0.96874255,1.0,1.004428257615963
A1BG,2,8.310586430082034e-6,27.417477710421384,57.56852301572135,4.122995782623324,64.83495542084276,0.96519305,1.0,1.0017628050721326
A1CF,2,0.00016721608999860154,96.30500431766046,195.66220681572725,8.232828105310581,202.61000863532092,0.942653125,1.0,1.0026186950435034
A4GALT,2,0.0027352183503153685,759.0343363267795,1522.4049958525773,19.591724500117284,1528.068672653559,0.84962775,1.0,1.0043436207079384
AADAC,2,0.00022789063889730904,109.11876241194118,221.4294165578008,8.84194302388925,228.23752482388235,0.939911075,1.0,1.0043104206235423
AADAT,2,0.0016839762184613827,1240.265450822503,2484.9904877061417,15.962674525225701,2490.530901645006,0.769501775,1.0,1.004807683114767
AAED1,2,0.005322875167885148,2145.0711492514242,4294.526952483553,6.330821115749362,4300.1422985028485,0.716429725,1.0,1.005022259080926
AAGAB,2,0.007384222160839918,2143.8399116911173,4292.056880291537,6.511294821434406,4297.679823382235,0.60006925,1.0,1.008460474753764
AAK1,2,0.005334946789369008,1804.8636255676665,3613.6779443930795,8.23917276657718,3619.727251135333,0.758148425,1.0,1.00297509349195
AAMP,2,0.011457300466402589,2876.348950753449,5759.427940983235,4.046218968437315,5762.697901506898,0.580538875,1.0,1.0124512117838589
AANAT,3,6.240345049763685e-5,64.27034142249612,131.47008444566077,6.536147385264081,138.54068284499223,0.95157125,1.0,1.00322637390024
AAR2,2,0.0018610933869355457,1226.4995198743609,2457.1939319704243,15.986316693725245,2462.9990397487218,0.8113128,1.0,1.0026646911781723
AARS2,2,0.0008292666507499076,562.8863912604221,1128.838002665264,18.970147684056546,1135.7727825208442,0.87362545,1.0,1.0044601411942564
AARSD1,2,0.003223339861308364,1464.172056271798,2932.7363094143207,13.568429754625893,2938.344112543596,0.753478975,1.0,1.00344628695739
AARS,2,0.005789001704994176,2387.920133473511,4780.555073157292,5.43401584356056,4785.840266947022,0.636171,1.0,1.0071631272275177
AASDHPPT,2,0.010064287494202798,3087.059818764432,6180.17584838866,3.625878446511726,6184.119637528864,0.56009555,1.0,1.0038105089184448
AASDH,2,0.0017201014272385082,1583.5455009610146,3171.8749694503626,11.075513503004032,3177.091001922029,0.768616975,1.0,1.003249002545094
AASS,2,0.00025190646272191947,185.0650468300723,374.185367910162,11.585836253668509,380.1300936601446,0.915482475,1.0,1.004079816557737
AATF,2,0.016905612048848252,3288.1651970679577,6581.610566954086,3.17916959476825,6586.330394135915,0.4988813801809473,1.0,1.0095646344441844
AATK,3,0.003057723999748901,981.0980450783147,1966.5109360080505,18.745187487392343,1972.1960901566295,0.825333975,1.0,1.00723929429729
ABAT,2,0.000758676753738536,431.62713406454037,866.7730542733633,17.442242242637985,873.2542681290807,0.874075625,1.0,1.0039205059421852
ABCA10,3,8.276221033632385e-6,27.41745374055736,57.60004506908992,4.125792299908381,64.83490748111473,0.965552625,1.0,1.0032453228101226
ABCA12,2,1.2882863383616702e-5,33.15247500855838,69.0898480892686,4.537813758672636,76.30495001711677,0.96338465,1.0,1.0021147356656381
ABCA1,2,4.172263282040094e-5,54.39083269345127,111.6891883826128,5.947928359705809,118.78166538690255,0.95634835,1.0,1.004157651384513
ABCA2,2,0.0021469889832236738,1067.4219827677975,2138.6458802543943,17.661043070312253,2144.843965535595,0.78985835,1.0,1.005361774809978
ABCA3,2,0.00040218652800879523,374.8590723439268,752.9487084807932,16.52375721689725,759.7181446878536,0.882797025,1.0,1.0021547047131678
ABCA4,2,2.5492491057315398e-5,44.06336565485165,90.92933177137434,5.287444553466766,98.1267313097033,0.958482875,1.0,1.0016371559844608
ABCA5,3,0.0015735978038078468,976.1671005681511,1956.413394368181,18.687615912407473,1962.3342011363022,0.78937005,1.0,1.0074329517782712
ABCA7,2,0.009437599100180239,2648.6080042177127,5302.13926364781,4.75119732636262,5307.2160084354255,0.5915469,1.0,1.007263237692944
ABCB10,2,0.001985893767107524,907.3479382145173,1818.3024256302917,19.00281738116063,1824.6958764290346,0.79749775,1.0,1.0088282434055662
ABCB1,2,0.002283636483409398,806.532671097126,1618.6999478867585,20.068112860514574,1623.065342194252,0.8170407,1.0,1.0032451232612074
ABCB6,2,4.051520777342362e-5,133.56944240220548,270.266096728973,9.79623469020674,277.13888480441096,0.932515475,1.0,1.0013450928112724
ABCB7,2,0.003152927932185546,1578.5798993667029,3161.655578550492,11.049719628173511,3167.1597987334058,0.748905075,1.0,1.0053274719233123
ABCB8,2,0.004377787526783864,1848.0386741498003,3700.153608438123,8.349369345852466,3706.0773482996005,0.66909885,1.0,1.0044009968190932
ABCC10,2,0.001026904261257561,713.3661857567168,1429.9227475652056,19.508951515407695,1436.7323715134337,0.85204265,1.0,1.0026849753908467
ABCC1,2,0.003283058905994072,1378.4272001296551,2760.3437043114527,13.381442073899363,2766.8544002593103,0.785069925,1.0,1.005164900715214
ABCC3,3,0.015123662164464008,2687.937366811454,5380.8707519001055,4.687860745312538,5385.874733622908,0.572859175,1.0,1.006121075687274
ABCC4,2,0.00304002762551475,1450.572047623578,2905.2027252986177,12.851235208944464,2911.144095247156,0.75519345,1.0,1.002119735916946
ABCC5-AS1,2,2.896305417742095e-11,2.0201730288751114e-8,0.4255729316581016,8.293299112775157e-15,10.00000004040346,0.9796607,1.0,1.0023943420986716
ABCC5,2,0.0008183063962609426,979.6053656564145,1962.3941400196372,18.024300309650133,1969.210731312829,0.840387975,1.0,1.0048245860882978
ABCC6,2,0.0007097851226277135,171.30007341645654,346.0332303822527,11.392964680789381,352.6001468329131,0.929401525,1.0,1.0032106862898256
ABCD1,2,0.00010183262615932443,533.0662795422406,1069.98324722909,18.664117811908685,1076.1325590844813,0.857051275,1.0,1.003817562837447
ABCD3,2,0.006517515333809923,2440.173742165215,4885.107417600323,5.463539510426087,4890.34748433043,0.605715275,1.0,1.004242367363757
ABCD4,2,0.0064941879538347996,1619.817810745366,3243.9389210938157,10.73053500888654,3249.635621490732,0.752409225,1.0,1.0041558783745144
ABCE1,2,0.03944094796184645,4058.521116712813,8125.060146341698,1.8158336355462965,8127.042233425626,0.43588141996927426,1.0,1.014770750197467
ABCF2,2,0.007288462379474965,2941.9999248575764,5888.864750514633,3.9702236474859,5893.999849715153,0.535413525,1.0,1.004510438483112
ABCF3,2,0.006236700255102616,1654.0741163604557,3312.9966299479147,10.079766092389836,3318.1482327209114,0.77009995,1.0,1.0020523342028553
ABCG1,2,0.00014911699995802028,91.92641947646395,186.93050706223937,8.01744622801801,193.8528389529279,0.944495325,1.0,1.0026643945893163
ABCG2,2,0.00042694193151659527,436.04356249525495,875.119787666991,17.57782631206612,882.0871249905099,0.881749825,1.0,1.0057650379124916
ABHD10,2,0.01505809824293579,3422.341378858993,6850.210480810121,2.8464517773841678,6854.682757717986,0.4991261694142838,1.0,1.0041254233234211
ABHD11,2,0.00988177746859512,2723.1652614024947,5451.623659418078,4.302421888611421,5456.330522804989,0.6275019,1.0,1.0102241732500137
ABHD12B,2,2.844143625527911e-5,179.0382362244093,361.04425379128475,11.545981180851104,368.0764724488186,0.92328205,1.0,1.0050007428513263
ABHD12,2,0.005811158739669006,1843.3873301676924,3690.7965589901505,8.108699337862722,3696.774660335385,0.6614449,1.0,1.0048616467773088
