Gene,Nalleles,Deviance,LogMaxLikelihood,WAIC,WAIC SE,AIC,Acceptance,Temperature,Rhat
0610009B22Rik,2,5.850051808605934e-5,1906.9290163121427,3816.7300046396304,33.711842406373954,3819.8580326242854,0.825960225,1.0,1.0061954263246395
0610009O20Rik,2,0.0002504766433565099,1921.5505399201973,3846.284656732459,33.76158491266537,3849.1010798403945,0.807988775,1.0,1.0022044300264863
0610010F05Rik,2,0.0006645450103259315,1659.9512969360069,3325.316203277313,32.78371564651214,3325.9025938720138,0.78315905,1.0,1.0022539053480397
0610010K14Rik,2,0.00021789634784426126,1236.525335627992,2476.22646320648,29.902873036092195,2479.050671255984,0.83354945,1.0,1.0039127262279883
0610012G03Rik,2,0.008174853008869384,8377.789858830247,16760.972784997073,7.849153285104363,16761.579717660494,0.4282782,1.0,1.0063138405483727
0610030E20Rik,2,0.0008945204653171896,2923.4683430983,5851.170900649124,32.28830657471401,5852.9366861966,0.718318075,1.0,1.0036231961644637
0610037L13Rik,2,0.00021228518227317834,2184.1442371370467,4372.905570677917,34.14968400953245,4374.2884742740935,0.75326285,1.0,1.003159243206923
0610039K10Rik,2,2.188082219120379e-5,127.31484799259142,257.4114687161689,8.851246653701168,260.6296959851828,0.9482064,1.0,1.0034237163728974
0610040B10Rik,2,0.00021075976782059257,1251.6010201027907,2506.2519483181204,30.058814248273602,2509.2020402055814,0.839475875,1.0,1.0052267957524732
0610040F04Rik,2,1.970553130905819e-6,45.418298323696064,93.38084460296352,4.948617473409304,96.83659664739213,0.967263325,1.0,1.0023036585188034
0610043K17Rik,2,3.5024855744948005e-6,58.25627511810356,119.52144264586356,5.673640910400005,122.51255023620712,0.96359725,1.0,1.0022286964901617
1110002L01Rik,2,0.00010742994067217543,718.3304162130593,1440.8089353206872,23.154961025526166,1442.6608324261185,0.867349675,1.0,1.0039718092871508
1110004E09Rik,2,0.00012491646182957733,782.6559248184224,1569.3051549328127,24.195438264983924,1571.3118496368447,0.862479525,1.0,1.002202651225473
1110004F10Rik,2,0.0015184166454515163,5293.925067089743,10592.944180721614,16.272682569069918,10593.850134179485,0.614342875,1.0,1.0060967157863103
1110006O24Rik,2,3.9898767857985064e-5,163.77221948753714,330.4452704512563,10.23663351204199,333.5444389750743,0.941786675,1.0,1.007537691805025
1110008F13Rik,2,0.0019567058704063737,3276.843107134007,6559.208663398367,30.897745105117533,6559.686214268014,0.706177325,1.0,1.0020245842861868
1110008L16Rik,2,7.991797747456566e-5,705.2465269164383,1414.0572635183537,22.97610371135877,1416.4930538328765,0.879039825,1.0,1.005009730310195
1110008P14Rik,2,0.0004485583167980194,3752.316174342098,7509.826920016018,27.528286780301595,7510.632348684196,0.648765125,1.0,1.002988322118999
1110012L19Rik,2,0.0002321016449032584,1327.9802101086557,2658.8696761665865,30.759994169946008,2661.9604202173114,0.8563596,1.0,1.0022225046800883
1110019D14Rik,2,2.5298627144536797e-5,720.4443920920376,1444.7278560447462,23.415171198074567,1446.8887841840751,0.87008075,1.0,1.0035298617429527
1110020A21Rik,2,2.3826292895659988e-5,311.48406811260514,626.8577257870106,14.654961791783299,628.9681362252103,0.917016725,1.0,1.0016154496476946
1110032A03Rik,2,0.0011957054468040777,2951.164954470228,5906.230285333586,32.00301902934911,5908.329908940456,0.715455025,1.0,1.0022137795098431
1110034G24Rik,2,7.240982260062788e-5,910.0980133430699,1823.3744273303291,26.197330064401747,1826.1960266861397,0.856624275,1.0,1.004473495887537
1110038F14Rik,2,0.0014853332831293842,3223.1985355707156,6450.455728422816,30.62872636910902,6452.397071141431,0.735141425,1.0,1.0033945840273109
1110046J04Rik,2,0.0004986092781913013,2345.4225952443167,4697.751314778806,34.4464803507035,4696.845190488633,0.724090675,1.0,1.0020361653661467
1110051M20Rik,2,6.627423385789512e-5,973.3575666915864,1950.07632732585,27.08436425264265,1952.7151333831728,0.8542859,1.0,1.0067376662278442
1110059E24Rik,2,0.00029398701227058413,2480.7857322932186,4964.713753992282,33.69248222876128,4967.571464586437,0.7846374,1.0,1.0026812446764026
1110059G10Rik,2,0.0002453094483338315,2454.3360744491247,4911.838275064194,33.75197097152308,4914.672148898249,0.77964945,1.0,1.0078245595287476
1110065P20Rik,2,0.00064420290727243,1668.737262484245,3341.5855033294647,32.96342738438206,3343.47452496849,0.804921,1.0,1.0054405919684961
1190002N15Rik,2,0.00042586968748683715,429.8041227158804,862.8236814951437,17.819447611081507,865.6082454317608,0.912362425,1.0,1.007763358589372
1190005I06Rik,2,9.210482672014487e-5,231.5640080353508,466.12003282938946,12.507021700287705,469.1280160707016,0.9313962,1.0,1.004386509866426
1190007I07Rik,2,0.00039575176569302175,1414.2442370245121,2831.675462365069,31.351733323106533,2834.4884740490243,0.822618575,1.0,1.002384187833922
1300002E11Rik,2,0.0003149292934149865,1196.9185572268423,2398.1667686683454,29.43400405592157,2399.8371144536845,0.822451375,1.0,1.0023234355334385
1500011B03Rik,2,0.00018283990085040758,1153.3985531494877,2309.6318277100836,29.073552208614103,2312.7971062989755,0.863101,1.0,1.0029024138913105
1500011K16Rik,2,0.001377622412966176,3856.790931579301,7718.206901395053,27.208930984114705,7719.581863158602,0.6362786,1.0,1.0021640927818531
1500015A07Rik,2,0.00017507563717841128,1081.3116259748692,2165.699184039304,28.26769327072719,2168.6232519497385,0.85596815,1.0,1.0030504045169157
