Gene,Rate01,Rate10,Eject,Decay,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD,Model,Condition,Expression,Variance,ThirdMoment
0610009O20Rik,3.120537268714706e-5,1.2855201615879914e-5,0.00023811973351346035,0.0013515590395635033,0.005382010029149059,0.07234005308870024,0.003149047327227154,0.02656165233651543,0.2847327859487006,0.008435052239027347,0.0027286747123212987,0.014506683534873156,0.0009158270911914893,0.0011402461841957434,0.01345159664519384,0.0006150846690336645,2,NK,0.24959448499594483,0.2606952937895361,0.2760673503835405
0610010F05Rik,0.0002623739446296703,8.14817116495558e-5,0.0007227804433730962,0.0016319949896592813,0.0037925811722254016,0.03957771955446531,0.004391912194897106,0.0024960296159466005,0.11347381952739159,0.010108407063698411,0.003530655908033192,0.00675757257232866,0.0015760690624440057,0.0015502965241550874,0.006161027488952656,0.0007255816400220305,2,NK,0.6758676679521007,0.7325676204017668,0.8046509263090972
0610010K14Rik,4.9107160180224834e-5,1.9054222753192642e-5,0.0004614265213953296,0.0010839814139259629,0.001964107766205574,0.03504851243699194,0.0046028060283261766,0.0009572173014031291,0.08483111062071169,0.009560277720671516,0.0019869547567964215,0.007774565517987318,0.0015681486254953158,0.0006468840256886716,0.00708438120928181,0.0009364873949533978,2,NK,0.6132764920828258,0.6809361992321932,0.7875462423799868
0610012G03Rik,0.004210482099599363,0.0039611216063973,0.008639303319503569,0.002144792145165861,0.004626570684978053,0.0064658212278581005,0.009866887072463379,0.0012507353968992797,0.008103203932433273,0.0038453357298703418,0.004458297628169123,0.004544114619015522,0.008989950561092187,0.0007809958299169004,0.0018376518744940373,0.00113714505481898,2,NK,4.150977995110025,5.822152670257438,8.389458842085816
0610030E20Rik,0.0011156911293732652,0.00022636298451627856,0.0015794571627940595,0.006317637516535419,0.02438980644814617,0.03513273250138721,0.0030398929371212866,0.10056879712740695,0.13452624000510585,0.005074620103581415,0.01072562401941709,0.003771841223072489,0.0018386326542421817,0.007532483713163807,0.0034784913243494633,0.00036046520120403566,2,NK,0.4157029823493609,0.429950210826975,0.45283231395234436
0610037L13Rik,0.0007680108132730465,0.0003639284143229966,0.0009475379334439883,0.002084370161569585,0.0037688300265394247,0.0405968153969731,0.004925270294809654,0.002414101016200443,0.12674710102733122,0.01141627219390801,0.0035417268069417645,0.006305288351296626,0.0017566379364302533,0.0016872512063466818,0.005788967215690636,0.0007689137401725889,2,NK,0.6168053582301604,0.6739453047165704,0.7595812059928965
0610043K17Rik,0.11949858306664254,0.0010687878454995747,3.639544769652113e-6,0.0035568081341968366,0.0012566959389165092,0.20823386106849645,0.0025595896017790256,0.0052451910991870715,0.5321793080586222,0.007061523322963478,0.0002781995384513873,0.05694695303321817,0.0007267571714240365,0.00022608686786112966,0.04841993530103004,0.0006194359390335883,2,NK,0.002027986209693774,0.0020238734816270657,0.0020156647066052564
1110004E09Rik,0.0008828313483473798,0.0007429809098089718,0.0020576913245246645,0.0017599667192184387,0.0013338807935508053,0.004130783439215245,0.0031874213739354687,0.0007218947646282088,0.0314700664780012,0.009271397885973023,0.001216599165198792,0.0013145649855152745,0.002325402601247295,0.0004555126092396145,0.000843680503626243,0.0004025422709167005,2,NK,1.2696766320927393,1.617736177719144,2.193250252335567
1110004F10Rik,0.006911511548364208,0.017471375942217805,0.018826579772964713,0.0019592359122430616,0.007150220046422271,0.03765861549663302,0.029454042481693324,0.0014064827993105207,0.06769168367116754,0.03576482719772302,0.007087386950522659,0.019386051724922384,0.019909433166300096,0.0010242737957891785,0.010023907148509963,0.005855037375120453,2,NK,5.447336315575439,8.229333083719798,14.571809705802632
1110006O24Rik,3.861186582799339e-5,1.3081137696589793e-5,0.00025043267538492006,0.002876827542214838,0.015461169119069687,0.08485510585453661,0.0021106090542275264,0.05820867089270131,0.29494740307900374,0.006999899403561941,0.005516201057410468,0.010561667833565746,0.0005160203373584053,0.003290289583328223,0.010002032714052544,0.00029430969213701315,2,NK,0.13002028397565923,0.1321819468502236,0.13346406397888516
1110008F13Rik,0.006911526037092563,0.022183586484708973,0.03147158757004101,0.0020316182675764525,0.007039495398846225,0.03758410217889641,0.043681614853162076,0.001007796142906622,0.0585772095956524,0.04657825314734939,0.006997402967845775,0.023535942900982706,0.03260082265819004,0.0007151444118300852,0.009940195256500358,0.008450118966426938,2,NK,7.359690238434891,13.024280971909974,28.350740111957894
