Gene,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD
0610009B22Rik,0.02091560018752237,0.04905899674328262,0.0015370546878277602,0.08352047557021307,0.20034460916403124,0.003317702250723329,0.006789324634586693,0.004837203368263924,0.0006818606315832249,0.00512854635617695,0.004465606021973371,0.00027065564777717724
0610009O20Rik,0.004383837581797373,0.12924392580993208,0.003989898925169495,0.02115081395119483,0.529842909201473,0.015839755773733474,0.0015937662052659253,0.024328995669587072,0.0009205426658643383,0.0008098240494806424,0.02200615091713772,0.000721871350032018
0610010F05Rik,9.325228157775556e-5,0.06746023461328064,0.008305723667415912,9.584342501978422e-5,0.19276245404878972,0.024341299271949175,7.348906547617216e-5,0.01966304561002983,0.002515716025739389,2.4874117236856256e-5,0.01584379117813632,0.00193357886776193
0610010K14Rik,0.0024071671714547037,0.06301201159830018,0.006044675667430322,0.001700867070828516,0.2199334395640809,0.017698346285695027,0.002203259694502514,0.012627387421904165,0.001805673150726476,0.0008713208120773811,0.01145401065354321,0.0010856102210190324
0610012G03Rik,0.005546022436212194,0.07254141521179823,0.004345211249025007,0.017065023632093033,0.38341977765096374,0.01940202943441756,0.0034334587406496214,0.009031146115973544,0.0010993288381623278,0.001769880291666918,0.008406961016337389,0.0005660580070566212
0610030E20Rik,0.004103395126369191,0.023199164457208304,0.0043532263410423185,0.0042019425506900215,0.10918743020200967,0.009637058345223546,0.0027327075506101113,0.002650120095707132,0.002462776233949531,0.0019360997044902506,0.0022754016858172726,0.00047916185947740816
0610037L13Rik,0.002289492677765024,0.07755367767893484,0.004369377139667376,0.01988135203390685,0.27936320739939163,0.01403817982939201,0.0010891813295305962,0.018461298586296537,0.001293758428499269,0.000451081297061024,0.016523601046965285,0.0009442739965594493
0610039K10Rik,0.0020726228052093103,0.11209321543988947,0.005146944794370559,0.007979134469469445,0.5208410068245248,0.01865363920268903,0.0007711215779008954,0.023692535886958348,0.001294789859577311,0.00044268592036375315,0.020834367842512764,0.000955830429169718
0610040B10Rik,0.0007696508383392012,0.053350708745088904,0.007262062087376248,0.0005323669985215953,0.27027394940182065,0.025940127579795032,0.0006980567741902768,0.010540549311626703,0.0020914622078865098,0.0003028983461815304,0.00922636976093156,0.0012104156160205374
1010001B22Rik,0.0009179808035388453,0.2994312147293571,0.002636984873524998,0.0057828144549881555,1.3661211787901837,0.009854302170657692,0.00019506222840129925,0.0635722379055493,0.0006001067309767752,0.00016203122176681255,0.05488357793356445,0.0005086449023687441
1110002L01Rik,0.006421264729103954,0.09071631877031998,0.0042510620148240134,0.06185388138696464,0.3235076961596712,0.01307534428361681,0.001899604963889303,0.015297553011267343,0.0011280863442196636,0.0011031535428706572,0.014128722164334542,0.0007790456723146209
1110004E09Rik,0.00038882484376846836,0.03373068955244739,0.007695896305804756,0.00019727122818810234,0.16123437782055006,0.03395608868055681,0.00038866040086829503,0.006541694889354353,0.002095126471026591,0.00013559559461915593,0.005560596321786575,0.0012169046993005276
1110004F10Rik,0.0026879806704005024,0.028218104928060733,0.007887566056053208,0.0014759216437142144,0.11776580647073336,0.02388506456199572,0.002601754388642945,0.005538812283572747,0.003286201278444239,0.001148468011525847,0.0046782675985166805,0.0012544054026799277
1110006O24Rik,0.002187769511030958,0.13640595177728798,0.003926496039337211,0.013573821497335317,0.43013053258199857,0.010672374920903683,0.0005293835563248718,0.030119301258305326,0.0010477837984595889,0.00035206888548036815,0.02655510195615474,0.0008491700187647272
1110008F13Rik,0.045178554194311,0.04125673030449547,0.0021581545854810853,0.11893689502294708,0.2053990820832598,0.0064249819883996015,0.018774235436873676,0.0032279775564931033,0.0012276086060436949,0.012878539527066933,0.002999960931503866,0.00016532802518738122
1110008L16Rik,0.00056084010797198,0.028639029789756514,0.011604191706736794,0.00032985905651002295,0.16085449573451752,0.05269322541843074,0.0005332785867329032,0.007617588562248833,0.005129959666315142,0.0002504871451409884,0.0059512367885305225,0.001961441352199305
1110032A03Rik,0.003989857417381543,0.07950417194936703,0.00417969628576151,0.020356463942775686,0.3013261710793382,0.012079243160462974,0.0019678026521426223,0.015332721780858073,0.0012162874817814738,0.0009981552780902042,0.013952939273528898,0.0007826713837573716
1110032F04Rik,0.0004198795449666539,0.8035923189160461,0.002283572894972332,0.001953070016341087,5.1008093954916065,0.013599303714454926,7.534559522180886e-5,0.1469735872016033,0.0003713775981196433,6.563083083929719e-5,0.12576130656216078,0.0003257058552546951
1110034G24Rik,0.0068219563703760125,0.05701494324758212,0.0037459481990820198,0.021375447355940012,0.22322247558789135,0.012279022779214657,0.003276659506044442,0.007570165531801488,0.0014643973715932003,0.002233874621211764,0.0068726748321218546,0.0006659078523201797
1110035H17Rik,0.0006640259342455547,0.06889087034303198,0.006783659983889095,0.0006098491316911113,0.2629212368191795,0.022699247326449384,0.0005666386404271402,0.01557407005422576,0.0018384938724723535,0.00019233212510286974,0.013541791958804632,0.0013349609707306552
