Gene,Rate01,Rate10,Eject,Decay
0610009B22Rik,1.2479293599755256e-5,2.32075819146155e-5,0.001191280496524126,0.011152969120990008
0610009O20Rik,8.168631293809168e-6,2.9126291852685674e-5,0.0003724873807426808,0.0020624267306175994
0610010F05Rik,8.266325113701707e-6,7.991466765907781e-5,7.27475275397826e-5,0.000924700807497163
0610010K14Rik,0.0025105756547632017,7.352219693129333,0.8704044564387343,0.0031641525164974055
0610012G03Rik,1.4474952847890922e-5,1.733087951126347e-5,0.0007312066978315087,0.0026891033228897527
0610030E20Rik,2.836488287148378e-5,8.494675064927422e-6,0.0017119819635187062,0.007678875202222458
0610037L13Rik,9.286459667526352e-6,2.7966164889965783e-5,0.0003863850142928631,0.0023164359948747064
0610039K10Rik,1.8281769423833304e-6,8.053857196713164e-5,0.0020604222640642567,0.004899336781911967
0610040B10Rik,6.104746204930588e-6,2.7966737040145312e-5,0.0009136447231506822,0.00466347466018793
1010001B22Rik,0.10339521137691651,2.002191641029069,9.799877726253358e-6,0.0016999302180200743
1110002L01Rik,4.549874101439464e-6,1.066343878920722e-5,0.0006287863006910486,0.006573416887625785
1110004E09Rik,4.172897869899545e-6,2.3387470292004435e-5,0.0008160791607923119,0.002633275844695018
1110004F10Rik,7.983618103428734e-6,5.218439608727617e-6,0.0019356594349050542,0.0031840187623768616
1110006O24Rik,0.154204748886388,0.0002548768735807763,1.1086930243193526e-5,0.003909908650841853
1110008F13Rik,3.605459353834478e-5,1.1477674042631764e-5,0.0013336695566783113,0.004570356678927509
1110008L16Rik,9.707727958783523e-6,9.377717261433082e-5,0.0035139651309195395,0.008377669643405371
1110032A03Rik,2.334257737300631e-5,2.3575769800116156e-5,0.00036199449627606465,0.004542459993891889
1110034G24Rik,5.89435390384684e-6,2.0762637708027778e-5,0.0016531495916701023,0.0104964484391465
1110035H17Rik,1.2801013623975796e-5,3.5713531228399914e-5,0.00025095605693878505,0.00223397098686276
1110038F14Rik,4.192440056908776e-6,4.528407139170639e-6,0.0017953322102529277,0.004699392871160168
1110059E24Rik,8.334149950587903e-6,1.0237287968801666e-5,0.00278594199065977,0.008600570639028799
1110059G10Rik,7.1437944999937125e-6,1.3274820444701635e-5,0.0024525924581805247,0.008163976687572594
1110065P20Rik,5.956584890733401e-5,2.6442101303784367e-5,4.786838370803593e-5,0.0015218779414600913
1190002N15Rik,3.0509048184046524e-6,7.838933838875855e-5,0.0027510335751780037,0.012565821088174845
1190007I07Rik,2.2508359580612802e-5,4.732010870294696e-5,0.0002790539650010386,0.0023359951159323275
1300002E11Rik,1.1409638569980766e-5,2.2999688890889725e-5,0.0006542168265877285,0.003006677731735747
1300014J16Rik,2.542447367837836,0.001367792268063229,0.00016874136046427196,0.031372275288025844
1500002C15Rik,0.9152830965146108,0.0041779517892683825,1.4729488107319832e-5,0.017266427316793724
1500011B03Rik,0.28739882027195884,2.868215602556056e-6,0.00024194162416833843,0.007908147348553139
1500011K16Rik,4.096580812755209e-6,1.9410780380758192e-5,0.00017778270596394653,0.0008296569088202958
1500015A07Rik,9.287339430653417e-6,2.5265371901926386e-5,0.0010356436166101626,0.008695174368734047
1600002K03Rik,6.145970858653987e-6,6.256658446944208e-6,0.0002547755528987405,0.0027164589466245784
1600012H06Rik,3.939974031162994e-6,4.5647340302492755e-6,0.0006582226962232868,0.007857120442377663
1600014C10Rik,2.4880126603219097e-6,1.830348239379078e-5,0.0007067174106513117,0.004278005382544795
1700001L05Rik,2.786597559376255e-5,1.1523302378058888,2.0415296677300592e-7,0.005422885641606358
1700003F12Rik,0.10301339221736829,6.250411833182317,3.843660315067618e-6,4.4048451388280624e-5
1700008B11Rik,0.11291474234607357,0.003723488684870632,7.098780370730699e-7,0.002428303356905357
1700008J07Rik,0.4113284994586496,0.00038389408461094316,1.9245941356329428e-5,0.001742410114755864
1700010I14Rik,1.5183137661755924e-6,2.7590458468952173e-5,0.0019555746286796854,0.008167881221691518
1700016K19Rik,3.6586043565977113,0.00600824682330143,1.1906822648832113e-5,0.006997451861799267
1700017B05Rik,14.632993803759375,0.0009795954831220378,0.0009233458517012747,0.022804402746964277
1700018L02Rik,0.24550681287495713,0.00014965802753866405,1.140215411803993e-5,0.004474414453976531
