Gene,Rate01,Rate10,Eject,Decay,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD,Model,Condition,Expression,Variance,ThirdMoment
0610009B22Rik,5.0567719754705054e-5,8.138596963771891e-6,0.006604846900579985,0.011152969120990008,0.008737202678188557,0.007540601741760553,0.007919749787531532,0.01007865877144275,0.03307696177161089,0.0033116587497586266,0.005273803740678802,0.0013066253409944482,0.007157539207058822,0.003678632271593752,0.0010850805458478602,0.00046361467965777515,2,sWTr1,1.0202745849297572,1.1006425810526699,1.1803325306756207
0610009O20Rik,0.002943855333296142,0.006875056633487415,0.0015520350805124836,0.0020624267306175994,0.0034368899803098566,0.058616678617759654,0.006149105371725758,0.0017596492475359276,0.22428997318621696,0.020574421101501303,0.0034267014770719643,0.012271947150367347,0.00204751404472415,0.0011586668117784613,0.011100870993908843,0.0011699144934605565,2,sWTr1,0.4512117346938775,0.49219878680107243,0.5712797921718509
0610010F05Rik,0.00019375121656418887,0.00010082281046678264,0.0005763279888455452,0.000924700807497163,0.0011540127764200962,0.014014341408113716,0.003068265676176324,0.0006477187917186801,0.04966836471077947,0.008339309106135704,0.001077938127959003,0.0018293690187081693,0.001021376289158341,0.0005092043278204668,0.001571029921279582,0.0003763903743550769,2,sWTr1,0.8199362041467306,0.9501926594069633,1.1495866142253448
0610010K14Rik,0.00015550994207998305,3.1916485781033886e-5,0.00161461390224468,0.0031641525164974055,0.006210631920155003,0.036194459566612755,0.004979161682910425,0.004813848821103173,0.3224867929105269,0.02284631964744561,0.005027104452271178,0.003616399095892683,0.0023019935020743244,0.0029967074202277284,0.0032192658343948776,0.0005453644759661489,2,sWTr1,0.8468166586883674,0.9154210934004838,1.0121173256113893
0610012G03Rik,0.007798381270957428,0.039340435868470455,0.038802195385867995,0.0026891033228897527,0.007692618131472904,0.06605605114913815,0.0563666160147521,0.0010076049551260612,0.11185666674684222,0.07429736153605826,0.007689331108190928,0.03650030164430211,0.036857366280070324,0.0007243216774605659,0.016828800384033872,0.011664461916664558,2,sWTr1,4.774498797113071,7.871843674216688,16.4540389466088
0610030E20Rik,1.2289447969683116e-5,3.6111285506817362e-6,0.0032109771801773807,0.007678875202222458,0.005171367909490887,0.010787184146988356,0.004655018920873482,0.005538443186162336,0.05343934379182778,0.004994684575075977,0.003270812070371675,0.0015130698723867446,0.0036665247040334444,0.002222179102163516,0.0012443690206579627,0.0003724560771212076,2,sWTr1,0.6464485235434956,0.7029343143892803,0.7714079044093219
0610037L13Rik,0.0013692099101631707,0.0005209693591941403,0.0022070307954139327,0.0023164359948747064,0.0037960390900258637,0.012649373863813101,0.004373932935189599,0.0026116651000422293,0.04428065302919244,0.0068674651536138635,0.0031683195239903547,0.0022473528257079683,0.0027330554796580857,0.001674635583097027,0.0018593943561710416,0.0005599897949903148,2,sWTr1,1.3802524364914524,1.5780474838073715,1.8591807328368857
0610039K10Rik,1.2336871158906192e-5,4.8490891229845706e-5,0.00021960444663854668,0.004899336781911967,0.0025108952161209783,0.09521349656088247,0.0031668148917586812,0.009683292441828624,0.27062904539190147,0.008533294497142048,0.000980023621283611,0.02354363904022244,0.0009558685389433274,0.0005570892933487181,0.020837406312328385,0.0007212293693073595,2,sWTr1,0.018173122907699665,0.01879934066451813,0.020011633282251855
0610040B10Rik,4.111107713739811e-5,1.397627132639555e-5,0.0007945510047294707,0.00466347466018793,0.013526380907234303,0.05529897187245317,0.003193457925874377,0.15175049275744007,0.2066509137422921,0.008116443582181119,0.006432293225981884,0.0073344504443795065,0.0012673598654238828,0.003808648501734152,0.006808143559254425,0.0004708702995252713,2,sWTr1,0.25422647527910686,0.26487448140432274,0.28267117310309164
1010001B22Rik,0.07536650140394807,2.921722649485731e-5,9.487950628423184e-6,0.0016999302180200743,0.0029984604218299695,0.25774807750878304,0.002119882524824492,0.008758067064584159,0.8271997260900044,0.006427405438507702,0.0010533345833288522,0.06343482562011028,0.0005215360875287555,0.0007316210681613327,0.055731688966355976,0.0004412068924725935,2,sWTr1,0.011158935118762953,0.011034413285778191,0.01078814868191896
