Gene,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD
0610009B22Rik,0.008737202678188557,0.007540601741760553,0.007919749787531532,0.01007865877144275,0.03307696177161089,0.0033116587497586266,0.005273803740678802,0.0013066253409944482,0.007157539207058822,0.003678632271593752,0.0010850805458478602,0.00046361467965777515
0610009O20Rik,0.0034368899803098566,0.058616678617759654,0.006149105371725758,0.0017596492475359276,0.22428997318621696,0.020574421101501303,0.0034267014770719643,0.012271947150367347,0.00204751404472415,0.0011586668117784613,0.011100870993908843,0.0011699144934605565
0610010F05Rik,0.0011540127764200962,0.014014341408113716,0.003068265676176324,0.0006477187917186801,0.04966836471077947,0.008339309106135704,0.001077938127959003,0.0018293690187081693,0.001021376289158341,0.0005092043278204668,0.001571029921279582,0.0003763903743550769
0610010K14Rik,0.006210631920155003,0.036194459566612755,0.004979161682910425,0.004813848821103173,0.3224867929105269,0.02284631964744561,0.005027104452271178,0.003616399095892683,0.0023019935020743244,0.0029967074202277284,0.0032192658343948776,0.0005453644759661489
0610012G03Rik,0.007692618131472904,0.06605605114913815,0.0563666160147521,0.0010076049551260612,0.11185666674684222,0.07429736153605826,0.007689331108190928,0.03650030164430211,0.036857366280070324,0.0007243216774605659,0.016828800384033872,0.011664461916664558
0610030E20Rik,0.005171367909490887,0.010787184146988356,0.004655018920873482,0.005538443186162336,0.05343934379182778,0.004994684575075977,0.003270812070371675,0.0015130698723867446,0.0036665247040334444,0.002222179102163516,0.0012443690206579627,0.0003724560771212076
0610037L13Rik,0.0037960390900258637,0.012649373863813101,0.004373932935189599,0.0026116651000422293,0.04428065302919244,0.0068674651536138635,0.0031683195239903547,0.0022473528257079683,0.0027330554796580857,0.001674635583097027,0.0018593943561710416,0.0005599897949903148
0610039K10Rik,0.0025108952161209783,0.09521349656088247,0.0031668148917586812,0.009683292441828624,0.27062904539190147,0.008533294497142048,0.000980023621283611,0.02354363904022244,0.0009558685389433274,0.0005570892933487181,0.020837406312328385,0.0007212293693073595
0610040B10Rik,0.013526380907234303,0.05529897187245317,0.003193457925874377,0.15175049275744007,0.2066509137422921,0.008116443582181119,0.006432293225981884,0.0073344504443795065,0.0012673598654238828,0.003808648501734152,0.006808143559254425,0.0004708702995252713
1010001B22Rik,0.0029984604218299695,0.25774807750878304,0.002119882524824492,0.008758067064584159,0.8271997260900044,0.006427405438507702,0.0010533345833288522,0.06343482562011028,0.0005215360875287555,0.0007316210681613327,0.055731688966355976,0.0004412068924725935
1110002L01Rik,0.008333023866186447,0.05023151468843384,0.0041908762855728966,0.013556173047530725,0.24767884724939668,0.013496624525179343,0.005473309541983672,0.004226252266655556,0.001785408504776571,0.003746467487364222,0.0038028470566389685,0.00043117316168467886
1110004E09Rik,0.005118780231692913,0.04622138937237787,0.03278973945847067,0.0007520919033135536,0.08277184503988456,0.04554443084204224,0.005122823607373161,0.025146410307098504,0.02125997871983345,0.0005402417183354487,0.012226316418159211,0.0070555189784104015
1110004F10Rik,0.012258500443707635,0.02721964956343344,0.04655862451369396,0.0017977795070885174,0.018826324032900826,0.015410147367125681,0.012111788341817479,0.022251520635312834,0.04270126802911435,0.0012081527212166304,0.007039818869907115,0.006266021096373871
1110006O24Rik,0.006522518301374856,0.14211137679362643,0.0025616307557850804,0.028093346265901528,0.4421827565577485,0.006953288204919782,0.0022811618116713125,0.027113392849829537,0.0006412843872667406,0.0013920997833179248,0.025373841667067645,0.0005157232918925721
1110008F13Rik,0.01644151512851869,0.14136418008412469,0.1796050134773134,0.0015698340140084719,0.14680921629982552,0.14718974271574947,0.016462483634197514,0.09661184835915768,0.13513475581995157,0.0011088690009188988,0.03933637474171086,0.04039886437951756
1110008L16Rik,0.015090948457962045,0.0372092960836333,0.003127092875100984,0.0635370405104743,0.2071880527740963,0.0066686752961586495,0.007437995301453584,0.004103274637955793,0.001799095130369579,0.005361406116537607,0.003770607336939579,0.0004113426665932837
1110032A03Rik,0.006326831812732184,0.033349978792301824,0.004640812893972199,0.005183378274715062,0.11268280125892803,0.008905226915436378,0.005057804341319275,0.004259638907402923,0.002319667673280971,0.003327055405425044,0.003906219811864041,0.0006031548485179564
1110034G24Rik,0.014372257451881513,0.028128788328871272,0.002809483796585879,0.058757163516000126,0.14870967477288055,0.005302468543146819,0.005788348518775117,0.0028015711753795643,0.0018629716023119977,0.004277787615456909,0.0024577588126674954,0.0003571009005883905
1110035H17Rik,0.009719553103455613,0.11456545967461718,0.0022122159441138305,0.0451912348869775,0.3659858412791245,0.00587790111413628,0.003097869193611139,0.021641637257328396,0.0005486160109425049,0.0017256235793142384,0.02008569417251153,0.0004151111546572985
