Gene,Nalleles,Deviance,LogMaxLikelihood,WAIC,WAIC SE,AIC,Acceptance,Temperature,Rhat
0610009B22Rik,2,0.0009644144256641052,4968.652137534112,9941.608705734481,33.1727419150186,9943.304275068223,0.67193605,1.0,1.0040209334028756
0610009O20Rik,2,0.000664845446962092,2263.0451575281663,4529.592840224727,38.361874453048415,4532.090315056333,0.7832751,1.0,1.0050913651825493
0610010F05Rik,2,0.0007799370633903284,3651.914112790899,7310.7118763380095,39.367855302588055,7309.828225581798,0.6592804,1.0,1.0038286418249853
0610010K14Rik,2,0.0012930526700591154,3765.3061133682463,7535.236240229992,38.599166065125495,7536.612226736493,0.709833475,1.0,1.0014232801040541
0610012G03Rik,2,0.0038167203725573266,8746.215343696098,17497.196471358926,13.90062518611023,17498.430687392196,0.47332185,1.0,1.013554996802289
0610030E20Rik,2,0.00025859353592755553,2897.545832071614,5799.224916660995,39.83740828446546,5801.091664143228,0.7534179,1.0,1.0030783271114119
0610037L13Rik,2,0.0016027502555678971,4648.00868520061,9299.458058249904,34.05514550448167,9302.01737040122,0.677628725,1.0,1.0055126920865602
0610039K10Rik,2,4.0073933897518774e-5,224.34764862792352,451.6044976869551,11.97919463942687,454.69529725584704,0.93356145,1.0,1.0023557030120351
0610040B10Rik,2,0.0002245363911063893,1798.07361946225,3599.2698851048635,35.845007828374904,3602.1472389245,0.8259226,1.0,1.005110066514681
1010001B22Rik,2,2.9239433803077752e-6,73.71783130394124,150.65579465400506,6.328866320397793,153.43566260788248,0.96030475,1.0,1.0027611529933533
1110002L01Rik,2,0.0006563003040930294,2134.675240297298,4272.420246876068,37.7424517062687,4275.350480594596,0.80614705,1.0,1.0025987047008527
1110004E09Rik,2,0.002638741438882804,7100.659542304022,14206.583912912072,21.293726875301594,14207.319084608043,0.55277095,1.0,1.0044061323350921
1110004F10Rik,2,0.005383463845034793,12125.805251753174,24257.239280311605,8.243177950903483,24257.61050350635,0.375729725,1.0,1.006905369478052
1110006O24Rik,2,5.9304049267915824e-5,264.0467432253949,531.1795685139653,13.164247057598528,534.0934864507898,0.92716865,1.0,1.0019051448261385
1110008F13Rik,2,0.0032802266930754566,11162.843366459912,22331.32403018588,9.451484653578866,22331.686732919825,0.4166083,1.0,1.0050401152744226
1110008L16Rik,2,0.0003086392164760825,1711.4357615379224,3426.0833469547597,35.05690721989332,3428.871523075845,0.82719905,1.0,1.0027537239987725
1110032A03Rik,2,0.0005109520204964787,2790.8466435959995,5584.65405598024,39.64407425816085,5587.693287191999,0.77522315,1.0,1.002521395523044
1110034G24Rik,2,0.00028726780965108995,1427.700297763415,2859.590049252695,32.42972819416316,2861.40059552683,0.828347875,1.0,1.007624664183113
1110035H17Rik,2,3.44484259947097e-6,406.6040967291893,816.5012755558452,16.78615743045075,819.2081934583786,0.90667055,1.0,1.0037020045811818
1110038F14Rik,2,0.0007393069299904418,6785.976082995275,13576.214750456364,21.13347982959828,13577.95216599055,0.5779217,1.0,1.0118995482791369
1110059E24Rik,2,0.002119471728797097,7276.304883031268,14557.324397964036,18.89187463309379,14558.609766062536,0.560998425,1.0,1.0078427731439397
1110059G10Rik,2,0.00045274609837952194,3860.351744890227,7723.498519432811,37.92663633156341,7726.703489780454,0.740375,1.0,1.0035758648241095
1110065P20Rik,2,0.0009499782953716042,5269.1458677028095,10543.1514221595,31.18356359761487,10544.291735405619,0.6048287,1.0,1.0040434672245182
1190007I07Rik,2,0.0016153078608460746,7197.142413537827,14401.671742986951,19.791115771757113,14400.284827075655,0.57140425,1.0,1.0091729856695726
1300002E11Rik,2,0.0006341695144609387,3501.61625592406,7006.949291855183,39.17638459424478,7009.23251184812,0.723103325,1.0,1.0025841105940965
1300014J16Rik,2,4.940333728951819e-6,92.422440871011,187.32483598177367,7.1931182689112045,190.844881742022,0.958293175,1.0,1.0029119698215916
1500002C15Rik,2,1.9775841032100255e-5,166.82305508387543,336.3471806078388,10.093285633658422,339.64611016775086,0.945066725,1.0,1.0020384501959454
1500011B03Rik,2,0.0006965493183685536,2271.9632260639664,4546.748274415825,38.38548580332136,4549.926452127933,0.811003075,1.0,1.0024399140435003
1500011K16Rik,2,0.0020717989839483092,5724.175610871154,11455.564287050205,28.316238427552854,11454.351221742309,0.5671442,1.0,1.0069043635945474
1500015A07Rik,2,0.00024085456913741217,1385.462516968775,2774.9993764632013,32.01436074320043,2776.92503393755,0.831788275,1.0,1.0028957465974955
1600002K03Rik,2,0.0008495790709027643,3417.1648427880896,6840.3578694120915,40.101523389250346,6840.329685576179,0.699036175,1.0,1.0092291588501727
1600012H06Rik,2,0.0001433177397048478,1364.560984125258,2732.3247557735212,31.887069263979797,2735.121968250516,0.842897375,1.0,1.0042482736245029
1600014C10Rik,2,0.00011248670565757101,869.8342631134665,1742.9376825074828,25.728342514723664,1745.668526226933,0.8765784,1.0,1.0070862986150195
1700001L05Rik,2,7.305127874199246e-7,40.3246498861743,82.92823634540025,4.550104350857243,86.6492997723486,0.96929025,1.0,1.0025686015624886
1700003F12Rik,2,1.169895029610139e-7,17.962441762382564,100.4041962053549,3.0501310219774163,41.92488352476513,0.975070825,1.0,1.0028699150155274
