Gene,Nalleles,Deviance,LogMaxLikelihood,WAIC,WAIC SE,AIC,Acceptance,Temperature,Rhat
0610009B22Rik,2,0.004237760837816529,8711.434174921256,17428.222442645027,11.826549509696056,17428.868349842513,0.438325875,1.0,1.0140258557963018
0610009O20Rik,2,0.0017599645994407992,5509.9422388456915,11028.422632669271,24.799347475946412,11025.884477691383,0.56097625,1.0,1.0060480320312732
0610010F05Rik,2,0.0014330408567520977,4780.471941022998,9567.220305263128,32.62031475331892,9566.943882045996,0.6064959,1.0,1.0107511305533332
0610010K14Rik,2,0.0065425427423352394,10043.794121116323,20094.293197213698,9.496238503677839,20093.588242232647,0.433891125,1.0,1.0254517962064267
0610012G03Rik,2,0.005053057895465743,10255.672940491364,20516.74401933591,9.362487388283334,20517.345880982728,0.3681504,1.0,1.008690418784741
0610030E20Rik,2,0.0010439956880640368,3196.066663102554,6396.572334813564,37.73755009155222,6398.133326205108,0.7101513,1.0,1.0045991829268557
0610037L13Rik,2,0.0016870129176457915,6608.874441985528,13222.834322612547,17.8682559765336,13223.748883971057,0.55281505,1.0,1.0081515637275897
0610040B10Rik,2,3.813162414284066e-5,754.8095303702146,1513.0198785039613,23.895554940632167,1515.6190607404292,0.8762227,1.0,1.0023299652005067
0610040F04Rik,2,0.0008909827632687527,1577.7295184765528,3161.602172188902,33.456766544354494,3161.4590369531056,0.791219625,1.0,1.0030445605958893
0610040J01Rik,2,0.0002269359708802752,929.2154942473323,1863.3886295352374,26.20936996290019,1864.4309884946647,0.84779425,1.0,1.0012378482478532
1110002L01Rik,2,0.0010332067409480309,3581.6961563001996,7168.907147800139,36.64388227753276,7169.392312600399,0.6946384,1.0,1.0015156744104952
1110004E09Rik,2,0.0027500346700543225,8830.988026701494,17669.45536307521,11.210923742882963,17667.97605340299,0.496479275,1.0,1.0045051314402804
1110004F10Rik,2,0.008390621342650537,12233.338450459467,24472.130720761776,6.647643401027337,24472.676900918934,0.317679275,1.0,1.0040926831629498
1110006O24Rik,2,0.00013833301678294545,343.0280493452465,690.4036706569046,15.416150092470618,692.056098690493,0.913419625,1.0,1.0023044681020148
1110008F13Rik,2,0.009397190812408703,14117.600082530245,28241.066793894646,4.521258856392473,28241.20016506049,0.296608075,1.0,1.001195132594099
1110008L16Rik,2,0.004539376856456431,6658.250570585347,13322.04845038723,24.32430471924125,13322.501141170695,0.510956425,1.0,1.0090700283595395
1110008P14Rik,2,0.005239464445685609,8098.336080034813,16203.077716123184,13.303877684512809,16202.672160069626,0.445963375,1.0,1.0046422666923527
1110012L19Rik,1,0.0013920975416603389,4820.043094947648,9644.723941075057,29.234681220504907,9646.086189895295,0.66294205,1.0,1.0057430353142405
1110017D15Rik,2,6.941820976808155e-5,348.70869442198784,703.0355526073835,15.239029284210618,703.4173888439757,0.912682675,1.0,1.0041594070127773
1110020A21Rik,2,7.369851088799474e-5,264.92304510890847,533.5812315505596,13.279599940406241,535.8460902178169,0.925179525,1.0,1.0017707286351025
1110032A03Rik,2,0.00026421095168163104,1575.8467531589843,3158.2545730403563,33.82454586126354,3157.6935063179685,0.79755035,1.0,1.0034634418141837
1110032F04Rik,2,2.699243260034896e-5,478.5931356277491,961.2144165409544,18.405817364973245,963.1862712554982,0.8965594,1.0,1.0039612133453732
1110034G24Rik,2,0.0016521561598816902,4051.1414291145516,8106.448384506363,34.19312888925019,8108.282858229103,0.690310925,1.0,1.0072353983745759
1110038F14Rik,2,0.002632769823867418,8880.192062997341,17766.45370121453,11.200677238769,17766.384125994682,0.48297625,1.0,1.0135146585233987
1110046J04Rik,2,9.109142427169082e-6,553.8013026019137,1113.8614070765063,20.16630370468377,1113.6026052038274,0.886492125,1.0,1.002928993644349
1110051M20Rik,2,0.0008325482542120026,4334.588376285296,8674.339158763567,35.015055762049585,8675.176752570593,0.62211005,1.0,1.0037975100750423
1110059E24Rik,2,0.004666552790244176,9240.085029059996,18485.637416080317,10.78968364006541,18486.17005811999,0.477926,1.0,1.0157992089127719
1110059G10Rik,2,0.0010668953810446602,3594.92947069522,7193.147077872462,36.17653695873441,7195.85894139044,0.7241211,1.0,1.0052187693546424
1110065P20Rik,2,0.003274334025646935,7196.353031658697,14402.411267470008,16.287457942782883,14398.706063317393,0.52474885,1.0,1.0035144421960656
1190002N15Rik,2,0.0008403533922362922,2220.8810406519124,4446.533476446529,37.29833893255626,4447.762081303825,0.760300975,1.0,1.0116352320445712
1190005I06Rik,2,0.0009542484131255744,3602.9228415564066,7213.908791968689,39.40143969358711,7211.845683112813,0.66861735,1.0,1.0030686340940793
1300017J02Rik,2,0.0002966642681034912,2228.7312723321343,4465.860438887785,37.353367181965545,4463.4625446642685,0.736956725,1.0,1.0021545284905364
1500009C09Rik,2,0.000369027546319016,474.66284968171215,955.0924801537406,17.874707213837368,955.3256993634243,0.89796655,1.0,1.0025931860589907
1500009L16Rik,2,0.010473355895032345,11698.563808502851,23404.783289743973,7.503861494716405,23403.127617005703,0.339132375,1.0,1.008949678165229
1500011B03Rik,2,0.00184654931106756,5539.09153707179,11083.987032898838,26.377443073759554,11084.18307414358,0.630944775,1.0,1.0034595863948728
1500011K16Rik,2,0.0035831533477800196,6757.0792620153115,13520.084967679792,20.930790526271206,13520.158524030623,0.55521185,1.0,1.0073374335389502
1500015A07Rik,2,0.0004180738094780564,1697.6626373526892,3398.446697310383,34.54376228737271,3401.3252747053784,0.83529665,1.0,1.004379871362336
1500015L24Rik,2,3.127489645029203e-7,25.468236898865424,58.74805168932323,3.6242980591030673,56.93647379773085,0.97309375,1.0,1.0015225219606347
1500015O10Rik,2,8.121083104368118e-5,959.0643151084114,1922.3964474607342,26.842684802050844,1924.1286302168228,0.845981275,1.0,1.0017722671496698
1600002K03Rik,2,0.0016120021062234467,3960.034675645222,7925.975155538891,34.72010568817294,7926.069351290444,0.666458775,1.0,1.0071036955888948
1600012H06Rik,2,0.0010207071694883364,3996.6979907386394,7996.270372120918,34.14152271380332,7999.395981477279,0.723726075,1.0,1.0059748833250972
1600014C10Rik,2,0.00023283719684240133,2225.524571672597,4462.171724570959,37.32084855912039,4457.049143345194,0.7359923,1.0,1.0014558203649493
1600014C23Rik,2,5.0270106961399906e-5,226.10957618658108,457.88972149635293,12.115546627834041,458.21915237316216,0.92983375,1.0,1.0035004766438034
1600020E01Rik,2,0.002397132413783366,3911.987115912328,7833.120960453001,36.09060708176062,7829.974231824656,0.658582575,1.0,1.0046528755893265
1700001C02Rik,2,2.64321224433801e-8,7.09306005768105e-5,4.216308354487817,1.1502467947818218e-14,6.000141861201153,0.98190595,1.0,1.002920136562713
1700001C19Rik,2,1.2710384613720645e-5,466.80550247324015,939.7223955966938,18.2083303574711,939.6110049464803,0.896090375,1.0,1.0043175413316108
1700001J03Rik,2,1.3941631796378786e-7,17.789755812963964,40.12828580549763,3.0970687056584603,41.57951162592793,0.9756398,1.0,1.0027228790172578
1700001K19Rik,2,3.4815396870271467e-6,72.85441352054542,149.57321885922343,6.325389125378843,151.70882704109084,0.960317875,1.0,1.002785810418032
1700001L05Rik,2,2.8344677362314918e-5,954.7987072023641,1913.216456794347,26.92753769382197,1915.5974144047282,0.8531049,1.0,1.0030763109647876
1700001L19Rik,2,4.947907632386966e-5,681.2898473849518,1371.093263800914,22.381107530951972,1368.5796947699037,0.8697119,1.0,1.002521577615788
1700001O22Rik,2,4.222244545232188e-5,769.9156510948005,1546.8191508787206,23.961502167278525,1545.831302189601,0.8605913,1.0,1.0040712595216925
1700001P01Rik,2,9.566493886257117e-5,851.4622252510665,1710.376176458642,25.174446810137663,1708.924450502133,0.8521788,1.0,1.0047222206250352
