Gene,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD
0610009B22Rik,0.011965833174672317,0.07907066224279705,0.01855408665612903,0.004335964707763718,0.205254949054234,0.03444796944609553,0.011982966072718539,0.026899502804561284,0.010000889061477211,0.0031352311833233587,0.020364540354167186,0.004054407366091737
0610009O20Rik,0.003598530017888856,0.06897046974467957,0.003701118631551336,0.010767695655250951,0.1774812628029901,0.008882215807504527,0.0026717283934018727,0.01735304317181525,0.0011760651729406416,0.0008696480931235105,0.0155667448124578,0.0008103849153241377
0610010F05Rik,0.001092709205684021,0.03192567455545282,0.005961893419091712,0.0004362599000445753,0.10181701905658114,0.01709724000485282,0.0011357333712067343,0.006769597602622739,0.0017780706309820978,0.00029623534753394395,0.005871135600833571,0.0010814789975958556
0610010K14Rik,0.0017203824293330174,0.004098269207026418,0.0023163515383945598,0.0012354518935899699,0.02787008433175384,0.004989951881481832,0.0013821022533990017,0.0006330416858185692,0.0016500555506213208,0.0006097037321046078,0.0004533082760293474,0.00020339949293650362
0610012G03Rik,0.002646512169478077,0.0359586808155548,0.011960081185620162,0.0007683325611722767,0.10692439605814541,0.029683312427952708,0.002691203596810052,0.009062662494128198,0.004514528545769866,0.0005847149427912533,0.00697519268939799,0.002192796747789173
0610030E20Rik,0.00869021683582979,0.07991642314197757,0.003497509949468593,0.042808181766296347,0.3698561530030042,0.011227347460513843,0.004380207996021384,0.013413809800878102,0.0010143542432535192,0.002036708416493058,0.012591917626653137,0.0005981931500746902
0610037L13Rik,0.007475338613608605,0.05400423723830928,0.004229445980935823,0.010146003703799525,0.21165812163970862,0.011997801439667952,0.006052833066186214,0.006788631736018266,0.0015285602858946298,0.0033079398887673533,0.006419926682524838,0.0005890363288934301
0610040B10Rik,0.013128826315231984,0.23126404597788391,0.002411205209439723,0.07845113302758254,1.2698593525630057,0.012962495539921884,0.003522118995378871,0.029855600193413562,0.00038521592257812675,0.0023112957564082933,0.028406630889366277,0.0003182175399256794
0610040F04Rik,0.0007381552068516234,0.06508268599190224,0.005250029740809427,0.0005458983027711688,0.28787554300461937,0.022594119700489513,0.0006434390521438775,0.015810346400099998,0.0015025175856905322,0.00019730333540080597,0.013839750175048845,0.0011190614573031322
0610040J01Rik,0.0007902917447471309,0.08037972827275065,0.006115966930941293,0.0015359978102131356,0.27872257899613606,0.022891010041307835,0.0005743808934825436,0.02001319687622817,0.0017435346592775802,0.00021480317604725542,0.017327266042519,0.0012736318114651571
1110002L01Rik,0.008177307512792352,0.053293637922139696,0.0023530825927329598,0.030402706346129862,0.2102023799119618,0.008793351533916449,0.003920306304935147,0.008425459622430454,0.0007288734935257492,0.0020373531934484808,0.007890785900109441,0.0003726287955391999
1110004E09Rik,0.0013514468293675912,0.0025550764830077175,0.0018679488968329078,0.0011965928340531768,0.014189182401170822,0.0023431699782043877,0.0009799530437546603,0.00038929686914336944,0.0014704491676374673,0.0005298194477934141,0.0002922287442646875,0.00014200510235576466
1110004F10Rik,0.00481093667121406,0.016471587818989206,0.013667676691004582,0.0011579964872558738,0.028185150930874876,0.012986039691769195,0.004686554430967307,0.008638960454044253,0.010109685176664659,0.0007909309300650228,0.004205267597670426,0.0022817905682318736
