Gene,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD
0610009B22Rik,0.0070528547976925985,0.016779169652402087,0.006816415190161738,0.0044606187891632,0.04835536218966242,0.007450026200816935,0.006089502991049838,0.00424560994948296,0.004874348131361672,0.002781996594125638,0.0033010396154117896,0.0009398635238764804
0610009O20Rik,0.00332804096245067,0.07578476971134145,0.0035166263661185874,0.005487592615684399,0.21293000606897214,0.00857585936249184,0.0025095802734224947,0.019132449788777994,0.0011336148593937714,0.0007888705403224737,0.017142717077108176,0.0008126466986521782
0610010F05Rik,0.0015725008071412066,0.056578063670641325,0.004877180878033595,0.0008489372856087285,0.17640970463104408,0.014212814273586376,0.0015426617201562025,0.010063600823435348,0.0012096151934907593,0.0004995722876149418,0.00936565625327157,0.0008274727547451045
0610010K14Rik,0.0031654370156578987,0.0594436478497989,0.011493965697176641,0.0009794293254219103,0.171452242343011,0.02913368205990248,0.0032566607474055704,0.013961357553168597,0.0038108021432658816,0.0006840129778883631,0.01153377916242854,0.002166230174279929
0610012G03Rik,0.002953578106746599,0.0374669570014978,0.0097823748625823,0.0007949761877927057,0.0850530643153645,0.018493129285614963,0.003018490387637301,0.012179731312361785,0.004331408182071608,0.0005715241415438581,0.009344026866802042,0.002230839658720711
0610030E20Rik,0.009361931631324538,0.09371283482275375,0.0027586980218325128,0.020697440287168745,0.5634079026096336,0.013805705706123904,0.004876324333006597,0.0097135846663687,0.0006344937717350373,0.002703124225656121,0.009218443462001296,0.0003315378574685552
0610037L13Rik,0.009231282858968098,0.06713613935005076,0.0037932161100144475,0.03562128234648064,0.2824506483590849,0.012919309221885146,0.0055862087290505,0.0043573297461493195,0.0010489032089426918,0.003489161342659014,0.004111970855063452,0.00033215773730791744
0610040B10Rik,0.010543084613865572,0.13100764891517463,0.0018328411370449637,0.03696672055614811,0.428209985728658,0.007556193619365016,0.0036072256824847297,0.023539491432639635,0.00039050586405586145,0.0022349517499655166,0.022252539976445256,0.0003061136918073963
0610040F04Rik,0.0041109956060232525,0.12405904380844948,0.003272683840325794,0.03566227260789433,0.5122940669654551,0.011643592701796575,0.0013034632898760987,0.029319129631830063,0.0008446098580795211,0.0006180369746445523,0.0260298924501946,0.0006791335308219959
0610040J01Rik,0.004580212362898853,0.13326362185021873,0.0038288685478687686,0.07568548496976588,0.44600719792476584,0.01181482321335273,0.0010738457018973234,0.02847155314775398,0.0010144131722630402,0.0005354983248425749,0.02554106869311352,0.0008104797672353634
