Gene,Nalleles,Deviance,LogMaxLikelihood,WAIC,WAIC SE,AIC,Acceptance,Temperature,Rhat
0610009B22Rik,2,0.00405716094172038,6889.234079435841,13783.653008519326,7.61319086576334,13784.468158871681,0.466829825,1.0,1.0045755353699515
0610009O20Rik,2,0.002513499373452243,3915.612287464366,7838.493851323448,18.900782817559843,7837.224574928732,0.60709095,1.0,1.0103167244429285
0610010F05Rik,2,0.0014569894058955053,3117.324207126317,6239.922684792178,29.167695866555942,6240.648414252634,0.66146075,1.0,1.0028997536497721
0610010K14Rik,2,0.003847094821582811,6875.409842896838,13757.349700717694,7.18903077776996,13756.819685793676,0.50198725,1.0,1.0014581198227999
0610012G03Rik,2,0.011158115733772093,7993.48591568185,15992.482338549487,5.971815402356856,15992.9718313637,0.36661895,1.0,1.003480979736478
0610030E20Rik,2,0.0009833453303254574,2506.2085555529306,5016.2577469403495,29.534261205238774,5018.417111105861,0.748332825,1.0,1.002886430523329
0610037L13Rik,2,0.003154665717530609,4852.02857387434,9710.0725591917,12.698035802317477,9710.05714774868,0.590557125,1.0,1.0076954339011517
0610040B10Rik,2,0.00030274262162542507,912.7251394270081,1829.345605815046,25.88601849508117,1831.4502788540162,0.849588475,1.0,1.0041224331583107
0610040F04Rik,2,0.0005383188523921833,1056.197359496198,2117.100126402079,27.461460795867723,2118.394718992396,0.83032715,1.0,1.0019353245211344
0610040J01Rik,2,5.840678284987115e-6,350.9086456112905,704.7730669576167,15.952806989687195,707.817291222581,0.9120631,1.0,1.0016322747742494
1110002L01Rik,2,0.002349892749959344,2722.1949364328743,5450.781022983977,29.40684737166656,5450.389872865749,0.7118637,1.0,1.0038441727904044
1110004E09Rik,2,0.00412624942890212,6515.706458801508,13036.911260105433,8.378001979541553,13037.412917603016,0.484622925,1.0,1.006700597900313
1110004F10Rik,2,0.009514322829347614,9165.196167217959,18335.158116770082,4.316724802205189,18336.392334435917,0.31551815,1.0,1.003538316329175
1110006O24Rik,2,2.3630204889226315e-5,358.7509233533617,721.7334953169062,16.066212644824926,723.5018467067234,0.907216125,1.0,1.0052407184902978
1110008F13Rik,2,0.015561764082267792,9741.795612075355,19488.70270202184,3.6586999632519546,19489.59122415071,0.3060094,1.0,1.0109812208342024
1110008L16Rik,2,0.005003440029351806,5343.641629384573,10693.40447312002,14.867811247620901,10693.283258769146,0.548977275,1.0,1.0040167193254335
1110008P14Rik,2,0.005817548597560209,6827.4398511372365,13662.411283306143,7.633639748878736,13660.879702274473,0.4695202,1.0,1.0130199214758644
1110012L19Rik,1,0.0011665696703284927,4184.118610334724,8372.765728162905,18.09231897018432,8374.237220669447,0.6298663,1.0,1.0078425527062962
1110017D15Rik,2,0.0001944034005177054,280.4673738145845,566.3885141427558,13.718111899383874,566.934747629169,0.920591025,1.0,1.00209679977606
