Gene,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD
0610009B22Rik,0.008015715310987468,0.024472758252332274,0.01507812105856904,0.0031822591021742003,0.05395557662918011,0.016344559395351992,0.0076394748690463725,0.009834089709913502,0.010726982586279498,0.002199119020973102,0.006355868343417139,0.0026036954546753725
0610009O20Rik,0.003971510378889526,0.07654570519543102,0.004505643703793533,0.015588656712298749,0.24393387558304216,0.01226670474544969,0.002549057103177426,0.01800328206066071,0.0013657887650227111,0.0008783518858726848,0.016566768892517215,0.0009848754634437544
0610010F05Rik,0.0007051723263562058,0.05019632878293505,0.016139850613813646,0.00013626681782755404,0.1203502013314985,0.03689021132491791,0.000709498490482979,0.0190923364357048,0.006608582375415336,8.07347453650293e-5,0.013956340111462481,0.004309034875468696
0610010K14Rik,0.0006921546928951233,0.0009601254430035446,0.002230904123737396,0.000252418287146199,0.002979263329926365,0.0014402035831558835,0.0006640091624142812,0.0006534148582123195,0.002069534447645914,0.00015383271497511526,0.0002782410964213413,0.00022117363151196237
0610012G03Rik,0.0021592910035691092,0.08646039590389054,0.05905024651761554,0.00017892094139662718,0.1341856529897648,0.08640775858518407,0.0021627869726551924,0.047203654591595624,0.0337525209580676,0.0001154042047430007,0.026675071606210667,0.017312806228842847
0610030E20Rik,0.0160981237190682,0.05194938871344243,0.0021337262679924124,0.06484619907343771,0.20218565584546097,0.005829002080096972,0.005981185316135451,0.006737325691313642,0.0007346807709480765,0.003545229824444198,0.006311840301621166,0.00031492180170651857
0610037L13Rik,0.006646182361031533,0.045557462088471806,0.004653997394517505,0.011782067069487569,0.310024365444204,0.020474218562644877,0.005140217246810635,0.005012253635772802,0.0017312300417568858,0.002936684547189431,0.004682302081218908,0.0005960505747404728
0610040B10Rik,0.004179785518891522,0.09486678075656774,0.0033198554045545583,0.012465831271588783,0.3577738695549876,0.008233683194566748,0.0018907517729024937,0.020006523157982493,0.0009686852405630198,0.000975608561216409,0.01825897293824533,0.0007247049783682809
0610040F04Rik,0.0035961855806255195,0.09516930892206853,0.003611508471791215,0.019483079718251726,0.29877265260244823,0.010377786024144702,0.0012738707017342901,0.02417485644993887,0.0010485592650485815,0.0005902717633542605,0.021277678047141917,0.0008212109039481022
0610040J01Rik,0.004575447039337061,0.16609712497638315,0.0029839234399759353,0.02331931262216447,0.554950076528199,0.010171958556246408,0.001226883646042599,0.03618271873418017,0.000728879173790792,0.0008134405911705794,0.03260182656657553,0.0006186260630993464
1110002L01Rik,0.0018238946565701801,0.03649662981844452,0.004249838145003469,0.0012939609113317295,0.12502648971822033,0.012709923421176937,0.0016654617264479027,0.004753393213089841,0.0011436427631289934,0.0008380068977012125,0.004384066864821399,0.0005649785178902264
1110004E09Rik,0.002971464281976259,0.01892796099513643,0.006380481129754253,0.001540407634581233,0.07818795052006987,0.017243652616185802,0.002748474821670961,0.003328870273842815,0.0029171187653194534,0.0011443781528415252,0.002709976514813607,0.0009084427724181041
1110004F10Rik,0.005961552771819389,0.05705083356200588,0.04770048675141659,0.0009139900648369633,0.13741400419042096,0.09145473670624975,0.005977103502512202,0.026643088465296318,0.027529361231494066,0.0006533020836515515,0.013944078486401314,0.009806236041080078
1110006O24Rik,0.0011203939516300668,0.16982740770141516,0.003687187670310518,0.0030281707822280607,0.5800395155053915,0.010373944620669073,0.0004070075750494302,0.04400814829821394,0.0011118898441800345,0.0002435069341281844,0.0365047904904669,0.0008987234486835824
1110008F13Rik,0.005680459672825332,0.03748108643479204,0.04663326611422035,0.0008112433574074206,0.08104131025255727,0.07325946664725044,0.0056529053627299855,0.021223164397034068,0.03198727884919804,0.0005813989643531385,0.00947603507586226,0.009124081144721255
1110008L16Rik,0.0008593810338029512,0.011268452003871726,0.007898668007736627,0.00018643813407552372,0.0284142275936007,0.01588632346765938,0.0008551541607006505,0.0043766283439708705,0.004064601153386225,0.00013186307470155166,0.0023164065214506986,0.001380247339543424
