Gene,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD
0610009B22Rik,0.008396911732350533,0.020937008907215386,0.010164194700202207,0.005035587711736181,0.06295749094927405,0.012194968698646603,0.007466150708786343,0.0055528417623639465,0.007152301225766466,0.003321563216966783,0.004397241677870888,0.0015300371542051822
0610009O20Rik,0.0010918588157487344,0.04082604148271143,0.005314942931398673,0.0005428840469944038,0.14325013179516627,0.01765098521100438,0.0010886712807274413,0.00723634955808306,0.001273219187845957,0.0003325760760578575,0.006773240092639852,0.0009001444508890044
0610010F05Rik,0.0005442731156860727,0.05012844200443897,0.02138703442946627,8.532505873295199e-5,0.1137405208184268,0.046836312180313124,0.0005451424071529782,0.020156842913761897,0.009103453734501804,5.001508472072608e-5,0.013622018232838116,0.005617851798906338
0610010K14Rik,0.0005699154239275455,0.0007406971521901866,0.0023112116812512946,0.00019832266558496775,0.004781634125467605,0.0026812952971657696,0.0005492818399833662,0.00046195634937807564,0.0021465455851447856,0.00011686602975389621,0.00016988847423399792,0.0001675130213372139
0610012G03Rik,0.002007728313249524,0.07417893550431437,0.050941059323127584,0.0001860938333710503,0.11266495415225165,0.07278416678607484,0.002016530906561579,0.03855294109622773,0.02795422232785857,0.00011802801220263393,0.02280316881181606,0.014807967942874822
0610030E20Rik,0.02001116671415064,0.06470225217890767,0.0020909609101576448,0.09631105863401396,0.34404268026555956,0.008623567117458469,0.007209885459965516,0.007865932232353129,0.0006408904030799594,0.004311648174184373,0.00749297734685858,0.00027880152937415813
0610037L13Rik,0.024885026426183454,0.04271505685298607,0.002401082555214818,0.0692397234588882,0.18080904987842397,0.005249030676587705,0.010673710885660145,0.004360329405093717,0.0011689330139042808,0.006942206684984876,0.004088877572150386,0.0002720352631259993
0610040B10Rik,0.003393661668305629,0.08263892095735965,0.003825748087730041,0.01658689049376318,0.2767414931157667,0.010890763009775815,0.0014333467778610363,0.018030162351237666,0.0010525357338402254,0.0007026315454422143,0.01617181009226912,0.0007649113929726165
0610040F04Rik,0.0022597025539082957,0.1003968246667988,0.004533200673044937,0.014696514294048306,0.33131037182796136,0.013054717500621045,0.0008987195279177894,0.02282064654653297,0.0012176073569551667,0.00038834446592668547,0.019812032850446748,0.0009436190164484225
0610040J01Rik,0.003237216621402313,0.12390898529004056,0.002881435024506078,0.011133143352988368,0.3783889165376298,0.008543700967793597,0.001034752067914699,0.02886063558067692,0.000786251720709601,0.0006590990895094599,0.026008590408531908,0.0006350059783283087
1110002L01Rik,0.0025998189451245284,0.052609381784854865,0.004807340785850858,0.002029675086353749,0.17637778746236443,0.014428135243187817,0.0023342793528611052,0.011505374257024336,0.001566175578260685,0.0008662266437680916,0.010494802486471978,0.0009705188719250658
1110004E09Rik,0.002110239051650577,0.01112418298492791,0.005483209439091081,0.0009681654646552239,0.047931929294871084,0.014157621694058988,0.001960189124584311,0.0024994300382386223,0.0029197879274174736,0.0006511773046614425,0.0017184077512846648,0.0007318604418756719
1110004F10Rik,0.004159280643816543,0.01255700769839489,0.017011876742265855,0.0008587427117834664,0.02595008362844895,0.01813128656079311,0.004068777710406471,0.007609339994069122,0.013558252254874618,0.0005694006943495365,0.003134538614307101,0.002572436318011629
1110006O24Rik,0.0029883829471024125,0.23980101762392902,0.0030610169844770955,0.010656581240951157,1.1139183888995299,0.011347159541868733,0.0008591276613010323,0.05181203487213791,0.0006741888676834788,0.0005809778553758859,0.045052866399876705,0.0005753009566137487
1110008F13Rik,0.0057505263994365105,0.06768659060449954,0.08035439779752764,0.0006495977424347454,0.09939762681513462,0.09850414124042704,0.005775622602361887,0.037595105375390396,0.050700804630227136,0.00046236433691450047,0.018735647997344607,0.019059785326187902
1110008L16Rik,0.0011484798576002371,0.027914742013051226,0.01305393404849224,0.00026563336219784825,0.09134697942984851,0.03824077928791698,0.0011742015590807734,0.008571191762800825,0.005042169554521749,0.00018181040031224084,0.006082456689062232,0.0026495643611248653
1110008P14Rik,0.0014218724726541138,0.01819197052597763,0.007585517942555016,0.0004638036642134683,0.12019239517947161,0.04128468207018802,0.0013977979796519564,0.0035369600251363683,0.0026224879023727765,0.00035435209196743806,0.0025034433985963354,0.001008795827768756
1110012L19Rik,0.007760517672589641,0.06903263467210903,0.01374782863133482,0.0028714108695545777,0.2910737193368641,0.04639919198326893,0.00768960045705971,0.02125485445994969,0.006434266532908692,0.0018716201981121188,0.016226694319298386,0.002878969511628169
1110017D15Rik,9.74256302989124e-5,0.07064829147388785,0.009393239227820371,0.00021207800292040243,0.21103480580286016,0.02812307289617166,6.671402939220636e-5,0.020545713670931623,0.0029248895857311493,2.7624569922185324e-5,0.016492588110380083,0.002208565832163275
1110020A21Rik,0.002207461697315431,0.1820040537875761,0.0044414789089339745,0.02045712308195549,0.6935971650473679,0.018167541352839045,0.0005189325472415454,0.038676147618997764,0.0009865425981191757,0.00032146143196200316,0.03384327374677701,0.0008321766080625331
1110032A03Rik,0.0006751435495360824,0.06066862270266461,0.006718723308617977,0.00036127262972931887,0.1583850840186924,0.01701681073104903,0.0006312096152499623,0.015504613665371281,0.0018876991948227752,0.00015363074533609295,0.014028228525780131,0.0015258057867724105
1110032F04Rik,0.0035232803940278383,0.20356741253354335,0.002728738333995558,0.024241162759375393,0.7094586597369299,0.008723783400172887,0.0008306666920435842,0.04302316030705082,0.0006207908189615316,0.0006194014899528171,0.03839539160338905,0.0005306503769751131
1110034G24Rik,0.0032436395743671506,0.06025307468486725,0.00702361999175137,0.007236383106338532,0.26493124755099257,0.025653825335084618,0.002985190682533785,0.012595696354007785,0.002287562412477851,0.0010371865128181368,0.011230986439046221,0.0013174130793505768
1110038F14Rik,0.003963255345391251,0.01788867858000815,0.005089380558841188,0.0030584910248948687,0.10197492880862176,0.014964664760308274,0.0030883773462522367,0.0017317939633566377,0.0026608416673148155,0.001733573078594565,0.0014719502723849391,0.00049946628665685
1110046J04Rik,6.255726852697053e-5,0.050604038032194786,0.010962562105885486,4.2549941984796035e-5,0.12716271295053952,0.026861338257505123,5.75336035013894e-5,0.014751076463830374,0.0033198669774603395,1.4405168336829138e-5,0.012379825572345748,0.0026448301285991608
1110051M20Rik,0.0013233857644413063,0.04389118925049481,0.011744236718951714,0.00040603685441171057,0.12714324639631042,0.03106344954168528,0.0013646785422428563,0.01204704858089271,0.004021342180421398,0.0002573295348188055,0.009881797454755783,0.0025445155020275808
1110059E24Rik,0.00750247674773775,0.045433303387642975,0.015125297802412816,0.002631701178038996,0.11150780907831452,0.025413755324290677,0.007322150594666934,0.013977715798069397,0.007998052737475244,0.0019179188181320935,0.010009924230146718,0.002848894336278163
1110059G10Rik,0.007062491403884093,0.047341331489266204,0.004638652624655757,0.015069343337656632,0.15624796737930383,0.011200419419702762,0.005465230309584582,0.008440403812900527,0.0019266034140210386,0.0027445649252973332,0.007771740790711499,0.0007940075475421687
1110065P20Rik,0.0010808007172424445,0.052713746362780596,0.021731352899551627,0.00014035425035689635,0.0942397801550941,0.03694638457539942,0.0010832246562845788,0.024752453886941285,0.010801999138583545,8.670343522401594e-5,0.01643085886361122,0.006470393816426025
1190002N15Rik,0.002238897341597748,0.03639258035440146,0.004449625024741935,0.003291480239355675,0.1422257616751364,0.013793921973032287,0.0018169261154961204,0.005799211059594973,0.0016273519808442734,0.0010676066491062063,0.005139657186111495,0.0006711488147297874
1190005I06Rik,0.00027555808426364675,0.023502468633757566,0.015407920284901953,5.102265059378269e-5,0.04686104332420109,0.02919621499325916,0.00027800364974880633,0.009242884994879713,0.006529688796668316,2.604051839463485e-5,0.006169489267470959,0.0038455317826060088
1300017J02Rik,0.0003369827211760682,0.07721269266745996,0.006544624920066087,0.0006886628333329448,0.24438055689430685,0.018014320915878047,0.0002656374696016951,0.021769354963474364,0.0019018595468611203,7.879043436562352e-5,0.01855162241167545,0.0015304160331956792
1500009C09Rik,0.00011258986044402223,0.049135779887380195,0.01007232814676799,7.286506161625321e-5,0.12729091685830757,0.023237537263180008,9.95003972425566e-5,0.015080716560741225,0.0033845911448106207,3.228452483877823e-5,0.012497839992412822,0.0024899533588681015
1500009L16Rik,0.0005371123838651583,0.050930557551034275,0.09393900051798665,3.9418094540246773e-5,0.14119239295729144,0.2541592180506475,0.0005378268644651552,0.02243956788796827,0.04267257741436534,1.800943991577149e-5,0.01273825241399685,0.022915645220346063
1500011B03Rik,0.0024818856208031433,0.01589098265170519,0.005086365837457943,0.0017125985902755735,0.0470992280755847,0.008625703664283103,0.002145620311816841,0.003295720496678614,0.002785404070447979,0.0012166100444494224,0.00276627731085031,0.000761764441442709
1500011K16Rik,0.0023622658179608996,0.056150963578664115,0.023578881934636958,0.00041847818395115884,0.1285768752786908,0.04835636759567701,0.002389964237875475,0.022096942095922358,0.010790029840067994,0.0002722575279476725,0.014365469315249431,0.00555976942462744
1500015A07Rik,0.03262088137379982,0.025533432795022834,0.002061409714332164,0.18442626205387466,0.12471496344646761,0.003873205446527968,0.00845518453775699,0.002738251205130716,0.0013962156547520522,0.006707696676710416,0.002473726446328585,0.0003344329576169809
1500015L24Rik,0.00042338334646013244,0.5420545153236953,0.0019574655675847633,0.0017326670674276499,2.2831534555400466,0.011056613094146166,9.01860428916397e-5,0.12564058049061338,0.00046225177188825406,7.652619195573843e-5,0.10801952571084662,0.00039013654354028767
1500015O10Rik,0.002296292141908753,0.19835611290884322,0.004422464799853802,0.006396149503528799,0.7531884787619857,0.019592792874376094,0.000784058450667399,0.03883979325240226,0.0009846010515833705,0.00046839076426331177,0.03346143302966066,0.0008100302815241367
1600002K03Rik,0.0029480221890740782,0.06915604621683846,0.005062040336251047,0.004461478911928406,0.221952811679231,0.014572315503835647,0.002328056956424569,0.015689754632040986,0.00151429080157026,0.0007644849830740937,0.014071438714725817,0.001034468862148785
1600012H06Rik,0.004229591871083507,0.03254206476666509,0.006626502251298621,0.002891100364001821,0.09287254671335148,0.012000888504773197,0.003796044280749966,0.006142512257430857,0.003153420626830669,0.0020944747648602062,0.00540757060955778,0.0010611472942149622
1600014C10Rik,0.001839208922108493,0.09623988253785062,0.004718663965239406,0.017152970524735658,0.2939320675765211,0.015640497185824543,0.000668083939739286,0.024804279403736536,0.0012672869236271065,0.00024379181750015553,0.020673547388194526,0.0009963411298558253
1600014C23Rik,0.0012227121261837292,0.3222824662059386,0.0022442691207116994,0.005818733654045711,1.1675589981271495,0.007872199081082252,0.00032235112705729136,0.07637793338233369,0.000558051321336264,0.00024860361827407855,0.06438995711354631,0.0004741627991385921
1600020E01Rik,0.0017274743489226418,0.05132314842024697,0.008960091069706256,0.0005599705535792748,0.11926492794132779,0.01922651145867842,0.0017363880206017774,0.016240015924375673,0.003372838835248949,0.00033287793848861525,0.01357881050937414,0.0022648289480376995
1700001C02Rik,0.0006692496236609031,0.3829188548318997,0.002303125475727673,0.0023989364384022884,1.2847556602655175,0.0075536692769141945,0.00014834306090759548,0.08440116301851708,0.0005143685859567504,0.00012445802126122345,0.07085047910411407,0.0004383207437417898
1700001C19Rik,0.0008262218323967331,0.1550832764362268,0.0042662959403942605,0.010307092277834547,0.4933537471877585,0.013116029828594554,0.00018682846705239738,0.03850594520753534,0.0011942662417596165,0.00011645642886380617,0.03251036240049781,0.0009818459928749575
1700001J03Rik,0.0005925911592883924,0.4714132853366139,0.0024111041923992175,0.0024778590861582904,2.207384893284842,0.008604186476610263,0.000127941793862191,0.09292764531176904,0.000498610689837128,0.00010766784776895164,0.08006042684753123,0.00042684781099238485
1700001K19Rik,0.0015064165726465324,0.2934241084863706,0.0026061366753247837,0.00903383189650082,1.75978623502906,0.009143986878697018,0.00038709168012883324,0.06477420508493476,0.0006008268488979789,0.00029073872222147004,0.05581805322873201,0.0005106752201991869
1700001L05Rik,0.011629959992754542,0.13827970265641196,0.002163406217759761,0.08530397145566558,0.42616021160709466,0.006627531742050714,0.003574971732692366,0.02787155257473186,0.0005057098185134012,0.0021632339449766764,0.026088962342046974,0.0004077725419832802
1700001L19Rik,0.003242818903073421,0.3291159436374501,0.002333285510978446,0.021466334731644235,1.1701773506860835,0.010218506541538712,0.0008779545332852495,0.07903069071751356,0.000540061531421161,0.0006074974259015719,0.06784496597056941,0.00045241181150447343
1700001O22Rik,0.0025585199587407005,0.21593832232155813,0.0033596217065594135,0.012693430928394887,0.7039521192379362,0.01003801131875313,0.000716250478303488,0.05230464525999609,0.0008939007679688925,0.00043920035919155166,0.04518339991897815,0.000753399285241394
1700001P01Rik,0.0007842591916367629,0.14176648362301056,0.005586205698221578,0.0028429703917314604,0.565369924543292,0.0257286861948587,0.0002885960129523219,0.03287830499105723,0.0013442401080922786,0.00013492803224006986,0.027513714317731253,0.0010927402443749751
