Gene,Nalleles,Deviance,LogMaxLikelihood,WAIC,WAIC SE,AIC,Acceptance,Temperature,Rhat
0610009B22Rik,2,0.000251095467738222,3059.7410485021533,6122.436710527418,41.60169880855218,6125.4820970043065,0.778364225,1.0,1.0042967800856715
0610009O20Rik,2,0.00043463815873952873,3224.233675225536,6453.214015965026,41.884753184378575,6454.467350451072,0.704236125,1.0,1.0036603745955806
0610010F05Rik,2,0.0003776717014625326,1572.0655341202714,3151.4319003643163,33.964522601533126,3150.131068240543,0.793527025,1.0,1.0034148027681045
0610010K14Rik,2,0.00043895269202309106,3455.726887484666,6915.877103063858,42.040227995769364,6917.453774969332,0.70042475,1.0,1.0038364675787208
0610012G03Rik,2,0.001542808896838574,8806.41820637352,17617.559833886142,17.373251797345034,17618.83641274704,0.4682651,1.0,1.008257952819002
0610030E20Rik,2,0.0019722697717551403,4793.068717397227,9590.660911050973,38.66114793807569,9592.137434794455,0.674303175,1.0,1.002612356493948
0610037L13Rik,2,0.0016240792342746635,4821.618312021924,9649.11576353473,38.39927183348253,9649.236624043848,0.65097955,1.0,1.0032313980961531
0610039K10Rik,2,2.9224041067320483e-5,389.6201622397628,783.5365772184491,16.113359761171804,785.2403244795256,0.909051425,1.0,1.001704646623196
0610040B10Rik,2,0.00018808691411253088,2523.581505318834,5051.405624230294,40.36980520752946,5053.163010637668,0.743225225,1.0,1.0031519245183815
1010001B22Rik,2,2.311517321673581e-5,196.4877097084905,396.5599781056925,11.007894878542093,398.975419416981,0.936552875,1.0,1.0052656343831063
1110002L01Rik,2,5.900346019444765e-5,1411.7290166014875,2826.4578427860433,32.64226502620143,2829.458033202975,0.84603135,1.0,1.0036064132444977
1110004E09Rik,2,0.0010056161678819507,4056.825103550203,8118.367784940619,41.45118504444901,8119.650207100406,0.667418225,1.0,1.0054705086569478
1110004F10Rik,2,0.0058954960890064715,12610.275162302369,25225.468755431102,9.98661133900192,25226.550324604737,0.343050375,1.0,1.0034106514468717
1110006O24Rik,2,3.264916013928347e-5,841.118382808253,1685.764642376021,24.96532874839352,1688.236765616506,0.864287675,1.0,1.0031244659425809
1110008F13Rik,2,0.00251943445306021,9172.306976196012,18349.914519485377,16.72236231787867,18350.613952392025,0.49666025,1.0,1.003252013783733
1110008L16Rik,2,0.000454737785971067,1778.2053848325586,3560.811530993322,35.8501730293409,3562.410769665117,0.804736575,1.0,1.0052674410141562
1110032A03Rik,2,0.0030087580748718377,3911.2246411165606,7827.291045623496,41.90128074826684,7828.449282233121,0.668688,1.0,1.0030591304520033
1110032F04Rik,2,7.73148554358034e-5,1080.5127900931238,2164.8591051264757,28.455019859134953,2167.0255801862477,0.848383225,1.0,1.0019916743295645
1110034G24Rik,2,0.00047046156408601665,2030.9286526306857,4065.517372040634,37.78344100277653,4067.8573052613715,0.81141815,1.0,1.0021111314706401
1110035H17Rik,2,5.681919430329365e-5,929.1365803033164,1862.5849724050038,26.28435574534055,1864.2731606066327,0.8523344,1.0,1.002623993064417
1110038F14Rik,2,0.0015768425087281201,6580.205413468826,13165.068975123326,28.209134535783896,13166.410826937652,0.598969025,1.0,1.0086574894045706
1110059E24Rik,2,0.0009327345929764137,5800.559800572557,11605.397501733732,33.66652972975624,11607.119601145114,0.626885,1.0,1.0096781858172192
1110059G10Rik,2,0.001430394456070595,4762.290536746529,9528.919695641198,38.077958961574225,9530.581073493058,0.69989015,1.0,1.0038452982353139
1110065P20Rik,2,0.001586009757822315,4384.326884071912,8773.797091751103,39.981083863119146,8774.653768143824,0.644689825,1.0,1.003940734450414
1190001M18Rik,2,2.1619513455393291e-7,26.021064483244068,54.21193946079986,3.6517295377588397,58.042128966488136,0.974085125,1.0,1.0020918678137045
1190002N15Rik,2,0.00013799840157744438,1083.4630315547467,2171.1543167920076,28.387062600395872,2172.9260631094935,0.846938325,1.0,1.001519718317665
1190007I07Rik,2,0.001372227677714033,4700.638155726815,9406.089611688572,38.508645100777485,9407.27631145363,0.654604125,1.0,1.0041801602423177
1300002E11Rik,2,0.00046223254554888306,3149.291182454284,6303.1744097171595,41.869608711364734,6304.582364908568,0.710448525,1.0,1.0012825515595976
1300014J16Rik,2,1.1606895687379334e-5,431.2815344462814,866.1365550150268,17.176669831641927,868.5630688925628,0.9106819,1.0,1.0039940779176983
1500002C15Rik,2,5.0952200093536e-5,273.4011865051085,549.6870546776152,13.328531615210357,552.802373010217,0.9322847,1.0,1.0024234210005518
1500011B03Rik,2,0.0005544995855960695,2058.596659397231,4121.178699122606,37.94379031726957,4123.193318794462,0.80046815,1.0,1.0024853369786864
1500011K16Rik,2,0.0008831281061318788,5063.133832933269,10133.966258619454,38.94142928948587,10132.267665866539,0.59453095,1.0,1.00939337426806
1500015A07Rik,2,0.0004976588750719253,2654.10741928449,5312.566364727882,40.908650175227955,5314.21483856898,0.738118375,1.0,1.0041318932807024
1600002K03Rik,2,0.0011009777926909933,6075.777320280226,12157.655710985495,32.88861765271474,12157.554640560453,0.60346875,1.0,1.0108316186127
1600012H06Rik,2,0.0002914988526982775,1649.0297534598778,3302.1020986578624,34.77504536445757,3304.0595069197557,0.81539185,1.0,1.0030636790934577
1600014C10Rik,2,5.96296132482756e-5,1405.9620552506558,2814.9955937654536,32.57676610708015,2817.9241105013116,0.840526625,1.0,1.001047318786163
1600014C23Rik,2,5.55022098662794e-5,283.23789327494546,569.688952289029,13.603853506544597,572.4757865498909,0.9244471,1.0,1.0026208727686055
1700001L05Rik,2,5.78056995053762e-5,288.14352577926655,579.3733083613841,13.739786000160393,582.2870515585331,0.9256638,1.0,1.0023520700640232
1700003F12Rik,2,6.008931662696038e-7,40.814313725282766,147.30393879496768,4.536759701569901,87.62862745056553,0.96818585,1.0,1.001194457612012
1700008B11Rik,2,2.9089207392446457e-6,81.11846141320642,165.04861014306599,6.632155731123436,168.23692282641284,0.9589408,1.0,1.0031827595406104
1700008J07Rik,2,8.673157790080724e-5,1164.2688709014626,2332.970437327124,29.567732713271717,2334.537741802925,0.83283745,1.0,1.0029207127897652
1700010I14Rik,2,6.25769374505228e-5,858.7106307333722,1721.4763300813008,25.15862481734375,1723.4212614667445,0.8643591,1.0,1.0040927165777263
1700016K19Rik,2,0.00025818254154797473,935.156975578079,1874.8883716890136,26.067266882869244,1876.313951156158,0.8516797,1.0,1.0065527784525574
1700017B05Rik,2,0.001365965286562673,6704.3837646426855,13414.674187468641,31.50755370817472,13414.767529285371,0.570304425,1.0,1.0016186883193645
1700018L02Rik,2,4.710504943216794e-6,99.86540395119607,202.33307893217392,7.461857340363664,205.73080790239214,0.955138925,1.0,1.00522729039865
1700020D05Rik,2,2.1647209750521616e-5,191.13309248556794,385.34079296691885,10.833649358560358,388.2661849711359,0.93813935,1.0,1.002418453509084
1700020I14Rik,2,0.0031049131534051154,8487.98758798835,16981.062508480412,19.084440467110447,16981.9751759767,0.54573775,1.0,1.007252357222054
1700021F05Rik,2,0.0011931874734797839,3463.6299233599752,6932.06092992197,41.92492682918158,6933.2598467199505,0.721913225,1.0,1.0028784111326976
1700022I11Rik,2,6.15329266782455e-6,111.99538858024151,228.39537349234243,7.965349610977082,229.99077716048302,0.951995925,1.0,1.0049100830600262
1700022N22Rik,2,0.0005229162601381888,702.9345622946666,1409.0319048972985,22.899752668064824,1411.8691245893333,0.900214,1.0,1.0044441695311226
1700028J19Rik,2,1.3850055958930814e-5,158.2619194702711,319.22621425824144,9.715934035151069,322.5238389405422,0.9449483,1.0,1.0013599444989059
1700029I15Rik,2,6.1554212444925615e-6,111.99290963188572,226.5599316006567,7.966380140841308,229.98581926377145,0.952961525,1.0,1.004944247877862
1700030K09Rik,2,0.0007371119040797641,2280.9100718041186,4565.615882716872,39.23741965910051,4567.820143608237,0.796579875,1.0,1.0036710063797758
1700037C18Rik,2,0.0011029319551918027,2329.4336144784315,4664.13491495538,39.46197655397536,4664.867228956863,0.7610169,1.0,1.003441698117607
1700037H04Rik,2,0.0001752934178143666,3366.040072423648,6739.203795072576,41.75465091595109,6738.080144847296,0.691342775,1.0,1.0030711580665996
1700041G16Rik,2,0.00013966813562655016,1073.5736336347748,2151.460385917752,28.24599124949298,2153.1472672695495,0.845207725,1.0,1.0047040732665358
1700047I17Rik2,2,9.72940032769824e-8,18.158310428464834,38.475408156626834,3.1351162178575884,42.31662085692967,0.976335425,1.0,1.0012921192161126
1700048O20Rik,2,0.000677464779686507,2488.65697838388,4984.450690307812,40.18918532606102,4983.31395676776,0.732618875,1.0,1.003515863660099
1700052K11Rik,2,0.0005844592638249017,2066.2474304978145,4136.554525864633,37.988642323595116,4138.494860995629,0.809826175,1.0,1.0040172746791074
1700055D18Rik,2,4.21896928120452e-5,681.0063121850076,1366.05345100771,22.150283048196286,1368.0126243700151,0.878516775,1.0,1.00145333620752
1700056E22Rik,2,0.0007055064842889254,2042.910387258356,4090.382038381965,37.8108654493676,4091.820774516712,0.79230065,1.0,1.0044875579234345
1700058P15Rik,2,1.16364648175166e-5,146.98767564651968,296.62547270055626,9.311205816227485,299.97535129303935,0.94822575,1.0,1.0035568971862376
1700065D16Rik,2,3.121018514216916e-5,222.77939326360567,448.4014106770676,11.838694862355718,451.55878652721134,0.937351375,1.0,1.0023226724669594
1700066M21Rik,2,9.60691198118913e-5,911.1682076243629,1826.6664034239598,25.917484841732577,1828.3364152487259,0.85985275,1.0,1.002758989364083
1700067K01Rik,2,1.7531458886181138e-5,174.86451685323794,352.5291516028884,10.291311794155185,355.7290337064759,0.94179635,1.0,1.0022747259651432
1700084E18Rik,2,8.90370784216574e-5,640.0577193558692,1284.849472094811,21.261332896807776,1286.1154387117383,0.8789692,1.0,1.001890833054615
1700086O06Rik,2,0.0002713699714743829,878.0568160525863,1759.5051346606876,25.82301301565867,1762.1136321051727,0.877283425,1.0,1.0024860757864615
1700092M07Rik,2,9.779490262695601e-8,18.158312044616586,38.54065043619454,3.123335538760073,42.31662408923317,0.97615565,1.0,1.0027949041635875
1700096K18Rik,2,0.00027384105675280854,2867.244418599376,5738.764727360671,41.544062704536216,5740.488837198752,0.727285825,1.0,1.0013892455277373
1700099I09Rik,2,7.775064044888161e-6,607.2513149774933,1217.6026409030565,20.920367899089676,1220.5026299549866,0.890263325,1.0,1.0030176683902756
1700105P06Rik,2,3.661181089234486e-5,238.23476899060677,479.4398858155793,12.306772491458124,482.46953798121353,0.931914875,1.0,1.0027958055472275
1700109H08Rik,2,8.649496157990105e-6,562.8868251116344,1129.315805875784,20.027428625344072,1131.7736502232688,0.8886565,1.0,1.0038448411941026
1700113A16Rik,2,0.00012694361322737588,1010.3430385426834,2025.1687141391312,27.360294362816823,2026.6860770853668,0.84529015,1.0,1.0024523971750157
1700123O20Rik,2,0.0007579334623832798,5646.451584294463,11297.197910067103,34.2988366284309,11298.903168588926,0.6410618,1.0,1.0067992935105599
1810009A15Rik,2,0.00022995259507175385,1930.6019663564405,3864.674215659123,37.21313178787026,3867.203932712881,0.80274855,1.0,1.010272176341485
1810010D01Rik,2,1.537977316669964e-6,61.54287230950763,125.58642791072555,5.683178420656834,129.08574461901526,0.96373835,1.0,1.0044201496380978
1810010H24Rik,2,1.0707683026020021e-5,466.3018491468991,936.4572326294632,17.9658143148511,938.6036982937982,0.899712575,1.0,1.0020012613008111
1810012K08Rik,2,8.751918299411829e-7,47.88327923347697,98.39498321868697,4.952709584337596,101.76655846695394,0.96735205,1.0,1.0034826883119021
1810013L24Rik,2,0.00045483897945507374,3502.759099029846,7010.04733530957,42.30501769812869,7011.518198059692,0.7235715,1.0,1.0026977317208627
1810022K09Rik,2,0.0032925190701573485,10294.35380712214,20593.7285968172,13.492646251776202,20594.70761424428,0.42091705,1.0,1.0114405009920262
1810024B03Rik,2,0.00020412385988808563,1134.7236508718395,2274.1970882835485,29.001079347313755,2275.447301743679,0.8337419,1.0,1.002273896912129
1810032O08Rik,2,0.0035343181407130587,5045.423525148708,10097.649050493816,42.7947608084572,10096.847050297416,0.61064565,1.0,1.0019844193823335
1810043G02Rik,2,3.293662954387875e-5,841.0911606199217,1691.6976801010576,24.958820901836408,1688.1823212398433,0.8561668,1.0,1.0031160746308956
1810044D09Rik,2,0.00046121071420386227,2592.0742497914707,5195.426793662688,40.6813459162401,5190.148499582941,0.725835125,1.0,1.004753558015114
1810055G02Rik,2,5.669645875282088e-6,730.6219693119408,1464.1487861820049,23.243003335319994,1467.2439386238816,0.891013825,1.0,1.0047373223717893
1810058I24Rik,2,0.002467898202761775,9560.653564779712,19127.402961122665,14.745994210199031,19127.307129559424,0.450517875,1.0,1.0075459380689193
2010007H06Rik,2,0.001266442967111685,5252.262897645351,10509.929398896467,37.91709998202334,10510.525795290701,0.599493075,1.0,1.0065239352360853
2010015M23Rik,2,0.0005066449850932683,871.0819844748012,1747.3882436305018,24.874978671252528,1748.1639689496023,0.857843225,1.0,1.002910793165533
2010103J01Rik,2,2.194181472235243e-7,26.021074882294446,54.31284164326849,3.6391944440703927,58.04214976458889,0.9735452,1.0,1.0017928153950522
2010107E04Rik,2,0.005585332806710872,11863.67611035198,23734.381914344176,10.861851475931383,23733.35222070396,0.37247945,1.0,1.0188677705921843
2010109I03Rik,2,0.00014933743069833294,749.7140671637459,1503.8453768563513,23.15626124238624,1505.4281343274918,0.869596275,1.0,1.0065332693008577
2010110K18Rik,2,1.887804956272543e-5,599.1304603642685,1214.2175947290025,20.684921538641362,1204.260920728537,0.880814375,1.0,1.0034555525344075
2010315B03Rik,2,0.0010520040112314488,2564.722714034626,5133.004875291592,40.4784299170011,5135.445428069252,0.7832844,1.0,1.0024675277750872
2010320M18Rik,2,0.00026143814174225716,1983.1411885231423,3969.289626111886,37.573353586044725,3972.2823770462846,0.814224375,1.0,1.004959651152281
