Gene,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD
0610009B22Rik,0.033998904816061916,0.03937720339858794,0.0019084990202913683,0.0954398653880704,0.2946960761325844,0.004598603295457118,0.012479503965769637,0.002366824475629692,0.001174342462317087,0.00987958117186916,0.0021845087353044614,0.0001925378291585604
0610009O20Rik,0.006072904604178174,0.08358168953403408,0.003873630545680302,0.06557080284051481,0.24021106270609147,0.010549212415515355,0.0029515376924080586,0.018227923338926685,0.0011731998815800162,0.0011052067341819996,0.01647757986425484,0.0007859633124892571
0610010F05Rik,0.0008504107953350034,0.10624098249521721,0.005387041793214876,0.004970467323742731,0.36646656818385476,0.019427410881869094,0.000492695832244773,0.024931175533267583,0.001297628924463103,0.00016594301445912467,0.021843956013159513,0.0010587619926977422
0610010K14Rik,0.003635735497610089,0.06517796379588162,0.004379790415162636,0.0033087479823568663,0.2989310993725722,0.0164685740567825,0.0032021841682602636,0.011827578362447641,0.0013580438190072836,0.0013828245693753114,0.010864682832493519,0.0007591278590559308
0610012G03Rik,0.005677927946222314,0.0586257585851694,0.011943559865243807,0.002221452164045541,0.18700250079569694,0.0295499228710161,0.005755265598589545,0.015466019579713964,0.005162392181575949,0.0016276471014610447,0.012528371840584793,0.002381327178323276
0610030E20Rik,0.006410745743433322,0.024946375558604912,0.0037834511977921904,0.006994439830279294,0.09799476658852989,0.006270495586152651,0.004382591164605067,0.0033513403621195366,0.0023075852648265153,0.0031586176385613824,0.0030026004140266717,0.0004665108677396716
0610037L13Rik,0.004039814450932702,0.04099878321194204,0.0029839901447008157,0.005122361684304084,0.24449974951901485,0.015534450662816774,0.0032140345409110843,0.0048869485922286085,0.0009671386704135813,0.0018013745748651823,0.00451160009683645,0.0003760394952871865
0610039K10Rik,0.0005956674429659814,0.09750221741222503,0.00636216321950444,0.001959867960803866,0.35442450015583593,0.023039083277187164,0.00030949318349548306,0.022616032568792806,0.0017456187540781957,0.00015749979718447232,0.01907890333322629,0.0012517732415859484
0610040B10Rik,0.0021145765379004884,0.05788281957534604,0.006008286086849541,0.0012481128282775453,0.1681139331381037,0.015750465653559313,0.0020500024237814682,0.013085954305540992,0.0020303518943713605,0.0008102785956220985,0.011694345200317736,0.001157726126109533
1010001B22Rik,0.0017258313365386365,0.2871750964226627,0.002464546324013416,0.0172965903343498,0.9819234541042197,0.007932711913473356,0.0004206745792046024,0.0684879958080508,0.0006107060863552152,0.0003133374368941474,0.057988847051087755,0.0005076087040690336
1110002L01Rik,0.023021558353456394,0.09269265720052802,0.0015685033136032772,0.06646159566885966,0.3951670508678096,0.007972960699384064,0.008132396467409786,0.008323006697610364,0.00038894727990175336,0.005765630532672303,0.007948919181668016,0.00018411635724384568
1110004E09Rik,0.00274226595134519,0.044910990965032635,0.004189290973197733,0.001678500351103677,0.1482022143610631,0.011954956678875304,0.002624345826376035,0.009435547010771938,0.001481231680133395,0.0010492600719153805,0.008546539977702031,0.0008046542103954404
1110004F10Rik,0.005740214709798474,0.06687657068623795,0.044738782918490164,0.000756936637546423,0.15691213581095262,0.08558894801667576,0.005744992900635488,0.03362895041412395,0.026615721248716036,0.0005370832914399215,0.01589746497055366,0.009020591830433957
1110006O24Rik,0.0038910614331641117,0.12119151481627005,0.003062011471138802,0.013778125194879191,0.3485815190115424,0.008623181288887588,0.0016081168096933006,0.027615091112373622,0.0008704166403992152,0.0008663951595178766,0.024754692193964506,0.0006710519942440253
1110008F13Rik,0.004123253390405846,0.010741658396719634,0.006825680630739771,0.002350203145815504,0.038300912565994466,0.008744828910993395,0.0037512295307963297,0.003749629714527116,0.005185246239673638,0.0015508370918900399,0.002653864588040459,0.0009883282102940462
1110008L16Rik,0.004632580774720598,0.053232587024696985,0.003147541193003014,0.014725293003451673,0.225329602197385,0.009505645466203382,0.0027999769060171043,0.007519300934932813,0.001218513977031182,0.0017804464492570476,0.006759157690615466,0.0005207603320977932
1110032A03Rik,0.0036556290888815107,0.06378071534733346,0.007601175367970074,0.0017439463914864556,0.17185470622412535,0.017105466465690083,0.0036500562201110106,0.01784431541416167,0.0030742638630112153,0.001135852661223279,0.015123914834654428,0.0016879596811708438
1110032F04Rik,0.005525475359491192,0.10947525743644285,0.003485656994742909,0.02236052933741978,0.4416736810385321,0.012922981754480251,0.002267103320019706,0.01755864316121602,0.0008550452895236609,0.0013036937276536718,0.01615673691459695,0.0005788426640946663
1110034G24Rik,0.017901691012219282,0.039830959652007586,0.001838348299829483,0.10791728731041551,0.15652071625874636,0.004121061938483386,0.005926283568795687,0.0047465627333543505,0.0009687394965865257,0.004248479051661522,0.004310164632210364,0.0003472994336740553
1110035H17Rik,0.002439010279935423,0.10338874927127076,0.0031833765481338134,0.013539389186124684,0.2551901112894794,0.008434465220695783,0.0009396570397269784,0.02948370133861234,0.0009717089694298124,0.00045903580095994995,0.025682778394128504,0.0007624125121468922
1110038F14Rik,0.006402057659848225,0.02563591743480895,0.004130933518311402,0.005555792384032425,0.10602274755408476,0.008752756119948416,0.004877550713983242,0.003404484255621359,0.002347956902434107,0.0031645469650343244,0.0030278559854622277,0.0005000469065771019
1110059E24Rik,0.007606963347528927,0.04144500610321016,0.00713328161296915,0.006338355304941752,0.19113815523428912,0.017405481159581473,0.005886772422723142,0.005048112767581673,0.0037109375985434775,0.003917794159079288,0.004466684232353241,0.0008129801808322505
1110059G10Rik,0.022982758985720587,0.022528893213421424,0.002433516755123669,0.0861060458522109,0.10964281343223704,0.0032195278578203493,0.008512681109647213,0.002342679279271345,0.0018166046905422968,0.006339285952112422,0.0020941983368756314,0.00027101240737570224
1110065P20Rik,0.0045312874975531004,0.07374295646545256,0.0038675874837603244,0.010929126621808938,0.23100461570555383,0.010480083568404217,0.003319423608914261,0.017154072088324115,0.0012019902777736543,0.0011545127080214127,0.01540054743917612,0.000775460279770155
1190001M18Rik,0.0022285188123419815,0.17746218614743928,0.00452262304615078,0.07057421577277831,0.5974625231012345,0.015003111427469313,0.0002668641774539914,0.0356683450948125,0.0010509946727003494,0.00022807872406311046,0.030853767534035313,0.000894239213237521
1190002N15Rik,0.00306791796704859,0.05420802537186266,0.0039150076910540715,0.009294627170437641,0.18300974647366036,0.008925810532782096,0.001977916367504658,0.011629960998841213,0.0017219155879191492,0.0011921252503402089,0.010256080361918416,0.0008318264106927605
1190007I07Rik,0.008968806846623467,0.065636099795915,0.002981949198051627,0.026178050596450893,0.2706388603912345,0.008926534086994358,0.005530064623952856,0.00983484863511366,0.0009948961431056299,0.0028606608496441156,0.009230805861656338,0.00047237663145298863
1300002E11Rik,0.004541698245998221,0.08391311582289004,0.004675789203909581,0.009575788244786719,0.26942616018275267,0.01434039592754138,0.0034069576819228346,0.019171637969168615,0.0015224349200306374,0.0013014590974780099,0.017478744317403497,0.0009753959831628879
1300014J16Rik,0.00488352366829827,0.06634003357336439,0.004381661910078412,0.02698294367447855,0.2716398433007136,0.014148972796417237,0.0015034658846544736,0.010666848125408357,0.001880530235493492,0.0011430447074347195,0.00936132390023773,0.0011525052317632413
1500002C15Rik,0.009305378609644447,0.10701118954854062,0.0022025985920918643,0.04640187765200359,0.4805758771041793,0.008666680673090782,0.0020958264516654002,0.013641773989294968,0.0005225000939023576,0.0016313265825271196,0.01259730129400171,0.0004120754721183014
1500011B03Rik,0.010818173942537647,0.06278948691021069,0.0025913565088829145,0.04540753366799341,0.3307621056052101,0.01191977012456759,0.004842954615294151,0.006429868814406244,0.0009227527888400461,0.00322735864461721,0.005915759662655694,0.0003856325188062365
1500011K16Rik,0.0008369028790854638,0.049774562416314526,0.007757819140719545,0.00024700149676855555,0.18264931010756513,0.027322674688648435,0.0008534578075953205,0.012949283441031481,0.0023161355099506373,0.00014328383427058758,0.010932527996496924,0.0016598330152142117
1500015A07Rik,0.0024653182668025776,0.05402712241258151,0.008698824450849508,0.0015392490184601801,0.19896575072650785,0.02538488140189704,0.002424062089014694,0.012010530321902918,0.003408154370396486,0.0011939360389377732,0.010727637521712855,0.0015647198906092894
1600002K03Rik,0.0022336507863305673,0.01501272240632078,0.003096238593084271,0.0016124743557043104,0.05610261760928204,0.007032846490773679,0.0018624828945436088,0.0022694049630673637,0.00151533659597118,0.001101807235616468,0.001945697597944173,0.00039695066109912095
1600012H06Rik,0.007137621671466965,0.07933444043931095,0.0030447288480621973,0.02517626053477207,0.606272500309736,0.008301116219429036,0.003716066037436371,0.010145379049807066,0.0010107087155977286,0.0022815811954883794,0.00934217147858912,0.0005169376175992555
1600014C10Rik,0.019213369739321945,0.09839635132058544,0.0015296441558380813,0.07500955574262554,0.42202562223877316,0.007822978990355278,0.006279859780494421,0.011274088616904276,0.00032258412571489954,0.004079420487496667,0.010703814423651772,0.00018532664763449929
1600014C23Rik,0.0034501298064740686,0.23486039934089478,0.0022324924759169573,0.01582018954222897,0.9293685671237334,0.00677261216698054,0.0008992189145170986,0.050021163395012114,0.0005395919520736288,0.0006477864886553804,0.04417323753727436,0.00045923101021251225
1700001L05Rik,0.005372565271421154,0.16804820923084682,0.002111322108732792,0.06876807683795666,0.6229337870050599,0.0058210227572262985,0.0012641586105394788,0.0345848098871884,0.0005367829185612693,0.000925252847418125,0.03181205291646766,0.0004536716605168704
1700003F12Rik,0.000136173280468887,1.3029863720639998,0.0007794471090951746,0.00047272395360335696,4.197272244146595,0.003110242791560195,3.098756413988973e-5,0.2969864820643801,0.00017102629705728834,2.6362241160657354e-5,0.25417131487421746,0.00014476814163668598
1700008B11Rik,0.0009521288927240521,0.31870490349753466,0.0024017502670436648,0.003321580015658244,1.404588069692524,0.0069321638487447,0.00020190711215116355,0.0611030692798864,0.0006181261495204509,0.00016570891900609134,0.05213420444656418,0.0005335218922736069
1700008J07Rik,0.003378319655060248,0.12137187632716126,0.0029331656448690867,0.013759927361243492,0.368581457816803,0.009253376661040239,0.001239020720674273,0.030338523562085808,0.0007955869339267309,0.0006303114698194182,0.02688857407107633,0.0006417982543331028
1700010I14Rik,0.0031816051192414966,0.0666253266008006,0.003302123652976523,0.018831828042166085,0.2047055101036738,0.008128041614711092,0.0015282845649981446,0.015192619040413718,0.0012004082917777107,0.0008510399635483801,0.013393182691563317,0.0007358056464106611
1700016K19Rik,0.0006628320825540562,0.05634223833379457,0.007422085880011704,0.0004473876750404204,0.18802133942630223,0.022544267774347457,0.0006051913751455511,0.013734058301487845,0.0025334283094637566,0.0002658893275097557,0.011811929786099452,0.0014428818818130107
1700017B05Rik,0.011954313151800367,0.052250925511431325,0.027216453127780593,0.006513429213417901,0.10043374955074182,0.025628757577201813,0.011781493551954203,0.02361048572420498,0.020177058466415446,0.0048568384833149805,0.01798692256608621,0.005832357692435314
1700018L02Rik,0.001870162681418331,0.23655031649019695,0.0035242535552545843,0.014352158709450755,0.9813509860860005,0.025665896274777552,0.0003184527325106002,0.05420120152249126,0.0007725130351101106,0.0002546726260417979,0.04661642568558585,0.0006508695911996685
1700020D05Rik,0.001797556567301611,0.23188182954716882,0.002568895809934952,0.00599561810793166,0.7828632627894886,0.008593650690335321,0.0004904774653493179,0.053098806465783716,0.0006375127383861925,0.0003607049549572836,0.04614785018368646,0.0005465993016546442
1700020I14Rik,0.0027808105537054113,0.0036863110716625932,0.005012420444346668,0.0025307083832702562,0.019705666294636277,0.003514544495545509,0.002020098367455669,0.0010474466520542752,0.004435286141442048,0.0012168263139514,0.000785109239166558,0.0003750180942015766
1700021F05Rik,0.008841828866848738,0.05739126224958269,0.0043773768146885515,0.024322614447509088,0.1804520281247005,0.009597401668344791,0.006279241027784479,0.0080479271990066,0.0018612012716441517,0.003829707687040499,0.007420517409172435,0.0006585848128048485
1700022I11Rik,0.0008898520782721759,0.3875782789803073,0.0022275531436260036,0.0036120115058818495,1.5137823165673074,0.006731256557671767,0.00021283829315589954,0.08701089819949272,0.0005106266625295235,0.00017249513075802867,0.07445550702641399,0.0004324640966836804
1700022N22Rik,0.024791766249104424,0.09069256530976466,0.0010443594382879547,0.09914597878747282,0.5336629130738877,0.005405362030716495,0.0070745413513746275,0.005853728641428673,0.00025038814765121356,0.005459099790326207,0.005539435122222132,0.00011289885022139001
1700028J19Rik,0.003455111533322032,0.1892477051019738,0.002599889264054858,0.018963260057862315,0.9109647156907453,0.006959096751737795,0.0007876910570768431,0.039254290783850024,0.0007261747933102487,0.0006126131707983476,0.03445850889966987,0.0006100545927361319
1700029I15Rik,0.001587730883945699,0.22221464241662192,0.003564088476671628,0.006343791675561752,0.8188209707240494,0.0129974049013957,0.0004285306151780179,0.04565350074136178,0.0008356212074118348,0.0003282566631212,0.04029969044758815,0.0006973749504817063
1700030K09Rik,0.015246290367922213,0.04287960679143314,0.0018567070953962107,0.10585447115557235,0.1687305520706519,0.0047383310289967175,0.005401290162793838,0.004119171238622942,0.0008296370514444549,0.003837571190949638,0.003758600931574033,0.000287177885848551
1700037C18Rik,0.004202391976648201,0.0706191085774636,0.003377595898573836,0.023243366613797518,0.24927535470293727,0.009991246048532692,0.002112422389488184,0.010976801922902157,0.0008714369987228654,0.0010236165168093672,0.010162308844856274,0.0005282611832178372
1700037H04Rik,0.010080169646820144,0.13025497712035997,0.0024965019000008537,0.07522772129532525,0.38239484160653087,0.0071689231296211,0.0029428974267719085,0.02956620392543103,0.0006185616258881982,0.0014610881695530673,0.02711897360318793,0.0004970913736759444
1700041G16Rik,0.0023419929291671115,0.06889500138960565,0.004429576956486969,0.005875399412328345,0.24727984027296931,0.013229121619210906,0.001531055055484389,0.012313013458359053,0.0014337580483375547,0.0008932016963838483,0.011101281752565681,0.0007866870857688294
1700047I17Rik2,0.0006983359365720758,0.3880722477747144,0.0030081383518250435,0.0034734150234724415,1.3476061719946375,0.013806915456156293,0.00013016657463568352,0.08348680545233261,0.0006792080669890927,0.00011075381494481302,0.07168539721116073,0.0005723164056291865
1700048O20Rik,0.0002411048766379933,0.04266674769479523,0.008780930625786599,6.985761880712648e-5,0.1104708341504679,0.022090949069030114,0.00024245785207025513,0.011953238722038451,0.0026537638682459985,3.6776117011609984e-5,0.009724650056269582,0.0019512697738641978
1700052K11Rik,0.012766943947528205,0.03839192695184205,0.0028444075960526796,0.046908033451114634,0.16395782827649827,0.006689157311312375,0.00479920471351014,0.0036654895128373963,0.0016037895717834678,0.003702353465577634,0.0032158336342620443,0.0004816138415304782
1700055D18Rik,0.0017687580962772703,0.0832822909254895,0.004089228861481023,0.0036039084567705123,0.23761748924686577,0.010482952418739666,0.0010042817281649507,0.018264683575548602,0.0012924939311837324,0.0005412978660844865,0.016212136160391674,0.0008723075229750952
1700056E22Rik,0.005721293814616307,0.04554397595531783,0.0031465498853085723,0.021881666774615924,0.18216146727974394,0.009249050092503746,0.0033168237584458135,0.00670873971203401,0.001333551805557969,0.002078687832427401,0.005906167368304583,0.0005014368958199905
1700058P15Rik,0.004187335032797297,0.13633416241781066,0.003375848753604917,0.019214898790398963,0.5270638863120229,0.012375388575467345,0.0009711809070318659,0.02418241326783579,0.0008706349027071589,0.0007795492923669456,0.02177936710467876,0.0007158496816612005
1700065D16Rik,0.006278213819018034,0.10940470203323245,0.0022344282770742213,0.027956256477758543,0.38918620119657865,0.006125539127704643,0.0015120723610269867,0.018370435462400345,0.000654779631289028,0.0011811149928921826,0.01688866723341373,0.0005319085535897261
1700066M21Rik,0.003951789768740704,0.06204829494929787,0.004243793801466672,0.06847507638400471,0.21753635527244336,0.012135808663008101,0.001426025344316458,0.011109596781108132,0.0015253042320827685,0.0008655773640036497,0.009906361850754102,0.0008197791461185583
1700067K01Rik,0.003162020728610513,0.19635655351723866,0.0030840248999597307,0.022098505726430455,0.5997415752467724,0.01192820816266689,0.0007359451928431169,0.046207397597712876,0.0007071310614218148,0.0005620263803469043,0.04068236587462679,0.0006009571971561852
1700084E18Rik,0.0003984629615266,0.08426867448201955,0.006632399420435085,0.0011980012621629114,0.2728376574960964,0.018695716214064274,0.0002883377162418341,0.021479001726839125,0.002039833661589833,0.00011065886258776642,0.01803651942483875,0.0014854827354027647
1700086O06Rik,0.017603774367077135,0.13986834971283016,0.001118280983317587,0.06890563351579494,0.6617851681308662,0.005814315508346072,0.005741132909479573,0.0145360021020433,0.00020790963388542125,0.003936477373029765,0.014062394135875875,0.00013881110541643003
