Gene,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD
A1BG-AS1,0.001217355098357771,0.21387180709491604,0.00460692361205774,0.006443395747149906,0.6769295735694546,0.019512367457460853,0.0002492219097406759,0.046969202307339884,0.0010080457135907468,0.0002063152276470537,0.040434884151341416,0.000867877585821093
A1BG,0.0007692422167528401,0.39513288568538285,0.0024121969699586656,0.004044790680755586,2.088158972994022,0.009349672263425354,0.00015698872231823655,0.07312857216725707,0.0005505145337734038,0.00013144412666185221,0.06222042968176403,0.00047449519182102815
A1CF,0.002361891608075269,0.19067009678141378,0.002972245507827425,0.01361854663697855,0.5700173676619306,0.008933242196074864,0.0005162555233737898,0.04614690149619033,0.0007514824330590556,0.00039122955386057637,0.040439385558119434,0.0006515411264303628
A4GALT,0.007455603515889361,0.05930622428752699,0.005345681715067524,0.029986128613726473,0.2040125757753391,0.018667722353301667,0.003436769960896033,0.011288251039817846,0.0017044642251038162,0.0017452129289487173,0.010265777263436329,0.0009758533134595227
AADAC,0.0028296490840547276,0.19934450891877292,0.003315308825186247,0.009907185399698546,0.7986252116923339,0.011156794825214143,0.0007810611301571111,0.041158807237314694,0.0007776828278080248,0.0005833231924114123,0.03626397685889074,0.0006658844523805425
AADAT,0.004396280234051273,0.06681787220865026,0.0057384327175145095,0.026249364315134797,0.21614182438580853,0.017632963546783224,0.002129988767882632,0.014570482248663983,0.0016276149700967457,0.0008692875151555988,0.013310186659789378,0.0011390857350253559
AAED1,0.026639443776844466,0.02474166756073911,0.0037698055265128327,0.09408430373101356,0.11186151065026659,0.004804370101034068,0.00979191969616959,0.0024064123107099076,0.002532837455144505,0.007141348456631891,0.0022489429490362093,0.0003984208598675884
AAGAB,0.0009501587192898857,0.05499818274387465,0.007246042115155187,0.0006712785045807565,0.13784208547506294,0.017624295872766458,0.0008244467616908124,0.01694192569854495,0.0024075220473110228,0.00020054529547465277,0.014472116010625466,0.0018615976660509978
AAK1,0.019865814788804094,0.03568016996793308,0.00461430345658721,0.06348576076335487,0.17863497439038314,0.010824221462914044,0.009321144419434801,0.0036473541009691152,0.002500448941591942,0.006255039616122788,0.0034061481442397524,0.0005502981887036131
AAMP,0.0012706307501050983,0.015554561310010737,0.004327738472949694,0.0008401234602986934,0.04846785284173937,0.010847331624441734,0.0011150483121547068,0.001265222920618562,0.001164224492556266,0.0006300942053134803,0.0011801212801382966,0.0004467332892255366
AANAT,0.0017887686244486402,0.2870378746860695,0.0035280724293456764,0.007601114670897133,1.0150092706518892,0.012487145255381788,0.0003610352814813254,0.05730138271446483,0.000780099067159757,0.000294914079621416,0.04931800033287512,0.0006661597448563651
AAR2,0.009451760647219302,0.038454472073305414,0.004593353122096177,0.03090915067665926,0.1902270545806273,0.01609160477244025,0.004982211022704865,0.0046107521234506526,0.0019540686841417803,0.0031315621741678217,0.004196080917070388,0.00064634765482185
AARS2,0.013689310908324207,0.11026612969796795,0.0024568524621178573,0.0505444849189797,0.48830973764551905,0.007686735938928821,0.004299149026750891,0.01772130933886007,0.0005504782989628559,0.0027441478892279037,0.016568713528962848,0.0003996633148835982
AARSD1,0.0023955823839871826,0.03826703928882326,0.006849271280326961,0.002213841251654381,0.1076064554923789,0.016106091743533998,0.002187456975213484,0.007878064216523133,0.0023255463121139605,0.0008882532222827881,0.00720761057766937,0.001306018937549852
AARS,0.0032490464959949034,0.03465908559893508,0.010840347540406033,0.0015324311978073958,0.09880010702698953,0.02434288367015672,0.003234310822068062,0.00805679989462249,0.004363733718728597,0.0010793937757608773,0.006987758834674164,0.002128529141152075
