Gene,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD
0610009B22Rik,0.002034608589606295,0.011291300818396143,0.00677687747670205,0.0011779701216223352,0.04624972630385285,0.014717220493577723,0.0018860548323462528,0.003176351030328712,0.004165174955029199,0.0008307836066916974,0.002372001312807707,0.0010714708846907537
0610009O20Rik,0.0016517829938808987,0.041092298756703845,0.008448154959935299,0.0008538650428052493,0.1620825466642989,0.02937893465332814,0.0016514082261476024,0.0084620205951214,0.002686851715860439,0.0005828324327009818,0.007523445493916147,0.0015298968952411028
0610010F05Rik,0.0017760809854439064,0.024250446508167173,0.007045891486178692,0.001038421489888842,0.06684933678211473,0.01445491328083507,0.0017037903838089106,0.005054391263608562,0.0028717186850066288,0.0007986077395535254,0.0043479272827979375,0.0011959799284920053
0610010K14Rik,0.0011129914959495206,0.007647081516097207,0.006014944955669927,0.00044447216407734205,0.03939722473359497,0.018495251461905515,0.0010777329380401062,0.0026851797287771604,0.0036359989099140413,0.00029983693447825665,0.0015739760837846892,0.0009279592706541511
0610012G03Rik,0.0013484528950396461,0.0036581269853292703,0.008723685189888648,0.00024262417219231118,0.002784297559538393,0.0028924690276039755,0.0013330864968505904,0.0031198384386165847,0.00818705410735993,0.00015773823578884823,0.0009085270305763029,0.0010625876792235527
0610030E20Rik,0.00271492350254812,0.044561289223718506,0.018380903254214546,0.0007924078438166362,0.08937246613928027,0.030593189320593656,0.0027638696909747197,0.01842396177742343,0.009498141779652858,0.0005184084483558862,0.012926119347354192,0.004692978615859171
0610037L13Rik,0.0018937975605244398,0.025442136372542563,0.00806031203943532,0.0008753371577023337,0.07766706791862478,0.019412001050314293,0.0018982828106296114,0.005858525559590043,0.003181122571459511,0.0006415190309450264,0.004839615445859076,0.0014567564542480216
0610038B21Rik,0.0015613546994902156,0.0943664643028173,0.005809559955570693,0.01091641471635254,0.27118772515244827,0.014899983830932814,0.00038346973654604697,0.0232937156908486,0.0016711463501855837,0.0002292006229917765,0.02002884910007801,0.0013024536447688328
0610039K10Rik,0.0005343610208784638,0.426276898832139,0.0036007956517974293,0.0031251975817202867,1.5529679025769658,0.018356190338510676,0.00010073665520912218,0.08410718571641404,0.0005866434900193335,8.743699617148982e-5,0.07242734865349687,0.0005102165725507041
0610040B10Rik,0.0074755408920639,0.10202370242142104,0.003217502099467549,0.05171615057890191,0.3589890156589532,0.010043237013112013,0.001762109960956309,0.01912687524744866,0.0008056105743244029,0.001026532807366432,0.01744020540195645,0.0006420892854600627
0610040J01Rik,0.0006485292524275455,0.06553724255914044,0.010455877251933985,0.004379077053287289,0.1903791202894852,0.028480465852024815,0.00026207428312927507,0.017714657441890755,0.003841644511676876,0.0001606642374920786,0.01477754885412006,0.002536984253696872
1110002L01Rik,0.010236962461092654,0.09515796318835212,0.002818490666248985,0.058749051089467215,0.3511950507904273,0.00899784224594239,0.002993324728904404,0.017981844016108393,0.0007141284493231267,0.0017596844659269143,0.016693286078126493,0.0005298951716888409
1110004E09Rik,0.0017687772930553832,0.02113931853368797,0.009683482586980636,0.0006702371271826354,0.06749182233227974,0.02361580271635492,0.0017748594886254666,0.006399184440519322,0.004537569048781026,0.00048344521420205463,0.004645870793004724,0.0018748751418305371
1110004F10Rik,0.0023262080812404533,0.011306090000825242,0.04246426200250655,0.0002061626617897805,0.005918482650678782,0.01434730339770726,0.0023152827537712265,0.01000098536715883,0.03935943301424674,0.0001360946430939234,0.002241842898447157,0.005553203434622223
1110006O24Rik,0.0021019815714512615,0.11241631057909746,0.003911759502388931,0.01999381519342992,0.3344477215756651,0.010018089356872515,0.0004894277869408061,0.030054425397779572,0.0011237359999849766,0.00028920896532868396,0.026154941176143007,0.0009325154891074522
1110008F13Rik,0.0017547061829782638,0.006619230954951355,0.024508966522021197,0.0001719348219163759,0.0025071462000842305,0.0051618567987618625,0.0017466560065141506,0.006134061378591189,0.023543592027000505,0.0001121578328211071,0.0012383604373770868,0.0026671515038907377
1110008L16Rik,0.0015270450701647881,0.029954778381633084,0.007839174667049595,0.000821897461756066,0.11113689972467829,0.023960241012367572,0.0015200889202879038,0.006089006154008951,0.0027474955609500503,0.0006043507797028425,0.005291287809234089,0.0013444943826687499
1110008P14Rik,0.0007837803760444237,0.02301077930611037,0.017093662390542573,0.00015222002171442735,0.05959901414790146,0.03978569053594123,0.0007955486237690527,0.008485058809323365,0.007431609689463893,0.00010053883933959604,0.005428045365778106,0.0036992330845811282
1110012L19Rik,0.0018822010476566174,0.025165077678437262,0.012551875417423232,0.0006488024540877228,0.10717694879863834,0.04196411383303863,0.0018927556749733332,0.008121176085316227,0.005956890219668084,0.00045190772445681624,0.005415342574200016,0.0023395938772986756
1110017D15Rik,0.004626018037311708,0.11898813202835389,0.004133374493281992,0.0699844493613954,0.4470202196392388,0.011675355140066387,0.0009358040933218308,0.02498133741644852,0.0010657870932485585,0.0005847193823420421,0.022348683454494332,0.0008596508884161175
1110020A21Rik,0.002316225688702739,0.11241919149789845,0.00426703684863337,0.007337111192778346,0.5584455724321704,0.012372101667302567,0.0009595408194061868,0.026717579733346535,0.0012072327115569329,0.0005011277360961121,0.023423645103573466,0.000969396025432965
1110028F18Rik,0.0007056782078140477,0.25250070644791844,0.003077394526767604,0.002666036257920581,0.830009779152444,0.009660380066156393,0.00015072720504625476,0.056190718667344444,0.000686871136411053,0.0001276283342495695,0.048466601889747676,0.0005830880637661272
1110032A03Rik,0.0029547220782999623,0.04201429097442534,0.006228661459296134,0.0020357975427408776,0.1505243284282086,0.018068745991342283,0.002740311323722793,0.008192335535293346,0.00219842782337977,0.0011846467902307824,0.007434378765647695,0.001113672551741508
1110034G24Rik,0.0024252532842615328,0.04880214346225307,0.014868536038470308,0.0011709780552881129,0.21274022826570105,0.049402584998262535,0.002472461153344565,0.014024354258232598,0.006351922521856805,0.0008308021687067023,0.011617465725911982,0.003196187277294491
1110038F14Rik,0.002435205137610982,0.012358165285341867,0.007636155902284867,0.0014512555068683076,0.06382279971086817,0.02080957064254071,0.002242680275649605,0.0033149474311156227,0.004693919640497876,0.001033562556272734,0.002565899497100065,0.0012112537097303587
1110046J04Rik,0.0009910109261054832,0.05166593480274604,0.0065769888987109735,0.0009664835984220685,0.19456238942856327,0.023549781526533628,0.0008236133214045271,0.01137754580177281,0.0019560950362774933,0.0003401730508852399,0.009879641806719505,0.0012177604029076868
1110051M20Rik,0.0010072690216413678,0.012213226743185807,0.015743255141201788,0.000173650884739181,0.021883357039465937,0.021588792599112363,0.0010026687381274645,0.00708866642031683,0.010721227784632623,0.00011883160636019493,0.003001742340177176,0.0030495265072964517
1110059E24Rik,0.0044461648191680605,0.05539870408203922,0.014385535162120062,0.0018003756154978848,0.2461915872899626,0.05221740406115093,0.004509382244294298,0.0184155825920058,0.0067498931769782895,0.0011807628840291191,0.014814567744351984,0.003452914616854443
1110059G10Rik,0.004352939329381269,0.056244268221398074,0.012587820627342039,0.002197201256079482,0.2142373954234403,0.03837002549627722,0.004356524081670949,0.013818772762407804,0.0050967875834443815,0.0015012579579228484,0.01198496939818144,0.002540690277552192
1110065P20Rik,0.0013481683177023244,0.01808458658542326,0.007133247511388292,0.0006358845171859478,0.06371157720194962,0.01933849393455422,0.0013230481083588569,0.0037796378898579206,0.002784344395312316,0.0004787688510990983,0.0029873183330991265,0.001119642510278606
1190002N15Rik,0.0015343440260119105,0.056401390367914285,0.015790186585054652,0.0005467073382691575,0.14390669201491793,0.036469891329642075,0.0015600058342939483,0.018376109214245,0.006209797012866141,0.00033104791941888966,0.014527154951511311,0.003810424573817829
1190005I06Rik,0.0007800777802132033,0.054543936709139006,0.00872508580429819,0.0006105325610202452,0.13849086023556287,0.018110800527349133,0.0007202903566477443,0.017251110758024872,0.0032025280679063755,0.00020479021692476797,0.014466133311998215,0.0022465991870738553
1190007I07Rik,0.0015428660012153691,0.061139406749699254,0.008147007036766428,0.0009202797255060957,0.2286462143958622,0.02934165312657886,0.0014130919925323883,0.014149558947335283,0.0024079614292294845,0.0004387848059243368,0.012047819682324927,0.0015549486562759394
1300002E11Rik,0.0018454039885433423,0.033918673300804586,0.00642452012262897,0.0011058812535211346,0.16224890502108957,0.02287708197699429,0.0017922134400075963,0.006969567939939681,0.002264898432095281,0.0007266005412547143,0.006211166929842237,0.0011719089403525078
1300017J02Rik,0.0018602116102583975,0.20325407213288543,0.0026180825949799467,0.007564952963806754,0.7080018195140855,0.00896744895831523,0.0004986641035953194,0.0454987366306612,0.0006617222309730921,0.00038112385395857023,0.039162721807316586,0.0005620998297137443
1500009L16Rik,0.00019639017395663892,0.05855922376360466,0.007744201371742165,0.0005215831388404432,0.15923732627123938,0.020153661853909766,0.00013336128205174917,0.017032012982038124,0.0023537547190738963,5.27763896849636e-5,0.014159080427263975,0.0017926646762251829
1500011B03Rik,0.0014845984799070565,0.026214174822098785,0.005296578159734046,0.0008477407962459676,0.08755438034399934,0.014978661471641378,0.0014364340959219703,0.004262507105638771,0.0016453843425582363,0.0006044213576984051,0.0037982094545800896,0.0008068549231268268
