Gene,Rate01,Rate10,Eject,Decay,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD,Model,Condition,Expression,Variance,ThirdMoment
0610009B22Rik,1.8920447666158763e-5,1.007363626712303e-5,0.00043491911118636136,0.011152969120990008,0.01775929415387182,0.058506842902814236,0.0024877543916591496,0.0752725692513434,0.22050804353897824,0.007708877161542758,0.004414211266424205,0.006897622779915629,0.0008137825878834611,0.003331133462502596,0.006394078166687445,0.0004590779623725454,2,CtrlSprB,0.05091103965702037,0.05153453978166295,0.05255435285965969
0610009O20Rik,2.1685564134226237e-5,6.965842756922039e-5,0.00024188850270280581,0.0020624267306175994,0.0015242741713656807,0.07384159686142826,0.004874508743993378,0.00570361581944643,0.21603496526931226,0.012480287012946584,0.0006371380281511262,0.01875723992685449,0.0014136144424969012,0.00031290196015032294,0.016373318929537008,0.0010654976743026115,2,CtrlSprB,0.05570433851098018,0.06010002613543549,0.06798397569337641
0610010F05Rik,4.556273927360534e-6,4.20382496683101e-5,9.631484851997631e-5,0.000924700807497163,0.0006627104199066176,0.12960991422658988,0.005480861692490004,0.0027191712446547156,0.5684342064311112,0.017141042802445,0.00016677348688936465,0.03155047316062383,0.0014371137760620782,0.00010374543105106167,0.02641794877892708,0.0011995167790384551,2,CtrlSprB,0.020353508302088912,0.02208171756000033,0.025424178959160274
0610010K14Rik,0.005047892001751759,2.9387182864997574,0.1902916931150227,0.0031641525164974055,0.008320333419694995,0.06812977178032671,0.0044059338796443,0.04853656980535855,0.19300692291227992,0.010168926540273317,0.003758660650894746,0.015050638165627371,0.001441126149796124,0.0018305694051788794,0.013909419179597683,0.0009160110619215562,2,CtrlSprB,0.20632368703108253,0.22056022534460515,0.2571616806818824
0610012G03Rik,5.7277656809232e-6,5.007035487195636e-6,0.000802231817506129,0.0026891033228897527,0.002047775986773012,0.03503942884896327,0.005588833933053637,0.0016244712564768143,0.10907279031260349,0.01450924415374521,0.0018223939163708497,0.006615864511432564,0.0018808093550431277,0.0008264355611459945,0.005908208289540193,0.0009368442402940058,2,CtrlSprB,0.3183279742765273,0.35740256338678605,0.41421061560331773
0610030E20Rik,0.00425075637809357,0.03083311083424484,0.006670284712802643,0.007678875202222458,0.0034986262910225376,0.04145450633033991,0.007634729421773464,0.00785774332767093,0.11818800022147118,0.01656387545404771,0.002964238278511759,0.010116473924042354,0.0034656643580708545,0.0015351746510514715,0.00898808383346892,0.0015290275326352303,2,CtrlSprB,0.21049812533476164,0.23903279954120976,0.2976790097796038
0610037L13Rik,0.0023915225967984853,0.017851305615291267,0.0013913106166323684,0.0023164359948747064,0.007517809865027017,0.06984814610788206,0.003273339588809567,0.03740137031147194,0.21645831950156016,0.008749512320148901,0.0024913835040506573,0.015228943215344543,0.00099828369979119,0.0013195531854742963,0.013909616212621767,0.0006986562382415608,2,CtrlSprB,0.14193893947509373,0.14964444619126951,0.16534215302893543
0610039K10Rik,1.0413809017628613e-6,2.9606261870917475e-5,0.0008858143056845227,0.004899336781911967,0.00044687474064880264,0.06375043623054985,0.007963369565232152,0.0022295869836130647,0.21929036573752325,0.020994722851095993,0.0001766112361220157,0.01888846534575976,0.002814256948825212,0.00010310270497464443,0.015612453282974146,0.0020535264859365136,2,CtrlSprB,0.012319228709159078,0.014309939871285132,0.018215920509252057
0610040B10Rik,0.0007549414466033374,0.018962467853885532,0.006329833006234674,0.00466347466018793,0.0007131266967951057,0.045361022356794636,0.012518448201949372,0.00035851574600112703,0.13763687581677445,0.03324291448904749,0.0006875747346574002,0.01411575014582329,0.004878168502546736,0.00021526072659726038,0.011319004002382017,0.0028800501219931923,2,CtrlSprB,0.1039100160685592,0.12953479211713953,0.1877429440003146
1010001B22Rik,0.022400712857665307,0.0007870238655289814,2.3557660304754123e-6,0.0016999302180200743,0.0006673124946766003,0.2389250520109474,0.0030630956406953037,0.0019742329264602373,0.8821763607841665,0.010647866488964413,0.00017696846752659318,0.056997115889355285,0.0007253727962501458,0.0001455563981637045,0.048108667132399016,0.0006196904409581693,2,CtrlSprB,0.002678093197643278,0.0026709210144680146,0.0026566150636674365
