Gene,Nalleles,Deviance,LogMaxLikelihood,WAIC,WAIC SE,AIC,Acceptance,Temperature,Rhat
A1BG-AS1,2,7.887272914158487e-7,48.15944890816199,99.46680270724553,4.953185334809696,102.31889781632398,0.966881575,1.0,1.002217215223702
A1CF,2,2.6996468235509573e-5,406.5856693827474,818.1579401014565,16.465743173731028,819.1713387654949,0.906610325,1.0,1.0031688095255424
A2M-AS1,2,3.053815002017298e-6,408.4329998499117,819.9326815677081,16.65066054544788,822.8659996998234,0.908955125,1.0,1.0031099634286402
A3GALT2,2,0.00048575478129820747,1096.959697288174,2199.4090381982132,28.199852957003866,2199.919394576348,0.83744675,1.0,1.0052199150074117
A4GALT,2,0.0016901679400958094,5431.861182343212,10868.98247491463,38.84610042782078,10869.722364686424,0.5998147,1.0,1.0015708079655654
AAAS,2,0.0028865716487011923,6874.434877091831,13763.363393920468,30.748293902317847,13754.869754183663,0.5216914,1.0,1.0047067043295106
AACS,2,0.003492911713662929,7629.205762436638,15272.621135038367,30.77112757580143,15264.411524873276,0.503308975,1.0,1.0051780580726761
AADAC,2,0.000932460283908504,2763.2867035593686,5546.455147795128,41.81723036482224,5532.573407118737,0.717808275,1.0,1.0051941674856308
AAED1,2,0.0020162300337831225,9611.44097073743,19228.6079934429,16.916204796220175,19228.88194147486,0.49116015,1.0,1.007381358852106
AAK1,2,0.006415682332368778,12934.497246613035,25874.113316210678,12.269969433054534,25874.99449322607,0.3737899,1.0,1.0033924269300412
AAMDC,2,0.0015299543109223714,9233.003503780565,18489.68675964753,17.652084744415816,18472.00700756113,0.424046025,1.0,1.0051155239686693
AAMP,2,0.002188340159978804,11029.114229103823,22316.274633040328,13.34700151001426,22064.228458207646,0.354384175,1.0,1.0067160009578753
AANAT,3,0.0005217087723444259,1059.1322627977445,2125.8819647314317,27.647168056401974,2124.264525595489,0.839100225,1.0,1.0054160055105559
AAR2,2,0.0007494059105050031,6042.251069088523,12090.03308132137,35.45711820805424,12090.502138177046,0.62024535,1.0,1.0072849078151433
AARS2,2,0.00029272631485880395,2810.87047766173,5626.794297598438,41.92360200956806,5627.74095532346,0.733990225,1.0,1.0023757345942035
AARSD1,2,0.0012644210827384736,5675.656886730231,11355.767098285052,36.75331007945525,11357.313773460462,0.595958425,1.0,1.0106017072332116
AARS,2,0.0033947374595484736,9765.13383014538,19535.579692061026,18.687184505648524,19536.26766029076,0.422461925,1.0,1.0048949420708768
AASDHPPT,2,0.0022341573453407357,12587.591318094526,25181.04780486981,10.662214265599344,25181.182636189053,0.379537975,1.0,1.003695477668106
AASDH,2,0.002978787838522908,8246.782174478307,16498.759231075685,24.24404821545137,16499.564348956614,0.513221875,1.0,1.0041931161027895
AATF,2,0.015805716793918043,18099.56769957387,36205.78899744217,5.237127686171879,36205.13539914774,0.246256025,1.0,1.0039410210589337
AATK-AS1,3,1.3715962827688842e-5,164.98649536914257,361.8616114372148,9.913697675197165,335.97299073828515,0.94122945,1.0,1.003546040492066
AATK,3,0.0007539958910894311,3748.407503652206,7501.0252226831135,43.07717292583543,7502.815007304412,0.698072625,1.0,1.0041142003162875
ABAT,2,0.0019873078358350334,3785.3716324475217,7577.953206657405,44.15503100319201,7576.7432648950435,0.674337725,1.0,1.0077477377298807
ABCA10,3,0.0014056081010014082,1434.7377149719823,2910.9600477189606,32.11357221009096,2875.4754299439646,0.808170025,1.0,1.0021586160983227
ABCA12,2,0.00020174097017577482,575.0636056530818,1156.2668679989195,19.75808171393915,1156.1272113061636,0.887533275,1.0,1.0019840056888338
ABCA1,2,0.00028980663185831316,1016.6192995488392,2037.8718656066314,27.199674715952757,2039.2385990976784,0.8458646,1.0,1.005666491200511
ABCA3,2,0.0027575426794686705,7594.913998127062,15198.527016868884,35.01491585310552,15195.827996254124,0.517179675,1.0,1.0045170610379595
ABCA4,2,0.0028766520754014394,1943.1042040098205,3891.740962077892,36.73679536325724,3892.208408019641,0.773804725,1.0,1.003785260645046
ABCA7,2,0.003815976064712895,11806.038737442906,23619.4281854091,11.9692777886307,23618.077474885813,0.401812875,1.0,1.005729598339428
ABCA9,3,3.88205862700395e-5,255.33193990986766,513.6867093689901,12.765383397683127,516.6638798197353,0.930124225,1.0,1.0017430509690444
ABCB10,2,0.0018718221668244533,8374.382644409297,16790.53977723302,28.191330308920488,16754.765288818595,0.492436,1.0,1.0036415026489183
ABCB1,2,0.004827382714205113,4409.887868333915,8828.355611652483,45.50338044420984,8825.77573666783,0.647718325,1.0,1.0082194582261577
ABCB6,2,3.337799034632827e-5,240.03613328627773,484.09210017022104,12.314559672166181,486.07226657255546,0.9298994,1.0,1.0014921863387682
ABCB7,2,0.0028631034875511666,8260.476314317328,16527.031081125773,24.010639196478447,16526.952628634655,0.5073448,1.0,1.0086390755630785
ABCB9,2,0.0004136234951564062,4515.219183932325,9036.113008116008,43.53830819229073,9036.43836786465,0.6432306,1.0,1.0057985715791193
ABCC10,2,0.0009401245265753964,4424.488183316596,8855.077726141564,41.90544771353255,8854.976366633193,0.641613575,1.0,1.004786547213412
ABCC11,2,7.138728989925575e-5,744.1468165205372,1492.7679910501952,23.13309327477875,1494.2936330410744,0.8702279,1.0,1.0021833182293434
ABCC1,2,0.007378055039957659,16478.983484275836,32963.88643406473,6.62438835581979,32963.96696855167,0.32545415,1.0,1.0003219325168535
ABCC2,3,0.008013858406988523,13633.903195426908,27315.602809073393,13.226309280861928,27273.806390853817,0.378570975,1.0,1.0023348128774643
ABCC4,2,0.0059596962477649965,15395.750602258673,30798.385359963166,8.82129092880741,30797.501204517346,0.35028295,1.0,1.0021207539554187
