Gene,Rate01,Rate10,Eject,LL,Convergence
A1BG-AS1,0.37571773911422573,0.0010560549900720064,8.932367200807862e-7,48.20763241968074,false
A1CF,0.0001232595994495703,0.006686168996425334,0.0006557754617286393,406.627514512577,true
A2M-AS1,0.0012060333478609096,0.11734186615129995,0.0020203562830783573,408.43703387426194,true
A3GALT2,2.716008543036826e-6,1.9911519838708144e-5,0.000605336857104362,1098.0572050980118,false
A4GALT,0.0066929540490182704,369883.4778438614,49909.94334536023,5431.85914295786,true
AAAS,0.000401881001087378,0.0007872934700574384,0.0003592605293196071,6874.581481897909,true
AACS,0.00031067740372512894,0.0015873824606203641,0.0010073282223840745,7629.216520067679,true
AADAC,7.573628640949366e-5,0.0014573144666912442,0.0004793098135094025,2763.758606328901,true
AAED1,0.0012988597181610379,0.0008546152521826382,0.002401258551462175,9611.441948710726,true
AAK1,0.003142348960013904,0.03695739440593568,0.05006184458543378,12934.497228704606,true
AAMDC,0.0007092870982442496,0.002986981664608319,0.0007558412636360423,9233.144660994889,true
AAMP,0.00010463081346639705,2.0740513918455963e10,3.9580185510065007e9,11036.342017695351,true
AANAT,3.832733124437435e-6,4.786019407104332e-5,0.0003160435643027988,1060.1919242712877,false
AAR2,0.0004734019855918113,0.0002766321804239895,0.0017367100249805747,6042.355686681878,true
AARS2,0.0003531515389041837,0.00048797282137256267,0.000615340645183225,2810.9437643159945,true
AARSD1,0.004588432778281981,0.033576499041919845,0.004221770041243241,5675.657030289266,true
AARS,0.0022104919574560265,60491.305495706285,23800.085033998355,9765.131915794227,true
AASDHPPT,0.0029406493419570964,0.0031642949401979297,0.0046810854363643324,12587.591336423025,true
AASDH,0.004074462163212004,0.008125501866331266,0.005766027733099142,8246.782169730153,true
AATF,0.003697876573031955,1.0628123622354317e8,1.5903294326565185e8,18099.545000844108,true
AATK-AS1,0.24148709529410714,9259.005225131848,0.013705101436672265,164.98647996476785,false
AATK,0.007206129190761145,0.03194559590034082,0.004828052354330948,3748.4075057561527,true
ABAT,0.00019596044729886794,0.0007167342457874742,0.0006770186506733614,3785.4956532888455,true
ABCA10,1.176266663995896e-6,1.304490815707506e-5,7.494626269854918e-5,1436.1731695749859,false
ABCA12,3.017512479412517e-6,5.633552864010587e-5,0.00030685984042457025,575.6389565972715,false
ABCA1,0.00018568332424307094,0.0016009511531175585,0.0012258632631746281,1016.6879385408854,true
ABCA3,0.00031527337364043557,0.00361708421685805,0.0030064328325732975,7594.915560509377,true
ABCA4,0.00026330822664428577,103145.91851160301,31516.390852509263,1943.1033722933685,true
ABCA7,0.0008550717712988914,0.001362251940885169,0.0019949700260909753,11806.03981318114,true
ABCA9,2.3085389964591494,159.6908762234961,0.0015739916972521246,255.33213776478388,true
ABCB10,0.00011314006628933533,0.0005159182331506551,0.0004471418442120474,8374.856104879782,true
ABCB1,0.00014885578704578942,0.0023461790815146656,0.001971932605645038,4409.897661473823,true
ABCB6,0.6315029867901271,0.0022068194217840843,4.6741439993275204e-6,240.27628935636184,false
ABCB7,0.0009036726111050056,0.001228733088952118,0.0013424189083045609,8260.478190146856,true
ABCB9,0.0004514519229534521,0.0012642383835422247,0.0012204273894476036,4515.227289230391,true
ABCC10,0.00040825047215282327,0.00034992221106594674,0.0003660593872591918,4424.617137783106,true
ABCC11,5.335092445705143e-6,2.887905653265197e-5,0.00042763630916847414,744.891335160936,false
ABCC1,0.000942903322035122,0.004944614153911491,0.015358218343378534,16478.983479764956,true
ABCC2,0.00013043316389320947,2.6402430961200986e9,4.575012073528649e9,13633.902677522969,true
ABCC4,0.0005050246175013426,0.0038303823060054955,0.010623478442515844,15395.750752093942,true
ABCC5,0.00031372006374701794,0.003608136196081187,0.0019519389214757814,6654.417475072133,true
ABCC6,0.00039531541567198607,0.00046209653385018005,0.00051479447220566,2239.8476346847156,true
ABCD1,0.002574965818725056,0.028655310057518556,0.0007818147440658659,2155.653617893461,true
ABCD3,0.001648964481467761,0.012595790791262784,0.011131227114191462,12060.381459941129,true
ABCD4,0.0005540934066718114,0.0003769697385795963,0.0006417487396985271,6616.15424950496,true
ABCE1,0.002681610879771076,0.00986365228220768,0.016906825306728834,17245.271665847577,true
ABCF2,0.0012160103922333107,0.0028731510824256904,0.0019078737889484752,11013.295770432258,true
ABCF3,0.00045053278071848196,0.00017249730964751623,0.0009146309837333717,6290.800068075376,true
ABCG1,0.00016839112511379941,0.0026738796605395316,0.0004573030401859537,642.8773840995069,false
