Gene,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD
A1BG-AS1,0.0007140162203495555,0.3923708184524279,0.002269488338031984,0.008278436478794103,1.8889986967303214,0.006728760956413494,0.00010775562173775508,0.07353990095872318,0.0005365273956684934,9.010190847397764e-5,0.06303636825607373,0.00046282943489691085
A1CF,0.00045060685233469305,0.09493780015577082,0.004856008778264971,0.004248921761701959,0.2876450618292469,0.013874661973866617,0.00017745220633691075,0.02497376942945432,0.0014502674731768051,8.693712607349592e-5,0.02056984365137074,0.0011124428987264626
A2M-AS1,0.003805262248555482,0.20418336607105428,0.0031561777729378474,0.0314526950432977,0.9470497849405735,0.011163471539837311,0.0009033998503147693,0.03550072762714836,0.0007194759528633115,0.0005929202017198929,0.032030594359526,0.0005975117906553954
A3GALT2,0.00030990895105372743,0.04384739405615242,0.007343446082614771,0.00016175747772873312,0.1498799359047055,0.024387876588378307,0.0003014609361264961,0.010653901291891987,0.002239062720502751,9.945605924623366e-5,0.008951025647654756,0.001402485523216092
A4GALT,0.0045807960949575365,0.06826601995983021,0.011141996850459926,0.0018358453321727585,0.17480440229502595,0.02353626778656863,0.004718012915534078,0.022335231175913878,0.005050991402260518,0.0012010118323987687,0.017932708474274153,0.0026325094463672096
AAAS,0.0006695684009692808,0.038668532163132055,0.005936617747988758,0.0002034928043194937,0.10355993365063504,0.015152320040531868,0.0006884793550682759,0.007775634501365641,0.0014296579357929596,0.0001206184666580346,0.006821485312144798,0.0010416860483055165
AACS,0.00037636236521500856,0.02127022454983399,0.008238022486716023,7.595171823065466e-5,0.0714045614900332,0.02617261687698238,0.0003861757615449094,0.005299413548540478,0.0023964075408879483,4.562223287435854e-5,0.003936841503359565,0.0014743447151254535
AADAC,8.752923925501824e-5,0.03633794354310166,0.009185780203018428,3.594290463730563e-5,0.10750934325027003,0.02693061493457772,8.770262252128213e-5,0.010009703490918776,0.002615509887937053,1.0169132926308853e-5,0.008387785559204906,0.00208999425153154
AAED1,0.0022922551933367455,0.01158488696883246,0.004878851905863642,0.001477212489119338,0.09149134791455789,0.01912327441147041,0.001983702771228149,0.0017673309268322673,0.002740323855045195,0.0009101471887095628,0.0012906794418312024,0.0004929008335933841
AAK1,0.0031443356276345674,0.055743570689241254,0.0705842539031369,0.0002268570482544181,0.11960184367915407,0.13091193810937948,0.0031445540532137684,0.037511503291126486,0.0506711263400912,0.00015766850108016187,0.013395619082033093,0.014774039228971511
AAMDC,0.000820109528302628,0.044569021515393485,0.0070692948377345495,0.00020368015849677931,0.14663312881100682,0.022521506733202787,0.0008362973390549293,0.012572923292255261,0.0022236167441765536,0.00011378252346488818,0.010709796716342732,0.0016557957703650932
AAMP,9.117467658677766e-5,0.04152842878522735,0.008552117041887958,3.746919487666812e-5,0.10722411083019938,0.021808140506464124,9.291832959828148e-5,0.01148645678841699,0.002407528414465035,8.092533262032679e-6,0.01047459234653879,0.0021562553592404474
AANAT,0.00011181737722265248,0.052257369082038305,0.008761576803861582,5.434631547540045e-5,0.16289765187813757,0.026344761122715356,0.00010759220398029801,0.013451648458541972,0.002485657634797334,2.6558389349491096e-5,0.011154493727756079,0.0018141965955540745
AAR2,0.002947103865110998,0.01696577185006941,0.003924856094251794,0.0024682442937916365,0.09651087282185106,0.011145007865034274,0.0022362873662243286,0.0021400206785895893,0.0021556617171684537,0.0014223670465066066,0.0017919757519811804,0.0003997850296615262
AARS2,0.002133876319072397,0.046091928108420686,0.003986007610694968,0.0014792077955100285,0.14507234446461528,0.010163678077140421,0.001956651679027852,0.008017085999221608,0.001270527734270828,0.000932121855891008,0.00720831626780494,0.0006397031116760723
AARSD1,0.0036834732541795724,0.054971167785884824,0.005861026294591272,0.0018473494127991767,0.17031211772645558,0.014761109358316035,0.003649501506178765,0.012096908172246927,0.0021229686668513565,0.0012134474472351737,0.010545535042533853,0.0011143893750680271
AARS,0.001988885619955875,0.0684324629032733,0.028951410820014494,0.0002177391387936245,0.12556631830141615,0.04926897722413329,0.002000530646825301,0.03334470434961928,0.015193512731299557,0.00014115203297817094,0.019847714631959112,0.007853038194471192
AASDHPPT,0.0034700619375772905,0.008889429986149786,0.006619319308495475,0.0012190502773645417,0.019356475221683326,0.006265885509821686,0.0032942000993214106,0.004148120355330702,0.005095502434204267,0.0007860778092090462,0.002226705334823391,0.0009676498085587053
AASDH,0.0041977273569114145,0.024605628355467604,0.009626584481212584,0.0018700251679568468,0.06832679081636502,0.01616755349786372,0.004087209550482034,0.008169849993871802,0.005763455179985465,0.001340592716095752,0.005703428326195186,0.0017204285997484614
AATF,0.003579253007510485,0.2252961662182618,0.3490646969185892,0.00013277595937651867,0.25783486221602153,0.3855308674216423,0.003581934800090616,0.15208251435322223,0.23961357115118317,8.724496582426409e-5,0.07010088721993778,0.10493955973634744
AATK-AS1,0.00042219383928072767,0.6103002603019136,0.0016575964232837229,0.0016880586123886084,2.352134758423423,0.005827720069748643,0.00010120029222555886,0.12074230665095956,0.0004122929120619666,8.122396503584658e-5,0.1022832902355944,0.0003496459004344003
AATK,0.004822886864711136,0.04960014070510528,0.005844083098506471,0.004328708558292852,0.24926956158976957,0.021107635176929394,0.003723966265405592,0.007033369487876194,0.0026282373741503815,0.002556754603668802,0.006236601369374912,0.0007779131843458829
ABAT,0.00036528620068416464,0.012342688304349718,0.0035483959940671777,0.0001651522274470027,0.03719276000358953,0.009091737496531454,0.0003720354997477262,0.002760182733202661,0.0012150044109044441,0.00012429621208662732,0.0021833708511592824,0.0005777061673259407
ABCA10,2.5072636565352716e-5,0.046692880144665085,0.010164221718098315,3.430383079690966e-5,0.1325625935284775,0.028894304373619728,2.4224568060479146e-5,0.011890967255259679,0.0026481008746180195,3.834319876033868e-6,0.01040984245411292,0.0022580926757435477
ABCA12,8.398555286700321e-5,0.05044818349546543,0.008171117626231838,8.40971192024259e-5,0.12319028046530787,0.01955055304080303,7.43317033176242e-5,0.015730288442324294,0.0027189353084627462,2.165634223097149e-5,0.012542641324952997,0.0019694562375068394
ABCA1,0.000638676989857862,0.03772949480166511,0.005427851746567125,0.00046089041178363165,0.10127842774786847,0.011555088608445018,0.0005733409121704181,0.009539315003847491,0.002189651939833264,0.0002805247559753918,0.008076036364654895,0.0010738237812086366
ABCA3,0.00033984355182856184,0.021140645598744196,0.013907688006151117,4.9707460928275715e-5,0.061727591660405985,0.03843584239725718,0.0003430371824269254,0.006855137119861717,0.005033390261051635,2.755902093413146e-5,0.004066695590199709,0.002546770965751776
ABCA4,0.00024051799897905165,0.056929020311840155,0.01778617790282294,5.896524250930113e-5,0.1205977376639534,0.036252882347718,0.000239657897685526,0.023158827435368366,0.00762161469185681,2.958706838615992e-5,0.015736691802621522,0.0047726801218711725
ABCA7,0.000985486145839981,0.006811437377259336,0.004346890075228708,0.00026372779812610763,0.06466427311305428,0.027313456443135504,0.0009529882052820573,0.001793835750594901,0.0022176694690133787,0.00016496876220147656,0.0007665458492844633,0.00040127882102407786
ABCA9,0.0036341762384919317,0.15951527455403774,0.002660622490424772,0.019809080368729432,0.5170072749566936,0.007777191373188219,0.0010073058768382624,0.032121764384232074,0.0006749085438626748,0.0007446635216412651,0.029309705911013492,0.0005564172364478238
ABCB10,0.00012490279881765659,0.005882217298105741,0.0029609773441023365,4.2899537858519716e-5,0.021697203246475946,0.010115664756760906,0.00012323447005940715,0.0007175350010640094,0.0005492315880906161,2.3985098816012022e-5,0.0004389713765809787,0.0002197962258618691
ABCB1,0.00016613084227548846,0.014022747409735373,0.008910121369700114,4.130774148702003e-5,0.04182251804394701,0.02486278671986454,0.00016797764695576474,0.0045173387752488366,0.003260488222891951,1.828535196008287e-5,0.0026852450679786047,0.0015957431050334816
ABCB6,0.001877509746487796,0.3315999279708879,0.0024034194154379826,0.009155379546991804,1.3912216187306439,0.01278454571408028,0.0004866274927055659,0.06600721188614112,0.0005505993736008197,0.0003648120338049991,0.05676737055343763,0.00046700311111451994
ABCB7,0.0013688519547927428,0.014825095317615071,0.00453226177079431,0.0006012381526907378,0.07886547187371297,0.01780924641129537,0.001333905528464122,0.0029869368955125404,0.001839644309248616,0.0004480676334728621,0.0021984160976364873,0.0006314229722982251
ABCB9,0.0007977343716571466,0.018167411621999342,0.005242377820375719,0.0003796465904704824,0.05088107223115801,0.011908116946635324,0.0008078093479597049,0.00422874359791549,0.0019924053647874885,0.0002971302079605607,0.003408723317201774,0.0008970043185110783
ABCC10,0.002045888532727365,0.05548109346186215,0.004335557133796684,0.0011564766351024782,0.18881449021234467,0.013400625600881583,0.0019498821740251394,0.012516254096416006,0.0013488723934699347,0.0006284323317281377,0.0114826964284475,0.0009037247664826732
ABCC11,0.002514745150198078,0.09008092855881278,0.005722308998220502,0.06384820876116147,0.3901584708821699,0.01930685310729263,0.0006674490212802918,0.021298080027163976,0.0017233933869257195,0.0002970032182711655,0.018171098741850397,0.0011719822120302074
ABCC1,0.0009514456655788698,0.0053731516990540625,0.016213979585917134,5.701546182756058e-5,0.0016892570630696099,0.003268455199122648,0.0009496541077363068,0.005114151044086831,0.015705559958523678,3.445015103339976e-5,0.0007655834699727042,0.0015659696844626952
ABCC2,0.00012841607240868694,0.04694335542364328,0.08228094236404121,3.1155571322239886e-5,0.06838968777405349,0.11886634995586354,0.0001282080811070273,0.026308174348495035,0.04643814079659914,2.8227704846485295e-6,0.014900014653557631,0.025900070537649797
ABCC4,0.0005120854539379031,0.00453014607007281,0.012019300895582287,4.1426368064955195e-5,0.0026173707579254016,0.00506449579961027,0.000510796662417301,0.004093575437459345,0.011154600649670741,1.8336111928810277e-5,0.0007462681128001286,0.0015073931779509553
ABCC5,0.0003434639163703174,0.028820763945142176,0.012251271999529132,5.4323945534637465e-5,0.06132232972254281,0.025018133000767804,0.00034765476698327,0.010244962464643856,0.004673111569384294,2.8045265820441783e-5,0.00735629792484298,0.003022681767365685
ABCC6,0.0045877851919427,0.06805276608368407,0.003481230520644102,0.011034174487999489,0.25722096684372264,0.012666317224141679,0.0029731678247895167,0.011070936253877728,0.0010560820385857516,0.0015520511934835985,0.01009717231644255,0.0005585652368142549
ABCD1,0.007927295372011162,0.15015855262611244,0.002788006880746727,0.0655221106883891,0.4906751868169174,0.007370608747277986,0.002521423976013443,0.031715481350534806,0.0007345755923728795,0.0012728459230791564,0.02901204826667524,0.0005875201239620365
ABCD3,0.0016994552059979963,0.033076291728022435,0.02439096460894737,0.00018935369837159456,0.06080529254876303,0.039336141339045075,0.0017080009465827713,0.016296942236735352,0.013553141688137725,0.00013238228768205787,0.008188678684095561,0.005392527360475203
ABCD4,0.002077697259934822,0.04324694042583176,0.00548480976749168,0.0011010539548610787,0.21068842369170515,0.02262949553707963,0.00206976589234861,0.005501091932600928,0.0013766891218549172,0.0008407820765345213,0.005005481680975349,0.000703939193657714
ABCE1,0.002764213983409721,0.01665968939473414,0.023754026236319108,0.00029529160506187044,0.0337072327257205,0.033758888576032785,0.002743853222771873,0.010987760394647224,0.0180846513317259,0.00019711887553637347,0.0034703391707415114,0.0036560689632292864
ABCF2,0.0015070382012993247,0.026216911352234196,0.008619998229314666,0.0003636957469148371,0.07159685927448259,0.02046892090403294,0.0015379565077300132,0.007486155541121968,0.003312030465914116,0.0002665515300823277,0.005450153064892155,0.0016710557237085454
ABCF3,0.0039406153997620695,0.041500159793643354,0.004136943992718364,0.003214943743731661,0.21875763505989476,0.0165230095003812,0.003164925145577343,0.0031199867647877183,0.0013187965386187042,0.0020044835251281745,0.002839664954518228,0.0003816277798462675
ABCG1,0.000559050048248248,0.09485994411065488,0.006044241744988294,0.005672680654466809,0.3307908509033216,0.019002228869715497,0.0003219717589534257,0.024544265247211768,0.0017795529383914993,0.0001312106349082046,0.020506930918581835,0.0013226100334154025
ABCG2,0.0005676416537924612,0.07644146986789001,0.005289749536069377,0.000727008442667447,0.25100215843908524,0.01317220682057356,0.0004547467061245114,0.020497817496931744,0.001636025406766206,0.00015887922498949243,0.017507132483794353,0.0012159077477484613
ABCG4,0.009106331476915357,0.22245865540361964,0.0017005491025601925,0.03557189344439151,0.9095444174533877,0.005798033293419796,0.002878434785258702,0.036707970643680116,0.00038057697520273317,0.001970441643806056,0.034203683567961655,0.0003200183097236076
