Gene,Nalleles,Deviance,LogMaxLikelihood,WAIC,WAIC SE,AIC,Acceptance,Temperature,Rhat
A1BG-AS1,2,9.283291123080177e-6,108.70650001533474,220.67695875636545,7.954380080140265,223.41300003066948,0.952312875,1.0,1.0032182553259426
A1CF,2,7.370868821561165e-5,259.16086767889095,521.6613436155459,13.134978377300733,524.3217353577819,0.926153525,1.0,1.0025205983671042
A2M-AS1,2,3.488226446981405e-5,190.11549191671335,383.13640958119737,10.978276857844927,386.2309838334267,0.9379435,1.0,1.003005165562408
A3GALT2,2,0.001208842541610226,1386.5330782579713,2778.7599485350297,31.52802190825367,2779.0661565159426,0.810403475,1.0,1.012029872354206
A4GALT,2,0.0020305861587251945,5087.055515116972,10178.743211407995,28.645081272697475,10180.111030233944,0.632602675,1.0,1.0154043514439188
AAAS,2,0.0031180439479149245,5126.25826185404,10262.731916557426,29.012485854887863,10258.51652370808,0.564330575,1.0,1.0064900865305422
AACS,2,0.0030532372274989996,6793.816225241317,13598.324274189652,21.71460333271087,13593.632450482633,0.508816575,1.0,1.0080921196585386
AADAC,2,0.0015344201857545431,1522.5037334378583,3064.9261693284625,32.15714316279539,3051.0074668757165,0.8054363,1.0,1.0013687020606297
AAED1,2,0.0043964206365730615,7048.177399799093,14102.204123065436,16.247680082270985,14102.354799598186,0.56056735,1.0,1.008834435186679
AAK1,2,0.00682468831760947,9831.734953486943,19669.077206313097,11.299780826387414,19669.469906973885,0.427851,1.0,1.0009777344256965
AAMDC,2,0.00739053796091576,9512.254586503112,19041.53152935231,10.488129219880042,19030.509173006223,0.3834289,1.0,1.0024132504876915
AAMP,2,0.0054810798862337876,9370.494171815806,18939.50291230112,10.496224520609289,18746.988343631612,0.35135055,1.0,1.0034939871239041
AANAT,3,0.00015969183359196471,578.8225453783638,1164.2337404894615,20.267716111595018,1163.6450907567275,0.882690725,1.0,1.0032307639540667
AAR2,2,0.0008051618685419847,4596.89524054417,9198.067738790724,31.543426986238263,9199.79048108834,0.648428925,1.0,1.0106221508667166
AARS2,2,0.00022593622599919802,2035.2651012902427,4075.287469430536,36.3135498599305,4076.5302025804854,0.772604275,1.0,1.0028945312982323
AARSD1,2,0.000553554274470669,4353.485351252856,8711.332718079158,32.710476413053065,8712.970702505712,0.638267975,1.0,1.0057423278074367
AARS,2,0.0038144300711207136,6343.292811574301,12691.628399719812,22.142128645202806,12692.585623148601,0.52893355,1.0,1.0099076799852957
AASDHPPT,2,0.003373203494144536,9868.494688243663,19742.00008665231,9.467595500636971,19742.989376487327,0.394536825,1.0,1.006467717305894
AASDH,2,0.0033872868997001037,8321.890395945169,16649.417647063765,12.961822864304212,16649.780791890338,0.478044,1.0,1.003020535517762
AATF,2,0.01184452183620753,13613.71994353165,27233.27510321351,5.02886744649706,27233.4398870633,0.298263925,1.0,1.0019492336887295
AATK-AS1,3,7.114985608203033e-6,96.98764899129813,218.98759688840832,7.449925186775201,199.97529798259626,0.954134875,1.0,1.0040928777465261
AATK,3,0.000817900410498372,1392.5484014774663,2789.6512643466062,31.695078491167788,2791.0968029549326,0.81272765,1.0,1.0046587403119827
ABAT,2,0.001960093604275955,3435.5014735098885,6876.873551529125,39.475501337609856,6877.002947019777,0.67613895,1.0,1.0027768871589062
ABCA10,3,0.004581891079601437,3556.591570161469,7151.481205582434,40.89259675591296,7119.183140322938,0.6812681,1.0,1.0032210722222608
ABCA12,2,4.714676305810674e-5,215.36186261241153,434.18701237643035,11.80008212568231,436.72372522482306,0.932602925,1.0,1.0033582134371242
ABCA1,2,0.0001233312262057572,556.5078952378224,1117.3672296564212,19.865417212065452,1119.0157904756447,0.88756845,1.0,1.002672830503127
ABCA3,2,0.004029793286368801,6231.086864926308,12470.524014466526,28.93470198191919,12468.173729852617,0.55224085,1.0,1.0107784977233956
ABCA4,2,8.216247688114285e-5,445.6782120016135,896.4223572404219,17.555509377225484,897.356424003227,0.899397275,1.0,1.0035492125135312
ABCA7,2,0.0063985628243406,7168.15314832772,14342.546988603277,17.904159260032753,14342.30629665544,0.474033425,1.0,1.0027155067375715
ABCA9,3,0.001426405397552169,1040.5649133163752,2086.501552767621,27.319611242337004,2087.1298266327503,0.8392882,1.0,1.0017083357048406
ABCB10,2,0.003114090796327238,6216.612711259428,12462.890017085912,26.55918118783961,12439.225422518855,0.5274201,1.0,1.0006291169763326
ABCB1,2,0.0035286473421624587,5707.195078768525,11420.63959763837,34.946679131361925,11420.39015753705,0.581365075,1.0,1.0040201476386115
ABCB6,2,2.4530557066597628e-5,164.02486269241382,331.69173587146867,10.079657800898408,334.04972538482764,0.941175525,1.0,1.0013647139981585
ABCB7,2,0.002119167281316481,6493.916133119754,12993.149668407046,23.808560036864506,12993.832266239508,0.52344795,1.0,1.0011448960148734
ABCB9,2,0.0014995479281832735,5369.222374375557,10744.205982313904,31.287849578316525,10744.444748751113,0.5932865,1.0,1.005093527940573
ABCC10,2,0.000501401777699659,4447.906799835047,8902.376880493188,32.86113502678543,8901.813599670095,0.629913,1.0,1.011722898012437
ABCC11,2,0.00031518263097371073,468.1755270925136,939.6513080850165,18.451088018573174,942.3510541850272,0.907677025,1.0,1.004010120102613
ABCC1,2,0.008783500301783525,12401.119418904502,24808.21961955421,6.101485894856419,24808.238837809004,0.3746082,1.0,1.0003780739196195
ABCC2,3,0.0013573038916603558,4733.625940044547,9514.597976402758,35.905025010042706,9473.251880089094,0.6047464,1.0,1.0055452615908957
ABCC4,2,0.010385974157854349,12878.706814640365,25764.165334056834,6.809899120310738,25763.41362928073,0.386532275,1.0,1.000825255140412
ABCC5,2,0.006331242109369037,5889.1806248537805,11787.58536517114,31.931117249341934,11784.361249707561,0.563152775,1.0,1.0035551383416166
ABCC6,2,0.0006615378235064087,1288.3579122548883,2581.589936143506,30.62552331175196,2582.7158245097767,0.819580175,1.0,1.0050870504416936
ABCD1,2,0.00035212746655337713,1770.186284890279,3546.9522882738092,34.76915160088816,3546.372569780558,0.775875,1.0,1.0053585026279341
ABCD3,2,0.008103337596385311,10999.181917054711,22003.673029318354,7.864073257702353,22004.363834109423,0.36050525,1.0,1.0051387755058607
ABCD4,2,0.0013701511501004028,6080.679963247012,12167.142169731516,22.112328746951405,12167.359926494024,0.556878825,1.0,1.0056130740374085
ABCE1,2,0.009019662796439393,11809.888313515867,23625.37139409812,6.67476194068336,23625.776627031733,0.3358586,1.0,1.0045919708271946
ABCF2,2,0.003047849480639373,8237.963474646054,16481.822294733367,12.498794506406147,16481.92694929211,0.42668375,1.0,1.0067144274273974
ABCF3,2,0.0017475571273851283,5098.220753392077,10201.026855310178,27.67113540507727,10202.441506784155,0.618983,1.0,1.0048024445104975
ABCG1,2,4.281226779347148e-6,364.0240833521621,731.219237686095,15.874904094313104,734.0481667043242,0.9118858,1.0,1.0016485883580744
ABCG2,2,4.788622842056361e-5,488.00775449475447,980.5170183014995,18.57552817728876,982.0155089895089,0.89413855,1.0,1.0023167781227516
ABCG4,2,9.085403352517728e-5,282.73609949745435,568.5780953128343,13.81223488878503,571.4721989949087,0.9248077,1.0,1.0061035674195895
ABHD10,2,0.006614507871451785,9130.846039836366,18266.371138619834,11.066751402466052,18267.69207967273,0.409555625,1.0,1.0064348530197553
ABHD11,2,0.005578258822312074,8568.01806170927,17143.0272354878,12.325326206910272,17142.03612341854,0.45951555,1.0,1.0037993000167922
ABHD12B,2,0.00026556487974356633,1175.7760585193275,2375.062041314344,29.498254094092857,2357.552117038655,0.81684185,1.0,1.004171552501043
ABHD13,2,0.0023379506000999702,5361.927053270422,10728.35319135027,24.53730243145636,10729.854106540844,0.63419785,1.0,1.0025980312778873
ABHD15,2,0.0002555150203091916,2514.5090390935434,5033.951675496867,37.88522084620226,5035.018078187087,0.7343714,1.0,1.0044459792423408
ABHD16B,2,9.059526717625236e-7,39.78653533195589,81.80927005149015,4.550230909794221,85.57307066391178,0.969578375,1.0,1.0030228587558223
ABHD17A,2,0.004237661572201654,10106.239144010868,20217.300127417857,9.22518495840677,20218.478288021735,0.37335255,1.0,1.0082823412263802
ABHD17B,2,0.004496423320491807,7748.442896520713,15502.383117978656,18.365314135437185,15502.885793041425,0.49443275,1.0,1.0014567897782467
ABHD17C,2,0.0028488237393896818,6390.692945068238,12786.591238386192,25.856056341151962,12787.385890136477,0.5369863,1.0,1.0038271783299435
ABHD2,2,0.0042382528987629665,7531.13517168382,15067.952848186866,20.008942792056782,15068.27034336764,0.49241445,1.0,1.0062307712203804
