Gene,Rate01,Rate10,Eject,Decay
A1BG-AS1,0.2797503400499523,6.0642116555009317e-5,2.698990014864747e-6,0.0017720637561261827
A1CF,0.0750500340624351,1.999505220535731e-5,9.291815851477606e-6,0.0021673846846251977
A2M-AS1,0.2075203334677185,0.00020941085825393002,1.1086463309862597e-5,0.0037535679540591504
A3GALT2,4.026852218957546e-6,1.6304498363164442e-5,0.0006325776895011124,0.003459031774485653
A4GALT,0.0008681318861031222,0.0005208350731070048,0.0020154331057895877,0.004772622011159922
AAAS,0.0004150674103845665,0.0013212241590753438,0.00046826489135380134,0.0004204004348582443
AACS,0.00034897272470562794,0.001402498204363761,0.00108098217029419,0.0004813731562767961
AADAC,5.263347763097321e-6,7.07181666527467e-5,0.00022058893377691785,0.00035438840091621166
AAED1,1.4293438526356582e-5,4.216674619875024e-6,0.0016735347824632248,0.0025411165827101917
AAK1,0.0027524462174943367,0.016129116058856894,0.025403325730942637,0.0037127214664299415
AAMDC,0.0005431674233280701,7.402458457501018,3.6891058706056326,0.0002745681175220499
AAMP,9.103199155413817e-5,0.0005661192696733359,0.00018429533532661853,2.4777000090798225e-5
AANAT,5.602153176906006e-6,8.758085869811973e-5,0.00022430483057710418,0.0017484579779097511
AAR2,0.0031095344207939073,0.003509956582421941,0.002248469937740676,0.004798949840084059
AARS2,1.3149922217741445e-5,1.3397190414378093e-5,0.000471599510677972,0.003794880695706363
AARSD1,0.0031276072130500755,0.006906527049663446,0.0015910440067758327,0.0024744679549160917
AARS,0.001558288926932691,0.005621631402424006,0.0027882568950859964,0.0015248854733465984
AASDHPPT,0.004557713603300495,0.0069163635534395685,0.005920350515809999,0.0019841867641632103
AASDH,0.004338559813076735,0.008080885508444961,0.009656071393531054,0.004736852220213539
AATF,0.003228132667068315,3.983043548965316,5.911043860324933,0.0017611975788148493
AATK-AS1,0.07282227519117666,0.5897650313430965,2.342308712347819e-6,0.00028982484808883695
AATK,1.7204044171577854e-6,7.280707002092283e-6,0.0016146623953157693,0.012742710868204988
ABAT,0.0003160987135347968,0.0031841603211055286,0.002044963029012198,0.0013696959642707427
ABCA10,1.0556785875809066e-5,9.696943616773135e-5,0.0003103114784240341,0.0003101723391791797
ABCA12,1.7013023637025986,0.03399894344543894,5.77730440130886e-6,0.0016515124116240677
