Gene,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD
A1BG-AS1,0.0014283067121443572,0.28510159477593927,0.002621708442952383,0.008790803470274193,0.8976594899263475,0.008548347890184368,0.00026121035443148633,0.06420420141457744,0.000649591270477436,0.0002104778707128849,0.05467041053563906,0.0005574795523925383
A1CF,0.002561726407255292,0.22805776049737725,0.0025556781878681993,0.010110292919501504,0.8223776283612957,0.012155371262468793,0.0007884123724648633,0.05656114438589144,0.0006164495105453918,0.0005589194254448327,0.04970675359686295,0.0005242539727202398
A2M-AS1,0.0025974765561015425,0.19746985947504703,0.0026627963547296843,0.012759818743121943,0.6928728211133917,0.00889423895176027,0.0007047725959701951,0.04628156864100262,0.0006977068104329981,0.0005151156009475452,0.04096614451968869,0.0005900174597135385
A3GALT2,0.000549404594564331,0.03578056144374375,0.0057760755415810095,0.00032080314036127267,0.11797172545463204,0.017234360559512503,0.0005321981294733263,0.006784975176830745,0.0016590331697400337,0.00022163138137265364,0.005827772630392605,0.0008891423122988443
A4GALT,0.0036598876181982423,0.0176668951748767,0.004489637535639541,0.0027649066565102235,0.055313567460655626,0.006961899107517031,0.0030173148316009015,0.0032611926124424054,0.002626685073131652,0.001835140911344357,0.0028026798424215056,0.0006261062240453385
AAAS,0.0006037597305775967,0.05725537757250181,0.009704076893536417,0.00014523687651509364,0.1930387470605912,0.032102240181509936,0.0006047616144140083,0.014886050988740504,0.0027349479432565087,8.247661947237108e-5,0.01258341130438461,0.0020971363497122807
AACS,0.0004384172046351682,0.0193086357479626,0.008311761340209781,8.875984607475691e-5,0.05541859649361409,0.02228594178038543,0.00044670640520140693,0.0044855262235687955,0.002359139642418701,5.9009698082479575e-5,0.0031887924288930593,0.0013246067465455004
AADAC,2.4079812443344633e-5,0.01701192412351847,0.00951394219310153,3.286641555287441e-5,0.04765041466944882,0.02609281470415037,2.4511009133915534e-5,0.0032652450974704145,0.0019581699851828876,3.637090683847507e-6,0.0028376864216387325,0.0015490741066661764
AAED1,0.0021677498366675916,0.0063849780894964835,0.0029960313158866503,0.0017667022446954204,0.032715488187684084,0.005046183066940433,0.0016915252178589064,0.0010655823453526545,0.0021091039800874424,0.0009271311845009198,0.0008245814439614995,0.000293255378535357
AAK1,0.002795277444288344,0.021306245621092075,0.03073355935639121,0.00027993227931682807,0.01996055046968472,0.020630870300964985,0.0027859970562058318,0.017109844071181077,0.02643223331662267,0.00018885503454749543,0.004938391018838366,0.005226455501085164
AAMDC,0.0005144327085365857,0.04585191156175567,0.023421997452342448,5.576626905349841e-5,0.17438272701627772,0.08710749177919447,0.0005160369357545532,0.01757117421541324,0.009363547228296071,2.800527787071369e-5,0.01193140002129717,0.0059470543893109015
AAMP,0.00010976085913719737,0.0375302479621166,0.008629741102582385,4.1415279797341325e-5,0.07606053344099199,0.017148431944758062,0.00010822473589329714,0.014815006728582929,0.0034655946213687145,8.236775640647888e-6,0.011486243257612322,0.0026457782532941943
AANAT,0.00016561159775132852,0.07048460837816065,0.007082482886568161,0.0013133427723635294,0.18967536178575387,0.01802900603736788,0.00011289219599394987,0.021000340991718033,0.0022446478010514585,3.878709821258778e-5,0.01727163617054084,0.0017149787161874523
AAR2,0.004447331452061394,0.031860780128348254,0.005333935907252577,0.003182673454623568,0.12376883099135629,0.014199006161919938,0.003916458614747728,0.0053330556847289235,0.0024974798747683137,0.002335876812364733,0.00484554520016721,0.0008097543574073882
AARS2,0.0033628091906139396,0.0669275899296807,0.004270020711408548,0.006232756407575821,0.2569675951320916,0.014396699346943714,0.0024755839049457615,0.011968351381536266,0.0012460337662938323,0.0011652838390920706,0.011042897297873564,0.0007231449621846397
AARSD1,0.003741959353469583,0.05689200982278448,0.005839032210338595,0.0020803507899053793,0.18574616501978666,0.015786889721110534,0.0036200351637543904,0.01139926123703422,0.001979513006222574,0.0013107320387528505,0.010145832410525954,0.0010474676317132137
AARS,0.0017489303632637582,0.03552059412284335,0.01045324602159934,0.0004935738194687275,0.10825340329729922,0.027560331283008197,0.0017974689817965722,0.010393490779450933,0.0040622401169477275,0.00033743055253124287,0.007789727270312373,0.0021352067273212568
AASDHPPT,0.005227313684630245,0.02811158541613698,0.011797996127820842,0.0017232601986372966,0.07195717586071118,0.0196972374098701,0.005101586925724344,0.009685343035151651,0.006809783415882627,0.0012718447849336687,0.0064093393189381285,0.0021607420967355868
AASDH,0.004551024546541869,0.01650376984564756,0.012953139580808005,0.0014394537479877248,0.05788275154759422,0.022439849968101826,0.004442799476575729,0.00857308570366228,0.009878657215389351,0.0009614559650725158,0.004344531033251633,0.002097383752352068
AATF,0.0030569850632738774,0.12359951359804985,0.19380487775883673,0.00015076255365496145,0.15595749751003624,0.23121431612176266,0.003063664103533684,0.07944180238461536,0.12831870748291113,9.90285765775866e-5,0.03735352246046148,0.05548358629501479
AATK-AS1,0.00034910492752501766,0.665357625764239,0.0017288876645268985,0.0012910651731986868,3.5136421811341645,0.005238834300592086,8.005065788939015e-5,0.13790067849082954,0.00043512701094657665,6.498232602979833e-5,0.11571936276327319,0.0003631297012269071
AATK,0.0014050377628149118,0.0328115492435502,0.00484372638659468,0.001249703335337036,0.1059251804877593,0.010360731652060905,0.0011218263117806907,0.007465562266957112,0.0024562178833752862,0.0007215411171202844,0.006330180390707482,0.0008760408312107554
ABAT,0.00037099623343133146,0.0287181354893183,0.012267196422676317,9.230459528229534e-5,0.09571801675005938,0.038335171999974174,0.00038186678999762447,0.00788327941133953,0.003930623699183492,5.477579111084707e-5,0.005630155905674455,0.002280115023291468
ABCA10,1.66519404243345e-5,0.00040897123978746316,0.0005380531317542123,3.0347180041263137e-5,0.00475871823083813,0.0029095705235983585,1.6222774108667014e-5,0.0001875649707004345,0.0003823660309783953,3.720939600002409e-6,7.176460435598088e-5,5.8900869151086655e-5
ABCA12,0.0019108751858079275,0.2715103888900964,0.0027124682216630057,0.012659042359180325,1.1168428693614982,0.007597676450240603,0.0005210994802371011,0.06594119808755598,0.0006427192440777805,0.00037551336245461326,0.0566097225621902,0.0005484176008981019
ABCA1,0.0006712510672550302,0.058473063886894716,0.006387573309312182,0.0014224176943625326,0.14918249861052518,0.014240731951869354,0.0005080575853983279,0.016112629661303855,0.0024160902570812643,0.00024381016444656112,0.013738701797706495,0.00145510606597469
ABCA3,0.00031824829573081335,0.008065619902107673,0.005817704299221548,6.59637739378528e-5,0.034418078958178895,0.021433489408171105,0.0003162059734170961,0.002403612295340727,0.002293712545644816,4.2194302894297815e-5,0.001138563116864551,0.000737035650526618
ABCA4,0.0002283168525188724,0.07947582551557002,0.006549602032718152,0.000373750487727912,0.2423640771891116,0.018448502246321104,0.00015874122140516694,0.022203916606777046,0.0020283332078566,6.362045792891114e-5,0.018311502516627283,0.0015376996062754634
ABCA7,0.0011952159636544227,0.0772080982709614,0.026364302340191555,0.00014964082072405017,0.1932108656045788,0.06346226317885513,0.0011987592270340157,0.027523600278814626,0.01006958076053421,9.297670049566173e-5,0.0185839813062896,0.0061401831485345115
ABCA9,0.00029407226283170387,0.016855539510552013,0.0068847204323806855,0.00021323171211902497,0.05136988032258338,0.012828622883452137,0.0002494165313762835,0.005283503653986559,0.00411964411384981,0.00014164346808880288,0.003976205798699617,0.0011913017626774718
ABCB10,0.00015061727492088009,0.031411985425302526,0.014738291947478067,3.2308604599669296e-5,0.08434707831956545,0.038997786267297545,0.00015100626988710536,0.009951689686790366,0.004819361751105229,9.313507383614423e-6,0.007544645408583508,0.003497126466787787
ABCB1,0.00027174442500908265,0.032262576664432475,0.03159217861637099,3.744621984514174e-5,0.06588594982210579,0.06255342983146912,0.0002722970927899698,0.014172663778943988,0.014432308229011509,1.379968454428193e-5,0.00827075172044674,0.00783654454526642
ABCB6,0.0011968816331957056,0.33187128427878665,0.0028583392328714718,0.0038003927061778316,1.2299947317823543,0.01116172772221226,0.0003380960778744811,0.07179256990376882,0.0006943042501093994,0.00025606670077441056,0.061720892286082574,0.0005864404214278131
ABCB7,0.0011398390670237703,0.030898082061988498,0.013853631972092216,0.00021709734299430955,0.08276842560614309,0.03331128869105864,0.0011618569679776487,0.011372138684026499,0.006040861184627846,0.00014361085601481954,0.0073721618970351115,0.003042454474936867
