Gene,Nalleles,Deviance,LogMaxLikelihood,WAIC,WAIC SE,AIC,Acceptance,Temperature,Rhat
A1BG-AS1,2,5.3439814607248946e-5,201.2720686427277,405.7983502509609,11.455380549311151,408.5441372854554,0.93458135,1.0,1.0035750027382073
A1CF,2,0.00047012958925625833,790.3218654790832,1585.9679385204643,23.987397104124472,1586.6437309581663,0.859164325,1.0,1.0027905094668657
A2M-AS1,2,9.791462967606029e-5,893.4297109299067,1790.3438757032384,25.908872937417666,1792.8594218598134,0.8587596,1.0,1.001796165837656
A3GALT2,2,4.0471399134538584e-5,604.1908427773946,1211.9454509393702,21.13222603851216,1214.381685554789,0.88340755,1.0,1.0044027123810166
A4GALT,2,0.00417174928893784,7088.5813914546725,14182.092855104276,14.347299301773472,14183.162782909345,0.486286675,1.0,1.0033371119949321
AAAS,2,0.004411834862310497,7123.833067686721,14259.405311096158,12.254518103129426,14253.666135373442,0.47713435,1.0,1.0162138773722047
AACS,2,0.005156822797598268,7158.531122899332,14328.408600004019,15.383242900420099,14323.062245798665,0.51222315,1.0,1.0068737891267838
AADAC,2,0.004640846458322026,3475.339043520134,6967.767093565069,38.200604713484495,6956.678087040268,0.681768725,1.0,1.0029746669978223
AAED1,2,0.005408973201808193,7521.346319878342,15048.524840517,11.573043892573004,15048.692639756684,0.49553715,1.0,1.0055032426197408
AAK1,2,0.007098861684775372,9838.830379146044,19682.70054937058,7.861247232392136,19683.660758292088,0.4029772,1.0,1.0036621168256132
AAMDC,2,0.005736795251187078,9437.340834823746,18888.51722481276,7.976907289017923,18880.681669647493,0.361942475,1.0,1.0140654132980578
AAMP,2,0.012467736991961062,10852.324326013204,24335.350983686436,6.528852595399334,21710.648652026408,0.2849493,1.0,1.0070315957050808
AANAT,3,0.0004302018360573449,1461.0794114195085,2929.9391804278257,31.634039123510775,2928.158822839017,0.80049405,1.0,1.003501232805254
AAR2,2,0.002681312185243537,6246.987339693421,12498.982814727693,15.906548417930933,12499.974679386842,0.526312425,1.0,1.0048049052669132
AARS2,2,0.0016175441542607741,3349.5091644676527,6703.925162588214,35.070093160054405,6705.018328935305,0.67110585,1.0,1.0033350943019412
AARSD1,2,0.002588453517047371,5598.783326895363,11202.869848243157,19.88501506602774,11203.566653790725,0.5911865,1.0,1.0040439887332362
AARS,2,0.009482548762769157,9425.973667808195,18857.189213823574,8.170481421555385,18857.94733561639,0.3853657,1.0,1.0017585500227868
AASDHPPT,2,0.00934578215629576,11366.436548615686,22738.619022345836,5.171171469804936,22738.87309723137,0.332089625,1.0,1.0011446051668615
AASDH,2,0.006771276840775665,8040.417563362291,16086.178608925595,10.605489857772811,16086.835126724582,0.45431735,1.0,1.001776595371968
AATF,2,0.017618609898780578,14730.430261041203,29467.903080121006,2.6711185995404882,29466.860522082407,0.25678502612762594,1.0,1.0268545631604165
AATK-AS1,3,5.356138851697097e-6,360.17991538883706,749.4835259848134,15.905908721480415,726.3598307776741,0.9075335,1.0,1.0047376259220755
AATK,3,0.0032502362479916135,4668.178809688859,9340.659405283019,27.06567963354186,9342.357619377717,0.632943325,1.0,1.0035367572848466
