Gene,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD
A1BG-AS1,0.0018575233693166875,0.2497522830456071,0.0021551004751090962,0.005606462574229031,1.2238297460854772,0.00542113499464735,0.0005692908328450838,0.057823362188013865,0.0006243407622112489,0.00041735986618863933,0.04984236447504245,0.0005316727207499636
A1CF,0.00027383784736081387,0.05655521184943009,0.0077981840908353745,0.00015201711025813203,0.2635105284517409,0.032280577534220624,0.00024999008956519495,0.013457425021481513,0.0021842516557542286,7.658202075552118e-5,0.011225474371142113,0.0015380439783914868
A2M-AS1,0.00612304007134477,0.10616598083033467,0.0028715368563141347,0.01855770855883033,0.3284089995947545,0.008156547768548229,0.0023850170847540104,0.02083903608541967,0.0007506333202997714,0.0013702488258266659,0.019239490704174612,0.0005607928368387636
A3GALT2,0.003393248900315733,0.1058743839084734,0.003073735724481202,0.010588415328012806,0.3090024721696582,0.00979478907003156,0.0012617486308210578,0.02638061792845322,0.0009279820302336508,0.0007280122704517332,0.023471884683843494,0.0007335551003338563
A4GALT,0.0050745195072996905,0.054904327256861396,0.032218253770985646,0.0008812936989032672,0.0977785476900087,0.04511161530891984,0.00509759321869315,0.02992670772830328,0.020777310566581192,0.0006166752758362472,0.01551081692405603,0.00746925128446031
AAAS,0.000892701343367288,0.01960297299389762,0.004843244984736555,0.00034539910415319554,0.05600895918962429,0.012275948004909384,0.0009268633292297409,0.003419118375477133,0.0013239334542807526,0.00026039068261896666,0.0030037850420189514,0.0007595572981369122
AACS,0.000284338286006229,0.0016027131672678775,0.0016447374612189888,7.917308713424803e-5,0.007322507416450451,0.004288113207745354,0.0002778150442114656,0.0007471520597741048,0.001138813872448119,4.545254935292609e-5,0.00029155725228712057,0.00020262977634498153
AADAC,6.755948091037526e-5,0.01956249187478392,0.0168536913061871,3.5261526538713116e-5,0.04083219026291212,0.0345710571308401,6.762442606219318e-5,0.006772321303449645,0.006015435247772978,4.368673158311919e-6,0.004910213130117634,0.004147617183923349
AAED1,0.0023990033295110224,0.008397280302102676,0.006811024169054853,0.0009148230689597481,0.02057831712532349,0.008022897937527853,0.0023046927848543934,0.0038438719112413727,0.0050433551374657925,0.000621252690454281,0.0022139276116812595,0.001114958691780678
AAK1,0.003645215565197612,0.07322182265114821,0.10313227070547504,0.0002719121252015009,0.09424191131441156,0.11725713771585211,0.003649962956573452,0.046642685569803576,0.07011032700191466,0.00018810406136266812,0.018951126234220607,0.023751066912655855
AAMDC,0.000622333047449993,0.04158442270183372,0.02412997161774544,6.792679510761712e-5,0.09587863947872928,0.053677528106799065,0.0006276698448489039,0.015760664609405017,0.009676649461888884,3.751262461959982e-5,0.01113563466871211,0.006271583330489427
AAMP,0.00010715971175681394,0.0461516082106778,0.02491046714525324,0.0002194143104618584,0.09480786457264564,0.05097709843247849,0.00010407302702808867,0.01509814310223808,0.008230629088671124,4.6578703507506916e-6,0.012226639579466448,0.006567508890393148
AANAT,0.00012599951833073772,0.028183167950245155,0.009306202758462803,5.922386532604472e-5,0.09253802694386273,0.02920988853201345,0.00012997048069690966,0.005806220673560334,0.0023661028341521746,3.386451910418041e-5,0.004779049332909492,0.0014899767666920287
AAR2,0.00774404853680973,0.06765309703800841,0.018440112505125013,0.0027287324737763287,0.14798949715407778,0.0302143573682637,0.007861523886660306,0.024304494757424494,0.009718188450630686,0.0019378761344058686,0.01830578332545295,0.0042735078024661675
AARS2,0.002175559715701935,0.0550279602089633,0.012743467389202519,0.0007216811543718815,0.14310249840052364,0.02867901944022089,0.0022351372873119107,0.019902099264763797,0.0056990647163796355,0.00045244409099508536,0.015084277101773206,0.003182207886027868
AARSD1,0.002201098643379154,0.013805720796461998,0.004211028311961683,0.0014446882078937495,0.06731208523957817,0.011589169303131244,0.0019333941582250567,0.002293988019936504,0.002149275330389622,0.0010038472067278262,0.0018804192051910336,0.0005463163881177734
AARS,0.002270834880313063,0.08447500874373844,0.07258142719217742,0.0001680599520945972,0.1403483609892351,0.113199495706783,0.0022775528333109176,0.04648755971060218,0.042012013803362745,0.00011037504860644852,0.02452622543529082,0.019850204475702925
AASDHPPT,0.004017485061605371,0.008642866530811416,0.015406020796412224,0.0006726428342414866,0.008050650510672075,0.006241833381268841,0.003961096711467548,0.006975152828658522,0.01415604208896607,0.0004399995314313225,0.0022018177753092448,0.001945628991010218
AASDH,0.005500584336512474,0.03663126825006316,0.027597655630430498,0.001106888839855817,0.07094596277255298,0.0370610879412009,0.0054718384819359206,0.020113421501701978,0.019088797846340478,0.0007770579042963993,0.00963655394905835,0.005420256554875765
AATF,0.003967512547671635,0.17823366083177772,0.46180225270287245,0.00017083708708212235,0.24171307453123136,0.5967928422791983,0.003974566734566915,0.11295876476169396,0.30062764888882965,0.00011033142562148681,0.052139728911734365,0.1288120753891879
AATK-AS1,0.0006470049526052683,0.3337501012218286,0.0024151987654642444,0.0023501777403393312,1.0126235340357421,0.008273489748286069,0.00017174300205452403,0.08178947555265534,0.0005973066802375413,0.00012548857646353382,0.06735262043703888,0.000505286391595102
AATK,0.003698540618248662,0.017568263031260727,0.008600300347340259,0.003066813856591224,0.06781349859741638,0.01323135923484027,0.00284118647923136,0.004286674926029582,0.005965604800950358,0.0019455192305442512,0.003609428705946452,0.0011185202231610261
ABAT,0.0003349407760280337,0.004972146567115717,0.0039400067491678495,0.00010917623800178768,0.021659497344296785,0.012269959217839703,0.0003311479630036361,0.0019180523160235278,0.0022136962195952988,7.01386280377104e-5,0.0009406770751526721,0.0005750219072488167
ABCA10,1.3969021307158743e-5,0.01124606051451085,0.009251750384109518,3.013022692766809e-5,0.05212746998577713,0.04190272300062638,1.4263154989156216e-5,0.0016032747618408279,0.0014672134847249657,2.1915452899164223e-6,0.0013025583240058262,0.0010262647445249962
ABCA12,0.0002719261932045841,0.05052563306683888,0.007362359210464605,0.0001756136885754571,0.147706548968957,0.020300878078907087,0.0002567506005429879,0.01258488541229833,0.0020676100253149724,7.168757182817678e-5,0.010819718557161864,0.0015299070455963239
ABCA1,0.000270391835132044,0.0247270021353135,0.008561785645780542,0.00017584258382087064,0.07965679340078106,0.02124554029217582,0.00024750569647182376,0.006381520703305285,0.003717294402856346,0.00011939277293102071,0.004915344388744639,0.0014603406054230265
ABCA3,0.0003318003932745963,0.01162858749156888,0.01161942928670137,4.890784312116353e-5,0.036444638184877046,0.0332362120717379,0.00033153285104911177,0.004318641469063254,0.0049722622238525535,2.6984552656764398e-5,0.0019591432923254885,0.0017929609643453758
ABCA4,0.0002563618224608663,0.04709398489394055,0.0068364931072201875,0.00013362218017103205,0.14742199582543405,0.01971547656976429,0.00023816365238139769,0.012260353898186482,0.002050651952917813,6.984000275474864e-5,0.010152858303059793,0.001436676277656409
ABCA7,0.0017404503015378842,0.06253165311719831,0.07154134902155289,0.00012609735188229737,0.1133063222364793,0.12164872116849441,0.001749008609808935,0.03089853012988236,0.03761375189040778,8.275892352753032e-5,0.016865591870697413,0.018210089646301858
ABCA9,0.00014168172133695138,0.03731921860137685,0.014456406982139266,9.962885384413475e-5,0.17330279144286012,0.06133139039447428,0.0001267554635843341,0.009801290085442609,0.006072192777148182,6.074010561194246e-5,0.007586632831968459,0.0026045088858814972
ABCB10,0.00019659488502361738,0.012443641711940501,0.008610175875202122,4.0237721502835295e-5,0.041524714972413855,0.027517619564997507,0.00019929773035069065,0.002895704080991698,0.0022890205093079137,1.7555167102068772e-5,0.0019885295778257544,0.0013359136317403551
ABCB1,8.994641185274907e-5,0.01097026232098005,0.00508434516817088,4.88614215236382e-5,0.04209098966559594,0.01819645638904469,9.186977395358378e-5,0.001806671165005688,0.0011756368405081241,2.676025438733543e-5,0.0013919464104401732,0.0006082253466328186
ABCB6,0.006407529126736429,0.24898064029144604,0.002150782721131967,0.027178941141452913,0.8620142752467171,0.006587478296062538,0.0016933329709938917,0.054133407207644216,0.0005192524625962812,0.0011345018919287908,0.04820892985366604,0.00044141574073922046
ABCB7,0.0017488872613048152,0.03424335877598112,0.02099648639272449,0.0002446819776955447,0.06917757455868899,0.03725866423148644,0.0017629805063392586,0.015470959207924104,0.01092580416796036,0.00016874750272737353,0.0087741123419512,0.004834104306135295
ABCB9,0.0011368567392657568,0.025673583450297452,0.017157183967174895,0.00019171034198426149,0.05122557518720605,0.029418723930326015,0.0011471841971747066,0.012198834427256833,0.009433594571036862,0.00013154433540340214,0.006616965991052687,0.0038785318135684498
ABCC10,0.0017265128487869122,0.01808144772222506,0.004345942022361626,0.0009801344457601028,0.06611861333593036,0.01158209597188121,0.0016147397803358016,0.0027149944932327694,0.0016282108833313032,0.0007528186369716694,0.0023078429474106734,0.0005850090324471388
ABCC11,0.0052427329717123815,0.09760898392659538,0.003350261470955275,0.021420932236741873,1.0205194114351,0.01143320310426231,0.0021722816881566695,0.016083818793562313,0.000923584561711164,0.0012271552021869562,0.014887200638548308,0.0006373350715549131
ABCC1,0.001437448158706893,0.011873242003258394,0.04212865796555936,8.970022977560878e-5,0.006804710784023654,0.018578867806176066,0.0014337710253672312,0.010148927761255347,0.03744592773156454,5.760339082649967e-5,0.00234332348545047,0.00645294473142731
ABCC2,8.221387151683463e-5,0.007731341706695965,0.011460533301914285,3.3299855674357915e-5,0.020013280153130593,0.028405001885099757,8.226732767823282e-5,0.002687549227314238,0.004293113884355896,4.557682957756663e-6,0.0013794067222894786,0.001957431002005387
ABCC4,0.0006657161073940259,0.012853173863515144,0.0433243620635856,4.62451454347118e-5,0.02559766576893134,0.07675564063745992,0.0006645334811770481,0.00810633738955218,0.029120660260384748,2.5202462592047506e-5,0.0025020173221965013,0.007478219230053956
ABCC5,0.00044635327275583466,0.023078044910420845,0.018336476202689446,5.625551876405393e-5,0.08916249678950905,0.06728587550231861,0.00044956236306717694,0.007374751444615967,0.0065473900835961146,3.318087947117861e-5,0.0043471872000074,0.0032952466901632295
ABCC6,0.0025939085961621524,0.05401736882382343,0.006136894477906772,0.0017325585159770427,0.16092694543957262,0.015963820207905093,0.002425882879135188,0.010973436532469067,0.002108771655543301,0.001061819568822475,0.009778404641080077,0.0010915673210255962
ABCD1,0.001441194048150906,0.020704916424067053,0.0053867510996274725,0.0006758592119578867,0.08575632440335595,0.017705257748844544,0.001420247594052846,0.0036397482728177666,0.0018468627513520638,0.0005240724492372817,0.002979968011853177,0.0007799533815743538
ABCD3,0.002312566609287237,0.07407176017278122,0.07272527500606865,0.00017944466795399752,0.13373047879827812,0.12211987438192155,0.0023236593339733356,0.0392522372157481,0.04099381888500008,0.00011864852245487695,0.020947994318699564,0.01922697768601564
ABCD4,0.0029638298893266478,0.028903788970888876,0.008503789284666103,0.0012264254297136823,0.11195625876947309,0.02452854832093293,0.0029554303695968585,0.006427040974002091,0.0034953027828027454,0.0009527087837801901,0.005199012009336423,0.0014666551645624278
ABCE1,0.002565170220708996,0.014435143481511006,0.023348026047477273,0.0002929033080435395,0.02254717551232365,0.025005898300641583,0.0025465010215525007,0.010043988127073123,0.018488926414234014,0.00019774182018802663,0.0033326797917802025,0.003896050638653087
ABCF2,0.0015198893457626234,0.025879207487779648,0.01951133379140551,0.0002113488572908756,0.07377258843855686,0.04845564641293667,0.0015289032244315984,0.00996430795601945,0.009081174500765475,0.00015174802646403382,0.005540623129534124,0.0037643892919443107
ABCF3,0.0054820979070139015,0.03710218250070207,0.007618367195447978,0.003263951467742066,0.11359550524788575,0.01571845756417588,0.005079054880572012,0.006328589670756805,0.003406833888139305,0.0024622444142830763,0.005597953421251774,0.0011927239420601583
ABCG1,0.005688647513227573,0.20546417566656563,0.0019502419079722257,0.02138657862606474,0.775694630963356,0.006136679293903294,0.0018410166919210348,0.042758265669514586,0.0004901068858165409,0.0012576535454991628,0.038526006471871974,0.0004132225535562218
ABCG2,0.00026376006749867,0.039229741650410814,0.007593760030465189,0.00013141822686291995,0.11966981120822401,0.021756425000796692,0.00025623910535827463,0.00997528128375234,0.0023288826817833763,7.730730633323127e-5,0.00845716900119103,0.0015528537807642465
ABCG4,0.009236152360056088,0.12404484862694014,0.0025372053435831782,0.035881248110868465,0.4315556753000865,0.007497233509933079,0.0029428345101255643,0.02264078681265904,0.0006115260434620827,0.0018238667817648906,0.02098674435835316,0.00046914393034747234
ABHD10,0.0034996674435499885,0.026162463095952104,0.08038558327771005,0.0002334213958859185,0.0180652960735721,0.04197656332274253,0.0034907605982120583,0.021854561321955734,0.07045072821812176,0.00015563211640609153,0.005451884574435038,0.012829098161814233
ABHD11,0.001797667628425601,0.036124986729734666,0.03633947281439959,0.00017489229740308163,0.057969040592577674,0.05212924712153107,0.0018095172450023592,0.018830260064890067,0.020850136645427453,0.00012048657221953754,0.010072053517927212,0.00917534533354395
ABHD12B,7.478413297150578e-5,0.048146138419443034,0.008082565218003913,4.246515958419787e-5,0.11107240446235121,0.018550563802927925,7.180310739677504e-5,0.015559576553246229,0.002668099607326429,1.0916024250523046e-5,0.012651750139107892,0.0021221806570714975
ABHD13,0.008522220840872537,0.03448450668863584,0.011600076331835137,0.004763974405248772,0.12477604596666676,0.02209355001352895,0.007964012946789768,0.009326136040919378,0.0071971863758676195,0.0033979675767033214,0.007469901264163319,0.001993954670119069
ABHD15,0.002370252326725761,0.037429597491752384,0.003811097685615791,0.0019466421837492276,0.1253586477546347,0.0102786008965764,0.002083351095508704,0.005383306775978466,0.0012221000886275283,0.0011197796967188159,0.00491238538360049,0.0005437234390867515
ABHD16B,0.002641291969049031,0.17872808789024952,0.003682848758097006,0.021859615780238432,0.6646753443674527,0.01063970712829286,0.00045328880194870236,0.03825898035718801,0.0009178196449668674,0.0003651666989056846,0.033805860725874604,0.000774035663552482
ABHD17A,0.004048126925519737,0.03496597383292965,0.01881030595563924,0.0009251801700678781,0.08015271087142589,0.03327851011981505,0.004053502256464101,0.0127235287650476,0.00963286800475831,0.0006993105792502024,0.008118080367184755,0.003735790067875438
ABHD17B,0.013076296137540725,0.32083455610941586,0.3198941007411466,0.0009454902326146399,0.339802027925334,0.3059590458973213,0.01310368957452296,0.22284151129125657,0.23185262355231845,0.0006351846028034864,0.09693385682699035,0.08774387215619811
ABHD17C,0.0031549062367677134,0.06548956833830821,0.0710472705192703,0.0002669461698265514,0.08223369836455874,0.07878341333065232,0.003162820061857688,0.04158935405615504,0.048215609573842466,0.0001822676462714637,0.017867312753860845,0.01722905897624703
ABHD2,0.0007017396462930766,0.1375036989661614,0.2994508198962831,3.96975459852933e-5,0.1774114151107749,0.38101729128439005,0.0007012350693946686,0.09055895733526848,0.19859430652734428,1.734692871633789e-5,0.04206546694949285,0.09035189121881694
ABHD4,0.0016829933196810384,0.053610499978297296,0.006568198908859177,0.001004232255533963,0.16455394254363687,0.01761801856637557,0.0016151037044334537,0.011913171457455664,0.0021779316013673094,0.0006269392017919899,0.010464579097525193,0.0012363838063487737
ABHD5,0.0034901385175210636,0.06371361765693273,0.043323827280528464,0.00040914739691934223,0.13477941134169913,0.08046014675254297,0.0035100440367520046,0.03223282342027438,0.024593433506532175,0.00028284485617942985,0.017179211814125628,0.010431130777921972
ABHD6,0.0022712055080952804,0.08393898124364461,0.09110887710442264,0.00017125392664367846,0.10490685980083234,0.10514723251317716,0.0022767394081214076,0.05208927880537647,0.05918142612182606,0.00011459935229402832,0.02452919166577058,0.024668688125020877
ABHD8,0.0025327710770876913,0.0419548197376254,0.017504005295610442,0.00047816578032390696,0.07206248590858942,0.02562511540249536,0.002564977620594709,0.020715656624447243,0.010041625963442241,0.00031996718587401366,0.012746214488832473,0.004657684490421111
ABI1,0.0020019241703543617,0.01669735768993997,0.02143282797621812,0.00023989674487525137,0.04430038239487764,0.04306505142679472,0.001990198743948806,0.00972458834999549,0.014664109626448582,0.00016393600775869554,0.003615521363677191,0.0036727717056004184
