Gene,Nalleles,Deviance,LogMaxLikelihood,WAIC,WAIC SE,AIC,Acceptance,Temperature,Rhat
A1BG-AS1,2,8.17019722133473e-5,176.94135187726846,357.0497250806106,10.892346984862275,359.8827037545369,0.937481125,1.0,1.0038464393246804
A1CF,2,0.0017704415103747492,1004.5597692869813,2014.2254444115574,26.175262579751497,2015.1195385739627,0.838620825,1.0,1.003105321590435
A2M-AS1,2,0.00012406875003395868,712.1155430521001,1427.5138964643127,23.104746277592326,1430.2310861042001,0.874078075,1.0,1.003887082726701
A3GALT2,2,0.0014077306647867398,1622.4233425693556,3250.1837207380872,30.937567076957677,3250.846685138711,0.78327855,1.0,1.0048280101146334
A4GALT,2,0.0023637780346138218,4246.330345482374,8497.942354731083,18.346291133884,8498.660690964747,0.6233658,1.0,1.004625800028425
AAAS,2,0.003684481367538365,4581.857827209315,9171.961980832519,14.618585551326126,9169.71565441863,0.55066055,1.0,1.0034578297731434
AACS,2,0.0038676473516454403,4965.898922716898,9940.869103894125,15.54673112122108,9937.797845433795,0.554204225,1.0,1.005359684390381
AADAC,2,0.007258429172157028,3124.733784061305,6262.483397928069,32.63201696020486,6255.46756812261,0.699146375,1.0,1.0027931269970505
AAED1,2,0.0035412928470657267,4682.348833107271,9370.50529591016,15.936974341632183,9370.697666214543,0.597667975,1.0,1.0045018258858984
AAK1,2,0.008656723296594539,7444.661089178936,14894.767793858447,7.02821173687124,14895.322178357872,0.471324125,1.0,1.004701344807084
AAMDC,2,0.007966920696980228,7098.253679478885,14207.531215475237,6.623347387534881,14202.50735895777,0.403774475,1.0,1.0090241735038668
AAMP,2,0.009286766072461315,7663.837779611871,15921.777982796195,5.750278529642119,15333.675559223742,0.33599405,1.0,1.0067930284867388
AANAT,3,0.0014889935498467214,1442.8446073583314,2891.2477942572027,30.049078869231646,2891.6892147166627,0.79161775,1.0,1.0096095849043345
AAR2,2,0.004505391633242016,4347.801327339299,8700.485884735728,16.433882816447433,8701.602654678598,0.612166025,1.0,1.0070149488534756
AARS2,2,0.0016374006560360484,2076.6254101181494,4157.529979332967,30.883857284272263,4159.250820236299,0.748416575,1.0,1.0068218828900526
AARSD1,2,0.0024760534447231253,3991.2138948812308,7987.719043641112,18.6897339996151,7988.4277897624615,0.63347955,1.0,1.0081748432290973
AARS,2,0.005551724321394194,6343.996989110656,12693.010495604924,8.613664631958706,12693.993978221311,0.47241645,1.0,1.0020347330985535
AASDHPPT,2,0.008428120014256586,8195.068800081044,16396.025159538356,4.658793088076239,16396.13760016209,0.39890665,1.0,1.0044232779537918
AASDH,2,0.007403955978657581,5908.991824971858,11822.956993012134,10.983734336608979,11823.983649943715,0.510805925,1.0,1.0021853864731483
AATF,2,0.020757645223168364,10867.361262836062,21741.025078837712,2.298955779681503,21740.722525672125,0.3292154370333888,1.0,1.0101115478701193
AATK-AS1,3,0.00016171241524196508,253.57306854783454,533.3563010764444,13.068930920595864,513.146137095669,0.923675125,1.0,1.000876774688529
AATK,3,0.0012985422820765017,2975.1804326303536,5955.263430955866,26.731786662560673,5956.360865260707,0.71075865,1.0,1.0035033937397564
ABAT,2,0.006424003416069369,3790.2065977608386,7585.533417800473,26.51794689067577,7586.413195521677,0.635326075,1.0,1.0025585976606755
ABCA10,3,0.0032258464848578445,2264.234886873748,4560.731990804696,33.656597698968135,4534.469773747496,0.755207275,1.0,1.0053887903166707
ABCA12,2,0.0029547994893577823,803.8602853140752,1612.5409193434473,23.54732962904128,1613.7205706281504,0.8595577,1.0,1.001932430593635
ABCA1,2,0.0008216057217408308,609.5796575491047,1223.9840032168413,20.97370101044042,1225.1593150982094,0.8772859,1.0,1.002641027061951
ABCA3,2,0.0028577900385173475,3248.329144750031,6503.561221856598,30.143849345879428,6502.658289500062,0.671489375,1.0,1.0038745654944332
ABCA4,2,0.0019529215098252498,560.7204675924113,1128.5789046792297,19.80800657344924,1127.4409351848226,0.88459345,1.0,1.007156907405361
ABCA7,2,0.009019282789062616,7684.267419598341,15373.302209467838,5.6288749145398285,15374.534839196682,0.3888891,1.0,1.0044705640975706
ABCA9,3,0.002000948473349844,1668.3821425383883,3342.5662617472235,31.27962425551938,3342.7642850767766,0.7895927,1.0,1.0009847736786572
ABCB10,2,0.0047930280420254694,5019.4371829723295,10066.594454424478,18.728050057776727,10044.874365944659,0.572177275,1.0,1.0056626457494113
ABCB1,2,0.0036178141111541068,1724.598136568899,3456.266813431721,31.524954522010713,3455.196273137798,0.7883349,1.0,1.0047206537018183
ABCB6,2,3.5094096581837634e-5,510.88593455828646,1025.402562444758,19.574010661019692,1027.7718691165728,0.8884158,1.0,1.0024532621197657
ABCB7,2,0.003588734581005028,5533.432725921747,11071.968539201845,11.468069662786407,11072.865451843494,0.519290875,1.0,1.0026500943402261
ABCB9,2,0.005088478687244414,3954.205146634212,7913.219863524414,23.749914743994374,7914.410293268424,0.617929775,1.0,1.001764636154742
ABCC10,2,0.001430561052278595,3849.030747138298,7702.846128917361,19.91300533214348,7704.061494276596,0.61490635,1.0,1.0024301341212032
ABCC11,2,0.0003732994022598046,717.6226088289274,1439.6247357476882,23.012203064361387,1441.2452176578547,0.866224025,1.0,1.0030118134515205
ABCC1,2,0.009382229219866017,9345.777244385934,18697.5532331528,3.320818604187782,18697.554488771868,0.415646,1.0,1.000224322672245
ABCC2,3,0.004634550899685642,4872.711767822124,9779.24878862721,19.92988756260736,9751.423535644248,0.578784025,1.0,1.0020821958879078
ABCC4,2,0.011350250486493936,8578.987647060521,17164.790402841852,6.9767642372397445,17163.975294121043,0.4799890464961367,1.0,1.0006466153036104
ABCC5,2,0.008860713648519352,4457.658416106457,8922.360178004403,20.913803686171672,8921.316832212913,0.58833455,1.0,1.0034340385514262
ABCC6,2,0.002433709448300476,2002.7844049329744,4010.676120592326,31.8440135149583,4011.568809865949,0.747500875,1.0,1.002996308798712
ABCD1,2,0.003454804855076848,4911.7331309275305,9828.13370848451,12.252365082310876,9829.466261855061,0.545663775,1.0,1.0093608912928023
ABCD3,2,0.007829049897233186,7587.635215695326,15180.161096659487,6.015953887865882,15181.270431390652,0.43695845,1.0,1.003452021066868
ABCD4,2,0.002956113767987999,5473.874618572176,10953.398560657954,9.790989861259998,10953.749237144351,0.538397825,1.0,1.010329205146846
ABCE1,2,0.008852795678413627,8277.390328402675,16560.571423461406,4.462181797085757,16560.78065680535,0.40699545,1.0,1.0016728964439923
ABCF2,2,0.004936914383124816,6974.67434730509,13956.423236618637,6.4089303934686725,13955.34869461018,0.46332965,1.0,1.0043979280388642
ABCF3,2,0.0026747523201212744,4774.147238489652,9552.754301686038,12.472750107955147,9554.294476979305,0.567630775,1.0,1.002215501000305
ABCG1,2,9.444497623710582e-6,248.94202508355767,501.02982667646916,13.150622029775379,503.88405016711533,0.92557965,1.0,1.0013849369508647
ABCG2,2,0.00039272644933882465,692.6316884577387,1390.0858259978622,22.592174423810345,1391.2633769154775,0.865270875,1.0,1.004684773818112
