Gene,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD
A1BG-AS1,0.0020410633493561266,0.24004764081494598,0.00275713094337019,0.006373648092527626,0.8494489577176396,0.010207843080712905,0.0006160835339935522,0.053623585475813015,0.0006726587838954093,0.0004539661154330874,0.047141827760403876,0.0005815807900685508
A1CF,0.0001454630960556661,0.023764484512450043,0.012441725784059372,5.8950876304568036e-5,0.06609278932415265,0.03179931399859248,0.00014828920216781907,0.006954363985054215,0.004311458790555505,3.3210922361624404e-5,0.005299478917526554,0.0025425874226576153
A2M-AS1,0.0071654952997477084,0.08619583766393384,0.002774888899137131,0.032079325273265694,0.2705196427745271,0.009790028598601107,0.002473273681084096,0.016860272502976524,0.0006575672468262161,0.001512297874505898,0.015673632059452103,0.00048221802071907226
A3GALT2,0.0005302599427508764,0.020254543626573432,0.007427512215401907,0.00028074527083281066,0.08034602682029685,0.024412667369536033,0.0005208348501362515,0.004410269530312592,0.0026981100105041875,0.00021411535458877083,0.0034844760779759523,0.001140372802600554
A4GALT,0.0026693391888415177,0.014560233650499976,0.008937580853483054,0.0014621628054595284,0.03610706522437909,0.012054338464544926,0.0025363807294519272,0.004898910313579344,0.005747696775620494,0.0010871377367715133,0.0037244767374005035,0.0016388297218069476
AAAS,0.0006779747470439843,0.034072224891917156,0.009375191785738687,0.0001490844216970494,0.07842539772364465,0.020503034196209267,0.0006863007194000076,0.010903539227543132,0.0033344600368141178,8.74840332906081e-5,0.008775200260676269,0.0023325633021379
AACS,0.0003780984794989205,0.022970306959051306,0.014680161777053407,6.79962170860808e-5,0.07712217131036095,0.04685097851418726,0.00038409591322992515,0.005293245047749645,0.00393284437793214,4.0909777711505354e-5,0.0037152567186958148,0.0022978745388978483
AADAC,6.385364570833317e-5,0.026520997667117505,0.035380979473458106,2.9848193555058123e-5,0.06842353873249978,0.09029736208525824,6.362359416685295e-5,0.010799359079101331,0.014619296346539776,3.242960320646104e-6,0.007282550697792629,0.009608342085387703
AAED1,0.0014216986613284567,0.006493319360493114,0.005457482975403306,0.0006279940611140076,0.015483159593075977,0.0066264864875077035,0.0013784037636167547,0.0029287198769563667,0.003954904205855784,0.00043466391015281787,0.0018244909041424476,0.0009743130238842714
AAK1,0.0026112822905919263,0.031156962711952597,0.06598912400373383,0.00020584636185219025,0.05050045991757438,0.08658527536159796,0.002602902986959415,0.02253820492098281,0.05127199833692121,0.00013843504416063642,0.006364730282024056,0.010983757856132953
AAMDC,0.0006214979506097463,0.036586346195233994,0.022396069725086894,7.369112925039841e-5,0.08404081292501428,0.04944038290304273,0.0006260532588008818,0.01322786376088514,0.008667434653511339,4.2473897602595886e-5,0.009321037837838253,0.005522952238973054
AAMP,0.00011146328854744974,0.042505985476655295,0.01909005171832483,0.00012140135603270729,0.09867609023656179,0.04412400001109076,0.00010992910513146165,0.015248203725668276,0.006919497392673086,6.147271076297159e-6,0.011372933126584979,0.005078531489781605
AANAT,0.000222376175443267,0.03919252116730165,0.011921551584602216,8.2051746819908e-5,0.10761895813331059,0.03113698404432901,0.0002263206185694359,0.009961121192168833,0.0034658236090679656,4.626053604986249e-5,0.008174371137488711,0.0023777685291471273
AAR2,0.003956643351700469,0.028224823236057094,0.011639282503897916,0.001946038003886255,0.13396245624118625,0.03516365019819053,0.0038208218740186954,0.007398622476578141,0.006140936732290138,0.001424349154698874,0.005550200041434302,0.0019364671565199761
AARS2,0.002140431370482311,0.0485003750589553,0.0077401548536357966,0.001174403476293445,0.24498952391444376,0.03750562824449037,0.0021069176330437123,0.011058862640341945,0.0027007101085594655,0.0007822659858013827,0.009689485533412213,0.0014749530859044036
AARSD1,0.0022020687766020164,0.01913401991952636,0.005707344533468516,0.0013070843760105547,0.05778792872811758,0.011885211890891579,0.002072054228743815,0.0038055653441490178,0.0025806127952242505,0.0010237798537466264,0.003276170172807738,0.0009375434246851536
AARS,0.0018042270925652825,0.06726658528411701,0.055176501840504655,0.00016616316244774524,0.20989750191355955,0.15858915977628968,0.0018101931989340009,0.033283167154001425,0.02918833111705612,0.00010863151015696505,0.018276621757358523,0.014111200235908429
AASDHPPT,0.0032410164583190756,0.006905525395428683,0.013422312632558024,0.000626180237656746,0.011635829989584342,0.009147796054818,0.003174862581740211,0.005153259636631473,0.012037877342481636,0.00040036868912297604,0.0017041460816350747,0.0016244244679531885
AASDH,0.003981419317563996,0.08686955410612483,0.08242744262254086,0.0004232445396760915,0.2199578953265643,0.1850927533286853,0.003992359675045698,0.046559990513281205,0.048673653790512354,0.00028944024311716894,0.021732868257254432,0.018423639944467787
AATF,0.0028562634275159063,0.09721803047183733,0.32114868999650303,0.00014004325228349592,0.10314843296323087,0.31975465791305563,0.002861099518569237,0.06596474256977662,0.224249863722137,8.991956934746451e-5,0.029552659915484402,0.09170160303345182
AATK-AS1,3.0354967849006097e-5,0.09700817246953417,0.007976637165132396,0.00019948069474635326,0.46120842510168114,0.02240606426973269,1.2757744690931079e-5,0.025881105529928602,0.002452764814965899,5.749981528415238e-6,0.020966796502965415,0.001969586749169818
AATK,0.0025947058282902178,0.011101574212424012,0.005857187934859569,0.0026275275776158472,0.042097557682465696,0.006760735356233788,0.0016977788783796546,0.0023556479945544212,0.004476341226345529,0.001199457938086738,0.0018954025773667846,0.0006375537566463457
