Gene,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD
A1CF,0.0007486689491133305,0.3208874584842188,0.002856238651049106,0.002590668501876432,1.095048859438808,0.010063411033522207,0.0001641361018609831,0.07362735378965388,0.0006111691254419779,0.00013678677592918306,0.06274260646425275,0.0005199563674018494
A2M-AS1,0.0035069143237167256,0.18676806202978086,0.002234754648465883,0.013678404681526235,0.6309136605900059,0.006595393348722411,0.0009698918962584004,0.04202230946574802,0.000595973473658222,0.000706571924113209,0.037907430633903276,0.0005015358457162643
A4GALT,0.028023736599150504,0.069454022891397,0.0012457095390662506,0.08248566909418042,0.2959616723303577,0.0037112246692926724,0.010084027899018648,0.006174159442965727,0.0004056803164801832,0.006939432266601515,0.005839344160995233,0.00014070687801515653
AAAS,0.008607669498225314,0.15459040177999403,0.002744441013565627,0.0418433565958498,0.6675014447244264,0.008623720303663568,0.0026522394328522365,0.0353125615645313,0.0007060903779834559,0.001356119114799456,0.03262995178781038,0.0005954809933687529
AACS,0.006790575105029775,0.34318166145302303,0.0016396279317812553,0.024938104733319134,1.3507107833684409,0.006362460948716917,0.0023400436231774046,0.06681278838624813,0.00035875354438431645,0.0014785735117995886,0.06070186954628813,0.00031662564683108344
AADAC,0.0003939092077762903,0.5879586906018978,0.001674820312910463,0.0018100034304999685,2.630677014752541,0.007121941360914935,8.555695844758945e-5,0.13935743565128217,0.00036428534024795383,7.106585494244718e-5,0.11746449529607023,0.00030679017323000297
AAED1,0.010216559736613295,0.0454879589739491,0.0023493383640483213,0.023726996090194758,0.1427160622214156,0.0051230674066044205,0.005650360761169327,0.004750717301689773,0.0009071970932860757,0.0035757478159236635,0.004470255959963785,0.00030175468243171655
AAK1,0.0023778213724634386,0.06586109019371775,0.004248114765745234,0.004167551164901953,0.2769339015941495,0.01457171472727979,0.001809216056027994,0.013100108366859733,0.0012533742161925485,0.0008418886265919812,0.012058859205091647,0.0007736751267649539
AAMDC,0.0005127939176000395,0.0697156703161109,0.006811698988512519,0.00017940723600546197,0.21614199381315236,0.020573733572758796,0.0004876250822150528,0.018045633908743735,0.001869041278876518,8.828194096107653e-5,0.015255091617464946,0.0014809474023362338
AAMP,8.787368774574358e-5,0.05526362963553895,0.009541197656304557,3.586676734626396e-5,0.1543188550238956,0.026511941187405547,8.622393815385311e-5,0.013902581742019648,0.0024374977267313793,8.453572482612797e-6,0.011464585292283273,0.001981310163021555
AANAT,0.0012452295577558491,0.2837827945975247,0.0021919762984280783,0.005791364274540514,1.4114050244542162,0.007051039522981566,0.00033917021051878586,0.0686021343562398,0.0005713901507321459,0.00026021321160973974,0.058329271331395406,0.0004758261688823692
AAR2,0.04827479343769265,0.05391870099999902,0.0007518443726295581,0.13321837756561408,0.3422551111307553,0.002747238533431265,0.01867126006268998,0.003242100285614981,0.0003587355458055838,0.013721738105001904,0.003050794556899052,5.044821325332272e-5
AARS2,0.01309091571979357,0.19996691117331478,0.001893209919021364,0.1317704476481255,0.9093513516782747,0.009623427013291217,0.003040868933646616,0.03459073548871443,0.00039674166526440106,0.002100002274575098,0.03240920090350611,0.00033359375280379703
AARSD1,0.015084238715061909,0.10415871073465115,0.0023464433071972582,0.1765462655332029,0.5131854118240312,0.008217954006016751,0.004162182571728979,0.016103745631648604,0.0005631741185576524,0.002411653153294966,0.015307940115577408,0.00037379630254383105
AARS,0.0019959817965085613,0.07583186771658339,0.0060260780208095,0.0011134024335905748,0.21574302370039827,0.015593917009777419,0.0018347597516464261,0.02172305705495657,0.0020417547747715397,0.00046420322881008335,0.018178161748416615,0.001410786148743751
AASDHPPT,0.008664361345890147,0.04002507043893144,0.0028702527193662153,0.02192808106484081,0.1278331731771754,0.0065979045498097254,0.005829338225873931,0.005016398324513648,0.0012026054897374774,0.0034984400217899867,0.0047446814579696845,0.0003998447618954315
AASDH,0.03036978593175477,0.034921256584204405,0.0016200542715873812,0.14010332143773882,0.139224548105283,0.0030586468583261367,0.011185555563842209,0.003353147030668377,0.0009197133376022225,0.007910468858656008,0.003118362549295417,0.0001918238912154198
AATF,0.004674353222918331,0.07216376657661581,0.005569566874828868,0.013174437735711265,0.23640772937688145,0.014575456523854023,0.00408787741141375,0.0165379358490575,0.0019054909907061982,0.0013787021391497125,0.015044128362403679,0.0011649410089360573
AATK,0.012752458515741407,0.05103196920433952,0.0022154618337882933,0.06077039534265962,0.28013117462140114,0.0057244241191970096,0.0037866229756610887,0.005128735349948296,0.0009785762363971136,0.00281245374675963,0.00470831563583271,0.00045040478261992173
ABAT,0.01086746041818102,0.20590149986955358,0.0013443129827451364,0.03267046366909285,0.5885626291365545,0.004720341987813815,0.003840935630045876,0.045789363914660944,0.00031040038818221766,0.002488949788520244,0.04258088526515269,0.0002650007343280881
ABCA10,0.00042758268145304647,0.6058079278503473,0.0016245732114766119,0.0012994542755839873,4.090929240363478,0.005026918153595267,0.00010641359156707671,0.11411371384488486,0.00036446390102572965,8.723017931104799e-5,0.09726255832476013,0.0003141766978789526
ABCA12,0.000807790646362326,0.3693841863956319,0.002488767514136376,0.003229790604331959,1.4605489535705753,0.00910220851333396,0.00017258055813219652,0.07672432322215861,0.0005845332989025138,0.00014268672157877129,0.065456977448996,0.0004968920103364358
ABCA1,0.004562689982956831,0.1498013238313964,0.00271355292578614,0.020103067125276375,0.5507426037331402,0.011126549953084696,0.0010859701549368363,0.03043055960465056,0.0006275965677354253,0.0008169314483064865,0.028236816563305175,0.0005348522997744639
ABCA3,0.0022266079609820594,0.23342282656488914,0.0024927099358219304,0.00867323495853871,0.7633443521917791,0.00815889774808004,0.0006442289884501561,0.054561455746164556,0.0005901217711423666,0.00042585525555627633,0.047121231739673315,0.0005067913827754097
ABCA4,0.0012232616948132677,0.34404834708229054,0.002609363313716551,0.006117072697707335,1.3997801924111948,0.007520892557835696,0.00026632737694851874,0.0735801584735478,0.0006634263747161344,0.00020995060715935446,0.06352702712725233,0.0005604203021298102
