Gene,Nalleles,Deviance,LogMaxLikelihood,WAIC,WAIC SE,AIC,Acceptance,Temperature,Rhat
A1CF,2,2.9733369909404383e-6,44.179893703131825,90.93253671725093,4.9450247054145935,94.35978740626365,0.967326425,1.0,1.0021385925550237
A2M-AS1,2,4.375309963232064e-5,138.45035590604883,279.6952835846459,9.443620344587444,282.90071181209765,0.945682425,1.0,1.0029074110663203
A4GALT,2,0.00013905822347382252,1716.1392914026471,3435.9366694746013,30.692227221891013,3438.2785828052943,0.801663475,1.0,1.0013276420827564
AAAS,2,0.0010269927569356904,3670.1213190314875,7349.305523626903,21.93559606373487,7346.242638062975,0.610328475,1.0,1.0101915910565746
AACS,2,0.0008502400271849286,1455.9447211671309,2919.1924688059366,30.159938634824023,2917.8894423342617,0.794165225,1.0,1.0062441606316561
AADAC,2,0.00026162996771216234,726.5531258860375,1463.3287223870118,23.20755791983643,1459.106251772075,0.856430775,1.0,1.0029821874697986
AAED1,2,0.006218864174120634,4692.519864870149,9390.201579983694,13.537263364698603,9391.039729740298,0.604353,1.0,1.0146387382071853
AAK1,2,0.0011915710022678005,1239.2922130303323,2481.8214409013663,29.159206869257265,2484.5844260606646,0.8507886,1.0,1.0023070519355985
AAMDC,2,0.005817213658910371,3760.633529976423,7533.960540997873,19.43104368369922,7527.267059952846,0.59065715,1.0,1.0049904981248048
AAMP,2,0.008345264429850527,6627.9249666056885,13394.785106448877,7.766763873584123,13261.849933211377,0.39914375,1.0,1.002490304086634
AANAT,3,0.00013927473103671504,223.10161614210418,449.9454087193692,12.437149271714619,452.20323228420835,0.9288734,1.0,1.0030662203397989
AAR2,2,0.003098863409804691,2415.0182601118017,4833.500012083529,28.724813768015718,4836.0365202236035,0.7690747,1.0,1.0037880565449353
AARS2,2,5.956694010646298e-6,351.8969705076011,706.6618096696886,16.02087049031077,709.7939410152022,0.914073775,1.0,1.0046011164453454
AARSD1,2,0.00044354184838455986,1958.3773399961644,3921.4486562548445,30.87939744486217,3922.754679992329,0.7609763,1.0,1.0033793670161082
AARS,2,0.002974705424490441,3027.153735737055,6058.982267609316,27.49858174274628,6060.30747147411,0.666381,1.0,1.0044165190218204
AASDHPPT,2,0.0010439222781548601,4600.926834556018,9206.269030437234,13.444905128186232,9207.853669112035,0.580856125,1.0,1.0035497643047953
AASDH,2,0.0006284024402230992,2157.9718745906066,4320.063387045818,30.189875409896324,4321.943749181213,0.771195675,1.0,1.0054419557695364
AATF,2,0.0027271129405701732,5256.496057530181,10517.498648827423,10.476493045577577,10518.992115060362,0.555345825,1.0,1.0121492604800437
AATK,3,0.0008826849776788469,1813.9423434129294,3632.568060030297,31.24780350302782,3633.884686825859,0.775760275,1.0,1.009204073110095
ABAT,2,0.0002760406823397481,881.1646306750326,1766.5904910099093,25.439074889455505,1768.3292613500653,0.846729275,1.0,1.0045079917434412
ABCA10,3,6.697866052093794e-6,62.620665802460586,140.45644980775842,5.994104533955143,131.24133160492119,0.9615051,1.0,1.0026318217998997
ABCA12,2,6.694355268935274e-6,62.6206596919425,128.05618853411391,5.997580201804796,131.241319383885,0.962040425,1.0,1.002444853429453
ABCA1,2,5.170301811035424e-5,148.40497693577655,299.5780882663332,9.830230079041122,302.8099538715531,0.94541285,1.0,1.0030882502808343
ABCA3,2,4.374565455821878e-5,640.0302047773736,1285.1166992547364,22.017611603644006,1286.0604095547471,0.870733525,1.0,1.0021169814502082
ABCA4,2,4.377823279071563e-5,138.44374758407915,279.8998761089089,9.442853376800768,282.8874951681583,0.94512065,1.0,1.0046477160503944
ABCA7,2,0.002683308631854251,4719.808390181205,9446.242222821664,15.200478060440329,9445.61678036241,0.569244975,1.0,1.0038807868882538
ABCA9,3,2.5111486239514703e-9,4.370654179987534e-6,1.191272150994521,0.0,6.00000874130836,0.9823838,1.0,1.006042228411809
ABCB10,2,0.0009093775637925768,1119.466974297281,2257.6697295242293,27.85893489515741,2244.933948594562,0.810951575,1.0,1.0036558328044027
ABCB1,2,8.294003539911955e-5,582.7816103254753,1170.4873102772085,20.88859713551078,1171.5632206509506,0.876710775,1.0,1.0029821479070953
ABCB6,2,4.0027685347129344e-5,133.4087145704158,270.017612682506,9.242516254074003,272.8174291408316,0.945639775,1.0,1.0026779498504341
ABCB7,2,0.0010907583164172718,2438.4855754775463,4882.138146797531,28.990886464972228,4882.9711509550925,0.72720655,1.0,1.0058136533950075
ABCB9,2,0.00015001200698099132,753.2031675021185,1509.9658885324045,23.725339828286835,1512.406335004237,0.865030525,1.0,1.0016697885930865
ABCC10,2,0.0002360275120875258,867.1784743224184,1738.3260729858448,25.282932087895325,1740.3569486448368,0.84818175,1.0,1.004265313417065
ABCC11,2,1.3213678374110321e-6,31.075122876526223,64.42535315329172,4.112051197971477,68.15024575305245,0.9715606,1.0,1.0034621322538597
ABCC1,2,0.000698205204807359,1164.282072133051,2332.9649649423664,28.31047609063522,2334.564144266102,0.81960535,1.0,1.0018958380067768
ABCC2,3,0.004017301101754482,4534.769127851445,9097.733463205543,17.555527056559363,9075.53825570289,0.561567125,1.0,1.0040754406330052
ABCC4,2,0.00017384010248664333,1678.870398864361,3364.2722756432368,30.695555879577185,3363.740797728722,0.7666548,1.0,1.0026813750727035
ABCC5,2,0.0007715922891931879,1397.1977213108466,2800.632549987123,29.938680844450598,2800.3954426216933,0.8044341,1.0,1.0035133905882894
ABCC6,2,1.756215955958695e-5,452.7040214099914,908.3276312068114,18.373577350189397,911.4080428199828,0.9020063,1.0,1.0030116589908535
ABCD1,2,0.00016343793353934227,817.0578870287159,1637.9458348417443,24.83999019242693,1640.1157740574317,0.860600975,1.0,1.0035065784241763
ABCD3,2,0.0008997041315562022,2353.961785021871,4712.893275267586,29.466210616075305,4713.923570043742,0.729114425,1.0,1.0019564755049546
ABCD4,2,0.001329630101543845,3347.4058169949258,6699.587161228861,21.959583858992566,6700.8116339898515,0.66763935,1.0,1.0075094702995282
ABCE1,2,0.005015681066430443,6262.2245625420765,12529.364739227838,8.256155611657679,12530.449125084153,0.46987945,1.0,1.0111080157439132
ABCF2,2,0.001999292859968884,4006.3516840392354,8018.576085068273,17.751449540933677,8018.703368078471,0.58817955,1.0,1.0066963557438127
ABCF3,2,0.0020391816927967234,2694.7811520312403,5394.789862284353,27.56589559216158,5395.5623040624805,0.72574585,1.0,1.0012830921425908
ABCG1,2,5.286758816480615e-6,56.60506856173123,115.66956632132661,5.667121369497029,119.21013712346246,0.96402145,1.0,1.0039325091800484
ABCG2,2,4.0119679847902326e-5,230.92029295021055,466.16635464512643,12.515394021979077,467.8405859004211,0.92795225,1.0,1.004310293860466
ABCG4,2,1.8595353972303018e-5,96.7053706936135,196.0416275905976,7.680094188922647,199.410741387227,0.954230025,1.0,1.0058293419411901
ABHD10,2,0.005729945246396764,3375.5759659322075,6756.602495296977,24.835680272394264,6757.151931864415,0.63415605,1.0,1.0028874200617934
ABHD11,2,0.003290179131438692,4096.74920534829,8198.897269369987,18.104586991062313,8199.49841069658,0.59296375,1.0,1.0038860238765117
ABHD12B,2,0.00014934342698543255,504.8172552729767,1027.1046173359905,19.252206737074168,1015.6345105459534,0.884479075,1.0,1.0032672287213842
ABHD13,2,0.0011923165946270383,2894.0210885772253,5792.84171926921,26.70298052515672,5794.042177154451,0.709045625,1.0,1.006034154872215
ABHD15,2,8.168552480843048e-5,740.7670778023747,1484.5271017518503,23.62067519697637,1487.5341556047495,0.873111975,1.0,1.0036279697922081
ABHD17A,2,0.005382592927213768,4747.149802376443,9499.921391778887,12.747395579936233,9500.299604752887,0.573004025,1.0,1.0059468301380734
ABHD17B,2,0.0012800439312798094,2015.2151503988835,4034.718609463997,31.351179939414077,4036.430300797767,0.76747305,1.0,1.004476714710471
ABHD17C,2,0.00039027015753703687,1524.2194269392955,3053.237794290133,30.52265541202697,3054.438853878591,0.789948575,1.0,1.0039236954961892
ABHD2,2,0.00034543504277163877,1504.3274524111239,3013.541612223441,30.284146285343347,3014.6549048222478,0.784236025,1.0,1.0017888927890555
ABHD4,2,0.0001931853967799556,750.4224162274825,1504.5731338053627,23.643845565705355,1506.844832454965,0.868200125,1.0,1.0035289281112545
ABHD5,2,0.0005875802504620365,2911.8189298937573,5828.046874407488,25.95727717746879,5829.637859787515,0.6965909,1.0,1.0069698265951461
ABHD6,2,0.001229400398259616,1269.8033529362842,2544.104823044464,29.064411672415403,2545.6067058725685,0.820479225,1.0,1.002470659509898
ABHD8,2,0.00013419010787793468,802.1507630418376,1607.5041000461863,24.472668785050814,1610.3015260836753,0.86458585,1.0,1.001971788051489
ABI1,2,0.0008636409546298116,4167.0151568898045,8338.955219794347,15.499447473515712,8340.030313779609,0.610250075,1.0,1.0034968418118921
ABI2,2,0.002544421500377084,4842.811984093627,9691.55027812742,13.449020021175397,9691.623968187254,0.580661775,1.0,1.015977927717985
ABI3BP,2,3.3058490103120764e-7,16.92385613991286,53.722385610521386,3.0734831902147115,39.84771227982572,0.975369925,1.0,1.0024825796422507
ABL1,2,0.0012614213403565016,983.9381092946649,1971.1274469791604,27.00312314330977,1973.8762185893297,0.8694585,1.0,1.004020633265352
ABL2,2,0.0021083079911938247,4247.975219666368,8501.473492981586,18.161961519386487,8501.950439332735,0.655180975,1.0,1.002331296116722
ABLIM1,3,0.0036970126825746907,4311.3034966301975,8631.556615309613,16.20548592878092,8628.606993260395,0.57216025,1.0,1.007074209206096
ABLIM2,2,0.00016646796226798665,822.2578892200455,1647.7828447218515,24.725743182911437,1650.515778440091,0.862249975,1.0,1.0026138833103815
ABLIM3,2,0.0001863208770223342,967.8979285480234,1939.3031891567753,26.574298856125864,1941.7958570960468,0.845710975,1.0,1.002128711454132
ABRACL,2,0.00933573483610928,8207.131714750829,16422.940229985918,4.805358258908053,16420.263429501658,0.396113325,1.0,1.010461297034238
ABR,2,0.00013678812690497974,1708.7045813791665,3422.7005939317905,30.68091257744713,3423.409162758333,0.770481975,1.0,1.003688160961338
ABT1,2,0.0038848327759789373,5732.578115155022,11470.135763297532,9.085891284244223,11471.156230310044,0.55850045,1.0,1.0162967760726085
ABTB1,2,0.0015034390507412331,2524.5652768316077,5056.711674279982,28.687235644660266,5055.130553663215,0.697780175,1.0,1.003485593006369
ABTB2,2,2.2190444821309502e-5,382.7319473913671,768.5693783523379,16.71719267437393,771.4638947827342,0.909899425,1.0,1.0028203660991668
ACAA2,2,0.0006933344028614583,2923.4197584192893,5851.887229436914,26.936172710600715,5852.839516838579,0.675245475,1.0,1.0060517287957493
ACACA,2,0.004149733111682901,3504.4869543931327,7016.1094231523575,22.513458593988645,7014.973908786265,0.636740575,1.0,1.0060946424109565
ACACB,2,6.3921897726414455e-6,336.23496705230036,675.3633026452582,15.61054810634266,678.4699341046007,0.914098125,1.0,1.0031393042260295
ACAD10,2,0.00021446710559865857,918.4216022724554,1844.115188268334,25.95564142466688,1842.8432045449108,0.83669885,1.0,1.0021406978187595
ACAD8,2,0.00037231043622863177,1912.514135773958,3830.565707979718,30.844322290718686,3831.028271547916,0.7504746,1.0,1.0033555009546837
ACAD9,2,0.0018143989275165534,2291.8929851786806,4589.705481406962,30.040957440429857,4589.785970357361,0.713833225,1.0,1.0050526458357936
ACAP1,2,0.00022538249748257815,1464.4802546505211,2932.164090616676,30.089856981978524,2934.9605093010423,0.8216347,1.0,1.0019469946431614
ACAP2,2,0.0017400465545096345,3599.6502490023786,7205.411921476456,20.050070917568473,7205.300498004757,0.661865025,1.0,1.0045103132420368
ACAP3,2,0.0009873180255647717,1881.1607301176284,3768.685232685431,31.007796243543307,3768.321460235257,0.754267775,1.0,1.0039917895889752
ACBD3,2,0.003426406714874801,4495.05211817346,8995.574983704215,13.766719939322678,8996.10423634692,0.646909325,1.0,1.0064257371050163
ACBD4,2,0.0009696231721852857,1179.212625600715,2363.8269896839342,28.391902196719055,2364.42525120143,0.8139313,1.0,1.0033330473973716
ACBD5,2,0.0010723729068092165,2457.8733627679785,4920.115832827868,28.643970301216584,4921.746725535957,0.7363351,1.0,1.0024472029127975
ACBD6,2,0.0022694275682197413,5179.310782194687,10364.301155378625,10.68269184369579,10364.621564389374,0.57102895,1.0,1.0041178370292865
ACCS,2,6.111441884490216e-5,695.7096320043904,1394.44107549117,22.934458006728857,1397.4192640087808,0.876393925,1.0,1.0025414642269983
ACD,2,0.005010613788900107,4299.892152835083,8604.411603552171,16.31704260453451,8605.784305670166,0.582035925,1.0,1.0066197794382516
ACER2,2,1.3209485973386492e-6,31.075122146838876,64.5543349770448,4.110078108609066,68.15024429367776,0.971445375,1.0,1.004778801149133
ACER3,2,0.0008719248534931532,2594.3658779115985,5192.948778953279,27.402926776138653,5194.731755823197,0.7345755,1.0,1.0044787374050232
ACE,3,1.2324355474522011e-5,204.9801658826632,417.6686607895902,11.747209189469933,415.9603317653264,0.9312165,1.0,1.0040807745038784
ACHE,2,0.00014352400779489398,773.5590337352834,1550.5221523226342,24.041591900515858,1553.1180674705668,0.862173125,1.0,1.0054289768881945
ACIN1,2,0.002886086279299902,4952.594395674934,9910.391872981754,12.381282132715004,9911.188791349869,0.569078325,1.0,1.002058335931985
ACKR2,2,2.0642990875991768e-6,37.72818514676782,77.76359535200366,4.542594603991108,81.45637029353564,0.969443025,1.0,1.0032235870282242
ACKR4,2,2.972682435925633e-6,44.179892563878816,90.6667167460739,4.9472128354003955,94.35978512775763,0.968041475,1.0,1.00211311486929
ACLY,2,0.001980842576612674,4739.684180074961,9509.777584761654,14.134985397492196,9485.368360149922,0.539500075,1.0,1.005468002789503
ACN9,2,0.0034960378762053028,4649.69047385115,9304.722206439656,13.1805366442286,9305.3809477023,0.600274525,1.0,1.0043024846875865
