Gene,Rate01,Rate10,Eject,Decay
A1CF,0.47063515071932643,0.03508554896970688,2.0078532291682084e-6,0.0021673846846251977
A2M-AS1,0.3323816810884028,0.00027817016638551984,1.2409514869775545e-5,0.0037535679540591504
A4GALT,2.9061448574584594e-5,1.1764113591400096e-5,0.0005887796310206105,0.004772622011159922
AAAS,0.0004069003122593511,0.001510170744018807,0.0006046831807618636,0.0004204004348582443
AACS,2.593212604595528,0.0021821571994984114,3.345352999678562e-5,0.0004813731562767961
AADAC,2.29589886607817e-5,6.714311334097197e-5,3.6531002119160966e-5,0.00035438840091621166
AAED1,0.0012389374387050923,0.0008190451816748737,0.002148902970848603,0.0025411165827101917
AAK1,0.9685010616722807,5.7394576508572956e-5,0.00020491396998360926,0.0037127214664299415
AAMDC,0.00045549891293422294,0.0010886000231965847,0.0003027671395999846,0.0002745681175220499
AAMP,8.666386290097727e-5,3.727406640786007,1.2845635388431484,2.4777000090798225e-5
AANAT,0.3700291322999624,0.0005166153439137156,6.8745073085985014e-6,0.0017484579779097511
AAR2,0.02625137815381149,3.167059752691034,0.0877348952620769,0.004798949840084059
AARS2,0.00011361472585621988,8.565449383927724e-5,6.882855326448104e-5,0.003794880695706363
AARSD1,3.7154265029063018e-6,2.6045099064494267e-6,0.00044982040586038705,0.0024744679549160917
AARS,0.0012305714833767561,0.016070337079347203,0.004612176926159996,0.0015248854733465984
AASDHPPT,0.00369282237016322,0.007011007962924339,0.0028293937505013637,0.0019841867641632103
AASDH,2.9599386893085222e-5,1.1616426244945657e-5,0.0008242718932939364,0.004736852220213539
AATF,0.002419347983181874,0.0012253112681231907,0.0018014211733246729,0.0017611975788148493
AATK,4.485518410708389e-6,9.55695230443987e-6,0.0025208762633856063,0.012742710868204988
ABAT,7.502898757549099e-6,8.38486311124956e-6,9.869257103145408e-5,0.0013696959642707427
ABCA10,0.10822217450447283,1.0804303901689678,2.938380041296599e-6,0.0003101723391791797
ABCA12,0.026137090695821357,0.0005090820338775429,2.177094276097974e-6,0.0016515124116240677
ABCA1,3.621797608824307,0.01469334961765657,2.6627943890350616e-5,0.007385811770024206
ABCA3,9.228849134113237e-5,3.975039256272467e-5,2.283711963706749e-5,0.0007168766969003466
ABCA4,0.12628617428732694,8.143290081196128e-5,6.455060355467283e-6,0.00195198571279612
ABCA7,0.0005806983741739079,0.001199045796985053,0.0012925862962214606,0.0008435115663862503
ABCA9,2.0391527754040091e-7,0.6806953888608156,1.5104283360086891e-5,0.010811130271384022
ABCB10,1.0161157162947409e-5,1.6249534630885623e-5,2.421050648264281e-5,0.0001971115699104756
ABCB1,1.878967086462331e-5,3.65763390875233e-5,4.9869709667545466e-5,0.0008609414257489627
ABCB6,0.5552378109016075,0.005144660737610249,4.615504718868934e-6,0.0014473889620767483
ABCB7,4.110089043161124e-5,1.4373481872431635e-5,0.00028569751513949515,0.0013898561611817284
ABCB9,2.408821547675634e-5,2.7084764185457183e-5,0.00013534617606892425,0.0023082826787020868
ABCC10,4.2548220854129445e-5,4.1302123422691215e-5,9.527916913682571e-5,0.0014514314626398802
ABCC11,0.2470794153879329,0.001911632391193472,3.0347317062697846e-6,0.005238560726787672
ABCC1,3.874888981819798e-5,3.077112549059521e-5,0.00010927542553997916,0.0012165993692092455
ABCC2,0.00015655993073531623,0.001228802896271559,0.0007735527078550132,0.0002893747417620803
ABCC4,2.4412803197749863e-5,1.6258718048796474e-5,0.00010719790665152089,0.0007602481184960448
ABCC5,1.0049610268268356,0.0001952253597250259,3.840574585988266e-5,0.0005872169972584776
ABCC6,4.408697371607526e-5,3.923498545635996e-5,0.0001290558531804666,0.004802258218489456
ABCD1,0.5501869716603527,0.00016299600497572466,4.249236132785616e-5,0.001375144616784453
ABCD3,2.139581357252085e-5,8.331694825374015e-6,0.0002777754545313435,0.0013946558576978451
ABCD4,4.101892868687518e-5,8.520882427756428e-6,0.0004503878552297174,0.0014125736984584244
ABCE1,0.0025885073021495396,0.004674172556118283,0.0036754230125199067,0.0012683610095297027
ABCF2,0.0018336075067609146,3.837224469322817,0.5538718974364267,0.0007208937344792662
ABCF3,1.0234752368431825e-5,3.710219075622297e-6,0.0006544876245164618,0.002671681973477937
ABCG1,0.11161285456101107,0.0009757254316990988,3.2653978754871233e-6,0.002815815949431738
ABCG2,4.678868658779433e-6,6.585483328289991e-5,0.00022540668332779546,0.0024194356367429645
ABCG4,0.31272026143794956,0.0005955692972666927,8.072850247259698e-6,0.0037394966791444465
ABHD10,0.002289513827591702,9.510236841369139,2.405179484553778,0.0022176320294300185
ABHD11,0.0008082927662860722,0.001568076092648161,0.0009617906053947736,0.000862378045528443
ABHD12B,5.506433362344306e-6,3.1361915609235105e-5,2.2848467356346456e-5,0.00020763942232337844
ABHD13,0.01158372104787239,2.5224919618319492,0.2662283966269662,0.006046347701955358
ABHD15,2.415683937852725e-5,9.976215400845365e-6,0.00011318144899854609,0.002967782132800495
ABHD17A,0.0006714353674998317,0.0003597385704338947,0.0008830191440679312,0.0010888790176860708
ABHD17B,0.0005530025298393254,0.0008470501000557285,0.003453847178640454,0.012257696370765672
ABHD17C,7.177168710325056e-6,1.582829949204159e-5,0.0008382290898274175,0.0035623243333774454
ABHD2,0.0014398597528772,8.14518593843037,0.581455174787788,0.0014271244626680264
ABHD4,2.028050906011942e-5,3.215321297853166e-5,0.000312558624145931,0.004403612355842087
ABHD5,0.004202825358179932,0.010430764018062656,0.001554098841300728,0.00218211969195692
ABHD6,1.3442435132514563e-5,1.4190247417459057e-5,0.0004387121805063502,0.0037860138475952223
ABHD8,3.6713524163693385e-5,2.2637859302242633e-5,0.00012077830315503257,0.0024862555423832747
ABI1,0.0003966673619380028,0.00010456860105203253,0.0006622528855703997,0.0012986147829390248
ABI2,0.0007342195865359871,0.0006737626683673615,0.0015479503276811964,0.0015118034863269311
ABI3BP,0.051937313247536865,30.32514323663811,2.0277806918103427e-5,0.00012065724961471312
ABL1,109.19225087953389,0.003643747406043325,0.0001487750659268836,0.0037234981981453742
ABL2,1.546620095094381e-5,9.463629475013327e-6,0.004953611610931977,0.007561484064188461
ABLIM1,0.0002800455895034846,0.0003515972557618161,0.00044089585426598197,0.0006940445050093068
