Gene,Nalleles,Deviance,LogMaxLikelihood,WAIC,WAIC SE,AIC,Acceptance,Temperature,Rhat
A1CF,2,5.593584066000962e-7,32.795726665010115,68.28081662107634,4.110422647085001,71.59145333002023,0.971080875,1.0,1.0022864835541485
A2M-AS1,2,7.089471854798206e-5,260.035340236292,523.1731571089239,13.140659407332668,526.070680472584,0.927588325,1.0,1.0018140894796144
A4GALT,2,0.00024457302378460253,2494.7056916283445,4993.688085659133,38.02992264402849,4995.411383256689,0.747331975,1.0,1.0018578549179529
AAAS,2,0.003240184908521892,5205.206334916137,10422.500859920614,29.65443772588707,10416.412669832274,0.56526285,1.0,1.0049389198971883
AACS,2,0.0011555564130318685,2057.3955918107144,4124.640921352248,36.54600634955146,4120.791183621429,0.7482077,1.0,1.0032982152424215
AADAC,2,4.405486769522694e-5,549.5788954139039,1113.267110492487,19.86422702365802,1105.1577908278077,0.884451975,1.0,1.0026744100404346
AAED1,2,0.0013486202939624352,6082.207953403974,12168.96010424733,22.689163096687246,12170.415906807948,0.552736125,1.0,1.0028531185033813
AAK1,2,0.0001693058013981229,1269.5365745415659,2542.5449585146603,30.71041455959728,2545.0731490831317,0.835536,1.0,1.0028279116230359
AAMDC,2,0.000996132860095799,5080.7424941531235,10183.49517029073,28.856903510356403,10167.484988306247,0.55973065,1.0,1.0040358635198698
AAMP,2,0.00507901512157923,9901.427198347363,20008.4697020084,9.959584434236433,19808.854396694725,0.35046155,1.0,1.0033248815219336
AANAT,3,7.414079646891435e-5,264.78568078817085,533.9952616014378,13.278585588664631,535.5713615763417,0.924492825,1.0,1.0034717929304717
AAR2,2,0.0008385973361754247,3207.144556615918,6419.22310948198,37.7730120729146,6420.289113231836,0.730886,1.0,1.0025166290411396
AARS2,2,7.736987682084691e-5,643.4932720341683,1290.2804936099906,21.950591889218263,1292.9865440683366,0.88845935,1.0,1.0037085305409115
AARSD1,2,0.0006447134113530871,2954.2729137377755,5913.031424020648,38.39459985944228,5914.545827475551,0.70578395,1.0,1.0036559048413418
AARS,2,0.003538139905839803,4755.926167869647,9516.737219796134,33.34191830415696,9517.852335739293,0.595197,1.0,1.0026283594435774
AASDHPPT,2,0.0018943801766223253,7064.723794586698,14134.105824035609,17.418970276858367,14135.447589173396,0.496149,1.0,1.0033071683747894
AASDH,2,0.0009904487783632496,3654.1431529380466,7313.269730606961,36.479383491755726,7314.286305876093,0.70722635,1.0,1.002942716360609
AATF,2,0.0022923522216275515,7494.161339863268,14992.969415320367,15.302380616412592,14994.322679726536,0.482672775,1.0,1.01314164578469
