Gene,Rate01,Rate10,Eject,LL,Convergence
A1CF,0.40232107097525716,0.28624525350903185,1.5714024201585184e-6,32.82853873404512,false
A2M-AS1,3.036574776433092,327.4421314303432,0.0017174021443012253,260.0354557540432,false
A4GALT,0.0018089129782251291,0.0032256548601108303,0.0010686733968212903,2494.706440330089,true
AAAS,0.000383038746866789,0.001199199511764576,0.0004583955991617765,5205.25671548084,true
AACS,0.00077456178447385,0.017911960253821243,0.0007075433094014489,2057.7491833308286,true
AADAC,8.061170357984324e-5,2301.6538990181457,106.82093182564368,549.640400631261,true
AAED1,0.004746334598697743,0.0213274484781603,0.00498336469226644,6082.207970722372,true
AAK1,0.0013658300280835357,0.0020056859712142897,0.00028606676301904955,1269.559306855334,true
AAMDC,0.0005569440002127478,0.002840234946063059,0.00042765180273954175,5081.438393766359,true
AAMP,8.125305482084135e-5,2.453837168447909e11,8.17496612343249e10,9902.05487146416,true
AANAT,0.5490182596508733,0.0010977011554559354,5.579510788469919e-6,265.05059877227836,false
AAR2,0.0004438633492178302,0.00021500334129650228,0.0008425379625701789,3207.1909678517513,true
AARS2,4.236679825573809,195.9279535354638,0.002311499526891839,643.4936132991367,false
AARSD1,0.0012743532367315955,0.002581571508515892,0.0007767306513049448,2954.2754166275854,true
AARS,0.0013775935828282705,0.02860947888886166,0.007443501746889764,4755.926194635493,true
AASDHPPT,0.004205158693033727,0.029862988805885744,0.007783488886844729,7064.723790688082,true
AASDH,0.0004762934811347174,0.00021561704628357488,0.001003175447223761,3654.190728369239,true
AATF,0.003797202202130253,0.013085088152088486,0.004333048715789864,7494.161373508759,true
AATK,0.0008566233995510416,0.0016259825454135817,0.0023603284400299275,2808.314164707476,true
ABAT,0.004271562982871325,0.6842760928289953,0.006889250797960614,1268.7428515974216,true
ABCA10,0.24575871741660368,0.07701568536006159,5.397950879129643e-7,126.30118728241081,false
ABCA12,0.7916107861624665,5859.638982980712,0.01370932504287794,85.20159909553286,false
ABCA1,6.468967910566854,485.067584537557,0.0023597586352176935,260.027037638262,false
ABCA3,0.4875241808636588,77.68156848258104,0.002395103129022311,934.437395512758,false
