Gene,Rate01,Rate10,Eject,Decay
A1CF,0.40232107194134353,0.28624525215118324,1.386369470756557e-6,0.0021673846846251977
A2M-AS1,0.21377931658556573,2.8417415218449944e-5,1.5783367766941573e-5,0.0037535679540591504
A4GALT,0.0014550679855254774,0.0022316879895598212,0.0009729095170209069,0.004772622011159922
AAAS,0.00030379158088990457,0.0006425270764305456,0.00034561047510203605,0.0004204004348582443
AACS,2.6469189058888015e-5,1.8383596433727294e-5,4.970458951117195e-5,0.0004813731562767961
AADAC,1.5183923567177212e-5,0.00010036218088625854,2.8573382218226693e-5,0.00035438840091621166
AAED1,0.0047312194700425995,0.021004739020523865,0.00493450548537386,0.0025411165827101917
AAK1,1.3540487236324167e-5,1.0361223626174923e-5,0.00020466404692658338,0.0037127214664299415
AAMDC,2.1086205533705714e-5,8.704632951081287e-6,9.907528114653446e-5,0.0002745681175220499
AAMP,7.390323751782905e-5,0.01408004071090265,0.005183776362553864,2.4777000090798225e-5
AANAT,0.5490182596658107,0.001097693684433437,5.021031053648394e-6,0.0017484579779097511
AAR2,1.8572753607282834e-5,7.89988624960819e-6,0.0008090162531160492,0.004798949840084059
AARS2,1.9246688920736925,0.0009010740926159106,4.894893112801431e-5,0.003794880695706363
AARSD1,0.001019808763555138,0.001683085460422954,0.0006802490278475696,0.0024744679549160917
AARS,0.0013717042770147736,0.02724448649506077,0.007133852972597525,0.0015248854733465984
AASDHPPT,0.004206461013244333,0.02988277792749035,0.007786063336749124,0.0019841867641632103
AASDH,2.4738464236160404e-5,9.790738349442812e-6,0.0009643364039732692,0.004736852220213539
AATF,0.0037749149949436785,0.012767744437302555,0.004271188694362204,0.0017611975788148493
AATK,1.088683467954679e-5,1.7248234688818338e-5,0.0021046651422984924,0.012742710868204988
ABAT,3.344507486449233e-5,1.2359005337158144e-5,5.8496380755397294e-5,0.0013696959642707427
ABCA10,0.2457587176622799,0.07701568457610124,4.819946735983084e-7,0.0003101723391791797
ABCA12,0.008316967701391634,1.0976999434112316e-5,1.8549950763268806e-6,0.0016515124116240677
ABCA1,0.3853352180586946,0.000267181928806116,3.1075838955012804e-5,0.007385811770024206
ABCA3,1.2604990136116445,0.013531460720767356,1.5097399855989797e-5,0.0007168766969003466
ABCA4,1.3279220601822859,0.0016782470109966959,4.930591298082109e-6,0.00195198571279612
ABCA7,0.0008438115385841866,0.007745024415247553,0.003497664830190628,0.0008435115663862503
ABCA9,0.7240670223749148,0.0020233515140159874,6.75269198359927e-6,0.010811130271384022
ABCB10,4.7860731960878545e-5,2.171360224123827e-5,1.1914112579501544e-5,0.0001971115699104756
ABCB1,8.373299195579715e-6,3.436037577346669e-5,4.3199973678276756e-5,0.0008609414257489627
ABCB6,0.17291975603030768,0.0002537327186952148,1.2188130587767868e-6,0.0014473889620767483
ABCB7,3.503722208030963e-5,1.1856937710695183e-5,0.0002420104404899001,0.0013898561611817284
ABCB9,5.8647129615291186e-5,5.534750811486714e-6,7.196684813519746e-5,0.0023082826787020868
ABCC10,7.531772556595377e-5,2.186166878069414e-5,5.6825451949820056e-5,0.0014514314626398802
ABCC11,0.051711858383598375,0.00016600742154456737,2.945287933780289e-6,0.005238560726787672
ABCC1,0.36885565955346683,5.283436664740721e-5,4.4560076529609446e-5,0.0012165993692092455
ABCC2,9.133210591847721e-5,0.00025176831343700213,0.00037390763646057216,0.0002893747417620803
ABCC4,0.28945274533591175,1.072658982659822e-5,5.18792221804489e-5,0.0007602481184960448
ABCC5,0.0007932895673450101,1.5130445158090746,0.07518474135211048,0.0005872169972584776
ABCC6,5.2120059952602963e-5,4.026060038280699e-5,9.936390356825347e-5,0.004802258218489456
ABCD1,1.887619587727751e-5,8.681806342451799e-6,5.863907309328107e-5,0.001375144616784453
ABCD3,3.2242354694565366e-5,4.136813548351484e-6,0.00021004956692805883,0.0013946558576978451
ABCD4,3.938927854862705e-5,5.7299866267202785e-6,0.0004157247118825383,0.0014125736984584244
ABCE1,0.0027314464935448797,0.0156862375949064,0.007343986353614456,0.0012683610095297027
ABCF2,0.001079631884273583,2.004637296075667,0.4172432996494556,0.0007208937344792662
ABCF3,8.919421361709481e-5,1.9868456115080027e-6,0.0005443667827171641,0.002671681973477937
ABCG1,0.8767223562662273,0.01333635267513712,8.011977151507205e-6,0.002815815949431738
ABCG2,4.3197662184448245e-5,7.172373288351729e-5,4.689747613217329e-5,0.0024194356367429645
ABCG4,0.26655391254258654,9.534209108724203e-5,1.0834638893045388e-5,0.0037394966791444465
ABHD10,0.0018989068004170901,3.4558218729646604,1.1900918463539043,0.0022176320294300185
ABHD11,0.0012106179285106783,0.003626866924038119,0.0014275867136724683,0.000862378045528443
ABHD12B,0.038017289667126995,0.0007914329783127,1.0495026703607926e-6,0.00020763942232337844
ABHD13,3.4230483194536374e-5,6.35608119421102e-6,0.0010551918173307892,0.006046347701955358
ABHD15,7.048199295901014e-6,3.58026502140709e-6,0.0001706248252361727,0.002967782132800495
ABHD17A,0.0009002254895315308,0.0013423041130475803,0.0013377103816125384,0.0010888790176860708
ABHD17B,5.356020296068826e-5,2.256623432511872e-5,0.0016928905053573814,0.012257696370765672
ABHD17C,6.533472396958658e-6,4.973863654357815e-6,0.0002833979563591204,0.0035623243333774454
ABHD2,9.380794045298815e-5,5.52054433659164e-6,7.698070988525426e-5,0.0014271244626680264
ABHD4,4.859089609408198,0.0025740150755272253,0.00010331538642257712,0.004403612355842087
ABHD5,2.4856119656181607e-5,1.1407994570847277e-5,0.0004467041730138951,0.00218211969195692
