Gene,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD
A1CF,0.0006144507349176454,0.3741665668532008,0.0026181144542171244,0.004127390068058958,1.5734756108904806,0.011392712046389721,0.00011856793341084358,0.08295551770695492,0.0005594457761924005,9.87620085636009e-5,0.07207917142313588,0.0004834160261690169
A2M-AS1,0.0036274964437441777,0.22541531343779816,0.0026070561519871867,0.014256571627680552,0.8213460351949158,0.00765616734354304,0.0010738939544193754,0.04570403464891894,0.0006346852915818691,0.0007696765995270331,0.04121967313874616,0.0005495559397105831
A4GALT,0.003724841281236111,0.055800654312381966,0.004502553529763944,0.005788138753671686,0.16951164029377758,0.009847797092773215,0.0031156544192900305,0.010728782387319464,0.0016141027228186808,0.0015085899564207888,0.009735136746740777,0.0008062946578432653
AAAS,0.0005565224389218937,0.041971404518740825,0.007539861932548794,0.00014191712722850427,0.12217822757866233,0.02117974594087989,0.0005629483499975125,0.011899858236777926,0.002340191309824528,7.856133234265431e-5,0.010033989702319213,0.001761477849912099
AACS,0.0029209233640017846,0.16821811544125737,0.004126955835656536,0.015259545080402703,0.5969395298237163,0.011555027049057934,0.0009513474136232379,0.044943563241647236,0.0011231784848985066,0.00043378091645878314,0.038721542379396776,0.0009240692400200065
AADAC,0.0004648044161389112,0.16440085606480526,0.004150484650056875,0.004233982687782348,0.44278568983806327,0.010913256505408241,0.00011798558670006581,0.04636235832603071,0.0012183551364642832,6.480322401328823e-5,0.03847242138426295,0.0009971177342095175
AAED1,0.00411750668787751,0.04810904648839371,0.00861743726117409,0.0017572958957099375,0.12373665524025493,0.017581156159221168,0.004208082744398497,0.01337137278973975,0.0037226890112214694,0.0012291328772169026,0.011275700587272543,0.0018795852362940653
AAK1,0.009957823305512757,0.08786839071982,0.0021634014780088293,0.0364433069973137,0.2980390167690492,0.00620025902497756,0.0033441027278900163,0.015533668609404609,0.0005704655462561779,0.0019777460709559233,0.01459563254624259,0.0003979970533465906
AAMDC,0.000720535353371973,0.07032226514944097,0.006492536534572307,0.0002721996591968038,0.19624236723000696,0.017610528758287253,0.0006833294530990827,0.02009093420533776,0.001998701925057797,0.00012691902345689297,0.016880099684456633,0.0015605508625923209
AAMP,7.417482982765686e-5,0.0360526346030394,0.013051556770996878,3.4406734811781953e-5,0.07686532558419872,0.027673234129453442,7.358533604514083e-5,0.012306439826861536,0.004500134975670662,3.9943718012334735e-6,0.009591994440204313,0.0034601617461916738
AANAT,0.0022126601388480337,0.32332299819654503,0.0028446902921697615,0.01371401870176147,1.003124925355102,0.008725589660853836,0.0005299698125019977,0.07352795751509149,0.0006295515335177814,0.0003848396730116591,0.06424605971893182,0.0005398919941183168
AAR2,0.011158121934708642,0.05126009081471731,0.0031101134194596912,0.06938982524002267,0.23328983613267154,0.010202615232338806,0.004906363320019676,0.0050080969866789825,0.0011680735679188506,0.0031542756262885763,0.004573183619121458,0.00037512893533320045
AARS2,0.012730689247652376,0.1630686614663579,0.0017114649627022977,0.056467042259400115,0.5946417783598283,0.006010110347162008,0.0037255020924957284,0.025936194659322766,0.000346520710065345,0.0025103510464495812,0.02460861206197036,0.00027545423269246275
