Gene,Nalleles,Deviance,LogMaxLikelihood,WAIC,WAIC SE,AIC,Acceptance,Temperature,Rhat
A1CF,2,1.7974143493140887e-6,38.07496957456327,78.67200011043278,4.544507948164432,82.14993914912654,0.96925995,1.0,1.0047768746542802
A2M-AS1,2,4.502387423296851e-5,150.13219375261806,303.0835384303441,9.841856938235955,306.26438750523613,0.943557125,1.0,1.0030295674936793
A4GALT,2,0.0002776422017652747,1912.11767359398,3828.221282845459,31.83683318253801,3830.23534718796,0.7946046,1.0,1.0024352589538936
AAAS,2,0.0025234396098556605,3865.1965506295187,7743.622067997336,22.05295128161787,7736.393101259037,0.61689915,1.0,1.0170011437772846
AACS,2,0.0012549314006769857,1611.6584016650054,3232.1150034999623,31.320914470630132,3229.3168033300108,0.769002425,1.0,1.0034133138824355
AADAC,2,6.817484283452917e-5,462.87709579215885,937.0190849157766,18.39164012046519,931.7541915843177,0.89126835,1.0,1.0034624244735484
AAED1,2,0.00201741076297137,5177.670310294609,10360.442859765577,13.592192393925002,10361.340620589219,0.5711637,1.0,1.019188792831274
AAK1,2,0.0007849927903728121,1245.8830541135326,2495.9136792850945,29.28379838988562,2497.766108227065,0.82680315,1.0,1.0050174855890064
AAMDC,2,0.0018640194174652893,3942.03623444708,7901.7104227231,19.957663359301428,7890.07246889416,0.59079225,1.0,1.0103531251731965
AAMP,2,0.005861444571509603,7206.058700347679,14556.261779386285,7.781985622335518,14418.117400695359,0.37559715,1.0,1.008563124618037
AANAT,3,0.00013962704659123044,239.37064576186168,482.51755116616675,12.883206146010592,484.74129152372336,0.926485775,1.0,1.0050698795077426
AAR2,2,0.0004519636465973273,2444.531946255097,4891.8945655582265,30.41841292107136,4895.063892510194,0.779333425,1.0,1.0032640409372415
AARS2,2,6.206897249993858e-6,332.8615948068226,668.6435858993306,15.450320594429522,671.7231896136452,0.9152381,1.0,1.0043877426398526
AARSD1,2,0.0011633588862348266,2561.0597479895036,5127.368882494692,30.647764628281607,5128.119495979007,0.7269965,1.0,1.0049995343012084
AARS,2,0.0005829399580264611,2909.181956588232,5823.075970186911,28.945589280735277,5824.363913176464,0.682561375,1.0,1.007619062492592
