Gene,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD
A1CF,0.000934737639978579,0.4235466974945051,0.002867015916921377,0.0038659850547148795,2.1771706751656166,0.010157423289269456,0.0001930414469697043,0.07869864305337561,0.000610330087031246,0.000163299973845048,0.06866033144620218,0.0005262300904598076
A2M-AS1,0.002394294310029527,0.20153990559848436,0.0027574049446973206,0.010308036382135356,0.9413414414597803,0.008682888239784525,0.0006879234987287719,0.04148724253839518,0.0007178554978506753,0.0005071308624895441,0.0365948701801662,0.0005956011105551966
A4GALT,0.013041216717332453,0.051454536017878055,0.002710661265052846,0.04960912354583811,0.37946575502548074,0.015482924933266003,0.005299115385431343,0.005360883007002002,0.0009220531054842736,0.003414550766971916,0.00492661942641677,0.0003549179855550152
AAAS,0.0007889201080314414,0.03567833940744314,0.004517429515233791,0.0003760105382576804,0.1084064047829426,0.013181441787757273,0.0007880829488831664,0.00619694944306689,0.001027005646137982,0.00022515896772720814,0.00580453971858081,0.0007535656178582895
AACS,0.0014330241588954525,0.10831748294599736,0.004987188317938798,0.00831840502754814,0.3558448614336436,0.017226491451211145,0.0006274644862152885,0.030604586809327042,0.001490306358598287,0.00022242952639172086,0.02507055534344009,0.0011718262868777338
AADAC,0.0005059149343517401,0.1663729238702052,0.0038766280448706367,0.002133008401109307,0.5712543138806345,0.011402851041399249,0.00013766553186613065,0.038452744940322026,0.0010757161816780502,7.896625956430614e-5,0.032002703966554094,0.0008796934715060929
AAED1,0.002930730461351624,0.022968885371862455,0.008015710731773179,0.0015356360466326651,0.07485174600658606,0.017958156116094057,0.002816610163713231,0.004951824106964343,0.0037357366968405756,0.0011760891840175633,0.004068383871455545,0.0013206089800467215
AAK1,0.0065201405990236525,0.06932171320017735,0.0029968948404116955,0.022929198140513106,0.22790697675711136,0.007580822956293916,0.0027415641414572636,0.011656370988724058,0.0008692095086119262,0.001514478545886436,0.010775490247145084,0.0005316308524311046
AAMDC,0.002778443603616549,0.0913731202154955,0.004993101541046638,0.020600419508924647,0.21845971609752737,0.011340401686804141,0.0012585610481919611,0.023626096819625374,0.0014411256880820812,0.0003914282312585391,0.020983002515298263,0.0011597373254459014
AAMP,0.00011500157448870772,0.03321411875847354,0.009001188645675673,3.391168900434937e-5,0.07572404694652533,0.020400597577588518,0.00011424526193573112,0.01049712616931014,0.002901719117082476,9.651852165572536e-6,0.008742130871803241,0.0023580946067033176
AANAT,0.0021046620952780318,0.28655499316869426,0.002546104501568289,0.009618215243161761,1.0673104915023717,0.00764464593544404,0.0006518471444393195,0.0636885870701151,0.0006197923482891225,0.00046057937563451044,0.05588082734002903,0.0005273182869710951
AAR2,0.037189433625455716,0.04212604325385736,0.0016932521807504215,0.15420034551762077,0.18910746524063096,0.005191917962201611,0.013273873847428702,0.0030671584615490884,0.0008412139473338801,0.009608730317615655,0.0028750645081831467,0.00015082010751983312
AARS2,0.004892060218126713,0.14718075278798978,0.003035852741943945,0.0328817427587569,0.4321023754911512,0.008876189963408715,0.0012620145733713115,0.03483518566511095,0.0008156921728339117,0.0008409248636123861,0.03174025037534638,0.0006825755887783236
AARSD1,0.0037418732476428135,0.06136156042378283,0.00485135164207014,0.007889910502142166,0.37971267520470675,0.02386547711059701,0.0028886823269064906,0.007935165439137155,0.0012904291233897982,0.0013473852344053222,0.007217497918900079,0.0006449759327084404
AARS,0.0022918286237235074,0.06351778973317924,0.006573084666358873,0.0012481572188067906,0.19789940360318284,0.01801440810301558,0.0021533875108659273,0.016627029321632427,0.0022087235346382205,0.0005892545680690967,0.014395453835171311,0.001464137790474519
AASDHPPT,0.0053976677379788405,0.02720185400442406,0.003794636299040576,0.005643629633538367,0.15046490436885485,0.01152455471462514,0.004056940115080034,0.0027133165944667964,0.0017754477985580139,0.0026336691315414374,0.00250550217004992,0.0004434165734382516
AASDH,0.013993987428509817,0.043627474802468376,0.002408014982418923,0.04481395980655338,0.14565184872231007,0.00589548841798848,0.006345235878561315,0.006454275383619323,0.0010204394124677689,0.0039127277293034635,0.006022008648433036,0.0003964081611207066
AATF,0.00499760774249833,0.02123715986804897,0.003736486446294387,0.005855921605453983,0.10809660829160186,0.009389535265144869,0.0033972733225913405,0.001503485133956806,0.001948090932758057,0.0022821865597819286,0.0013679498676239224,0.0003382679200862235
AATK,0.0035632830575785157,0.04008726380168745,0.006207366964279593,0.003221217126367306,0.14180556839449315,0.014131156154066139,0.0027486924391039056,0.006655370518640357,0.0029887592964909435,0.0018628308030237996,0.00579562908708659,0.000911461792375027
