Gene,Nalleles,Deviance,LogMaxLikelihood,WAIC,WAIC SE,AIC,Acceptance,Temperature,Rhat
A1CF,2,6.217520938516368e-7,40.729924274241846,84.24503793781636,4.549584554607343,87.45984854848369,0.96905465,1.0,1.0014298501373624
A2M-AS1,2,1.681554090771166e-5,168.93047599566404,340.7141144389233,10.101497949863269,343.8609519913281,0.942101375,1.0,1.0031968838844414
A4GALT,2,0.0007574251070494451,2573.079180559613,5151.0269781962525,40.347077024029815,5152.158361119226,0.7578897,1.0,1.003090844484632
AAAS,2,0.001327584510046798,5541.750972055365,11095.954883091968,35.29632967753588,11089.50194411073,0.56033865,1.0,1.0042206762362238
AACS,2,0.00036625437301810316,2090.872856785367,4193.209241574197,38.29084520545594,4187.745713570734,0.7666058,1.0,1.0024301978693488
AADAC,2,0.0001802731813977256,451.58555667912134,916.0715685285435,17.830049761274516,909.1711133582427,0.898302325,1.0,1.0021671439669002
AAED1,2,0.0022743439773760493,6719.270876890655,13444.183911437114,27.054563730709557,13444.54175378131,0.5815504,1.0,1.0073218681780898
AAK1,2,0.0004566986637027916,1857.7248927593357,3719.8040407583817,36.444227097561296,3721.4497855186714,0.7939457,1.0,1.003173248545946
AAMDC,2,0.0005834414082599237,5629.641717688877,11282.305882533678,32.584910725934485,11265.283435377754,0.55256685,1.0,1.0021306932902385
AAMP,2,0.004168756522324214,11263.594431779455,22809.046195101226,11.608358084645419,22533.18886355891,0.331085325,1.0,1.0120375146161926
AANAT,3,4.820295740456199e-5,262.7342497672274,529.9456334198503,13.041113900213633,531.4684995344548,0.92561745,1.0,1.004458472961521
AAR2,2,0.001072665869479751,3178.6780862307355,6360.362230137356,41.34983828575643,6363.356172461471,0.762758425,1.0,1.0033537563711739
AARS2,2,2.0830863606041764e-6,544.5251502878998,1092.1134917193724,19.751701131055178,1095.0503005757996,0.895758975,1.0,1.0038305146530297
AARSD1,2,0.00032629328892251695,3446.4021175211033,6897.370217035172,41.50039698998463,6898.8042350422065,0.70106015,1.0,1.0064116268835905
