Gene,Rate01Mean,Rate10Mean,EjectMean,Rate01SD,Rate10SD,EjectSD,Rate01Median,Rate10Median,EjectMedian,Rate01MAD,Rate10MAD,EjectMAD
A1CF,0.0006396781671963054,0.4305187303243291,0.0022933129625536184,0.0027704038471962917,1.5979641207525321,0.007755243079861968,0.0001404055392222244,0.0872238648075906,0.0005334263818283388,0.00011705792811657173,0.07486166527488083,0.00045468488491057446
A2M-AS1,0.002120625973455614,0.21842841303561894,0.0027726499631902895,0.00949727242474988,0.6643805129961509,0.009482907940745073,0.0005516863874673388,0.05045136571133976,0.0006639197740553618,0.00042365695747574616,0.043957760491621464,0.0005579500039021887
A4GALT,0.006347345844452859,0.059971595833381186,0.0034307733234927086,0.06310697183178621,0.26007791742586395,0.012887337688476158,0.0032827971507291233,0.007665091966141654,0.001015403496061094,0.0019036609448233525,0.007072910562213832,0.000460227682308708
AAAS,0.0006286998632575835,0.059211308528904535,0.008021964137057207,0.00015764414242308748,0.17224656807172456,0.02241800945309266,0.00062437630881899,0.018166669387755543,0.002630417716578553,8.782512293958704e-5,0.014968614390846612,0.0019928773350699953
AACS,0.012551391588127807,0.2253622579450217,0.0013370915433978474,0.06117651617853056,0.8203168617845292,0.00405990397982317,0.0036464845709838177,0.04834519688207737,0.00031138568315426586,0.0022130221329805517,0.04446793521660824,0.00026825677034495555
AADAC,0.0015733657599315417,0.3884738243874355,0.0015182260648480665,0.006943042429951306,1.2965252085577739,0.004104711314053581,0.0004912920691973417,0.10232266438029143,0.0004614903253893016,0.0003477897683773024,0.08449106432959874,0.0003816873133271828
AAED1,0.0031528881706856956,0.020311112854112377,0.003333355073299804,0.0023933327324558557,0.09271433869689183,0.008805390878798674,0.0025391124062186235,0.002347708509584592,0.0015386110948047353,0.0015421895272392304,0.0020561557982666802,0.000386437291674952
AAK1,0.0056631039642372595,0.07269583693515305,0.002708891109383012,0.018099141164221167,0.23032531180750934,0.007349602684228818,0.0027633547829677804,0.013336801194758163,0.0007990324940792429,0.001401012948951913,0.012273233063468773,0.0005024512000330962
AAMDC,0.002195683923166533,0.11806334994077114,0.004385457664148366,0.005275665943312879,0.41253588578175604,0.01458464397501717,0.0013434025486210755,0.028665729210231382,0.001170379050995663,0.0004319833914414657,0.024862257594013178,0.0009223034855842213
AAMP,9.443165085225857e-5,0.03630555843638251,0.00941368504945987,4.227388535697135e-5,0.07915428752201525,0.02042497187415134,9.341881488007223e-5,0.012485229008216407,0.0032754177540422202,6.058132164619149e-6,0.010134800462088426,0.002615566075143192
AANAT,0.001846614569880861,0.3341507151443638,0.0022234277129096233,0.009565269294941373,1.631492514680698,0.00713351734839802,0.0004816328766371735,0.07176808810240588,0.0005564502990591336,0.0003585345788020793,0.062091469744349426,0.0004699147709482525
AAR2,0.0330858858544431,0.0568033101799125,0.0015316085598125289,0.1173057839236939,0.3110439820962511,0.006910052776558705,0.011942988605956589,0.003682535603098627,0.0005850610748762018,0.008328441577661317,0.003458356098003775,0.00012827559866058772
AARS2,0.007930826207605551,0.16966111755036908,0.002145826584452207,0.060251051689839775,0.535925634640864,0.007315389066812702,0.0020285102515014658,0.03224002028081885,0.000494296676535298,0.0013647693301708595,0.029504666379053968,0.0004128215326154736
AARSD1,0.006546783458811172,0.08714646479524103,0.003901806724597341,0.018947366906847212,0.2979283987035604,0.011751941089143505,0.00397374497543263,0.01501572272217749,0.0010806566969058734,0.0017657757854856399,0.014005998090933124,0.0006619985504113322
AARS,0.004723112006709509,0.07081041392709034,0.0036780413125943844,0.011542818333321008,0.25690763888911683,0.012718211720442935,0.0035049851368751904,0.011997939511130418,0.0010149940808025378,0.00141722089854471,0.011119684092894534,0.0006054477789769999
AASDHPPT,0.0011911631012352058,0.003570194112448314,0.001888194330081698,0.0010736833041427802,0.025572227131897,0.003823563865357875,0.0008766148471058315,0.0004976467729494687,0.0013918304420597906,0.0004866694579463997,0.0003611705853465029,0.0001382370905405433
AASDH,0.011142626364462475,0.05893307270492856,0.003226035393651743,0.12601890988758319,0.2198955517007193,0.008200179671590842,0.006066454200726146,0.0064560818244329115,0.0011602350244946536,0.003675808910143753,0.005991357622643402,0.00040939871973255616
AATF,0.0031429209352795843,0.01647607050189689,0.0028068586666045014,0.0026667404645826804,0.06906309696714029,0.006546179165506567,0.0022887360148364307,0.0014155070057806623,0.0013520163885424748,0.0014574766928116647,0.0012419864633825585,0.00026916513053210187
AATK,0.04493490088261056,0.030137730536169593,0.0010737751580103944,0.18019587092933267,0.158936925954113,0.0019025609994580501,0.01361521009178603,0.002369575464300166,0.0007142521753866165,0.010730605915791159,0.0021483103266307655,0.00011518289678320859
ABAT,0.00865770661891155,0.1636603139196582,0.0017312510295601823,0.05218202805356448,0.5850223220770318,0.005106026339199122,0.002014913711961289,0.035590950107307624,0.0003808342295997938,0.0012829613693808484,0.03251118890489631,0.0003277269412721532
