coord	FC	cat	catG
chr1:540599-540820	0.493848465366768	no	none
chr1:669404-669641	1.73667698694505	no	none
chr1:713409-714823	0.466938699055833	promoter	no
chr1:715025-715262	0.915140995063537	promoter	none
chr1:762068-763303	0.705991162777068	promoter	no
chr1:839550-840721	0.595316861754576	REnh	none
chr1:860351-860625	0.315659628638393	promoter	none
chr1:873527-873873	0.672488468341606	no	down
chr1:894058-897025	0.930437882214428	promoter	no
chr1:901441-903139	0.689005144078616	promoter	down
chr1:911462-912098	0.674509642875032	REnh	down
chr1:919584-919931	0.776830025928132	no	none
chr1:933815-937617	0.833554454392489	promoter	no
chr1:941309-942680	0.867687404240315	REnh	none
chr1:948099-950136	0.812786745521687	promoter	no
chr1:954911-957372	1.02306650791521	promoter	no
chr1:959998-960788	0.801472887148007	REnh	no
chr1:994492-995012	0.917915561466015	SE	none
chr1:995257-995480	0.593888942884262	SE	none
chr1:999091-1000259	1.25213883097285	SE	none
chr1:1009158-1009675	0.622847584333214	promoter	up
chr1:1014652-1015663	0.818329280702577	SE	none
chr1:1051051-1051491	0.912095540231978	promoter	no
chr1:1057493-1057809	0.949598635453655	REnh	none
chr1:1092772-1094542	0.821987413852612	SE	none
chr1:1097642-1100975	0.794591379948613	SE	none
chr1:1136787-1137297	0.830442128162005	REnh	none
chr1:1141168-1142032	0.64389550399889	promoter	no
chr1:1166104-1167490	1.15764744859212	promoter	no
chr1:1167650-1168511	0.818001304216241	promoter	no
chr1:1173701-1174059	0.85079930445682	REnh	none
chr1:1183532-1183881	1.97161491630317	no	none
chr1:1184041-1184306	1.66803362777726	no	none
chr1:1186069-1186517	3.00803883220757	no	none
chr1:1208084-1209810	1.26682580018757	promoter	no
chr1:1240076-1240529	0.797460444373122	SE	no
chr1:1243231-1245178	0.898259031992711	promoter	no
chr1:1259588-1260831	1.17104603051159	promoter	no
chr1:1279334-1281696	1.00185789130454	SE	no
chr1:1282693-1284514	0.975102918068333	promoter	no
chr1:1284890-1285494	0.879258351246345	promoter	none
chr1:1307499-1307771	1.44420977328907	REnh	none
chr1:1309797-1310774	1.35935608508172	promoter	no
chr1:1310922-1311890	1.11399662164843	promoter	none
chr1:1333940-1335775	1.12879959868144	promoter	no
chr1:1337414-1337764	0.626914979285671	no	no
chr1:1341666-1343592	1.01453596672123	promoter	no
chr1:1357904-1358385	0.800462977810254	promoter	none
chr1:1368480-1371006	0.698113018761923	promoter	down
chr1:1376259-1376670	0.90380872987751	SE	down
chr1:1406433-1407770	0.947946305383103	promoter	down
chr1:1446526-1448138	0.808168261754051	promoter	no
chr1:1476170-1476391	0.179375423233064	no	none
