coord	FC	cat
chr1:91378-91596	1.14620610754701	no
chr1:104856-105110	0.849443073444609	no
chr1:237609-237910	1.29100466303809	no
chr1:521427-521723	0.908048662058351	no
chr1:714087-714433	0.69136545011171	promoter
chr1:715117-715280	1.95038776876137	promoter
chr1:762769-762969	0.416094252820328	promoter
chr1:785815-786039	0.816897361818379	no
chr1:793369-793574	1.5684399424846	no
chr1:805111-805538	1.06218724254411	no
chr1:839806-840543	0.948191764521483	REnh
chr1:856432-856794	0.754738896466796	no
chr1:859207-859501	1.92984439643399	promoter
chr1:860285-860599	0.791213231057033	promoter
chr1:873422-873906	0.999355636904968	no
chr1:875640-875874	0.679727435429353	REnh
chr1:877052-877229	1.64447458083683	REnh
chr1:886799-887115	1.10444951407239	no
chr1:894412-894881	0.67897368424354	promoter
chr1:895855-896127	0.813640380823489	promoter
chr1:902231-902471	0.851653099653047	promoter
chr1:911409-911803	0.90729752576746	REnh
chr1:919470-920077	1.16710522379589	no
chr1:937016-937565	0.913137334199445	promoter
chr1:950645-951126	0.758354573601798	promoter
chr1:954685-954984	1.08860498675493	promoter
chr1:955968-956185	0.240279779797654	promoter
chr1:968382-968629	1.49103523350492	no
chr1:976032-976345	1.12367323794998	REnh
chr1:994581-995236	0.908965844018367	SE
chr1:999100-999952	1.19365608479059	SE
chr1:1014921-1015088	0.397853016104952	SE
chr1:1057252-1058010	1.08508745102013	REnh
chr1:1098255-1098470	0.530283034268045	SE
chr1:1100016-1100214	0.709118374524785	SE
chr1:1109832-1110085	2.08908390679483	no
chr1:1141339-1141506	1.02193617862252	promoter
chr1:1141724-1141988	0.444027393394024	promoter
chr1:1143427-1143656	0.716835023993159	promoter
chr1:1153424-1153604	0.592636736083262	no
chr1:1166043-1166467	0.91236033389347	promoter
chr1:1185502-1186038	1.27206804535726	no
chr1:1200375-1200688	1.96036381229747	REnh
chr1:1225573-1225921	1.02620727917115	no
chr1:1227177-1227600	1.00723856791106	no
chr1:1235477-1235684	0.821000311902851	no
chr1:1237369-1237689	0.804002375838609	SE
chr1:1240719-1240922	1.01805330826749	SE
chr1:1243665-1243877	0.515037462746509	promoter
chr1:1244005-1244294	0.726632459959994	promoter
chr1:1245450-1245712	1.2845594099082	promoter
chr1:1260141-1260351	1.41237626661548	promoter
chr1:1269322-1269556	0.593155636999192	no
chr1:1280076-1280846	1.03308908679203	SE
chr1:1284394-1285481	1.22701295964242	promoter
chr1:1307146-1307857	0.908466512710237	REnh
chr1:1310434-1310726	0.871330426279617	promoter
chr1:1311692-1311992	1.04968579292684	promoter
chr1:1334580-1335025	0.664872263951626	promoter
chr1:1337396-1337696	0.633744360506619	no
chr1:1341681-1342060	1.12195267594358	promoter
chr1:1342302-1343579	0.778530751242641	promoter
chr1:1358028-1358352	0.684770476489439	promoter
chr1:1368619-1368828	0.800675377676569	SE
chr1:1371006-1371204	0.614790290725103	promoter
chr1:1376226-1376827	0.920620657017745	SE
chr1:1377003-1377315	0.770985271621696	SE
chr1:1406783-1407090	0.701694043678365	promoter
chr1:1440137-1440639	1.11330510485829	REnh
chr1:1440817-1441213	0.792373673261109	REnh
chr1:1486403-1486662	1.06074732057013	no
chr1:1509234-1509531	1.34589380804547	promoter
chr1:1510249-1510590	0.615808307136034	promoter
chr1:1533057-1533309	1.02141783712542	no
chr1:1555455-1555778	1.24711295570506	no
chr1:1590651-1590991	0.708339572872415	no
chr1:1597201-1597402	0.958461881813671	no
chr1:1617673-1617917	1.52010214704293	SE
chr1:1624080-1624243	1.95038776876137	promoter
chr1:1655670-1656273	0.889568257382332	promoter
chr1:1695823-1695986	1.06132756635569	no
chr1:1709547-1709850	1.24704535454528	promoter
chr1:1710414-1710761	0.703156655349992	promoter
chr1:1720495-1720865	1.28652443185578	no
chr1:1727914-1728229	1.03805709166855	no
chr1:1787144-1787311	1.42858611164594	no
chr1:1790092-1790396	1.13273789173745	no
chr1:1837517-1838072	1.03310704443316	no
chr1:1840326-1840882	0.93977965022351	REnh
chr1:1875405-1875958	1.09814057381983	REnh
chr1:1891380-1891950	1.07406324243843	REnh
chr1:1976064-1976682	0.93070962937895	REnh
chr1:1977841-1978306	1.00396037113494	no
chr1:1980921-1981188	1.20661772276169	promoter
chr1:2023199-2023388	0.746244990992052	no
chr1:2040098-2040489	1.04560225360563	no
chr1:2063774-2063953	1.95677149437715	no
chr1:2071227-2071882	0.962213934590393	REnh
chr1:2094711-2094958	1.39116185056448	no
chr1:2105686-2106133	1.07254694963206	no
chr1:2126345-2127184	1.01204753696291	promoter
chr1:2130992-2131158	1.2430374647907	REnh
chr1:2144146-2144486	1.35734127929028	promoter
chr1:2169214-2169430	1.28961165828053	no
chr1:2243033-2243245	1.10479194010583	REnh
chr1:2246541-2246900	0.854061420542996	no
chr1:2313094-2313592	0.823181627137633	no
chr1:2314063-2314375	0.763426657491711	no
chr1:2338256-2338484	1.76275830150464	no
chr1:2345395-2346398	1.03327787848404	promoter
chr1:2361500-2361893	1.36078842789412	no
chr1:2446671-2446932	1.41198815519601	no
chr1:2470830-2471199	0.954117165118535	no
chr1:2479104-2479911	1.11641271798484	REnh
chr1:2486272-2486872	0.972164347090505	no
chr1:2493377-2493683	1.29158625889036	no
chr1:2529972-2530344	0.827821139750285	no
chr1:2574033-2574200	0.709894597363737	REnh
chr1:2574694-2574919	0.975558864569456	REnh
chr1:2703088-2703517	0.979647715169102	no
chr1:2718100-2718597	0.998800015753526	no
chr1:2738514-2739080	0.915748992055983	no
chr1:2757045-2757212	0.435101222876834	no
chr1:2792592-2792836	1.07596935286647	no
chr1:2838565-2838998	0.924904988746671	no
chr1:2928972-2929698	1.03025076621092	no
chr1:2940685-2940852	1.17795696925192	no
chr1:2986067-2986831	1.09148920753382	promoter
chr1:3081864-3082113	1.41198815519601	no
chr1:3200405-3200926	1.11536626950421	no
chr1:3209916-3210172	0.799192670457088	REnh
chr1:3229623-3229931	0.884202114076875	REnh
chr1:3236475-3236950	1.07272351582908	REnh
chr1:3237247-3237410	1.80204013176949	REnh
chr1:3266160-3266675	1.19525442841861	no
chr1:3320009-3320192	0.622898711489233	no
chr1:3326652-3327077	0.928790287207382	no
chr1:3341087-3341637	1.02062536198432	no
chr1:3347892-3348090	0.982715482635576	no
chr1:3369640-3370143	0.918910054782282	promoter
chr1:3370742-3371106	0.815972753348638	promoter
chr1:3388383-3388687	0.786175272161478	no
chr1:3400281-3400866	0.826450031862378	REnh
chr1:3407744-3408697	1.04148396718698	no
chr1:3434890-3435064	0.764638734426682	no
chr1:3441481-3441649	1.43684861084574	no
chr1:3468376-3468543	1.60244596718053	no
chr1:3481726-3482327	1.09193546533576	no
chr1:3504469-3504690	1.07135452859563	no
chr1:3505027-3505264	1.0663022802233	no
chr1:3508097-3508362	0.902411479368427	no
chr1:3531540-3532156	1.00206957442376	no
chr1:3535549-3535967	0.811387475528998	no
chr1:3537651-3538116	1.052974797448	no
chr1:3612194-3612506	1.04075732225086	no
chr1:3640906-3641330	0.877582001213867	no
chr1:3692524-3692855	0.835925328934867	REnh
chr1:3702035-3702407	1.02033560851348	no
chr1:3718086-3718343	0.894898917490827	no
chr1:3773745-3774121	0.902990356448014	promoter
chr1:3774829-3775087	1.17795696925192	promoter
chr1:3823806-3824074	1.50822527838797	no
chr1:3827274-3827910	1.16501712704117	REnh
chr1:4233324-4233507	1.28407921873407	no
chr1:4712707-4712980	2.60186099801797	no
chr1:4886214-4886447	1.10479194010583	no
chr1:5346471-5346641	0.843784779393216	no
chr1:5508637-5508881	1.25596736456661	no
chr1:5542035-5542231	1.50977583382992	no
chr1:5569792-5570365	0.961287998819313	no
chr1:5574593-5575006	1.0244772338445	no
chr1:5658629-5658940	1.42529701528906	no
chr1:5681039-5681517	0.905689552837469	no
chr1:5697147-5697673	1.31317147618833	no
chr1:5700961-5701334	1.2832884419123	no
chr1:5779333-5779519	1.11287647371314	no
chr1:5805699-5806413	1.1383784066563	no
chr1:5812450-5812669	0.674914847151454	no
chr1:5890750-5891139	1.03320035244677	no
chr1:5948761-5948928	0.69575236195581	no
chr1:5953725-5954067	1.11263588038397	no
chr1:5975993-5976389	1.2135986324668	no
chr1:6035178-6035651	1.19375786756515	no
chr1:6040516-6040756	1.21843659018841	REnh
chr1:6063150-6063317	1.43684861084574	no
chr1:6094431-6094801	0.811652838060649	no
chr1:6095878-6096064	0.908195831255294	no
chr1:6101526-6101884	1.16543882930237	no
chr1:6112956-6113425	1.06998657793643	no
chr1:6140712-6140967	1.35848677296868	no
chr1:6142410-6142705	1.05290845871562	no
chr1:6159784-6160098	0.985550204764307	no
chr1:6165280-6165616	1.22488752579582	no
chr1:6168828-6169625	1.12166272938325	no
chr1:6201738-6201943	0.997427165535147	no
chr1:6231441-6231973	1.05651810644244	no
chr1:6239979-6240240	0.527152013864117	promoter
chr1:6243617-6243876	0.874945530216053	REnh
chr1:6245712-6246217	1.07600947388	no
chr1:6264889-6265661	0.92804361796224	promoter
chr1:6266019-6266346	0.851653099653047	promoter
chr1:6269793-6270013	1.47098109095637	SE
chr1:6280279-6280658	1.00069942257926	SE
chr1:6295832-6296348	1.20296667135918	promoter
chr1:6298736-6299104	0.934521545066675	no
chr1:6305006-6305641	1.06696553011716	promoter
chr1:6306680-6307351	1.06020332719889	no
chr1:6309213-6309558	0.799192670457088	REnh
chr1:6333045-6333242	0.553873806734345	no
chr1:6340910-6341196	1.01480503445248	no
chr1:6403326-6403858	1.07092720721406	no
chr1:6407951-6408540	1.12676926825238	no
chr1:6417402-6417594	0.992937549997688	promoter
chr1:6423048-6423567	1.01994798611953	no
chr1:6438196-6438514	1.14482175211403	no
chr1:6454052-6454246	0.884385138908759	promoter
chr1:6456990-6457420	1.36572906849505	no
chr1:6464681-6465172	1.03603444283602	REnh
chr1:6469180-6469362	0.722393500480457	no
chr1:6474415-6474732	0.865550284738928	REnh
chr1:6483382-6483890	0.93015234762116	promoter
chr1:6484826-6484996	0.144661382188832	promoter
chr1:6497078-6497423	1.04229973670851	no
chr1:6497978-6498441	1.11389404774263	no
chr1:6500661-6500962	0.632023258012169	no
chr1:6505163-6505567	1.48931123425242	SE
chr1:6508899-6509154	0.737599223737181	SE
chr1:6524638-6524892	0.967069532301445	no
chr1:6535567-6535882	0.723086768076077	no
chr1:6546478-6546921	0.994292523301936	promoter
chr1:6549914-6550341	0.981802872706899	promoter
chr1:6561544-6561815	0.525951266713955	no
chr1:6583664-6584039	1.21654687815452	no
chr1:6607339-6607652	1.02141783712542	no
chr1:6614156-6614910	0.847576381241435	promoter
chr1:6640042-6640221	0.644944765970506	promoter
chr1:6640837-6641149	1.31335432203949	promoter
chr1:6662591-6663273	0.603017699355975	promoter
chr1:6669742-6669945	0.884385138908759	no
chr1:6685043-6685433	1.4189711829096	promoter
chr1:6694615-6695075	1.2092025122029	no
chr1:6706540-6706920	0.912890144487759	no
chr1:6761866-6762101	0.926137189601863	promoter
chr1:6779998-6780555	1.09432266777581	no
chr1:6787578-6787922	0.808910331975702	promoter
chr1:6844410-6844746	0.730277360985155	promoter
chr1:6854188-6854749	1.083908508633	no
chr1:6949737-6950329	0.843419763347494	no
chr1:6991942-6992128	1.47001241617388	no
chr1:7020395-7020842	0.596591602523591	no
chr1:7023378-7023716	0.978916621144834	REnh
chr1:7058253-7058804	1.10353119865013	REnh
chr1:7102741-7103306	1.10140411990979	no
chr1:7130438-7130916	1.00549986999798	no
chr1:7139798-7139965	0.548514313926465	no
chr1:7172042-7172241	1.87773338662929	no
chr1:7177578-7177861	1.03603444283602	REnh
chr1:7180982-7181205	1.36297638850614	no
chr1:7187476-7187714	0.617025079131956	no
chr1:7246784-7247105	0.729007852114162	no
chr1:7267876-7268360	0.910361110721267	no
chr1:7278122-7278760	1.00787062419148	no
chr1:7284761-7285253	1.19408232132929	no
chr1:7306054-7306363	1.29158625889036	no
chr1:7325796-7326454	0.851570907242569	REnh
chr1:7347146-7347423	1.67134208726319	no
chr1:7353689-7353995	1.2589162111249	no
chr1:7359396-7359749	1.06703823391746	REnh
chr1:7361073-7361469	0.83093200286019	REnh
chr1:7363012-7363327	0.865225030512469	no
chr1:7406274-7406598	0.93614762072513	no
chr1:7416110-7416446	0.712651721522469	no
chr1:7462070-7462247	1.42464952825755	REnh
chr1:7467493-7467660	0.859590220805452	no
chr1:7514093-7514595	1.19205579593357	REnh
chr1:7520879-7521130	1.66016157654802	no
chr1:7534955-7535551	0.990037721428353	no
chr1:7547639-7547935	0.917634987096796	no
chr1:7576359-7576637	0.992451934724055	no
chr1:7593233-7593464	1.42858611164594	no
chr1:7599517-7600250	1.16669004462971	no
chr1:7621524-7621819	1.25142621889341	no
chr1:7707151-7707701	1.09130500699626	no
chr1:7727549-7728042	1.00438306299018	no
chr1:7729510-7729943	1.08987045217665	no
chr1:7812718-7813289	0.933487472629454	no
chr1:7815587-7815844	0.997196309008655	no
chr1:7868333-7868779	1.01769071493193	no
chr1:7962632-7963137	1.26802467853388	REnh
chr1:7963386-7963566	1.56629443164266	no
chr1:8002305-8002669	0.602173521959737	no
chr1:8021283-8021656	0.54559555005301	promoter
chr1:8035304-8035820	1.0233278147557	no
chr1:8042305-8042878	0.969629323786371	no
chr1:8075044-8075462	0.878385714582945	SE
chr1:8076603-8076952	0.669943181973462	SE
chr1:8085700-8086886	0.617025079131956	promoter
chr1:8091176-8091947	0.93370575979346	SE
chr1:8100741-8101010	0.842197263051845	SE
chr1:8103823-8103998	0.760241731928541	SE
chr1:8105951-8106314	1.07727688640987	SE
chr1:8106697-8106908	0.89637362998851	SE
chr1:8107769-8108189	0.641735735084377	SE
chr1:8116002-8116399	0.954935856312655	SE
chr1:8130437-8130728	0.982038970207938	SE
chr1:8137201-8137669	1.06030833312189	SE
chr1:8138241-8138627	1.20014071631881	SE
chr1:8151021-8151358	2.60578359864818	SE
chr1:8154514-8155114	0.947460754877185	SE
chr1:8156219-8157158	0.649250968690015	SE
chr1:8157370-8157990	0.749212606600077	SE
chr1:8173969-8174242	1.12329539295252	SE
chr1:8178012-8178614	0.630340969698602	SE
chr1:8180961-8181782	0.741676610269725	SE
chr1:8193143-8194558	0.76644361754819	SE
chr1:8197849-8198198	1.15490497376753	SE
chr1:8214554-8215102	0.4504408384393	SE
chr1:8215616-8215978	0.990979672545263	SE
chr1:8225645-8226324	0.997630373328615	SE
chr1:8229780-8229973	0.49366661366989	SE
chr1:8233099-8233597	1.07791816082288	SE
chr1:8234538-8234751	0.771764910889187	SE
chr1:8242077-8243024	0.838784629350847	SE
chr1:8249900-8250318	0.69810590424785	SE
chr1:8254512-8254975	0.704610311113948	SE
chr1:8257559-8258410	0.913763792335348	SE
chr1:8261363-8261678	0.149814976139271	SE
chr1:8262299-8262904	0.819328383765384	SE
chr1:8271939-8272485	0.978890031024186	SE
chr1:8274823-8275124	0.848787357085712	SE
chr1:8298798-8299404	0.983822646834003	REnh
chr1:8319101-8319333	0.530283034268045	no
chr1:8374093-8374797	1.00297161423454	REnh
chr1:8375840-8376170	0.868781911705481	promoter
chr1:8377821-8378336	0.786073046017423	promoter
chr1:8408879-8409539	0.95553636417288	no
chr1:8411718-8412140	1.05787980622929	no
chr1:8434835-8435284	0.810100871983795	no
chr1:8469034-8469455	1.11816219923913	no
chr1:8491225-8491388	0.812131823521507	no
chr1:8503599-8504184	1.16458628855666	no
chr1:8525158-8525361	1.43292601021553	no
chr1:8586048-8586287	1.06432767961347	REnh
chr1:8621050-8621611	1.07828847899263	no
chr1:8631293-8631525	0.975558864569456	no
chr1:8658153-8658360	0.566031270939232	no
