gid	dmso	jq1	chr	start	end	gname	else	dir	len	type	type2	LFC
1	0.2	0.12	chr19	58858171	58864865	A1BG	0	-	6695	no	no	-0.736965594166206
14	0.126436781609195	0.349576271186441	chr2	219128851	219134893	AAMP	0	-	6043	no	no	1.46719104209541
15	0.0769230769230769	0.146341463414634	chr17	74449432	74466199	AANAT	0	+	16768	no	no	0.927850214244164
16	0.0595813204508857	0.27144535840188	chr16	70286296	70323412	AARS	0	-	37117	no	no	2.18772981232163
18	0.0204081632653061	0.0922619047619048	chr16	8768443	8878432	ABAT	0	+	109990	yes	up	2.17658873172332
20	0.00546448087431694	0.014336917562724	chr9	139901685	139923374	ABCA2	0	-	21690	no	no	1.39157852645485
21	0.0391304347826087	0.0699523052464229	chr16	2325878	2390747	ABCA3	0	-	64870	no	no	0.838080461260071
22	0.00869565217391304	0.0947546531302876	chrX	74273006	74376175	ABCB7	0	-	103170	no	no	3.44583065282445
25	0.00324149108589951	0.00443190975020145	chr9	133589267	133763062	ABL1	0	+	173796	no	no	0.451270897656359
27	0.0018796992481203	0.0131859608299399	chr1	179068461	179198819	ABL2	0	-	130359	yes	down	2.81042894655231
28	0.0208333333333333	0.133333333333333	chr9	136130562	136150630	ABO	0	-	20069	no	no	2.67807190511264
29	0.000529661016949153	0.00116550116550117	chr17	906757	1090616	ABR	0	-	183860	no	no	1.1378092118623
30	0.0869565217391304	0.222493887530562	chr3	38164200	38178733	ACAA1	0	-	14534	yes	up	1.35539956331396
31	0.00350672121566335	0.00762829403606103	chr17	35441926	35766902	ACACA	0	-	324977	no	no	1.12123771316473
34	0.0143266475644699	0.0940819423368741	chr1	76190031	76229363	ACADM	0	+	39333	no	no	2.71521678670111
35	0.0901639344262295	0.264591439688716	chr12	121163570	121177811	ACADS	0	+	14242	no	no	1.55314401098205
36	0.127659574468085	0.772486772486772	chr10	124768428	124817806	ACADSB	0	+	49379	no	no	2.59720848561543
38	0.0630630630630631	0.326492537313433	chr11	107992257	108018891	ACAT1	0	+	26635	no	no	2.37218286566706
39	0.0794701986754967	0.0758293838862559	chr6	160182988	160200087	ACAT2	0	+	17100	yes	down	-0.0676569501032624
41	0.0128617363344051	0.14025974025974	chr12	50451419	50477405	ASIC1	0	+	25987	yes	down	3.44694363671181
43	0.0344827586206897	0.0309278350515464	chr7	100487614	100493592	ACHE	0	-	5979	no	no	-0.156969346338399
47	0.0132492113564669	0.0377008652657602	chr17	40023178	40075272	ACLY	0	-	52095	no	no	1.50869114738092
48	0.0258064516129032	0.0429042904290429	chr9	32384600	32450832	ACO1	0	+	66233	no	no	0.733390139942379
50	0.0103199174406605	0.0211844005777564	chr22	41865128	41924993	ACO2	0	+	59866	no	no	1.03757087832037
51	0.0479041916167665	0.145896656534954	chr17	73937588	73975515	ACOX1	0	-	37928	yes	up	1.60672301945997
52	0.0875912408759124	0.302180685358255	chr2	264868	278282	ACP1	0	+	13415	no	no	1.78655293730419
53	0.0588235294117647	0.666666666666667	chr11	47260852	47270457	ACP2	0	-	9606	no	no	3.50250034052918
59	0.0476190476190476	0.148148148148148	chr10	90694830	90751147	ACTA2	0	-	56318	no	no	1.63742992061529
60	0.075678496868476	0.159973000337496	chr7	5566778	5570232	ACTB	0	-	3455	yes	up	1.07987309365822
71	0.0556253928346952	0.0793422404933196	chr17	79476996	79479892	ACTG1	0	-	2897	yes	up	0.512345517847657
81	0.00479876160990712	0.0457906519232074	chr19	39138266	39221171	ACTN4	0	+	82906	no	no	3.25431905428009
86	0.207792207792208	0.394495412844037	chr3	179280707	179306193	ACTL6A	0	+	25487	no	no	0.924866970620073
87	0.00471305794288883	0.0263461221801416	chr14	69340839	69446083	ACTN1	0	-	105245	no	no	2.48285530757452
89	0.666666666666667	0.189655172413793	chr11	66313865	66330800	ACTN3	0	+	16936	no	no	-1.81358687576912
90	0.0129496402877698	0.0181718061674009	chr2	158592957	158732374	ACVR1	0	-	139418	no	no	0.488789798236096
91	0.00857142857142857	0.0967741935483871	chr12	52345450	52390863	ACVR1B	0	+	45414	no	no	3.49701480144545
92	0.00975609756097561	0.0347624565469293	chr2	148602085	148688396	ACVR2A	0	+	86312	yes	up	1.83315394593501
93	0.032967032967033	0.0541310541310541	chr3	38495789	38534633	ACVR2B	0	+	38845	yes	down	0.715432432616565
95	0.1	0.318840579710145	chr3	52017299	52023218	ACY1	0	+	5920	no	no	1.67283525674649
