gid	dmso	jq1	chr	start	end	gname	else	dir	len	type	type2	LFC
1	0.134328358208955	0.0707070707070707	chr19	58858171	58864865	A1BG	0	-	6695	no	no	-0.925837509006546
14	0.185	0.123404255319149	chr2	219128851	219134893	AAMP	0	-	6043	no	no	-0.584133127291653
15	0.181818181818182	0.0442477876106195	chr17	74449432	74466199	AANAT	0	+	16768	no	no	-2.03881924889053
16	0.140832595217006	0.0759219088937093	chr16	70286296	70323412	AARS	0	-	37117	no	no	-0.891393107995726
18	0.0338461538461538	0.0251396648044693	chr16	8768443	8878432	ABAT	0	+	109990	yes	up	-0.429026486543424
20	0.00675024108003857	0.00462962962962963	chr9	139901685	139923374	ABCA2	0	-	21690	no	no	-0.544042245407847
21	0.0441176470588235	0.0380047505938242	chr16	2325878	2390747	ABCA3	0	-	64870	no	no	-0.215176082537213
22	0.0327868852459016	0.0349127182044888	chrX	74273006	74376175	ABCB7	0	-	103170	no	no	0.09063383316557
25	0.00231481481481481	0.00508408290965976	chr9	133589267	133763062	ABL1	0	+	173796	no	no	1.13509077506291
27	0.00926402470406588	0.0054483541430193	chr1	179068461	179198819	ABL2	0	-	130359	no	no	-0.765818618943588
29	0.000207900207900208	0.000197316495659037	chr17	906757	1090616	ABR	0	-	183860	no	no	-0.0753796304834053
30	0.125890736342043	0.076271186440678	chr3	38164200	38178733	ACAA1	0	-	14534	no	no	-0.722962079416332
31	0.0172577795896182	0.013824192336589	chr17	35441926	35766902	ACACA	0	-	324977	no	no	-0.320051662235649
34	0.0343580470162749	0.0326086956521739	chr1	76190031	76229363	ACADM	0	+	39333	no	no	-0.0753912985447353
35	0.154867256637168	0.0891089108910891	chr12	121163570	121177811	ACADS	0	+	14242	no	no	-0.797390535839261
36	0.426229508196721	0.236111111111111	chr10	124768428	124817806	ACADSB	0	+	49379	no	no	-0.852164540770179
38	0.155913978494624	0.134730538922156	chr11	107992257	108018891	ACAT1	0	+	26635	no	no	-0.210673380163918
39	0.153225806451613	0.0896309314586995	chr6	160182988	160200087	ACAT2	0	+	17100	no	no	-0.773590703391796
41	0.0470162748643761	0.0360655737704918	chr12	50451419	50477405	ASIC1	0	+	25987	no	no	-0.382537861719336
43	0.0363636363636364	0.0128205128205128	chr7	100487614	100493592	ACHE	0	-	5979	no	no	-1.50404250533759
47	0.0244491397524902	0.0169300225733634	chr17	40023178	40075272	ACLY	0	-	52095	no	no	-0.53019980775011
48	0.0394736842105263	0.0268817204301075	chr9	32384600	32450832	ACO1	0	+	66233	no	no	-0.55426570349824
50	0.0115115115115115	0.00822669104204753	chr22	41865128	41924993	ACO2	0	+	59866	no	no	-0.484693109614839
51	0.118043844856661	0.0521541950113379	chr17	73937588	73975515	ACOX1	0	-	37928	no	no	-1.17846761189947
52	0.243161094224924	0.108317214700193	chr2	264868	278282	ACP1	0	+	13415	no	no	-1.16664986940945
53	0.17	0.0805970149253731	chr11	47260852	47270457	ACP2	0	-	9606	no	no	-1.07673643465728
59	0.0526315789473684	0.0172413793103448	chr10	90694830	90751147	ACTA2	0	-	56318	no	no	-1.61005348168399
60	0.242886597938144	0.14418042690294	chr7	5566778	5570232	ACTB	0	-	3455	yes	down	-0.752407560781193
71	0.143880768128404	0.108538011695906	chr17	79476996	79479892	ACTG1	0	-	2897	no	no	-0.406673381289448
81	0.0269915497579785	0.0128889838353628	chr19	39138266	39221171	ACTN4	0	+	82906	no	no	-1.0663692871329
86	0.204268292682927	0.10958904109589	chr3	179280707	179306193	ACTL6A	0	+	25487	no	no	-0.898361744719706
87	0.0137065637065637	0.00737636211232188	chr14	69340839	69446083	ACTN1	0	-	105245	no	no	-0.893885540876059
89	0.448275862068966	0.0956521739130435	chr11	66313865	66330800	ACTN3	0	+	16936	no	no	-2.2285171553206
90	0.0208483105679367	0.0149328023892484	chr2	158592957	158732374	ACVR1	0	-	139418	no	no	-0.481445543710107
91	0.0562587904360056	0.0286085825747724	chr12	52345450	52390863	ACVR1B	0	+	45414	no	no	-0.975630514592476
92	0.026978417266187	0.0119760479041916	chr2	148602085	148688396	ACVR2A	0	+	86312	no	no	-1.17165381535906
93	0.0220994475138122	0.0169811320754717	chr3	38495789	38534633	ACVR2B	0	+	38845	yes	down	-0.380077660925044
95	0.138157894736842	0.0830449826989619	chr3	52017299	52023218	ACY1	0	+	5920	no	no	-0.734353091114698
97	0.279411764705882	0.137142857142857	chr14	75519927	75530736	ACYP1	0	-	10810	no	no	-1.02671328330442
98	0.0915395284327323	0.0404585300067431	chr2	54342409	54532435	ACYP2	0	+	190027	no	no	-1.17795095696374
100	0.111561866125761	0.0679611650485437	chr20	43248162	43280376	ADA	0	-	32215	no	no	-0.715061482272362
102	0.0130801687763713	0.00718719372754002	chr15	58887402	59042177	ADAM10	0	-	154776	no	no	-0.863880677490948
103	0.0139211136890951	0.0120585701981051	chr1	154554533	154600456	ADAR	0	-	45924	no	no	-0.20721577644002
104	0.0445592508879561	0.0151076824172292	chr21	46494492	46646478	ADARB1	0	+	151987	no	no	-1.56044261696025
109	0.00297840655249442	0.00441111601235112	chr2	25042038	25142055	ADCY3	0	-	100018	no	no	0.566603008574019
112	0.0520304568527919	0.0517751479289941	chr12	49159974	49182820	ADCY6	0	-	22847	no	no	-0.00709660449892534
113	0.0146082337317397	0.0281425891181989	chr16	50300450	50352045	ADCY7	0	+	51596	no	no	0.945973308883974
115	0.0547945205479452	0.0193548387096774	chr16	4012649	4166186	ADCY9	0	-	153538	no	no	-1.50133734567306
118	0.0379661016949153	0.0324044069993519	chr4	2845583	2931802	ADD1	0	+	86220	no	no	-0.228521839717048
123	0.144444444444444	0.0909090909090909	chr9	19115758	19127604	PLIN2	0	-	11847	no	no	-0.668018240448714
128	0.079447322970639	0.0335820895522388	chr4	99992129	100009939	ADH5	0	-	17811	no	no	-1.24230660708324
132	0.0071136673225367	0.0021269053527118	chr10	75910942	76469061	ADK	0	+	558120	no	no	-1.74183767216478
133	1.15151515151515	0.790123456790123	chr11	10326641	10328923	ADM	0	+	2283	no	no	-0.543383396969757
136	0.0212129453358716	0.00877893056664006	chr17	15848230	15879210	ADORA2B	0	+	30981	no	no	-1.27282783834352
141	0.75	0.296296296296296	chr3	119298279	119308792	ADPRH	0	+	10514	no	no	-1.33985000288462
